
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.4443"	"0"	"0.1168"	"0.2789"	"1"	"3.0207"	"12.1546"	"8.4702"	"1.6479"	"1.4309"	"0.1931"	"0.6901"
"1902"	"0.6181"	"0"	"0"	"0.0208"	"1"	"3.2003"	"6.9517"	"10.955"	"6.7"	"1.0157"	"1.4147"	"0.5961"
"1903"	"0.0073"	"0"	"0"	"0"	"1"	"2.1914"	"14.9096"	"10.2044"	"6.2432"	"0.3552"	"0.1931"	"0"
"1904"	"0.0353"	"0.5688"	"1"	"0"	"1"	"2.7517"	"8.6076"	"4.6184"	"4.7386"	"1.2035"	"0.1931"	"0.9328"
"1905"	"0.2423"	"0.1987"	"0.9999"	"0.5802"	"0.962"	"2.0392"	"13.0511"	"3.6273"	"5.1921"	"0"	"0.218"	"0"
"1906"	"0"	"0.8751"	"0"	"0"	"0.0073"	"5.2484"	"12.6328"	"10.3143"	"5.7544"	"0.1537"	"0.1931"	"0.8725"
"1907"	"0.8744"	"0.6903"	"0"	"0.9512"	"0.2421"	"3.0885"	"11.1634"	"14.1481"	"1.0002"	"0"	"0.6927"	"0"
"1908"	"0.9997"	"0.0489"	"0.2515"	"0.0957"	"0.0076"	"3.2976"	"17.2027"	"13.798"	"4.6193"	"0"	"1.0072"	"0"
"1909"	"0.8638"	"0.0977"	"0.001"	"1"	"0.9146"	"4.6985"	"13.1674"	"9.1339"	"7.8081"	"0.0106"	"0.1931"	"1"
"1910"	"1.1661"	"0"	"0"	"1"	"1"	"7.6189"	"9.4635"	"12.3796"	"3.8079"	"1.2627"	"0.9442"	"0"
"1911"	"1.2159"	"0"	"1"	"0"	"0.0071"	"5.0612"	"4.7305"	"6.4991"	"3.7699"	"0.0208"	"1.854"	"0"
"1912"	"0"	"0.0195"	"0"	"0.0881"	"0.1066"	"4.2402"	"13.0532"	"11.2849"	"3.2071"	"1.5983"	"2.489"	"0"
"1913"	"0"	"0"	"0.0014"	"0"	"1"	"6.1175"	"13.1717"	"8.2101"	"5.8955"	"0"	"1.1618"	"0.6506"
"1914"	"0"	"0.5048"	"0"	"0.2347"	"1"	"5.9177"	"12.5065"	"7.8612"	"6.5601"	"1.0615"	"1.6577"	"0.4351"
"1915"	"0.8991"	"0.5672"	"1"	"0.9032"	"0.9718"	"3.9394"	"8.0673"	"3.6776"	"3.8175"	"2.8085"	"0.3651"	"0.5152"
"1916"	"0"	"0.0489"	"0"	"0"	"1"	"4.7194"	"9.0393"	"13.3655"	"7.0056"	"1.4494"	"1.104"	"0"
"1917"	"0.0005"	"0.9361"	"0"	"0.9752"	"1"	"6.4818"	"10.5236"	"12.0376"	"9.1561"	"2.2248"	"0.1931"	"0.8638"
"1918"	"0"	"0"	"0.2407"	"0"	"1"	"3.7368"	"5.7584"	"9.3733"	"2.0019"	"0.0002"	"1.1216"	"0"
"1919"	"1.2453"	"0"	"0"	"0.9968"	"1"	"4.4077"	"11.9594"	"12.3179"	"4.0522"	"1.0774"	"1.9258"	"0.908"
"1920"	"0.2795"	"0.6282"	"0.0717"	"0.0006"	"1"	"6.5752"	"12.2665"	"6.09"	"2.0119"	"0"	"0.1931"	"0"
"1921"	"0.3096"	"0"	"0"	"0"	"0.0071"	"3.1187"	"12.6463"	"8.5578"	"6.8725"	"0.0787"	"0.1931"	"0"
"1922"	"0.5566"	"0.0993"	"0"	"0"	"0.0489"	"3.7329"	"11.367"	"6.3533"	"7.1691"	"0.5096"	"1.5657"	"0.3191"
"1923"	"0.1238"	"0.1534"	"0.301"	"0.5062"	"1"	"1.0003"	"11.2993"	"9.6085"	"4.6444"	"0.1841"	"0.1941"	"0"
"1924"	"0.7154"	"0"	"0.001"	"0"	"1"	"3.387"	"11.1348"	"9.3739"	"7.4765"	"1.3241"	"0.1931"	"0.9647"
"1925"	"0"	"0"	"0"	"0"	"1"	"6.6097"	"8.0802"	"5.8791"	"2.3344"	"0"	"2.2765"	"0.0759"
"1926"	"1.001"	"0.0497"	"0.8855"	"1"	"1"	"1.5986"	"11.9534"	"12.8743"	"8.9375"	"0"	"1.0102"	"0.0195"
"1927"	"0"	"0.566"	"0.1754"	"0"	"1"	"3.9066"	"15.6176"	"10.875"	"4.1513"	"1.5556"	"1.7475"	"1"
"1928"	"0.0005"	"0.3175"	"0.0521"	"0"	"0.0488"	"2.9756"	"10.8232"	"9.3006"	"5.8851"	"2.0623"	"2.3191"	"0.9647"
"1929"	"0.3853"	"0.2978"	"0"	"0.9902"	"0.1307"	"5.0762"	"12.9441"	"8.6388"	"2.355"	"0.8795"	"0.1931"	"1"
"1930"	"1"	"0"	"0"	"0.2347"	"0.93"	"5.2095"	"11.041"	"8.1918"	"4.59"	"1.4767"	"0.541"	"0"
"1931"	"0"	"0.0141"	"0"	"0"	"0.2705"	"2.5826"	"8.4112"	"14.191"	"4.432"	"2.9218"	"0.6371"	"1.002"
"1932"	"0"	"0.2483"	"0.5668"	"0.3092"	"0.0076"	"3.2959"	"12.7122"	"10.53"	"5.4032"	"1.1611"	"0.1931"	"0"
"1933"	"0"	"0.1136"	"0.3097"	"0.9255"	"1"	"5.8837"	"10.2964"	"13.8942"	"6.847"	"0.8007"	"1.1618"	"0.9256"
"1934"	"0.6181"	"0"	"0.9831"	"0"	"0.0071"	"7.0092"	"11.5784"	"13.5834"	"4.6288"	"1.0615"	"1.8118"	"0"
