
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.578"	"14.776"	"23.062"	"28.045"	"33.53"	"36.915"	"34.624"	"32.955"	"31.921"	"29.15"	"20.928"	"16.039"
"1902"	"15.104"	"17.334"	"24.392"	"29.528"	"34.243"	"34.512"	"34.417"	"33.939"	"31.303"	"27.25"	"20.808"	"14.68"
"1903"	"13.24"	"15.909"	"20.313"	"26.565"	"32.853"	"37.38"	"34.048"	"32.739"	"32.303"	"27.941"	"19.524"	"14.149"
"1904"	"12.459"	"16.879"	"21.247"	"29.573"	"34.239"	"35.755"	"34.079"	"33.158"	"31.875"	"27.693"	"20.649"	"15.33"
"1905"	"11.483"	"11.776"	"18.683"	"26.87"	"35.743"	"35.878"	"34.543"	"34.126"	"32.049"	"27.695"	"21.796"	"14.957"
"1906"	"11.978"	"13.889"	"19.787"	"27.577"	"35.244"	"35.165"	"35.003"	"33.429"	"30.941"	"27.867"	"21.993"	"16.484"
"1907"	"16.188"	"14.729"	"19.814"	"27.016"	"32.002"	"35.047"	"35.14"	"31.454"	"31.111"	"27.143"	"20.882"	"14.341"
"1908"	"14.193"	"17.217"	"21.659"	"29.172"	"33.17"	"35.745"	"32.194"	"30.502"	"29.637"	"26.149"	"19.64"	"14.175"
"1909"	"12.437"	"15.272"	"21.88"	"27.199"	"32.708"	"35.696"	"31.929"	"31.858"	"29.296"	"26.865"	"21.814"	"13.817"
"1910"	"13.248"	"16.783"	"21.697"	"26.745"	"33.92"	"35.679"	"32.096"	"31.239"	"31.177"	"26.602"	"19.61"	"14.275"
"1911"	"14.129"	"17.392"	"19.881"	"27.786"	"34.347"	"35.706"	"35.088"	"33.753"	"31.875"	"27.927"	"17.655"	"14.488"
"1912"	"14.416"	"15.146"	"21.328"	"28.255"	"33.977"	"36.877"	"33.891"	"31.992"	"30.842"	"27.331"	"18.931"	"14.962"
"1913"	"14.703"	"15.839"	"19.64"	"29.291"	"32.657"	"34.517"	"32.449"	"32.234"	"31.508"	"27.617"	"19.838"	"14.477"
"1914"	"15.388"	"14.802"	"20.588"	"27.843"	"34.428"	"35.09"	"32.15"	"32.232"	"31.162"	"25.846"	"20.56"	"13.624"
"1915"	"13.264"	"14.894"	"22.705"	"28.367"	"35.595"	"36.495"	"35.173"	"33.701"	"32.807"	"28.163"	"20.207"	"15.101"
"1916"	"15.085"	"15.185"	"24.822"	"29.128"	"31.956"	"35.177"	"33.536"	"31.927"	"30.727"	"25.665"	"17.854"	"14.238"
"1917"	"14.089"	"17.727"	"21.959"	"25.554"	"30.017"	"34.803"	"32.806"	"30.538"	"29.062"	"25.246"	"18.617"	"15.517"
"1918"	"12.944"	"16.823"	"21.048"	"25.488"	"34.995"	"34.963"	"34.631"	"33.305"	"31.222"	"27.146"	"20.007"	"13.99"
"1919"	"13.15"	"15.747"	"22.145"	"27.309"	"32.739"	"37.304"	"34.028"	"31.751"	"30.458"	"26.843"	"19.016"	"13.871"
"1920"	"13.385"	"15.665"	"21.72"	"27.066"	"29.8"	"33.654"	"33.96"	"31.938"	"32.629"	"28.476"	"21.377"	"14.812"
"1921"	"14.153"	"17.161"	"25.426"	"31.652"	"34.892"	"36.27"	"34.252"	"31.643"	"31.153"	"26.538"	"20.63"	"16.452"
"1922"	"13.047"	"17.033"	"22.864"	"29.178"	"32.787"	"34.91"	"34.622"	"32.658"	"30.494"	"26.235"	"19.944"	"15.121"
"1923"	"13.356"	"15.375"	"22.739"	"28.91"	"31.894"	"36.086"	"33.177"	"30.907"	"30.919"	"26.361"	"19.291"	"14.186"
"1924"	"12.687"	"16.392"	"23.582"	"28.715"	"29.859"	"36.299"	"35.002"	"32.368"	"29.632"	"27.037"	"19.541"	"15.211"
"1925"	"12.381"	"14.178"	"23.756"	"31.662"	"33.12"	"33.92"	"32.304"	"32.566"	"32.288"	"27.941"	"18.755"	"14.595"
"1926"	"14.14"	"18.76"	"20.841"	"25.845"	"30.589"	"35.992"	"34.197"	"31.346"	"29.902"	"26.473"	"17.672"	"14.197"
"1927"	"11.971"	"14.133"	"21.112"	"27.502"	"32.053"	"34.545"	"32.613"	"31.574"	"30.363"	"27.378"	"20.496"	"15.492"
"1928"	"12.91"	"17.369"	"22.161"	"28.203"	"34.356"	"35.137"	"33.436"	"32.044"	"29.891"	"27.197"	"21.045"	"13.962"
"1929"	"12.996"	"15.01"	"24.406"	"29.057"	"33.296"	"35.333"	"31.781"	"31.036"	"31.184"	"26.446"	"20.713"	"12.733"
"1930"	"12.381"	"16.632"	"22.42"	"26.775"	"32.254"	"33.784"	"31.259"	"31.37"	"31.261"	"26.894"	"18.935"	"14.006"
"1931"	"14.059"	"12.781"	"21.275"	"29.794"	"32.813"	"34.536"	"32.351"	"32.895"	"30.594"	"26.521"	"20.378"	"15.496"
"1932"	"15.64"	"16.589"	"22.943"	"29.684"	"32.438"	"36.562"	"33.311"	"31.449"	"31.781"	"26.723"	"19.959"	"14.446"
"1933"	"11.731"	"17.125"	"21.953"	"26.869"	"32.119"	"35.563"	"33.482"	"29.718"	"29.769"	"26.406"	"20.542"	"16.001"
"1934"	"11.134"	"18.449"	"21.383"	"28.545"	"31.962"	"34.994"	"33.507"	"31.814"	"31.753"	"25.886"	"20.256"	"16.154"
"1935"	"11.626"	"16.499"	"22.591"	"25.447"	"33.158"	"35.547"	"32.977"	"31.841"	"30.79"	"26.07"	"21.005"	"15.059"
"1936"	"12.193"	"17.296"	"20.656"	"27.958"	"36.293"	"34.08"	"32.586"	"31.398"	"30.812"	"27.171"	"19.765"	"14.702"
"1937"	"12.868"	"16.299"	"20.533"	"27.283"	"33.712"	"36.245"	"32.662"	"32.894"	"31.283"	"25.569"	"19.85"	"13.052"
"1938"	"12.446"	"14.664"	"22.82"	"29.345"	"35.869"	"34.281"	"34.667"	"33.201"	"31.703"	"27.279"	"18.969"	"14.702"
"1939"	"14.106"	"16.555"	"19.104"	"26.18"	"34.071"	"35.336"	"33.385"	"33.52"	"32.525"	"27.576"	"20.677"	"16.495"
"1940"	"14.822"	"16.614"	"21.242"	"27.381"	"34.118"	"34.98"	"34.252"	"31.844"	"30.445"	"27.683"	"22.002"	"15.599"
"1941"	"13.565"	"18.329"	"24.866"	"31.407"	"35.068"	"33.867"	"33.132"	"33.062"	"30.378"	"29.296"	"21.037"	"16.12"
"1942"	"13.827"	"16.563"	"23.749"	"30.685"	"33.476"	"35.644"	"33.765"	"31.149"	"29.723"	"26.998"	"22.033"	"13.955"
"1943"	"12.502"	"16.701"	"22.98"	"27.475"	"32.777"	"34.867"	"32.702"	"31.54"	"31.598"	"26.974"	"21.12"	"16.94"
"1944"	"12.621"	"15.023"	"20.974"	"28.284"	"33.67"	"34.853"	"32.645"	"30.716"	"29.639"	"25.311"	"20.673"	"14.72"
"1945"	"11.434"	"16.43"	"22.959"	"26.995"	"33.059"	"34.615"	"32.709"	"31.798"	"32.256"	"26.782"	"20.749"	"14.159"
"1946"	"14.209"	"18.42"	"21.545"	"32.635"	"34.572"	"36.312"	"33.817"	"32.742"	"31.014"	"28.437"	"19.664"	"13.249"
"1947"	"13.029"	"16.741"	"23.557"	"30.297"	"35.018"	"36.838"	"35.283"	"32.933"	"30.57"	"26.411"	"22.718"	"15.371"
"1948"	"15.375"	"16.052"	"21.766"	"30.041"	"34.889"	"35.164"	"33.419"	"31.697"	"31.665"	"27.919"	"18.984"	"14.992"
"1949"	"14.793"	"15.808"	"22.354"	"30.459"	"36.168"	"34.27"	"32.441"	"31.988"	"32.769"	"25.937"	"18.647"	"15.432"
"1950"	"14.338"	"13.507"	"20.56"	"26.672"	"34.029"	"35.864"	"32.27"	"31.334"	"29.493"	"26.106"	"18.913"	"12.524"
"1951"	"13.035"	"15.466"	"21.43"	"26.203"	"32.869"	"34.946"	"34.147"	"32.297"	"31.88"	"30.008"	"21.692"	"15.826"
"1952"	"14.435"	"17.878"	"22.352"	"30.759"	"33.946"	"35.321"	"33.037"	"32.09"	"31.022"	"27.066"	"20.614"	"14.731"
"1953"	"13.529"	"18.486"	"25.646"	"29.709"	"34.12"	"35.55"	"33.338"	"31.244"	"30.029"	"26.73"	"20.527"	"18.038"
"1954"	"12.951"	"16.792"	"22.26"	"28.633"	"34.752"	"35.768"	"33.569"	"33.509"	"31.169"	"25.232"	"20.846"	"15.053"
"1955"	"13.304"	"17.776"	"23.929"	"27.04"	"30.846"	"35.854"	"34.886"	"31.895"	"30.671"	"25.887"	"20.1"	"15.911"
"1956"	"13.573"	"16.957"	"21.91"	"29.054"	"35.647"	"35.292"	"31.518"	"30.533"	"31.446"	"25.595"	"19.531"	"15.569"
"1957"	"12.959"	"15.455"	"21.942"	"26.773"	"30.44"	"34.367"	"33.95"	"31.766"	"30.284"	"27.372"	"20.694"	"15.014"
"1958"	"15.594"	"17.068"	"23.594"	"31.788"	"33.194"	"35.972"	"33.483"	"33.012"	"29.595"	"26.815"	"20.569"	"16.133"
"1959"	"13.121"	"15.519"	"23.806"	"29.162"	"33.638"	"36.376"	"32.914"	"31.874"	"30.754"	"28.245"	"20.64"	"15.25"
"1960"	"13.017"	"19.443"	"21.521"	"26.974"	"32.916"	"35.828"	"33.096"	"32.946"	"32.053"	"27.011"	"19.777"	"14.586"
"1961"	"14.209"	"14.926"	"22.728"	"27.62"	"33.135"	"34.832"	"32.779"	"32.123"	"31.43"	"26.511"	"18.74"	"13.908"
"1962"	"12.942"	"17.195"	"22.45"	"29.559"	"33.153"	"35.319"	"33.57"	"32.771"	"29.718"	"26.082"	"20.032"	"14.338"
"1963"	"13.494"	"18.722"	"22.309"	"28.264"	"31.803"	"36.122"	"35.005"	"32.965"	"31.357"	"28.555"	"21.606"	"15.256"
"1964"	"11.523"	"16.024"	"24.192"	"29.848"	"32.126"	"35.179"	"32.249"	"31.831"	"30.864"	"26.035"	"19.128"	"14.479"
"1965"	"15.961"	"17.128"	"22.064"	"25.717"	"32.24"	"35.336"	"32.706"	"31.692"	"31.255"	"28.171"	"22.09"	"13.829"
"1966"	"14.856"	"18.996"	"22.49"	"27.578"	"32.542"	"34.593"	"33.747"	"32.174"	"29.374"	"26.899"	"19.195"	"13.559"
"1967"	"12.044"	"18.755"	"21.409"	"27.32"	"31.878"	"35.005"	"33.369"	"31.809"	"30.532"	"25.922"	"20.831"	"14.769"
"1968"	"12.511"	"14.525"	"22.257"	"28.485"	"31.744"	"36.114"	"33.823"	"33.102"	"32.222"	"26.953"	"20.925"	"15.208"
"1969"	"13.847"	"16.755"	"25.114"	"28.953"	"32.175"	"36.431"	"34.045"	"32.814"	"31.668"	"28.429"	"21.971"	"16.018"
"1970"	"14.409"	"16.486"	"22.218"	"30.201"	"35.111"	"35.139"	"33.648"	"32.317"	"30.942"	"28.139"	"19.379"	"15.247"
"1971"	"12.758"	"17.003"	"22.496"	"30.362"	"32.639"	"34.205"	"32.352"	"31.748"	"30.419"	"26.72"	"20.621"	"16.26"
"1972"	"14.03"	"13.561"	"22.931"	"27.686"	"33.444"	"35.212"	"33.278"	"31.972"	"30.16"	"26.045"	"21.208"	"15.585"
"1973"	"13.161"	"18.035"	"22.174"	"29.949"	"34.313"	"35.466"	"33.136"	"30.821"	"31.294"	"26.241"	"19.583"	"13.347"
"1974"	"13.836"	"14.455"	"24.153"	"30.421"	"33.232"	"33.027"	"32.48"	"33.103"	"31.714"	"26.447"	"19.627"	"13.687"
"1975"	"11.963"	"14.751"	"20.936"	"28.209"	"33.615"	"33.821"	"31.863"	"31.149"	"29.365"	"26.821"	"18.843"	"15.899"
"1976"	"14.375"	"16.769"	"21.606"	"26.5"	"34.139"	"33.949"	"33.178"	"30.228"	"29.303"	"27.406"	"20.903"	"14.827"
"1977"	"13.466"	"17.564"	"24.667"	"27.862"	"31.912"	"33.404"	"31.574"	"32.621"	"29.106"	"27.476"	"22.451"	"17.125"
"1978"	"13.382"	"15.602"	"20.912"	"30.304"	"35.924"	"35.254"	"30.558"	"31.843"	"30.007"	"26.993"	"21.18"	"16.049"
"1979"	"13.923"	"16.51"	"20.584"	"29.91"	"30.894"	"36.039"	"34.11"	"32.205"	"30.096"	"27.595"	"22.085"	"16.598"
"1980"	"13.83"	"18.799"	"21.503"	"30.848"	"34.867"	"36.4"	"33.078"	"32.722"	"31.955"	"28.364"	"20.583"	"15.355"
"1981"	"14.405"	"17.706"	"21.757"	"29.904"	"34.28"	"36.461"	"32.612"	"31.962"	"31.337"	"26.698"	"19.511"	"15.317"
"1982"	"13.813"	"14.673"	"19.452"	"27.457"	"30.672"	"35.248"	"34.368"	"31.707"	"30.739"	"27.494"	"20.715"	"15.15"
"1983"	"13.288"	"15.502"	"21.145"	"25.414"	"31.711"	"34.704"	"33.225"	"31.137"	"30.505"	"26.033"	"19.732"	"15.286"
"1984"	"12.411"	"13.974"	"24.554"	"29.209"	"36.005"	"36.287"	"32.437"	"31.829"	"29.065"	"25.554"	"20.45"	"14.911"
"1985"	"13.721"	"17.537"	"24.357"	"29.102"	"34.486"	"35.221"	"32.555"	"31.906"	"30.833"	"25.555"	"21.235"	"15.8"
"1986"	"13.24"	"15.671"	"21.885"	"28.804"	"32.741"	"35.27"	"32.267"	"31.032"	"30.455"	"26.988"	"21.169"	"13.349"
"1987"	"14.628"	"17.76"	"22.935"	"29.526"	"30.605"	"35.137"	"34.719"	"34.007"	"32.366"	"27.951"	"20.888"	"14.866"
"1988"	"15.16"	"18.027"	"21.917"	"30.898"	"35.977"	"36.176"	"32.959"	"31.793"	"30.898"	"26.85"	"20.606"	"15.71"
"1989"	"13.154"	"15.726"	"22.116"	"27.504"	"33.372"	"34.69"	"32.765"	"31.693"	"30.494"	"26.889"	"21.188"	"15.064"
"1990"	"15.873"	"16.485"	"21.058"	"28.822"	"34.343"	"35.333"	"32.687"	"31.768"	"30.808"	"26.306"	"21.376"	"15.444"
"1991"	"14.246"	"16.599"	"22.387"	"28.278"	"34.451"	"36.105"	"34.892"	"32.121"	"31.05"	"26.133"	"20.369"	"16.155"
"1992"	"14.505"	"16.188"	"21.731"	"28.384"	"33.324"	"37.003"	"32.507"	"30.992"	"29.567"	"26.547"	"20.334"	"16.796"
"1993"	"14.313"	"18.903"	"20.784"	"28.965"	"34.935"	"35.873"	"32.776"	"32.226"	"30.677"	"27.46"	"22.128"	"16.476"
"1994"	"15.306"	"16.706"	"24.314"	"27.702"	"35.625"	"36.623"	"32.546"	"31.177"	"29.332"	"25.745"	"21.541"	"16.055"
"1995"	"13.938"	"17.325"	"20.913"	"27.588"	"34.275"	"37.36"	"33.376"	"31.096"	"31.229"	"27.961"	"20.84"	"15.855"
"1996"	"14.153"	"17.482"	"24.717"	"29.287"	"32.687"	"33.238"	"33.263"	"31.123"	"30.888"	"26.837"	"19.991"	"14.765"
"1997"	"13.261"	"16.953"	"21.717"	"27.055"	"30.859"	"33.008"	"33.809"	"31.322"	"30.784"	"23.909"	"19.31"	"12.957"
"1998"	"13.784"	"17.223"	"21.002"	"29.362"	"34.525"	"35.257"	"33.087"	"33.188"	"30.7"	"26.751"	"21.243"	"15.287"
"1999"	"13.037"	"17.296"	"22.976"	"30.516"	"34.362"	"34.282"	"33.399"	"31.694"	"32.011"	"27.88"	"23.102"	"15.788"
"2000"	"13.922"	"16.485"	"22.671"	"31.316"	"36.146"	"34.791"	"32.663"	"31.869"	"30.67"	"27.552"	"21.358"	"15.701"
"2001"	"13.079"	"17.489"	"23.322"	"28.73"	"34.541"	"33.512"	"32.169"	"31.456"	"32.844"	"27.794"	"21.873"	"15.656"
"2002"	"14.471"	"16.468"	"22.581"	"30.103"	"35.034"	"36.008"	"33.602"	"32.993"	"30.456"	"26.873"	"21.752"	"15.805"
