
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.37"	"23.685"	"29.375"	"25.002"	"19.744"	"22.722"	"45.026"	"41.828"	"20.667"	"8.373"	"11.176"	"19.737"
"1902"	"23.088"	"24.676"	"30.384"	"25.416"	"18.996"	"20.965"	"45.016"	"41.755"	"20.253"	"7.985"	"11.176"	"19.737"
"1903"	"22.823"	"24.676"	"30.716"	"25.341"	"20.176"	"22.072"	"45.256"	"42.689"	"21.427"	"6.873"	"11.172"	"19.737"
"1904"	"22.521"	"24.44"	"30.653"	"25.794"	"20.082"	"22.638"	"44.724"	"41.817"	"20.698"	"7.985"	"11.897"	"19.739"
"1905"	"23.024"	"24.676"	"30.391"	"25.17"	"19.787"	"22.722"	"46.5"	"42.886"	"20.609"	"7.317"	"11.248"	"19.853"
"1906"	"22.801"	"24.676"	"29.333"	"25.416"	"19.722"	"22.961"	"45.637"	"41.916"	"21.427"	"6.863"	"11.147"	"20.001"
"1907"	"23.019"	"24.942"	"29.672"	"25.416"	"19.744"	"23.333"	"46.188"	"42.164"	"21.427"	"8.84"	"12.381"	"19.899"
"1908"	"23.024"	"24.676"	"30.426"	"26.015"	"20.175"	"21.807"	"44.904"	"41.965"	"20.56"	"7.985"	"10.824"	"19.946"
"1909"	"22.102"	"24.593"	"30.391"	"24.819"	"18.607"	"21.387"	"45.162"	"41.766"	"20.298"	"7.047"	"10.685"	"19.261"
"1910"	"23.024"	"24.676"	"29.898"	"24.812"	"18.788"	"22.356"	"44.857"	"41.794"	"21.427"	"7.985"	"11.176"	"19.737"
"1911"	"23.024"	"24.676"	"30.253"	"25.416"	"19.744"	"21.979"	"44.821"	"41.846"	"21.389"	"7.636"	"10.195"	"19.737"
"1912"	"23.024"	"24.676"	"29.271"	"24.363"	"19.118"	"22.027"	"43.652"	"41.787"	"20.266"	"6.634"	"10.018"	"19.937"
"1913"	"23.399"	"24.878"	"29.41"	"25.285"	"18.546"	"21.498"	"44.279"	"42.155"	"20.286"	"8.388"	"11.396"	"19.745"
"1914"	"22.462"	"24.676"	"29.247"	"24.593"	"18.689"	"21.335"	"43.846"	"42.255"	"19.418"	"6.863"	"12.15"	"20.228"
"1915"	"22.306"	"24.905"	"28.947"	"26.233"	"17.928"	"19.985"	"44.682"	"41.312"	"19.594"	"6.871"	"10.214"	"19.737"
"1916"	"23.622"	"24.592"	"30.391"	"24.765"	"19.611"	"22.22"	"44.588"	"42.146"	"20.798"	"6.841"	"10.438"	"19.534"
"1917"	"22.148"	"23.739"	"28.608"	"23.37"	"18.171"	"21.096"	"43.914"	"41.769"	"20.213"	"7.125"	"10.214"	"19.237"
"1918"	"23.019"	"24.684"	"30.384"	"24.896"	"17.923"	"21.325"	"44.6"	"41.155"	"19.558"	"7.063"	"11.176"	"20.521"
"1919"	"22.503"	"24.11"	"29.95"	"24.318"	"19.051"	"22.447"	"44.914"	"41.755"	"20.196"	"6.34"	"9.551"	"20.087"
"1920"	"23.799"	"24.676"	"29.833"	"25.669"	"19.744"	"21.897"	"46.359"	"41.374"	"21.417"	"5.962"	"11.706"	"20.349"
"1921"	"23.024"	"24.901"	"30.588"	"25.416"	"19.744"	"21.779"	"43.873"	"41.565"	"20.709"	"5.558"	"10.117"	"20.288"
"1922"	"23.612"	"24.676"	"30.391"	"24.757"	"19.562"	"21.974"	"45.243"	"41.793"	"20.737"	"7.214"	"10.326"	"19.737"
"1923"	"23.024"	"24.676"	"30.391"	"25.722"	"18.804"	"24.434"	"45.293"	"43.216"	"21.43"	"6.926"	"9.294"	"18.87"
"1924"	"21.852"	"23.865"	"30.391"	"25.481"	"19.744"	"22.722"	"45.221"	"42.259"	"20.598"	"6.185"	"10.203"	"20.228"
"1925"	"23.024"	"23.288"	"28.41"	"24.32"	"17.642"	"21.216"	"44.854"	"41.266"	"18.873"	"7.888"	"9.235"	"17.833"
"1926"	"22.11"	"24.733"	"29.216"	"26.662"	"18.596"	"22.491"	"45.644"	"41.606"	"20.798"	"6.771"	"11.176"	"20.248"
"1927"	"23.677"	"24.676"	"29.269"	"24.932"	"18.874"	"21.833"	"45.986"	"41.895"	"21.783"	"7.424"	"11.158"	"19.899"
"1928"	"23.282"	"24.676"	"30.782"	"25.416"	"19.744"	"22.552"	"46.182"	"43.145"	"21.912"	"7.985"	"11.176"	"20.49"
"1929"	"22.319"	"24.78"	"29.406"	"23.649"	"18.994"	"22.781"	"46.581"	"42.795"	"20.954"	"6.169"	"10.709"	"21.06"
"1930"	"22.401"	"24.807"	"28.231"	"25.927"	"18.916"	"23.548"	"46.479"	"42.925"	"22.502"	"8.661"	"9.331"	"19.719"
"1931"	"22.098"	"30.135"	"27.278"	"19.753"	"18.211"	"12.431"	"41.357"	"41.909"	"20.271"	"13.879"	"3.269"	"15.556"
"1932"	"21.383"	"20.801"	"29.355"	"18.483"	"17.143"	"20.127"	"42.827"	"42.51"	"13.015"	"0"	"0"	"17.478"
"1933"	"21.844"	"24.247"	"26.412"	"28.87"	"27.391"	"21.54"	"48.089"	"50.948"	"26.98"	"5.442"	"5.811"	"17.513"
"1934"	"21.974"	"16.392"	"30.025"	"17.869"	"17.587"	"19.84"	"46.526"	"42.703"	"14.777"	"0"	"7.64"	"22.294"
"1935"	"25.654"	"31.876"	"27.566"	"32.499"	"15.036"	"1.152"	"40.77"	"40.579"	"15.71"	"0.047"	"7.44"	"18.985"
"1936"	"16.636"	"25.588"	"30.028"	"18.44"	"15.369"	"29.271"	"44.223"	"39.057"	"19.193"	"3.216"	"4.352"	"27.053"
"1937"	"19.742"	"30.431"	"29.573"	"23.604"	"17.025"	"12.732"	"46.778"	"38.941"	"14.081"	"2.556"	"6.109"	"17.567"
"1938"	"25.779"	"25.883"	"25.918"	"17.027"	"17.47"	"31.21"	"36.09"	"37.55"	"13.375"	"0"	"4.323"	"11.527"
"1939"	"19.539"	"30.712"	"37.967"	"19.168"	"10.507"	"27.406"	"42.424"	"35.372"	"14.179"	"2.65"	"0"	"14.158"
"1940"	"23.891"	"28.178"	"31.835"	"21.448"	"18.819"	"22.535"	"43.376"	"41.623"	"14.37"	"1.13"	"3.918"	"16.335"
"1941"	"22.372"	"20.207"	"26.064"	"21.687"	"20.583"	"28.801"	"41.293"	"38.318"	"17.246"	"5.107"	"0.005"	"15.028"
"1942"	"26.379"	"28.935"	"24.307"	"19.839"	"20.522"	"12.446"	"48.485"	"43.641"	"22.147"	"4.7"	"4.4"	"18.326"
"1943"	"32.173"	"14.98"	"22.713"	"19.1"	"16.546"	"19.021"	"45.615"	"41.312"	"16.5"	"0"	"0"	"15.78"
"1944"	"24.082"	"28.474"	"30.537"	"24.542"	"12.043"	"12.852"	"48.463"	"47.644"	"16.928"	"0"	"2.971"	"16.886"
"1945"	"24.482"	"16.397"	"24.288"	"26.499"	"13.972"	"12.282"	"43.673"	"41.739"	"22.618"	"6.863"	"2.354"	"14.013"
"1946"	"18.355"	"16.929"	"23.983"	"15.04"	"18.381"	"25.241"	"42.758"	"43.778"	"13.65"	"12.056"	"1.185"	"16.086"
"1947"	"20.82"	"19.161"	"23.658"	"11.653"	"8.498"	"14.501"	"34.246"	"42.774"	"21.897"	"5.638"	"9.59"	"19.367"
"1948"	"24.115"	"28.828"	"34.596"	"24.185"	"11.363"	"19.979"	"41.818"	"45.729"	"17.787"	"9.14"	"3.784"	"23.833"
"1949"	"22.457"	"26.256"	"32.01"	"13.146"	"17.355"	"22.54"	"45.672"	"41.024"	"17.727"	"4.311"	"0.005"	"16.762"
"1950"	"27.923"	"23.49"	"32.381"	"19.827"	"18.169"	"25.963"	"49.296"	"42.316"	"23.378"	"7.424"	"2.162"	"14.119"
