
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.569"	"16.121"	"16.173"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1902"	"16.569"	"16.121"	"16.187"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1903"	"16.569"	"16.121"	"16.092"	"16.402"	"15.83"	"13.277"	"10.388"	"10.125"	"11.939"	"16.58"	"17.879"	"17.255"
"1904"	"16.569"	"16.121"	"16.131"	"16.402"	"15.823"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1905"	"16.569"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1906"	"16.586"	"16.121"	"16.131"	"16.405"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1907"	"16.826"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"10.022"	"11.939"	"16.075"	"17.879"	"17.251"
"1908"	"16.569"	"16.121"	"16.231"	"16.402"	"15.83"	"13.268"	"10.431"	"9.875"	"12.27"	"16.58"	"17.883"	"17.244"
"1909"	"16.569"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1910"	"16.569"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1911"	"16.569"	"16.121"	"16.131"	"16.405"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1912"	"16.525"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.963"	"16.926"
"1913"	"16.569"	"16.121"	"16.131"	"16.402"	"16.011"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1914"	"16.652"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.431"	"9.875"	"11.939"	"16.58"	"17.011"	"17.251"
"1915"	"16.569"	"16.121"	"16.131"	"16.174"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"18.08"	"17.251"
"1916"	"16.569"	"16.121"	"16.324"	"16.504"	"15.83"	"13.268"	"11.22"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1917"	"16.57"	"16.164"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.255"
"1918"	"16.569"	"16.121"	"16.131"	"16.402"	"15.83"	"13.307"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.248"
"1919"	"17.414"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.398"	"9.875"	"11.939"	"16.58"	"18.003"	"17.453"
"1920"	"16.402"	"15.979"	"16.231"	"16.104"	"15.83"	"13.268"	"10.388"	"10.076"	"11.729"	"16.58"	"17.879"	"17.251"
"1921"	"16.569"	"16.121"	"15.942"	"16.402"	"15.83"	"13.268"	"10.479"	"9.875"	"11.939"	"16.863"	"17.879"	"17.251"
"1922"	"16.569"	"16.121"	"16.131"	"16.402"	"15.83"	"13.376"	"10.52"	"9.875"	"11.939"	"17.111"	"17.963"	"17.255"
"1923"	"16.569"	"16.121"	"16.131"	"16.402"	"15.885"	"13.268"	"10.39"	"9.875"	"11.934"	"16.58"	"17.879"	"17.337"
"1924"	"17.033"	"16.121"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"17.182"	"17.883"	"17.251"
"1925"	"16.524"	"16.121"	"16.131"	"16.523"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.965"	"17.251"
"1926"	"16.569"	"16.121"	"16.131"	"16.309"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"17.103"	"18.083"	"17.123"
"1927"	"16.435"	"16.121"	"16.242"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1928"	"16.569"	"16.254"	"16.131"	"16.402"	"15.83"	"13.268"	"10.388"	"9.875"	"11.875"	"16.622"	"18.08"	"16.953"
"1929"	"16.586"	"15.968"	"16.131"	"16.447"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.58"	"18.08"	"17.248"
"1930"	"16.569"	"15.974"	"16.163"	"16.402"	"15.817"	"13.29"	"10.39"	"9.875"	"11.939"	"16.58"	"17.879"	"17.251"
"1931"	"16.569"	"15.696"	"16.189"	"16.523"	"15.718"	"13.095"	"10.388"	"9.875"	"12.172"	"16.58"	"17.879"	"17.251"
"1932"	"16.331"	"16.121"	"16.519"	"16.722"	"15.83"	"13.268"	"10.388"	"9.875"	"11.939"	"16.619"	"17.879"	"16.924"
"1933"	"17.58"	"15.92"	"16.022"	"16.402"	"15.83"	"13.268"	"10.388"	"9.957"	"11.939"	"16.582"	"17.67"	"16.76"
"1934"	"16.764"	"16.409"	"16.187"	"16.4"	"15.819"	"13.268"	"10.425"	"9.955"	"11.939"	"17.093"	"17.963"	"17.251"
"1935"	"16.567"	"16.123"	"16.131"	"16.445"	"15.902"	"12.938"	"10.447"	"10.27"	"12.14"	"16.557"	"17.876"	"17.251"
"1936"	"16.591"	"17.012"	"16.341"	"16.659"	"16.117"	"13.325"	"10.42"	"9.875"	"11.939"	"17.212"	"18.14"	"17.251"
"1937"	"16.591"	"16.279"	"16.131"	"16.402"	"15.812"	"13.268"	"10.388"	"10.408"	"11.939"	"16.348"	"18.112"	"18.02"
