
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"9.5795"	"4.7225"	"0"	"0.1051"	"0.0218"	"0"	"0"	"0"	"0"	"0"	"0.011"	"2.6528"
"1902"	"2.25"	"0.5296"	"0"	"0"	"0"	"0.0124"	"0"	"0"	"0"	"0"	"0.005"	"5.4475"
"1903"	"6.3468"	"2.139"	"0.5874"	"0.1852"	"0.0237"	"0"	"0"	"0"	"0"	"0"	"0.5573"	"7.4365"
"1904"	"10.2025"	"0.4547"	"0.3013"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.2293"
"1905"	"11.0484"	"6.7943"	"0.795"	"0.1731"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.199"
"1906"	"10.486"	"5.2901"	"0.6518"	"0.1221"	"0"	"0.0025"	"0"	"0"	"0"	"0"	"0"	"1.0468"
"1907"	"0.375"	"4.5625"	"0.6291"	"0.1671"	"0.1022"	"0.0068"	"0"	"0"	"0.0031"	"0.0043"	"0.008"	"6.2781"
"1908"	"5.551"	"0.4459"	"0.3205"	"0"	"0.0081"	"0"	"0"	"0.0068"	"0.029"	"0.161"	"0.3982"	"6.1666"
"1909"	"9.1465"	"3.585"	"0.1326"	"0.1506"	"0.0338"	"0"	"0"	"0"	"0.0473"	"0.0031"	"0"	"7.3244"
"1910"	"7.629"	"0.9729"	"0.2188"	"0.1605"	"0"	"0"	"0"	"0"	"0"	"0.0549"	"0.5341"	"7.0383"
"1911"	"5.4825"	"0.2642"	"0.6547"	"0.0995"	"0"	"0"	"0"	"0"	"0"	"0"	"1.0042"	"5.9295"
"1912"	"4.8523"	"2.4284"	"0.3427"	"0.0403"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0.6897"	"5.5333"
"1913"	"2.5524"	"2.4658"	"0.6887"	"0"	"0.0373"	"0.0062"	"0"	"0"	"0"	"0"	"0.2553"	"5.5496"
"1914"	"2.2226"	"4.4055"	"0.4977"	"0.0903"	"0"	"0.0031"	"0"	"0"	"0"	"0.1842"	"0"	"7.6605"
"1915"	"6.6695"	"4.1874"	"0"	"0.05"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1353"	"4.2956"
"1916"	"2.9128"	"3.9461"	"0"	"0"	"0.0662"	"0"	"0"	"0"	"0.0118"	"0.198"	"0.9055"	"6.1951"
"1917"	"4.8728"	"0"	"0.2023"	"0.2196"	"0.1362"	"0.0093"	"0"	"0.0002"	"0.0661"	"0.3183"	"0.8383"	"4.432"
"1918"	"8.1069"	"1.3597"	"0.3568"	"0.2315"	"0"	"0.0081"	"0"	"0"	"0.0006"	"0"	"0.2421"	"7.3076"
"1919"	"7.801"	"2.959"	"0.0426"	"0.1304"	"0.022"	"0"	"0"	"0"	"0.0115"	"0.0227"	"0.6246"	"7.4525"
"1920"	"6.0514"	"2.9363"	"0.1488"	"0.1426"	"0.1484"	"0.0075"	"0"	"0"	"0"	"0"	"0"	"5.5916"
