
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.883"	"22.849"	"31.173"	"36.283"	"41.466"	"43.586"	"39.846"	"37.902"	"37.918"	"37.451"	"29.89"	"24.675"
"1902"	"23.428"	"25.406"	"32.492"	"37.768"	"42.165"	"41.185"	"39.64"	"38.885"	"37.291"	"35.549"	"29.767"	"23.313"
"1903"	"21.564"	"23.978"	"28.373"	"34.804"	"40.791"	"44.02"	"39.27"	"37.832"	"38.301"	"36.262"	"28.486"	"22.788"
"1904"	"20.781"	"24.95"	"29.315"	"37.808"	"42.162"	"42.427"	"39.3"	"38.111"	"37.863"	"36.014"	"29.608"	"23.959"
"1905"	"19.808"	"19.846"	"26.748"	"35.105"	"43.679"	"42.527"	"39.766"	"39.063"	"38.023"	"36.016"	"30.757"	"23.593"
"1906"	"20.305"	"21.958"	"27.856"	"35.816"	"43.18"	"41.837"	"40.226"	"38.382"	"36.929"	"36.189"	"30.954"	"25.118"
"1907"	"24.628"	"22.8"	"27.883"	"35.256"	"39.94"	"41.707"	"40.361"	"36.483"	"37.095"	"35.199"	"29.842"	"22.978"
"1908"	"22.496"	"25.286"	"29.819"	"37.412"	"41.105"	"42.417"	"37.427"	"35.453"	"35.783"	"34.468"	"28.602"	"22.802"
"1909"	"20.753"	"23.342"	"29.944"	"35.428"	"40.647"	"42.368"	"37.15"	"36.793"	"35.294"	"35.185"	"30.775"	"22.454"
"1910"	"21.545"	"24.854"	"29.766"	"34.979"	"41.86"	"42.35"	"37.315"	"36.193"	"37.174"	"34.921"	"28.571"	"22.912"
"1911"	"22.431"	"25.461"	"27.943"	"36.026"	"42.285"	"42.375"	"40.311"	"38.688"	"37.871"	"36.247"	"26.616"	"23.125"
"1912"	"22.717"	"23.208"	"29.397"	"36.493"	"41.905"	"43.518"	"39.114"	"36.945"	"36.831"	"35.651"	"27.933"	"23.447"
"1913"	"23.026"	"23.902"	"27.709"	"37.525"	"40.688"	"41.178"	"37.671"	"37.184"	"37.482"	"35.919"	"28.798"	"23.11"
"1914"	"23.732"	"22.865"	"28.662"	"36.082"	"42.35"	"41.764"	"37.381"	"37.184"	"37.158"	"34.164"	"29.084"	"22.262"
"1915"	"21.565"	"22.966"	"30.775"	"36.495"	"43.531"	"43.164"	"40.395"	"38.654"	"38.804"	"36.482"	"29.273"	"23.724"
"1916"	"23.409"	"23.247"	"32.99"	"37.4"	"39.883"	"41.848"	"39.168"	"36.861"	"36.708"	"33.986"	"26.814"	"22.862"
"1917"	"22.414"	"25.829"	"30.029"	"33.793"	"37.946"	"41.451"	"38.03"	"35.489"	"35.027"	"33.549"	"27.578"	"24.156"
"1918"	"21.261"	"24.893"	"29.117"	"33.726"	"42.923"	"41.633"	"39.852"	"38.24"	"37.22"	"35.466"	"28.968"	"22.626"
"1919"	"21.869"	"23.809"	"30.213"	"35.55"	"40.668"	"43.976"	"39.26"	"36.683"	"36.457"	"35.163"	"28.026"	"22.607"
"1920"	"21.601"	"23.683"	"29.881"	"35.13"	"37.73"	"40.325"	"39.18"	"37.009"	"38.517"	"36.794"	"30.338"	"23.441"
"1921"	"22.476"	"25.232"	"33.399"	"39.878"	"42.818"	"42.939"	"39.503"	"36.598"	"37.137"	"34.979"	"29.592"	"25.082"
"1922"	"21.352"	"25.096"	"30.933"	"37.419"	"40.718"	"41.615"	"39.885"	"37.587"	"36.479"	"34.81"	"28.95"	"23.757"
"1923"	"21.677"	"23.445"	"30.807"	"37.15"	"39.854"	"42.751"	"38.398"	"35.859"	"36.915"	"34.682"	"28.254"	"22.863"
"1924"	"21.235"	"24.456"	"31.651"	"36.952"	"37.794"	"42.967"	"40.225"	"37.317"	"35.609"	"35.61"	"28.502"	"23.846"
"1925"	"20.679"	"22.249"	"31.827"	"39.948"	"41.047"	"40.588"	"37.526"	"37.519"	"38.284"	"36.262"	"27.759"	"23.229"
"1926"	"22.423"	"26.829"	"28.91"	"34.039"	"38.505"	"42.664"	"39.42"	"36.298"	"35.898"	"35.053"	"26.736"	"22.768"
"1927"	"20.207"	"22.204"	"29.274"	"35.741"	"39.965"	"41.218"	"37.836"	"36.529"	"36.352"	"35.699"	"29.456"	"24.126"
"1928"	"21.234"	"25.492"	"30.224"	"36.443"	"42.293"	"41.807"	"38.656"	"36.979"	"35.842"	"35.528"	"30.105"	"22.468"
"1929"	"21.329"	"23.009"	"32.472"	"37.3"	"41.231"	"41.996"	"37.002"	"35.992"	"37.181"	"34.765"	"29.769"	"21.366"
"1930"	"20.703"	"24.64"	"30.517"	"35.015"	"40.173"	"40.441"	"36.482"	"36.324"	"37.248"	"35.213"	"27.892"	"22.643"
"1931"	"22.364"	"20.638"	"29.402"	"38.085"	"40.693"	"41.099"	"37.575"	"37.847"	"36.699"	"34.841"	"29.339"	"24.123"
"1932"	"23.817"	"24.658"	"31.206"	"38.058"	"40.354"	"43.232"	"38.532"	"36.402"	"37.776"	"35.062"	"28.92"	"22.928"
