
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.61"	"5.17"	"6.62"	"8.19"	"9.14"	"8.96"	"7.7"	"7.06"	"7.21"	"7.34"	"6.08"	"4.87"
"1902"	"4.72"	"5.37"	"6.7"	"8.24"	"9.28"	"8.96"	"7.58"	"7.09"	"7.26"	"7.25"	"6.05"	"4.82"
"1903"	"4.61"	"5.32"	"6.45"	"8.01"	"9.02"	"8.98"	"7.7"	"7.08"	"7.23"	"7.36"	"6"	"4.78"
"1904"	"4.54"	"5.36"	"6.47"	"8.17"	"9.22"	"8.97"	"7.63"	"7.05"	"7.24"	"7.29"	"6.04"	"4.9"
"1905"	"4.59"	"4.99"	"6.25"	"7.9"	"9.2"	"9.02"	"7.59"	"7.07"	"7.27"	"7.28"	"6.12"	"4.89"
"1906"	"4.58"	"5.16"	"6.38"	"8"	"9.23"	"8.95"	"7.62"	"7.1"	"7.22"	"7.25"	"6.09"	"4.9"
"1907"	"4.89"	"5.31"	"6.41"	"8.04"	"9.08"	"8.86"	"7.68"	"7.07"	"7.18"	"7.12"	"6.05"	"4.78"
"1908"	"4.63"	"5.4"	"6.55"	"8.19"	"9.2"	"9.02"	"7.65"	"6.95"	"7.22"	"7.2"	"5.98"	"4.78"
"1909"	"4.58"	"5.22"	"6.55"	"8.12"	"9.13"	"9.02"	"7.58"	"7.01"	"7.17"	"7.17"	"6.14"	"4.79"
"1910"	"4.57"	"5.36"	"6.59"	"8.03"	"9.15"	"9.02"	"7.6"	"6.93"	"7.18"	"7.26"	"5.98"	"4.76"
"1911"	"4.63"	"5.45"	"6.44"	"8.02"	"9.18"	"8.96"	"7.64"	"7.09"	"7.24"	"7.4"	"5.9"	"4.74"
"1912"	"4.71"	"5.28"	"6.51"	"8.12"	"9.18"	"9.02"	"7.72"	"7.04"	"7.21"	"7.32"	"5.98"	"4.75"
"1913"	"4.7"	"5.36"	"6.37"	"8.17"	"9.28"	"8.95"	"7.57"	"6.97"	"7.22"	"7.29"	"6.01"	"4.75"
"1914"	"4.8"	"5.27"	"6.45"	"8.07"	"9.23"	"9.03"	"7.6"	"6.96"	"7.27"	"7.22"	"5.91"	"4.75"
"1915"	"4.61"	"5.19"	"6.59"	"8.03"	"9.24"	"9.03"	"7.67"	"7.08"	"7.29"	"7.37"	"6.08"	"4.79"
"1916"	"4.77"	"5.21"	"6.71"	"8.34"	"9.14"	"8.93"	"7.92"	"7.02"	"7.24"	"7.26"	"5.85"	"4.72"
"1917"	"4.62"	"5.44"	"6.69"	"8.1"	"8.97"	"8.89"	"7.65"	"7"	"7.17"	"7.17"	"5.86"	"4.84"
"1918"	"4.58"	"5.36"	"6.56"	"7.9"	"9.2"	"8.99"	"7.62"	"7.09"	"7.27"	"7.28"	"6.04"	"4.76"
"1919"	"4.67"	"5.27"	"6.59"	"8.12"	"9.07"	"8.97"	"7.73"	"7.04"	"7.22"	"7.28"	"6"	"4.74"
"1920"	"4.58"	"5.26"	"6.59"	"8.09"	"9.01"	"8.81"	"7.58"	"7.05"	"7.14"	"7.36"	"6.1"	"4.81"
"1921"	"4.63"	"5.31"	"6.66"	"8.36"	"9.3"	"9.02"	"7.74"	"7.03"	"7.23"	"7.32"	"6"	"4.94"
"1922"	"4.59"	"5.34"	"6.61"	"8.24"	"9.19"	"8.93"	"7.67"	"7.09"	"7.23"	"7.31"	"6"	"4.83"
"1923"	"4.62"	"5.22"	"6.55"	"8.24"	"9.14"	"8.92"	"7.69"	"6.94"	"7.17"	"7.25"	"6"	"4.8"
"1924"	"4.61"	"5.28"	"6.65"	"8.3"	"9"	"8.83"	"7.7"	"7.1"	"7.17"	"7.36"	"5.99"	"4.85"
"1925"	"4.58"	"5.13"	"6.55"	"8.41"	"9.37"	"8.96"	"7.54"	"6.96"	"7.26"	"7.37"	"6"	"4.79"
"1926"	"4.62"	"5.51"	"6.61"	"7.99"	"8.97"	"8.87"	"7.7"	"7.05"	"7.18"	"7.36"	"5.87"	"4.74"
"1927"	"4.52"	"5.14"	"6.51"	"8.12"	"9.14"	"8.92"	"7.56"	"7"	"7.14"	"7.25"	"6.04"	"4.87"
"1928"	"4.58"	"5.38"	"6.59"	"8.13"	"9.22"	"8.97"	"7.6"	"7.03"	"7.14"	"7.23"	"6.11"	"4.77"
"1929"	"4.6"	"5.14"	"6.67"	"8.3"	"9.23"	"9"	"7.57"	"6.9"	"7.21"	"7.25"	"6.1"	"4.66"
"1930"	"4.49"	"5.29"	"6.67"	"8.08"	"9.14"	"8.92"	"7.51"	"6.9"	"7.18"	"7.28"	"5.98"	"4.73"
"1931"	"4.75"	"4.92"	"6.44"	"8.35"	"9.22"	"9.07"	"7.59"	"7.02"	"7.28"	"7.1"	"6.14"	"4.89"
"1932"	"4.78"	"5.43"	"6.67"	"8.46"	"9.17"	"9.01"	"7.72"	"6.94"	"7.37"	"7.42"	"6.22"	"4.82"
"1933"	"4.58"	"5.32"	"6.67"	"8.02"	"8.95"	"8.93"	"7.65"	"6.82"	"6.99"	"7.24"	"6.08"	"4.95"
"1934"	"4.47"	"5.61"	"6.57"	"8.33"	"9.15"	"8.94"	"7.61"	"7"	"7.37"	"7.46"	"6.05"	"4.91"
"1935"	"4.47"	"5.14"	"6.72"	"7.88"	"9.18"	"9.2"	"7.72"	"7.15"	"7.37"	"7.32"	"6.1"	"4.88"
"1936"	"4.62"	"5.47"	"6.55"	"8.21"	"9.45"	"8.93"	"7.61"	"7.04"	"7.23"	"7.45"	"6.13"	"4.65"
"1937"	"4.62"	"5.24"	"6.49"	"8.06"	"9.18"	"9.18"	"7.56"	"7.25"	"7.39"	"7.25"	"6.11"	"4.82"
"1938"	"4.49"	"5.15"	"6.63"	"8.32"	"9.38"	"8.81"	"7.66"	"7.14"	"7.39"	"7.48"	"6.08"	"4.91"
"1939"	"4.71"	"5.31"	"6.28"	"8.05"	"9.44"	"8.92"	"7.62"	"7.13"	"7.39"	"7.4"	"6.23"	"5"
"1940"	"4.72"	"5.34"	"6.52"	"8.14"	"9.22"	"8.94"	"7.67"	"7.05"	"7.26"	"7.34"	"6.26"	"4.99"
"1941"	"4.62"	"5.47"	"6.85"	"8.52"	"9.42"	"8.89"	"7.61"	"7.12"	"7.25"	"7.37"	"6.29"	"4.99"
"1942"	"4.59"	"5.22"	"6.78"	"8.44"	"9.25"	"9.15"	"7.7"	"7"	"7.11"	"7.24"	"6.26"	"4.87"
"1943"	"4.38"	"5.47"	"6.79"	"8.28"	"9.17"	"9.02"	"7.84"	"6.94"	"7.28"	"7.39"	"6.23"	"5.05"
"1944"	"4.61"	"5.16"	"6.47"	"8.18"	"9.35"	"9.14"	"7.76"	"6.88"	"7.25"	"7.25"	"6.17"	"4.85"
"1945"	"4.42"	"5.38"	"6.75"	"8.1"	"9.24"	"9.13"	"7.61"	"6.95"	"7.22"	"7.31"	"6.23"	"4.88"
"1946"	"4.67"	"5.63"	"6.62"	"8.51"	"9.38"	"9.07"	"7.8"	"7.1"	"7.39"	"7.26"	"6.26"	"4.78"
"1947"	"4.59"	"5.39"	"6.85"	"8.51"	"9.44"	"9.22"	"7.88"	"7.18"	"7.22"	"7.25"	"6.16"	"4.89"
"1948"	"4.77"	"5.32"	"6.42"	"8.15"	"9.42"	"9.03"	"7.7"	"6.88"	"7.25"	"7.33"	"6.1"	"4.65"
"1949"	"4.77"	"5.27"	"6.48"	"8.4"	"9.44"	"8.98"	"7.57"	"6.93"	"7.42"	"7.36"	"6.1"	"4.88"
"1950"	"4.66"	"5.2"	"6.39"	"8.15"	"9.16"	"9.05"	"7.63"	"6.99"	"7.12"	"7.26"	"6.13"	"4.74"
"1951"	"4.55"	"5.32"	"6.51"	"8"	"9.07"	"9.02"	"7.79"	"7.08"	"7.29"	"7.4"	"6.18"	"4.96"
"1952"	"4.63"	"5.43"	"6.48"	"8.35"	"9.45"	"9.09"	"7.57"	"6.93"	"7.3"	"7.67"	"6.25"	"4.88"
"1953"	"4.54"	"5.44"	"6.94"	"8.33"	"9.22"	"8.98"	"7.56"	"6.88"	"7.15"	"7.3"	"5.98"	"5.02"
"1954"	"4.58"	"5.11"	"6.54"	"8.23"	"9.36"	"8.97"	"7.49"	"6.99"	"7.32"	"7.29"	"5.96"	"4.91"
"1955"	"4.46"	"5.6"	"6.67"	"8.41"	"8.89"	"8.85"	"7.64"	"6.93"	"7.11"	"7.08"	"6.09"	"4.8"
"1956"	"4.56"	"5.61"	"6.43"	"8.2"	"9.42"	"8.97"	"7.55"	"6.84"	"7.18"	"6.88"	"6.11"	"4.82"
"1957"	"4.45"	"5.3"	"6.53"	"8"	"8.91"	"8.88"	"7.71"	"6.77"	"7.33"	"7.25"	"5.96"	"4.65"
"1958"	"4.73"	"5.46"	"6.65"	"8.4"	"9.27"	"9.11"	"7.55"	"7.1"	"7.01"	"7.12"	"5.98"	"4.79"
"1959"	"4.57"	"5.14"	"6.72"	"8.3"	"9.14"	"9.02"	"7.56"	"6.93"	"7"	"7.18"	"5.9"	"4.85"
"1960"	"4.58"	"5.71"	"6.55"	"8"	"9.23"	"9.04"	"7.57"	"7.11"	"7.33"	"7.4"	"6.13"	"4.82"
"1961"	"4.66"	"5.04"	"6.67"	"8.14"	"9.04"	"8.95"	"7.44"	"6.89"	"6.92"	"7.16"	"5.81"	"4.73"
"1962"	"4.6"	"5.26"	"6.65"	"8.09"	"9.24"	"9.04"	"7.55"	"7.03"	"6.94"	"7.2"	"5.83"	"4.66"
"1963"	"4.79"	"5.6"	"6.58"	"7.93"	"8.91"	"8.92"	"7.86"	"7.11"	"7.09"	"7.27"	"5.86"	"5"
"1964"	"4.41"	"5.19"	"6.68"	"8.25"	"9.18"	"8.85"	"7.35"	"7.05"	"7.02"	"7.32"	"6.13"	"4.62"
"1965"	"4.62"	"5.34"	"6.64"	"7.76"	"8.97"	"8.94"	"7.56"	"7.06"	"7.26"	"7.17"	"6.2"	"4.87"
"1966"	"4.87"	"5.48"	"6.67"	"8"	"9.26"	"9.02"	"7.79"	"7.2"	"7.17"	"7.21"	"6.04"	"4.96"
"1967"	"4.66"	"5.6"	"6.51"	"8.03"	"9.27"	"9.09"	"7.63"	"6.86"	"7.35"	"7.08"	"5.94"	"4.61"
"1968"	"4.47"	"4.99"	"6.66"	"8.33"	"9.03"	"8.88"	"7.71"	"7.14"	"7.82"	"7.29"	"6.14"	"4.79"
"1969"	"4.66"	"5.27"	"6.94"	"8.23"	"9.08"	"8.94"	"7.59"	"7.2"	"7.23"	"7.24"	"6.04"	"5.07"
"1970"	"4.69"	"5.39"	"6.42"	"8.31"	"9.58"	"9.13"	"7.83"	"7.05"	"7.13"	"7.52"	"6.26"	"4.98"
"1971"	"4.65"	"5.48"	"6.69"	"8.37"	"9.31"	"8.77"	"7.37"	"7.02"	"7.51"	"7.35"	"6.11"	"5.19"
"1972"	"4.77"	"5.07"	"6.53"	"8.16"	"9.09"	"9.02"	"7.86"	"6.89"	"7.27"	"7.1"	"6.01"	"4.7"
"1973"	"4.43"	"5.45"	"6.49"	"8.49"	"9.39"	"8.97"	"7.72"	"6.9"	"7.13"	"7.28"	"6.23"	"4.64"
"1974"	"4.58"	"5.07"	"6.68"	"8.47"	"9.41"	"8.99"	"7.57"	"7.22"	"7.52"	"7.41"	"6.22"	"4.69"
"1975"	"4.5"	"5.2"	"6.54"	"8.07"	"9.31"	"8.96"	"7.7"	"6.96"	"6.81"	"7.31"	"6.1"	"4.95"
"1976"	"4.65"	"5.18"	"6.36"	"8.04"	"9.28"	"8.88"	"7.66"	"6.87"	"7.03"	"7.22"	"6.09"	"4.89"
"1977"	"4.5"	"5.58"	"7.3"	"8.11"	"9.12"	"8.82"	"7.26"	"6.98"	"6.94"	"7.14"	"6"	"5.05"
"1978"	"4.72"	"5.23"	"6.27"	"8.21"	"9.65"	"9.29"	"7.29"	"6.81"	"7.03"	"7.3"	"5.73"	"4.95"
"1979"	"4.61"	"5.3"	"6.32"	"8.23"	"8.93"	"8.93"	"7.67"	"6.93"	"7.23"	"7.18"	"5.84"	"4.9"
"1980"	"4.59"	"5.42"	"6.33"	"8.26"	"9.25"	"8.9"	"7.62"	"6.96"	"7.13"	"7.29"	"6.09"	"4.86"
"1981"	"4.6"	"5.45"	"6.55"	"8.35"	"9.22"	"9.05"	"7.68"	"7.01"	"7.27"	"7.36"	"5.85"	"4.88"
"1982"	"4.63"	"5.18"	"6.27"	"8.08"	"9.01"	"8.85"	"7.73"	"6.9"	"7.23"	"7.22"	"5.76"	"4.81"
"1983"	"4.58"	"5.32"	"6.53"	"7.9"	"8.91"	"8.76"	"7.74"	"7.04"	"7.18"	"7.15"	"6.06"	"4.85"
"1984"	"4.62"	"5"	"6.65"	"8.16"	"9.28"	"9.03"	"7.6"	"7.02"	"7.14"	"7.15"	"5.89"	"4.59"
"1985"	"4.55"	"5.67"	"6.63"	"8.31"	"9.23"	"8.94"	"7.67"	"6.83"	"7.23"	"7.05"	"6.02"	"4.88"
"1986"	"4.7"	"5.32"	"6.53"	"8.13"	"9.16"	"8.98"	"7.57"	"6.88"	"7.06"	"7.26"	"6.08"	"4.66"
"1987"	"4.82"	"5.49"	"6.51"	"8.23"	"8.99"	"8.85"	"7.27"	"7.07"	"7.16"	"7.04"	"6.25"	"4.84"
"1988"	"4.63"	"5.49"	"6.43"	"8.35"	"9.36"	"9.01"	"7.53"	"6.83"	"7.03"	"7.25"	"6.11"	"4.88"
"1989"	"4.6"	"5.14"	"6.66"	"8.31"	"9.05"	"8.82"	"7.6"	"6.96"	"7.18"	"7.23"	"6.04"	"4.74"
"1990"	"4.71"	"5.34"	"6.48"	"8.07"	"9.16"	"8.95"	"7.66"	"7.06"	"7.29"	"7.13"	"6.13"	"4.81"
"1991"	"4.67"	"5.34"	"6.59"	"8.12"	"9.17"	"8.91"	"7.68"	"7.05"	"7.22"	"7.2"	"5.96"	"4.87"
"1992"	"4.73"	"5.34"	"6.53"	"8.15"	"9.14"	"9.03"	"7.65"	"6.98"	"7.12"	"7.19"	"5.96"	"4.92"
"1993"	"4.67"	"5.53"	"6.52"	"8.11"	"9.23"	"9.02"	"7.61"	"7"	"7.19"	"7.2"	"6.09"	"4.92"
"1994"	"4.78"	"5.33"	"6.72"	"8.12"	"9.19"	"9.08"	"7.64"	"6.99"	"7.15"	"7.09"	"6.03"	"4.92"
"1995"	"4.64"	"5.41"	"6.47"	"8.05"	"9.14"	"8.96"	"7.71"	"6.95"	"7.09"	"7.16"	"6.08"	"4.79"
"1996"	"4.74"	"5.38"	"6.74"	"8.29"	"9.32"	"8.83"	"7.74"	"6.96"	"7.13"	"7.28"	"6.12"	"5.17"
"1997"	"4.66"	"5.48"	"6.54"	"8.01"	"9.19"	"8.8"	"7.59"	"7.04"	"7.3"	"6.96"	"5.88"	"4.46"
"1998"	"4.67"	"5.38"	"6.53"	"8.18"	"9.41"	"9.11"	"7.69"	"7.2"	"7.15"	"7.16"	"6.11"	"4.77"
"1999"	"4.53"	"5.33"	"6.68"	"8.28"	"9.26"	"9.04"	"7.66"	"7.13"	"7.14"	"7.27"	"6.2"	"5.16"
"2000"	"4.58"	"5.31"	"6.7"	"8.28"	"9.39"	"9.03"	"7.6"	"7.2"	"7.25"	"7.26"	"5.86"	"5.06"
"2001"	"4.5"	"5.48"	"6.75"	"8.13"	"9.35"	"8.92"	"7.52"	"7.11"	"7.16"	"7.16"	"6.09"	"4.9"
"2002"	"4.65"	"5.34"	"6.63"	"8.04"	"9.19"	"9.05"	"7.77"	"7.05"	"7.31"	"7.2"	"6.09"	"4.82"
