
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.913"	"0.905"	"3.45"	"0.909"	"17.427"	"6.418"	"62.454"	"52.113"	"2.55"	"0.064"	"0"	"0.032"
"1902"	"0"	"0.005"	"1.258"	"1.16"	"4.23"	"31.579"	"23.931"	"33.247"	"25.341"	"1.666"	"0"	"0.026"
"1903"	"3.079"	"0.024"	"1.697"	"0.323"	"4.737"	"7.035"	"85.996"	"52.907"	"36.785"	"0.122"	"0"	"5.466"
"1904"	"6.584"	"0.101"	"37.956"	"3.42"	"1.691"	"18.691"	"11.378"	"31"	"38.479"	"1.146"	"5.712"	"6.6"
"1905"	"13.361"	"6.476"	"3.286"	"4.368"	"1.394"	"5.272"	"14.489"	"0.612"	"45.504"	"0.355"	"0"	"4.169"
"1906"	"0"	"78.49"	"20.274"	"0.747"	"0.9"	"14.505"	"26.511"	"73.737"	"47.532"	"0.081"	"0"	"14.611"
"1907"	"1.041"	"12.483"	"5.225"	"20.773"	"4.936"	"19.365"	"96.012"	"77.904"	"0.265"	"0.174"	"0"	"0"
"1908"	"8.257"	"0.592"	"0.092"	"30.223"	"2.757"	"13.595"	"128.783"	"157.705"	"35.873"	"0.018"	"0"	"0.809"
"1909"	"1.379"	"8.332"	"0.092"	"47.758"	"0.953"	"44.904"	"144.411"	"119.614"	"75.047"	"0"	"0"	"17.879"
"1910"	"3.477"	"0.299"	"0.234"	"12.009"	"1.067"	"33.614"	"48.61"	"166.676"	"9.328"	"1.304"	"0"	"0.391"
"1911"	"6.249"	"0.434"	"63.934"	"7.598"	"2.399"	"20.449"	"9.332"	"24.877"	"4.854"	"3.043"	"3.399"	"0.102"
"1912"	"4.491"	"0.665"	"1.4"	"13.889"	"2.537"	"18.439"	"28.536"	"61.078"	"1.647"	"1.972"	"0.583"	"0.4"
"1913"	"0"	"9.681"	"5.721"	"6.434"	"19.768"	"35.122"	"36.264"	"23.154"	"14.465"	"0.08"	"4.334"	"5.296"
"1914"	"10.451"	"5.235"	"2.66"	"13.621"	"5.092"	"48.726"	"123.309"	"30.289"	"44.221"	"2.666"	"2.398"	"1.81"
"1915"	"6.235"	"39.731"	"12.213"	"3.131"	"0.301"	"10.021"	"25.83"	"16.472"	"8.334"	"11.688"	"0"	"0.344"
"1916"	"0.78"	"2.236"	"2.204"	"29.058"	"29.032"	"38.986"	"133.867"	"111.934"	"39.212"	"11.116"	"0"	"0"
"1917"	"4.348"	"0.097"	"1.783"	"62.616"	"53.371"	"13.891"	"32.112"	"126.747"	"127.179"	"6.146"	"0"	"5.099"
"1918"	"0.726"	"0.229"	"8.453"	"8.366"	"0.089"	"11.832"	"2.157"	"31.094"	"6.339"	"0"	"0.3"	"7.842"
"1919"	"15.667"	"6.862"	"1.117"	"33.68"	"9.609"	"0.467"	"36.819"	"150.535"	"102.364"	"0"	"2.27"	"4.814"
"1920"	"1.692"	"2.428"	"1.879"	"46.192"	"12.118"	"71.876"	"89.436"	"24.991"	"0.809"	"0"	"0"	"0"
