
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.43"	"3.14"	"4.9"	"6.52"	"7.87"	"7.93"	"6.62"	"5.86"	"5.51"	"5.02"	"3.46"	"2.61"
"1902"	"2.64"	"3.4"	"5.05"	"6.71"	"7.95"	"7.6"	"6.59"	"5.96"	"5.47"	"4.84"	"3.45"	"2.48"
"1903"	"2.47"	"3.25"	"4.57"	"6.29"	"7.76"	"7.99"	"6.55"	"5.91"	"5.58"	"4.91"	"3.32"	"2.44"
"1904"	"2.42"	"3.34"	"4.66"	"6.72"	"7.95"	"7.76"	"6.56"	"5.89"	"5.52"	"4.88"	"3.45"	"2.54"
"1905"	"2.33"	"2.85"	"4.37"	"6.35"	"8.18"	"7.79"	"6.62"	"5.98"	"5.56"	"4.89"	"3.55"	"2.5"
"1906"	"2.39"	"3.07"	"4.49"	"6.45"	"8.11"	"7.68"	"6.67"	"5.92"	"5.44"	"4.91"	"3.56"	"2.63"
"1907"	"2.75"	"3.15"	"4.49"	"6.37"	"7.63"	"7.68"	"6.69"	"5.73"	"5.44"	"4.76"	"3.46"	"2.47"
"1908"	"2.56"	"3.38"	"4.75"	"6.66"	"7.82"	"7.78"	"6.35"	"5.57"	"5.35"	"4.72"	"3.34"	"2.44"
"1909"	"2.42"	"3.19"	"4.77"	"6.4"	"7.74"	"7.76"	"6.29"	"5.73"	"5.25"	"4.8"	"3.54"	"2.43"
"1910"	"2.47"	"3.33"	"4.74"	"6.34"	"7.92"	"7.76"	"6.33"	"5.67"	"5.47"	"4.76"	"3.33"	"2.46"
"1911"	"2.56"	"3.39"	"4.51"	"6.48"	"7.99"	"7.76"	"6.7"	"5.95"	"5.53"	"4.9"	"3.18"	"2.48"
"1912"	"2.58"	"3.16"	"4.66"	"6.55"	"7.92"	"7.94"	"6.55"	"5.73"	"5.43"	"4.85"	"3.3"	"2.48"
"1913"	"2.6"	"3.25"	"4.47"	"6.69"	"7.78"	"7.59"	"6.37"	"5.77"	"5.49"	"4.87"	"3.37"	"2.48"
"1914"	"2.66"	"3.15"	"4.6"	"6.49"	"7.99"	"7.68"	"6.33"	"5.77"	"5.45"	"4.67"	"3.33"	"2.4"
"1915"	"2.47"	"3.17"	"4.85"	"6.5"	"8.17"	"7.87"	"6.71"	"5.93"	"5.64"	"4.94"	"3.43"	"2.51"
"1916"	"2.64"	"3.2"	"5.14"	"6.67"	"7.61"	"7.67"	"6.74"	"5.73"	"5.4"	"4.66"	"3.2"	"2.44"
"1917"	"2.55"	"3.44"	"4.78"	"6.19"	"7.33"	"7.61"	"6.42"	"5.58"	"5.21"	"4.62"	"3.26"	"2.55"
"1918"	"2.45"	"3.34"	"4.64"	"6.16"	"8.09"	"7.66"	"6.63"	"5.9"	"5.48"	"4.84"	"3.39"	"2.44"
"1919"	"2.54"	"3.23"	"4.79"	"6.4"	"7.74"	"8"	"6.54"	"5.71"	"5.36"	"4.8"	"3.3"	"2.44"
"1920"	"2.47"	"3.22"	"4.75"	"6.32"	"7.29"	"7.46"	"6.55"	"5.8"	"5.55"	"4.99"	"3.52"	"2.49"
"1921"	"2.55"	"3.35"	"5.16"	"7.03"	"8.04"	"7.83"	"6.61"	"5.7"	"5.47"	"4.81"	"3.45"	"2.63"
"1922"	"2.47"	"3.35"	"4.87"	"6.67"	"7.75"	"7.66"	"6.67"	"5.82"	"5.37"	"4.81"	"3.4"	"2.53"
"1923"	"2.49"	"3.2"	"4.85"	"6.63"	"7.62"	"7.82"	"6.44"	"5.62"	"5.42"	"4.75"	"3.31"	"2.46"
"1924"	"2.47"	"3.3"	"4.95"	"6.61"	"7.31"	"7.83"	"6.67"	"5.79"	"5.29"	"4.89"	"3.33"	"2.52"
"1925"	"2.42"	"3.09"	"4.97"	"7.05"	"7.8"	"7.5"	"6.35"	"5.79"	"5.57"	"4.91"	"3.29"	"2.48"
"1926"	"2.55"	"3.52"	"4.61"	"6.19"	"7.4"	"7.81"	"6.57"	"5.68"	"5.3"	"4.83"	"3.2"	"2.44"
"1927"	"2.35"	"3.08"	"4.66"	"6.43"	"7.64"	"7.61"	"6.38"	"5.7"	"5.35"	"4.84"	"3.43"	"2.56"
"1928"	"2.45"	"3.41"	"4.78"	"6.54"	"7.99"	"7.68"	"6.48"	"5.77"	"5.3"	"4.84"	"3.49"	"2.41"
"1929"	"2.46"	"3.15"	"5.04"	"6.67"	"7.82"	"7.7"	"6.28"	"5.63"	"5.47"	"4.76"	"3.48"	"2.33"
"1930"	"2.41"	"3.31"	"4.83"	"6.34"	"7.66"	"7.49"	"6.22"	"5.66"	"5.46"	"4.81"	"3.29"	"2.44"
"1931"	"2.55"	"2.9"	"4.67"	"6.79"	"7.72"	"7.53"	"6.35"	"5.85"	"5.45"	"4.75"	"3.42"	"2.56"
"1932"	"2.67"	"3.31"	"4.94"	"6.81"	"7.69"	"7.87"	"6.47"	"5.68"	"5.52"	"4.8"	"3.38"	"2.43"
"1933"	"2.44"	"3.35"	"4.74"	"6.35"	"7.64"	"7.72"	"6.48"	"5.5"	"5.3"	"4.75"	"3.42"	"2.56"
"1934"	"2.33"	"3.54"	"4.68"	"6.59"	"7.62"	"7.65"	"6.5"	"5.75"	"5.51"	"4.77"	"3.42"	"2.61"
"1935"	"2.33"	"3.31"	"4.83"	"6.17"	"7.82"	"7.64"	"6.45"	"5.84"	"5.46"	"4.71"	"3.47"	"2.52"
"1936"	"2.4"	"3.48"	"4.64"	"6.55"	"8.37"	"7.53"	"6.38"	"5.68"	"5.41"	"4.92"	"3.4"	"2.48"
"1937"	"2.45"	"3.29"	"4.59"	"6.41"	"7.88"	"7.83"	"6.37"	"6"	"5.48"	"4.63"	"3.4"	"2.39"
"1938"	"2.43"	"3.14"	"4.88"	"6.7"	"8.2"	"7.53"	"6.54"	"5.89"	"5.51"	"4.85"	"3.29"	"2.48"
"1939"	"2.55"	"3.31"	"4.42"	"6.25"	"8.04"	"7.74"	"6.47"	"5.92"	"5.61"	"4.86"	"3.45"	"2.64"
"1940"	"2.61"	"3.32"	"4.67"	"6.43"	"7.95"	"7.64"	"6.57"	"5.72"	"5.35"	"4.88"	"3.56"	"2.58"
"1941"	"2.51"	"3.48"	"5.19"	"7.11"	"8.14"	"7.51"	"6.46"	"5.88"	"5.38"	"5.06"	"3.48"	"2.62"
"1942"	"2.53"	"3.31"	"5.01"	"6.9"	"7.85"	"7.75"	"6.61"	"5.65"	"5.3"	"4.82"	"3.55"	"2.45"
"1943"	"2.43"	"3.33"	"4.88"	"6.45"	"7.73"	"7.64"	"6.63"	"5.69"	"5.49"	"4.81"	"3.48"	"2.67"
"1944"	"2.42"	"3.17"	"4.66"	"6.59"	"7.87"	"7.63"	"6.56"	"5.59"	"5.29"	"4.61"	"3.46"	"2.44"
"1945"	"2.31"	"3.28"	"4.88"	"6.39"	"7.79"	"7.6"	"6.41"	"5.72"	"5.57"	"4.81"	"3.46"	"2.45"
"1946"	"2.57"	"3.5"	"4.75"	"7.22"	"8.03"	"7.95"	"6.63"	"5.88"	"5.49"	"4.96"	"3.36"	"2.36"
"1947"	"2.46"	"3.33"	"5.05"	"6.84"	"8.09"	"8.02"	"6.7"	"5.93"	"5.38"	"4.79"	"3.63"	"2.56"
"1948"	"2.67"	"3.3"	"4.75"	"6.75"	"8.07"	"7.68"	"6.48"	"5.67"	"5.5"	"4.91"	"3.29"	"2.48"
"1949"	"2.62"	"3.23"	"4.81"	"6.85"	"8.29"	"7.51"	"6.39"	"5.76"	"5.7"	"4.7"	"3.27"	"2.58"
"1950"	"2.58"	"3.04"	"4.6"	"6.35"	"7.92"	"7.89"	"6.4"	"5.67"	"5.27"	"4.77"	"3.29"	"2.32"
"1951"	"2.47"	"3.21"	"4.7"	"6.28"	"7.75"	"7.68"	"6.63"	"5.82"	"5.53"	"5.14"	"3.54"	"2.61"
"1952"	"2.54"	"3.45"	"4.81"	"6.92"	"8.07"	"7.77"	"6.43"	"5.72"	"5.44"	"5.07"	"3.42"	"2.48"
"1953"	"2.53"	"3.55"	"5.2"	"6.67"	"7.95"	"7.74"	"6.49"	"5.58"	"5.33"	"4.77"	"3.39"	"2.74"
"1954"	"2.45"	"3.33"	"4.74"	"6.59"	"8.04"	"7.72"	"6.33"	"5.79"	"5.56"	"4.76"	"3.44"	"2.54"
"1955"	"2.48"	"3.51"	"4.96"	"6.45"	"7.37"	"7.73"	"6.56"	"5.71"	"5.39"	"4.7"	"3.4"	"2.6"
