
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.325"	"8.018"	"10.391"	"11.919"	"15.615"	"24.361"	"29.573"	"30.029"	"25.2"	"16.187"	"10.62"	"9.397"
"1902"	"8.351"	"8.667"	"11.674"	"12.276"	"16.136"	"22.281"	"29.892"	"31.942"	"24.126"	"14.538"	"10.579"	"8.562"
"1903"	"7.887"	"8.631"	"9.124"	"10.643"	"14.862"	"25.18"	"28.933"	"30.005"	"25.639"	"15.25"	"9.851"	"8.222"
"1904"	"7.02"	"8.606"	"9.913"	"12.196"	"15.336"	"22.721"	"28.891"	"29.978"	"24.998"	"14.634"	"10.662"	"8.823"
"1905"	"6.799"	"6.452"	"8.474"	"10.943"	"17.533"	"22.686"	"29.881"	"31.941"	"25.728"	"15.479"	"11.338"	"8.82"
"1906"	"7.288"	"7.586"	"8.997"	"11.329"	"17.217"	"22.585"	"31.182"	"30.267"	"24.157"	"15.295"	"11.314"	"9.261"
"1907"	"8.987"	"7.686"	"9.016"	"11.043"	"14.386"	"22.586"	"31.15"	"28.944"	"25.015"	"14.561"	"10.667"	"8.425"
"1908"	"8.133"	"8.661"	"10.303"	"12.188"	"15.365"	"23.78"	"27.912"	"27.227"	"23.261"	"14.387"	"10.007"	"8.646"
"1909"	"7.288"	"8.256"	"10.398"	"11.379"	"14.804"	"22.409"	"26.491"	"28.702"	"22.725"	"14.538"	"11.344"	"8.146"
"1910"	"7.887"	"8.575"	"10.382"	"11.309"	"15.336"	"22.567"	"27.274"	"28.658"	"24.785"	"14.538"	"9.873"	"8.219"
"1911"	"7.999"	"8.855"	"9.072"	"11.86"	"16.056"	"22.523"	"30.273"	"31.6"	"25.295"	"15.108"	"8.879"	"8.823"
"1912"	"8.257"	"8.248"	"10.173"	"12.221"	"15.715"	"25.059"	"29.12"	"28.686"	"24.209"	"14.538"	"9.882"	"8.817"
"1913"	"8.096"	"8.562"	"8.997"	"12.193"	"14.924"	"21.267"	"27.836"	"28.701"	"25.193"	"15.116"	"10.519"	"8.769"
"1914"	"8.646"	"8.097"	"9.804"	"11.684"	"16.28"	"22.586"	"27.926"	"28.716"	"24.157"	"13.689"	"10.658"	"8.146"
"1915"	"7.628"	"7.905"	"10.333"	"12.144"	"17.419"	"24.034"	"31.199"	"32.02"	"27.064"	"15.553"	"10.601"	"8.823"
"1916"	"8.382"	"8.071"	"11.82"	"12.22"	"14.482"	"22.576"	"27.403"	"28.799"	"24.135"	"14.22"	"9.018"	"8.455"
"1917"	"8.229"	"9.383"	"10.363"	"10.165"	"12.942"	"22.39"	"27.282"	"27.275"	"22.725"	"13.554"	"9.342"	"9.138"
"1918"	"7.642"	"8.562"	"9.829"	"10.347"	"16.395"	"22.543"	"30.463"	"30.973"	"24.707"	"14.538"	"10.535"	"8.006"
"1919"	"7.755"	"8.324"	"10.389"	"11.485"	"15.278"	"24.875"	"28.605"	"28.751"	"24.111"	"14.538"	"9.819"	"8.122"
"1920"	"7.925"	"8.094"	"10.384"	"11.234"	"12.911"	"21.578"	"29.13"	"28.707"	"26.668"	"15.446"	"10.635"	"8.453"
"1921"	"8.016"	"8.575"	"12.527"	"13.846"	"17.107"	"23.662"	"29.897"	"28.734"	"24.133"	"14.538"	"10.556"	"9.38"
"1922"	"7.847"	"8.702"	"10.498"	"12.248"	"15.372"	"22.572"	"29.88"	"29.161"	"24.129"	"14.538"	"10.601"	"8.788"
"1923"	"7.881"	"8.045"	"10.378"	"12.204"	"14.476"	"23.61"	"27.925"	"27.718"	"24.182"	"14.422"	"9.857"	"8.338"
"1924"	"7.795"	"8.562"	"10.891"	"12.243"	"12.678"	"23.291"	"31.248"	"28.658"	"23.061"	"14.525"	"10.367"	"8.823"
"1925"	"7.231"	"7.516"	"10.98"	"13.821"	"15.363"	"21.451"	"26.951"	"29.993"	"25.098"	"15.205"	"9.865"	"8.79"
"1926"	"7.925"	"9.859"	"9.74"	"10.15"	"13.708"	"23.495"	"29.837"	"28.716"	"24.182"	"14.537"	"9.159"	"8.481"
"1927"	"7.084"	"7.552"	"9.74"	"11.472"	"14.785"	"22.572"	"27.926"	"28.545"	"24.135"	"14.538"	"10.612"	"9.164"
"1928"	"7.542"	"8.575"	"10.285"	"12.21"	"16.473"	"22.58"	"28.98"	"29.067"	"24.234"	"14.538"	"10.555"	"8.161"
"1929"	"7.389"	"7.994"	"11.755"	"12.19"	"15.334"	"22.58"	"27.143"	"28.115"	"24.762"	"14.538"	"10.521"	"7.486"
"1930"	"7.276"	"8.624"	"10.433"	"11.439"	"15.374"	"21.812"	"26.429"	"28.716"	"24.856"	"14.538"	"9.811"	"8.158"
"1931"	"8.389"	"7.023"	"9.849"	"12.619"	"15.358"	"22.798"	"28.405"	"29.083"	"24.135"	"14.538"	"10.644"	"9.132"
"1932"	"9.007"	"8.653"	"10.389"	"12.275"	"14.741"	"23.827"	"27.926"	"28.675"	"25.471"	"14.538"	"10.504"	"8.823"
"1933"	"6.986"	"8.653"	"10.391"	"10.826"	"14.707"	"22.547"	"27.92"	"27.049"	"23.327"	"14.538"	"10.623"	"9.298"
"1934"	"6.619"	"9.383"	"9.767"	"12.191"	"14.785"	"22.549"	"27.92"	"28.753"	"24.99"	"14.195"	"10.464"	"9.253"
"1935"	"7.004"	"8.663"	"10.383"	"9.931"	"15.338"	"23.715"	"27.926"	"28.802"	"24.126"	"14.502"	"10.764"	"8.812"
"1936"	"7.248"	"8.758"	"9.697"	"11.611"	"17.079"	"21.058"	"27.835"	"28.636"	"23.541"	"14.072"	"10.329"	"8.896"
"1937"	"7.742"	"8.79"	"9.796"	"11.318"	"15.179"	"22.971"	"27.105"	"30.061"	"23.929"	"13.997"	"10.309"	"8.006"
"1938"	"7.774"	"8.166"	"10.792"	"12.216"	"15.812"	"21.44"	"27.005"	"28.845"	"25.029"	"14.877"	"9.802"	"8.823"
"1939"	"8.215"	"8.703"	"9.409"	"10.89"	"15.772"	"21.548"	"27.294"	"30.301"	"24.646"	"14.802"	"10.348"	"9.21"
"1940"	"8.018"	"8.8"	"9.428"	"11.17"	"15.605"	"21.966"	"27.759"	"27.979"	"23.616"	"14.924"	"10.788"	"8.82"
"1941"	"7.76"	"9.105"	"11.06"	"12.835"	"16.447"	"22.203"	"27.262"	"29.493"	"24.485"	"15.614"	"10.651"	"9.201"
"1942"	"7.807"	"8.761"	"11.004"	"12.586"	"15.374"	"23.746"	"28.129"	"28.729"	"23.914"	"14.538"	"10.858"	"8.222"
"1943"	"7.764"	"8.745"	"10.389"	"11.311"	"16.433"	"22.158"	"27.441"	"28.256"	"23.756"	"14.335"	"10.571"	"9.293"
"1944"	"7.887"	"8.603"	"10.066"	"11.648"	"15.794"	"22.096"	"27.358"	"28.128"	"23.503"	"13.909"	"10.645"	"8.919"
"1945"	"6.976"	"8.158"	"10.159"	"11.404"	"15.636"	"22.236"	"25.959"	"28.279"	"24.022"	"13.782"	"10.327"	"8.222"
"1946"	"7.97"	"9.163"	"10.38"	"13.285"	"15.272"	"22.345"	"27.184"	"28.29"	"23.424"	"14.395"	"9.949"	"8.455"
"1947"	"7.524"	"8.751"	"10.389"	"12.122"	"16.071"	"23.33"	"29.657"	"29.534"	"23.295"	"13.763"	"10.967"	"8.742"
"1948"	"7.789"	"8.708"	"10.196"	"13.081"	"16.119"	"23.415"	"27.593"	"28.299"	"23.316"	"14.968"	"9.751"	"8.781"
"1949"	"8.16"	"8.601"	"10.389"	"12.711"	"16.998"	"23.137"	"27.595"	"28.654"	"24.974"	"13.707"	"9.827"	"8.444"
"1950"	"7.789"	"7.656"	"9.929"	"11.398"	"15.274"	"22.802"	"27.736"	"28.651"	"23.593"	"14.273"	"10.013"	"7.832"
"1951"	"7.849"	"8.348"	"10.389"	"10.854"	"15.273"	"21.876"	"29.568"	"28.4"	"24.649"	"16.332"	"10.731"	"8.91"
"1952"	"7.957"	"9.261"	"10.273"	"12.88"	"16.094"	"22.228"	"27.728"	"28.941"	"23.851"	"14.072"	"10.532"	"8.825"
"1953"	"7.72"	"9.457"	"12.328"	"12.575"	"15.637"	"22.857"	"27.733"	"28.329"	"23.782"	"14.194"	"10.581"	"9.73"
"1954"	"7.76"	"8.782"	"10.605"	"12.54"	"15.842"	"23.071"	"27.674"	"29.584"	"23.578"	"13.254"	"10.506"	"8.637"
"1955"	"7.777"	"8.869"	"11.89"	"11.051"	"15.216"	"23.115"	"28.945"	"28.371"	"23.522"	"13.625"	"10.053"	"8.924"
