
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.5467"	"0.7775"	"1.207"	"0.8117"	"2.8396"	"1.1724"	"4.9014"	"3.6041"	"0.7661"	"0.0648"	"0"	"0.0321"
"1902"	"0"	"0.0047"	"0.8175"	"0.7909"	"1.7495"	"2.7181"	"3.2312"	"3.2127"	"2.3156"	"1.0267"	"0"	"0.0258"
"1903"	"1.0829"	"0.0242"	"1.4178"	"0.3226"	"1.2908"	"1.3341"	"5.2698"	"3.5084"	"2.7838"	"0.1215"	"0"	"1.1899"
"1904"	"1.4895"	"0.0878"	"3.9894"	"1.0408"	"1.1986"	"1.904"	"2.1427"	"2.7807"	"2.6596"	"0.9685"	"1.3297"	"1.1839"
"1905"	"2.1888"	"1.5541"	"1.1866"	"1.0321"	"0.7871"	"1.1543"	"2.4825"	"0.6139"	"3.0531"	"0.3554"	"0"	"1.5125"
"1906"	"0"	"5.0169"	"3.2869"	"0.7367"	"0.8671"	"2.0902"	"3.6084"	"4.0398"	"3.5052"	"0.0823"	"0"	"1.4458"
"1907"	"0.8013"	"2.1879"	"1.543"	"2.5546"	"1.0718"	"2.0873"	"4.7295"	"4.5523"	"0.2661"	"0.1743"	"0"	"0"
"1908"	"1.7666"	"0.5476"	"0.0925"	"2.6106"	"1.0603"	"1.8566"	"6.4566"	"6.4723"	"2.5826"	"0.0181"	"0"	"0.7037"
"1909"	"0.9481"	"1.5823"	"0.0925"	"3.4771"	"0.5652"	"3.0681"	"7.0763"	"5.0167"	"3.8168"	"0"	"0"	"2.49"
"1910"	"1.1707"	"0.2978"	"0.2344"	"1.6357"	"0.8179"	"3.1809"	"4.0834"	"6.3934"	"1.449"	"1.001"	"0"	"0.3914"
"1911"	"1.7503"	"0.4273"	"5.4101"	"1.2893"	"1.0652"	"2.0848"	"1.7704"	"2.2318"	"1.3578"	"1.0267"	"1.6864"	"0.1026"
"1912"	"1.509"	"0.5777"	"1.0114"	"2.0279"	"1.061"	"2.1092"	"3.3656"	"4.1361"	"0.6344"	"0.9779"	"0.5836"	"0.4012"
"1913"	"0"	"1.7241"	"1.5723"	"1.053"	"2.0851"	"2.9816"	"4.7664"	"2.8116"	"2.4758"	"0.0796"	"1.3297"	"1.4941"
"1914"	"1.7716"	"1.6474"	"1.3219"	"1.8425"	"1.58"	"3.3387"	"6.4729"	"2.6124"	"3.2558"	"1.1085"	"1.2148"	"1.143"
"1915"	"1.224"	"3.4094"	"2.9283"	"1.3895"	"0.3006"	"1.7212"	"3.0577"	"1.6438"	"1.7391"	"1.1183"	"0"	"0.3438"
"1916"	"0.7692"	"1.247"	"1.1202"	"2.119"	"2.9061"	"2.7886"	"6.1029"	"5.9543"	"2.8305"	"1.0512"	"0"	"0"
"1917"	"1.085"	"0.0966"	"1.0941"	"3.6347"	"3.469"	"2.2399"	"3.8803"	"6.0316"	"5.2563"	"1.0844"	"0"	"1.2089"
"1918"	"0.7182"	"0.2288"	"1.8612"	"1.6843"	"0.0886"	"2.0713"	"1.1959"	"2.9871"	"1.0666"	"0"	"0.2997"	"1.5409"
"1919"	"2.3885"	"1.3679"	"0.8265"	"2.7765"	"1.7028"	"0.4667"	"4.2573"	"5.5044"	"3.8293"	"0"	"1.3289"	"1.4419"
"1920"	"1.0234"	"1.0906"	"1.135"	"2.8869"	"2.1087"	"3.9129"	"4.6834"	"2.673"	"0.7419"	"0"	"0"	"0"
"1921"	"0.2731"	"0.0864"	"0.0717"	"1.0194"	"0.4806"	"1.627"	"7.2367"	"4.9127"	"2.4748"	"0.5293"	"0.0152"	"1.5522"
"1922"	"1.0292"	"1.0592"	"1.0271"	"1.5121"	"1.0964"	"1.7481"	"4.3408"	"2.3873"	"3.5676"	"1.0267"	"0"	"1.8278"
"1923"	"1.4059"	"1.7329"	"1.1294"	"1.5776"	"2.466"	"2.0038"	"4.1294"	"4.5349"	"1.0326"	"0.6686"	"0"	"1.9927"
"1924"	"2.08"	"1.4744"	"1.1506"	"1.0288"	"2.0144"	"1.1274"	"4.2147"	"3.4217"	"3.0944"	"0.0981"	"0.0896"	"2.2885"
"1925"	"0.5163"	"0.5892"	"0.4944"	"0.3737"	"1.8961"	"3.9634"	"4.771"	"1.9219"	"1.2364"	"0.6261"	"1.9909"	"0"
"1926"	"0.9261"	"0.4088"	"2.9178"	"1.3513"	"2.1307"	"0.2998"	"5.3705"	"5.2609"	"2.847"	"0.0134"	"0.0358"	"1.2896"
"1927"	"0.0201"	"2.1242"	"0.5967"	"0.9712"	"1.8605"	"1.3803"	"5.4069"	"3.8826"	"1.2102"	"1.0213"	"0"	"1.8691"
"1928"	"0.3531"	"1.1658"	"1.2024"	"1.5293"	"1.0722"	"1.6153"	"4.7375"	"5.0051"	"2.3497"	"0.6575"	"0.878"	"1.3028"
"1929"	"1.0557"	"0.4187"	"0.4025"	"1.3662"	"1.7928"	"2.0786"	"6.3123"	"3.7963"	"1.0236"	"0.0047"	"0.0949"	"1.6574"
"1930"	"1.159"	"1.189"	"0.2982"	"2.6766"	"1.9915"	"3.1812"	"5.7355"	"2.2571"	"1.1405"	"0.1267"	"1.3297"	"0.0765"
"1931"	"0.9229"	"1.425"	"1.72"	"0.7782"	"1.6953"	"1.2221"	"5.7243"	"4.835"	"1.6337"	"1.1489"	"0.0134"	"0.0405"
"1932"	"1.0076"	"0.3413"	"1.7723"	"1.2939"	"1.1191"	"1.0293"	"5.771"	"3.5558"	"1.2582"	"0"	"0"	"1.1146"
"1933"	"0.1961"	"1.8733"	"1.5182"	"1.3116"	"1.8343"	"2.8844"	"4.2471"	"5.8685"	"2.012"	"0.0715"	"0.919"	"0.0258"
"1934"	"0.5205"	"0.3086"	"2.7003"	"0.6375"	"1.1439"	"2.7649"	"4.021"	"4.1208"	"1.1982"	"0"	"0"	"1.5047"
"1935"	"1.6756"	"1.7525"	"1.9342"	"3.9098"	"1.0003"	"1.0087"	"4.7049"	"4.3408"	"2.6579"	"0.9058"	"0.9736"	"0.08"
"1936"	"0.1977"	"1.5331"	"1.7999"	"1.1105"	"0.4327"	"4.3034"	"3.3208"	"3.0978"	"1.9359"	"0.675"	"1.6467"	"1.1561"
"1937"	"0.0868"	"4.0143"	"0.8531"	"1.7348"	"0.6461"	"0.7957"	"6.8749"	"0.8426"	"2.0449"	"0.2616"	"0.0124"	"1.3706"
"1938"	"0.8547"	"0.8047"	"0.8078"	"1.1647"	"0.2607"	"2.808"	"2.9472"	"3.17"	"0.4565"	"0.6113"	"0.0134"	"1.1839"
"1939"	"0.3729"	"2.6031"	"2.5062"	"0.6337"	"0.8219"	"1.7714"	"2.2619"	"2.5111"	"1.6464"	"0.3466"	"0"	"0.0196"
"1940"	"1.7766"	"1.9802"	"1.2112"	"0.809"	"1.0526"	"2.6997"	"3.1498"	"4.9034"	"0.9405"	"0.3097"	"0"	"0.0258"
"1941"	"1.8041"	"0.4403"	"1.1062"	"0.5282"	"1.9135"	"2.9913"	"2.7447"	"2.4691"	"1.8967"	"0.0343"	"0"	"0.9255"
"1942"	"1.1322"	"2.0157"	"0.979"	"1.1423"	"2.5138"	"2.7657"	"6.695"	"4.0286"	"4.0768"	"0.1775"	"0.1053"	"1.5742"
"1943"	"1.1041"	"0.0047"	"0.5086"	"2.4359"	"1.1047"	"2.1316"	"5.476"	"1.7696"	"1.7925"	"0.0124"	"0"	"0.0196"
"1944"	"1.7434"	"2.4967"	"3.3872"	"2.2006"	"1.053"	"1.5465"	"5.0002"	"6.0014"	"1.3766"	"0.1815"	"0"	"0.7914"
"1945"	"1.977"	"0"	"0.936"	"3.3277"	"2.4345"	"2.913"	"4.7876"	"3.6321"	"4.1772"	"0.025"	"0.1239"	"0.0343"
"1946"	"0.2234"	"1.0327"	"0.8393"	"0.652"	"1.0217"	"2.3982"	"4.1143"	"4.6011"	"0.8272"	"1.0389"	"0.1406"	"1.1956"
"1947"	"0.9571"	"1.2862"	"0.5223"	"0.0012"	"0.9237"	"0.4316"	"1.2591"	"4.2205"	"3.2995"	"1.0698"	"0"	"0.9073"
"1948"	"1.4963"	"2.2352"	"2.5351"	"1.2869"	"0.8214"	"1.5266"	"4.6179"	"3.8587"	"1.1159"	"0.4452"	"0.9283"	"1.7117"
"1949"	"1.4804"	"2.0206"	"1.5318"	"0.2229"	"0.1603"	"1.4931"	"6.5322"	"3.2765"	"2.2329"	"0"	"0"	"0.0621"
"1950"	"1.6297"	"1.2068"	"2.4139"	"0.9177"	"0.9732"	"1.0086"	"7.435"	"5.0801"	"3.0992"	"0"	"0"	"0"
"1951"	"0.861"	"0.1156"	"2.0689"	"1.6025"	"1.5619"	"1.5033"	"3.2867"	"4.2466"	"0.3743"	"0.012"	"1.982"	"0"
"1952"	"0.4741"	"1.3844"	"1.4838"	"0.6058"	"1.0526"	"2.1426"	"3.5875"	"4.3084"	"0.2793"	"0.1387"	"0.0882"	"1.1836"
"1953"	"1.9234"	"0.5142"	"0"	"0.875"	"1.2429"	"1.1642"	"4.3428"	"5.1384"	"1.6669"	"0"	"0.6867"	"0.7863"
"1954"	"1.0177"	"3.3975"	"0.5492"	"0.2852"	"1.0455"	"2.1488"	"3.7593"	"1.3751"	"4.8626"	"0.893"	"0.471"	"0"
"1955"	"1.1641"	"0.9872"	"1.6597"	"1.2262"	"1.7772"	"2.1993"	"2.2069"	"6.1942"	"2.3299"	"0.9828"	"0"	"0.6165"
"1956"	"1.6488"	"0.3408"	"3.6234"	"1.0353"	"0.0769"	"1.9204"	"5.4473"	"4.6373"	"0.3225"	"1.119"	"0"	"1.1839"
"1957"	"2.6686"	"0.265"	"1.9682"	"1.1302"	"2.3104"	"2.2511"	"3.7564"	"3.2381"	"1.3528"	"0.284"	"2.0702"	"1.2746"
"1958"	"2.24"	"0.2098"	"0.4366"	"0.6414"	"0.5151"	"1.1345"	"3.6432"	"1.5387"	"4.32"	"0.831"	"1.5132"	"2.266"
"1959"	"1.3016"	"1.1664"	"1.567"	"1.1478"	"1.8995"	"1.7726"	"6.812"	"4.7588"	"3.6136"	"0.7694"	"2.2941"	"0"
"1960"	"1.0485"	"0"	"1.6917"	"0.9699"	"0.2206"	"2.3736"	"4.634"	"3.431"	"1.6928"	"0.1352"	"0"	"1.5359"
"1961"	"1.9165"	"2.2255"	"0.8693"	"1.6579"	"1.8639"	"2.6265"	"4.5856"	"4.1811"	"3.2725"	"0.8712"	"1.3297"	"1.1839"
"1962"	"1.2495"	"1.3611"	"2.825"	"0.0529"	"1.6572"	"1.0992"	"5.0064"	"3.4671"	"3.1723"	"0"	"2.0233"	"1.3757"
"1963"	"0"	"0.7723"	"1.0826"	"1.3533"	"2.0916"	"1.045"	"3.012"	"3.5744"	"1.3805"	"0.0186"	"0.0311"	"1.3438"
"1964"	"1.2169"	"0.336"	"1.369"	"0.9279"	"2.0406"	"2.3878"	"5.8294"	"5.4147"	"1.7247"	"0"	"0.425"	"1.2726"
"1965"	"1.046"	"1.1168"	"1.141"	"2.0667"	"1.2235"	"1.0198"	"5.5333"	"2.3358"	"0.3987"	"1.0924"	"1.4771"	"0"
"1966"	"1.0262"	"2.9856"	"1.1279"	"1.4494"	"2.8908"	"2.2939"	"3.9679"	"4.315"	"2.8155"	"1.0703"	"1.3314"	"0"
"1967"	"0"	"0.9601"	"4.959"	"1.3177"	"0.7828"	"1.0529"	"3.5644"	"5.8871"	"2.6737"	"1.1106"	"1.4333"	"2.4543"
"1968"	"1.2971"	"1.8642"	"1.2201"	"0.3694"	"1.228"	"1.1616"	"4.3369"	"2.8044"	"0.2661"	"0.9228"	"0"	"1.1879"
"1969"	"0.238"	"1.2247"	"1.6177"	"2.0989"	"1.8622"	"1.2202"	"5.106"	"2.4872"	"1.7159"	"1.0267"	"0"	"0"
"1970"	"1.5347"	"3.4069"	"2.3929"	"1.7211"	"1.3842"	"2.7976"	"2.4992"	"4.1098"	"3.3966"	"0.012"	"0"	"0"
"1971"	"1.0262"	"1.0333"	"0.4501"	"2.0926"	"3.4892"	"3.4715"	"4.1324"	"4.3072"	"1.7634"	"1.0267"	"0"	"0.0373"
"1972"	"1.6033"	"1.0148"	"0.7385"	"2.2439"	"0.0759"	"3.0672"	"3.736"	"4.7406"	"1.8433"	"0.936"	"1.1131"	"1.5044"
"1973"	"0.6788"	"1.0188"	"0.8767"	"0.3878"	"2.2839"	"0.9745"	"5.5708"	"6.2285"	"1.0182"	"0.0918"	"0"	"1.2668"
"1974"	"0.4354"	"0.8094"	"0.7513"	"2.083"	"2.4038"	"2.6848"	"7.1006"	"2.3346"	"1.0228"	"0.0443"	"0"	"1.4332"
