
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.837"	"14.961"	"22.784"	"27.922"	"32.991"	"36.609"	"34.025"	"32.422"	"31.656"	"29.01"	"21.212"	"16.17"
"1902"	"15.31"	"17.697"	"24.649"	"29.512"	"33.62"	"34.243"	"33.713"	"33.484"	"30.813"	"27.221"	"20.848"	"14.725"
"1903"	"13.692"	"16.136"	"20.507"	"26.829"	"32.612"	"37.185"	"34.246"	"32.169"	"31.819"	"27.793"	"19.845"	"14.472"
"1904"	"13.02"	"16.959"	"21.305"	"29.527"	"33.647"	"35.525"	"33.294"	"32.189"	"31.131"	"27.487"	"20.495"	"15.654"
"1905"	"12.017"	"11.917"	"18.747"	"26.333"	"35.201"	"35.838"	"34.305"	"33.789"	"32.066"	"27.935"	"21.978"	"15.492"
"1906"	"12.457"	"14.368"	"20.094"	"27.722"	"35.292"	"34.776"	"34.472"	"32.105"	"30.459"	"27.988"	"22.063"	"16.645"
"1907"	"16.052"	"14.739"	"19.684"	"26.202"	"31.509"	"34.614"	"34.901"	"31.121"	"31.216"	"27.587"	"21.137"	"14.625"
"1908"	"14.255"	"17.206"	"21.996"	"29.048"	"33.265"	"35.89"	"31.924"	"29.736"	"29.847"	"26.57"	"19.752"	"14.737"
"1909"	"12.903"	"15.467"	"22.113"	"27.092"	"32.878"	"34.613"	"31.156"	"30.776"	"29.28"	"27.157"	"21.858"	"14.258"
"1910"	"13.43"	"16.834"	"22.065"	"26.962"	"33.803"	"35.006"	"31.676"	"30.557"	"30.743"	"26.418"	"19.745"	"14.901"
"1911"	"14.767"	"17.339"	"20.032"	"27.961"	"34.415"	"34.951"	"34.99"	"33.62"	"31.228"	"27.876"	"17.998"	"14.839"
"1912"	"14.609"	"16.408"	"21.62"	"28.323"	"33.774"	"36.676"	"33.268"	"31.146"	"30.119"	"27.362"	"19.408"	"15.13"
"1913"	"14.873"	"16.17"	"19.721"	"29.564"	"32.014"	"33.388"	"31.73"	"31.739"	"31.272"	"27.897"	"20.221"	"14.754"
"1914"	"15.698"	"15.335"	"21.077"	"27.873"	"33.985"	"34.465"	"31.65"	"31.714"	"30.616"	"25.703"	"20.784"	"14.216"
"1915"	"13.64"	"14.979"	"22.573"	"28.542"	"35.687"	"35.927"	"34.957"	"33.131"	"32.461"	"28.186"	"20.626"	"15.635"
"1916"	"15.182"	"15.561"	"25.014"	"29.597"	"32.376"	"34.516"	"32.614"	"30.943"	"30.244"	"26.186"	"18.471"	"14.527"
"1917"	"14.388"	"17.715"	"22.201"	"25.5"	"29.556"	"34.148"	"31.755"	"29.967"	"28.477"	"25.264"	"18.45"	"15.467"
"1918"	"13.334"	"17.193"	"21.5"	"25.652"	"35.089"	"34.579"	"34.594"	"32.871"	"31.04"	"27.541"	"20.404"	"14.48"
"1919"	"13.678"	"15.901"	"22.527"	"27.452"	"32.627"	"37.175"	"32.998"	"31.046"	"30.187"	"27.072"	"19.44"	"14.316"
"1920"	"13.617"	"15.841"	"22.088"	"27.453"	"29.615"	"33.133"	"32.757"	"31.437"	"32.258"	"28.558"	"21.632"	"15.623"
"1921"	"14.728"	"17.55"	"25.545"	"31.696"	"35.374"	"36.339"	"34.243"	"31.171"	"30.799"	"26.474"	"20.702"	"16.857"
"1922"	"13.391"	"17.532"	"23.325"	"29.258"	"33.239"	"34.65"	"33.636"	"31.752"	"29.958"	"26.229"	"20.15"	"15.268"
"1923"	"13.693"	"15.612"	"23.024"	"29.357"	"32.165"	"36.191"	"32.704"	"30.116"	"30.666"	"26.565"	"19.773"	"14.92"
"1924"	"13.139"	"16.622"	"23.789"	"29.038"	"30.044"	"36.51"	"34.327"	"31.661"	"28.991"	"26.781"	"19.843"	"15.69"
"1925"	"12.557"	"14.464"	"23.772"	"31.407"	"33.212"	"32.97"	"31.248"	"31.924"	"32.003"	"27.74"	"19.008"	"15.026"
"1926"	"14.574"	"18.665"	"21.085"	"25.646"	"30.484"	"36.101"	"33.564"	"30.655"	"29.593"	"26.504"	"18.177"	"14.663"
"1927"	"12.536"	"14.247"	"21.183"	"27.43"	"31.854"	"34.692"	"31.994"	"30.58"	"30.059"	"27.194"	"20.408"	"15.855"
"1928"	"13.204"	"17.375"	"22.295"	"28.362"	"34.586"	"34.994"	"33.108"	"31.948"	"30.145"	"27.518"	"21.043"	"14.311"
"1929"	"13.646"	"15.45"	"24.778"	"29.267"	"33.623"	"35.221"	"31.832"	"30.605"	"31.238"	"26.877"	"20.857"	"13.407"
"1930"	"12.819"	"16.57"	"22.632"	"27.135"	"32.502"	"33.48"	"30.818"	"31.075"	"30.431"	"26.989"	"19.228"	"14.572"
"1931"	"14.361"	"13.158"	"21.087"	"29.21"	"32.572"	"34.681"	"32.006"	"31.619"	"29.854"	"26.369"	"20.028"	"15.745"
"1932"	"16.105"	"16.625"	"23.096"	"29.116"	"32.244"	"36.445"	"32.623"	"30.648"	"31.243"	"26.933"	"19.859"	"14.99"
"1933"	"11.644"	"16.863"	"21.738"	"26.416"	"31.293"	"34.951"	"32.246"	"29.283"	"29.108"	"26.298"	"20.232"	"16.138"
"1934"	"11.577"	"18.472"	"21.188"	"28.259"	"32.1"	"34.505"	"32.805"	"31.001"	"31.372"	"26.385"	"20.333"	"16.491"
"1935"	"12.147"	"16.875"	"22.418"	"25.046"	"33.108"	"36.025"	"32.115"	"30.632"	"30.051"	"26.275"	"20.967"	"15.062"
"1936"	"12.478"	"17.205"	"20.858"	"27.941"	"35.664"	"33.088"	"31.811"	"30.554"	"30.275"	"27.167"	"19.914"	"15.186"
"1937"	"13.439"	"16.576"	"20.433"	"26.821"	"33.366"	"35.738"	"31.785"	"32.205"	"30.836"	"25.374"	"19.34"	"12.909"
"1938"	"12.838"	"14.775"	"23.272"	"29.138"	"35.228"	"33.799"	"33.914"	"32.354"	"31.923"	"27.886"	"18.976"	"14.907"
"1939"	"14.559"	"16.898"	"19.512"	"26.284"	"34.154"	"33.598"	"32.767"	"32.755"	"31.93"	"28.157"	"20.559"	"16.409"
