
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.461"	"23.071"	"30.171"	"25.451"	"22.157"	"28.126"	"49.735"	"47.517"	"25.794"	"10.658"	"11.299"	"19.783"
"1902"	"23.997"	"23.918"	"31.046"	"25.716"	"21.527"	"26.546"	"49.857"	"47.357"	"25.393"	"10.203"	"11.299"	"19.783"
"1903"	"23.859"	"23.918"	"31.251"	"25.699"	"22.433"	"27.574"	"50.037"	"48.247"	"26.391"	"9.167"	"11.299"	"19.783"
"1904"	"23.539"	"23.771"	"31.164"	"25.971"	"22.334"	"28.086"	"49.414"	"47.478"	"25.767"	"10.203"	"11.774"	"19.783"
"1905"	"23.974"	"23.918"	"31.06"	"25.667"	"22.08"	"28.126"	"50.934"	"48.345"	"25.71"	"9.629"	"11.316"	"19.796"
"1906"	"23.914"	"23.918"	"30.122"	"25.716"	"22.011"	"28.193"	"50.323"	"47.601"	"26.391"	"9.107"	"11.299"	"19.898"
"1907"	"23.974"	"24.049"	"30.362"	"25.716"	"22.157"	"28.603"	"50.74"	"47.812"	"26.391"	"11.091"	"12.561"	"19.983"
"1908"	"23.974"	"23.918"	"30.933"	"26.217"	"22.382"	"27.284"	"49.739"	"47.536"	"25.694"	"10.203"	"11.107"	"19.836"
"1909"	"23.182"	"23.878"	"31.06"	"25.12"	"21.079"	"27.171"	"49.981"	"47.377"	"25.417"	"9.42"	"10.898"	"19.407"
"1910"	"23.974"	"23.918"	"30.871"	"25.173"	"21.293"	"27.883"	"49.623"	"47.457"	"26.391"	"10.203"	"11.299"	"19.783"
"1911"	"23.974"	"23.918"	"30.928"	"25.716"	"22.157"	"27.467"	"49.666"	"47.396"	"26.391"	"10.123"	"10.468"	"19.783"
"1912"	"23.974"	"23.918"	"29.984"	"24.675"	"21.626"	"27.481"	"48.591"	"47.449"	"25.393"	"9.211"	"10.219"	"19.796"
"1913"	"24.357"	"24.009"	"30.163"	"25.426"	"21.011"	"27.226"	"49.192"	"47.757"	"25.366"	"10.458"	"11.391"	"19.783"
"1914"	"23.492"	"23.918"	"30.023"	"25.005"	"21.081"	"26.84"	"48.939"	"47.838"	"24.575"	"9.107"	"11.899"	"20.106"
"1915"	"23.473"	"24.185"	"29.721"	"26.494"	"20.208"	"25.419"	"49.39"	"47.072"	"24.626"	"9.123"	"10.355"	"19.783"
"1916"	"24.555"	"23.743"	"31.06"	"25.142"	"22.077"	"27.728"	"49.321"	"47.757"	"25.862"	"9.167"	"10.53"	"19.724"
"1917"	"23.203"	"22.943"	"29.802"	"23.973"	"20.75"	"26.467"	"48.707"	"47.309"	"25.354"	"9.31"	"10.408"	"19.366"
"1918"	"23.974"	"23.918"	"31.06"	"25.237"	"20.388"	"26.83"	"49.321"	"46.912"	"24.652"	"9.308"	"11.299"	"20.536"
"1919"	"23.604"	"23.378"	"30.71"	"24.62"	"21.42"	"27.961"	"49.713"	"47.379"	"25.25"	"8.732"	"9.811"	"19.977"
"1920"	"24.74"	"23.918"	"30.437"	"26.033"	"22.157"	"27.263"	"51.004"	"46.897"	"26.377"	"8.262"	"11.792"	"20.229"
"1921"	"23.974"	"24.047"	"31.125"	"25.716"	"22.157"	"27.249"	"48.754"	"47.172"	"25.818"	"8.485"	"10.308"	"20.177"
"1922"	"24.506"	"23.918"	"31.06"	"25.125"	"22.049"	"27.51"	"50.07"	"47.357"	"25.841"	"9.425"	"10.599"	"19.783"
"1923"	"23.974"	"23.918"	"31.06"	"25.9"	"21.324"	"29.271"	"50.091"	"48.756"	"26.29"	"9.091"	"9.503"	"18.449"
"1924"	"22.702"	"22.972"	"31.06"	"25.403"	"22.157"	"28.126"	"50.02"	"47.849"	"25.758"	"8.753"	"10.407"	"20.112"
"1925"	"23.974"	"22.546"	"29.337"	"24.62"	"20.108"	"26.624"	"49.462"	"46.833"	"24.003"	"9.846"	"9.558"	"18.021"
"1926"	"23.076"	"23.918"	"29.984"	"26.869"	"21.087"	"27.942"	"50.323"	"47.523"	"25.893"	"9.023"	"11.299"	"20.117"
"1927"	"24.755"	"23.918"	"29.918"	"25.427"	"21.389"	"27.284"	"50.574"	"47.469"	"26.647"	"9.759"	"11.299"	"19.796"
"1928"	"24.144"	"23.918"	"31.298"	"25.716"	"22.157"	"27.852"	"50.74"	"48.555"	"26.802"	"10.203"	"11.299"	"20.398"
"1929"	"23.259"	"23.757"	"29.984"	"24.216"	"21.401"	"28.126"	"51.217"	"47.932"	"25.764"	"8.552"	"10.951"	"20.925"
"1930"	"23.458"	"23.962"	"29.008"	"26.081"	"21.27"	"28.819"	"51.117"	"48.27"	"27.472"	"10.785"	"9.568"	"19.629"
"1931"	"21.528"	"27.732"	"26.331"	"17.679"	"18.706"	"14.252"	"45.408"	"46.761"	"24.971"	"15.945"	"2.065"	"14.207"
"1932"	"21.768"	"19.131"	"28.108"	"17.561"	"18.403"	"23.087"	"46.557"	"46.895"	"16.621"	"0.001"	"0"	"17.041"
"1933"	"21.986"	"22.456"	"25.366"	"27.439"	"27.493"	"25.764"	"51.836"	"55.816"	"31.68"	"6.552"	"4.443"	"16.773"
"1934"	"22.403"	"15.216"	"29.923"	"15.791"	"17.615"	"23.957"	"49.996"	"47.897"	"18.757"	"0"	"7.285"	"21.285"
