
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.033"	"15.674"	"15.797"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1902"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1903"	"16.033"	"15.674"	"15.78"	"15.953"	"15.266"	"12.791"	"9.758"	"9.321"	"11.276"	"16"	"17.394"	"16.8"
"1904"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1905"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1906"	"16.065"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1907"	"16.149"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.193"	"11.276"	"15.485"	"17.394"	"16.8"
"1908"	"16.033"	"15.674"	"15.854"	"15.953"	"15.266"	"12.791"	"9.778"	"9.107"	"11.542"	"16"	"17.394"	"16.8"
"1909"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1910"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1911"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1912"	"15.968"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.427"	"16.619"
"1913"	"16.033"	"15.674"	"15.781"	"15.953"	"15.299"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1914"	"16.066"	"15.674"	"15.781"	"15.953"	"15.266"	"12.791"	"9.775"	"9.107"	"11.276"	"16"	"17.001"	"16.8"
"1915"	"16.033"	"15.674"	"15.781"	"15.855"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.427"	"16.8"
"1916"	"16.033"	"15.674"	"15.925"	"15.969"	"15.266"	"12.791"	"10.534"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1917"	"16.033"	"15.693"	"15.781"	"15.953"	"15.266"	"12.791"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
"1918"	"16.033"	"15.674"	"15.781"	"15.953"	"15.266"	"12.808"	"9.758"	"9.107"	"11.276"	"16"	"17.394"	"16.8"
