
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.875"	"22.825"	"30.702"	"35.927"	"40.639"	"43.016"	"38.924"	"36.973"	"37.33"	"37.047"	"29.951"	"24.604"
"1902"	"23.352"	"25.562"	"32.551"	"37.527"	"41.251"	"40.67"	"38.605"	"38.043"	"36.462"	"35.25"	"29.586"	"23.139"
"1903"	"21.742"	"23.998"	"28.409"	"34.831"	"40.257"	"43.598"	"39.121"	"36.843"	"37.492"	"35.834"	"28.569"	"22.906"
"1904"	"21.071"	"24.82"	"29.206"	"37.544"	"41.279"	"41.929"	"38.187"	"36.736"	"36.774"	"35.488"	"29.234"	"24.082"
"1905"	"20.07"	"19.781"	"26.649"	"34.359"	"42.846"	"42.243"	"39.18"	"38.348"	"37.727"	"35.972"	"30.706"	"23.925"
"1906"	"20.523"	"22.226"	"27.995"	"35.731"	"42.938"	"41.202"	"39.37"	"36.666"	"36.104"	"36.029"	"30.802"	"25.08"
"1907"	"24.124"	"22.605"	"27.585"	"34.209"	"39.149"	"41.002"	"39.792"	"35.742"	"36.846"	"35.347"	"29.877"	"23.055"
"1908"	"22.306"	"25.067"	"29.947"	"37.064"	"40.904"	"42.317"	"36.84"	"34.287"	"35.643"	"34.603"	"28.49"	"23.149"
"1909"	"20.953"	"23.327"	"30.014"	"35.109"	"40.524"	"41.039"	"36.031"	"35.33"	"34.954"	"35.197"	"30.598"	"22.695"
"1910"	"21.473"	"24.697"	"29.967"	"34.987"	"41.449"	"41.434"	"36.576"	"35.118"	"36.415"	"34.426"	"28.482"	"23.329"
"1911"	"22.818"	"25.202"	"27.933"	"35.979"	"42.062"	"41.354"	"39.867"	"38.179"	"36.899"	"35.872"	"26.739"	"23.269"
"1912"	"22.62"	"24.256"	"29.522"	"36.343"	"41.424"	"43.091"	"38.161"	"35.706"	"35.76"	"35.368"	"28.164"	"23.443"
"1913"	"22.913"	"24.016"	"27.62"	"37.577"	"39.678"	"39.8"	"36.63"	"36.292"	"36.92"	"35.939"	"28.958"	"23.167"
"1914"	"23.763"	"23.182"	"28.979"	"35.863"	"41.616"	"40.892"	"36.565"	"36.275"	"36.291"	"33.737"	"29.295"	"22.628"
