
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.791"	"7.129"	"14.905"	"19.937"	"25.353"	"30.225"	"29.164"	"27.865"	"26.04"	"21.024"	"12.508"	"7.787"
"1902"	"7.294"	"9.87"	"16.767"	"21.533"	"25.985"	"27.818"	"28.848"	"28.936"	"25.174"	"19.247"	"12.156"	"6.298"
"1903"	"5.682"	"8.319"	"12.629"	"18.852"	"24.973"	"30.806"	"29.363"	"27.505"	"26.215"	"19.805"	"11.134"	"6.082"
"1904"	"4.994"	"9.149"	"13.424"	"21.563"	"26.005"	"29.136"	"28.405"	"27.628"	"25.498"	"19.479"	"11.803"	"7.267"
"1905"	"3.994"	"4.077"	"10.867"	"18.399"	"27.563"	"29.43"	"29.419"	"29.24"	"26.451"	"19.949"	"13.289"	"7.089"
"1906"	"4.417"	"6.544"	"12.215"	"19.769"	"27.669"	"28.385"	"29.607"	"27.549"	"24.818"	"19.983"	"13.384"	"8.268"
"1907"	"7.967"	"6.901"	"11.804"	"18.226"	"23.877"	"28.189"	"30.037"	"26.55"	"25.564"	"19.852"	"12.424"	"6.237"
"1908"	"6.224"	"9.395"	"14.092"	"21.073"	"25.636"	"29.512"	"27.062"	"25.183"	"24.098"	"18.601"	"11.072"	"6.348"
"1909"	"4.888"	"7.628"	"14.231"	"19.132"	"25.257"	"28.246"	"26.268"	"26.222"	"23.664"	"19.195"	"13.166"	"5.894"
"1910"	"5.42"	"9.003"	"14.185"	"18.975"	"26.175"	"28.642"	"26.812"	"26.01"	"25.125"	"18.424"	"11.029"	"6.505"
"1911"	"6.775"	"9.523"	"12.151"	"19.998"	"26.794"	"28.537"	"30.106"	"29.073"	"25.604"	"19.87"	"9.295"	"6.44"
"1912"	"6.644"	"8.581"	"13.739"	"20.344"	"26.132"	"30.299"	"28.38"	"26.599"	"24.475"	"19.366"	"10.737"	"6.828"
