
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.56"	"5.16"	"6.55"	"8.06"	"8.93"	"8.72"	"7.37"	"6.69"	"6.93"	"7.19"	"6.04"	"4.86"
"1902"	"4.69"	"5.35"	"6.66"	"8.17"	"9.07"	"8.73"	"7.26"	"6.75"	"7"	"7.11"	"6"	"4.78"
"1903"	"4.57"	"5.31"	"6.43"	"7.94"	"8.87"	"8.73"	"7.41"	"6.74"	"6.95"	"7.21"	"5.97"	"4.78"
"1904"	"4.54"	"5.35"	"6.43"	"8.08"	"9.03"	"8.75"	"7.35"	"6.66"	"6.95"	"7.13"	"5.96"	"4.89"
"1905"	"4.58"	"4.99"	"6.21"	"7.79"	"8.98"	"8.77"	"7.3"	"6.7"	"7.01"	"7.14"	"6.07"	"4.91"
"1906"	"4.55"	"5.15"	"6.35"	"7.91"	"9.05"	"8.73"	"7.35"	"6.73"	"6.91"	"7.12"	"6.05"	"4.89"
"1907"	"4.81"	"5.28"	"6.35"	"7.92"	"8.87"	"8.61"	"7.37"	"6.69"	"6.92"	"7.02"	"6.03"	"4.78"
"1908"	"4.6"	"5.35"	"6.51"	"8.07"	"9"	"8.79"	"7.36"	"6.57"	"6.93"	"7.09"	"5.93"	"4.78"
"1909"	"4.56"	"5.21"	"6.52"	"8"	"8.97"	"8.77"	"7.27"	"6.62"	"6.87"	"7.06"	"6.09"	"4.78"
"1910"	"4.55"	"5.32"	"6.55"	"7.96"	"8.99"	"8.79"	"7.28"	"6.57"	"6.92"	"7.1"	"5.91"	"4.77"
"1911"	"4.64"	"5.43"	"6.41"	"7.94"	"9.02"	"8.71"	"7.33"	"6.76"	"6.97"	"7.23"	"5.86"	"4.72"
"1912"	"4.65"	"5.33"	"6.48"	"8.05"	"8.98"	"8.78"	"7.42"	"6.66"	"6.91"	"7.15"	"5.93"	"4.75"
"1913"	"4.67"	"5.35"	"6.31"	"8.1"	"9.06"	"8.68"	"7.24"	"6.62"	"6.92"	"7.17"	"5.98"	"4.74"
"1914"	"4.76"	"5.27"	"6.45"	"7.98"	"9.04"	"8.8"	"7.26"	"6.63"	"6.99"	"7.06"	"5.92"	"4.76"
"1915"	"4.6"	"5.16"	"6.51"	"7.97"	"9.09"	"8.8"	"7.38"	"6.73"	"7.02"	"7.22"	"6.03"	"4.8"
"1916"	"4.71"	"5.19"	"6.67"	"8.23"	"9"	"8.71"	"7.55"	"6.64"	"6.92"	"7.12"	"5.86"	"4.71"
"1917"	"4.61"	"5.4"	"6.64"	"8.01"	"8.79"	"8.64"	"7.3"	"6.63"	"6.87"	"7.04"	"5.81"	"4.81"
"1918"	"4.56"	"5.35"	"6.55"	"7.83"	"9"	"8.73"	"7.33"	"6.75"	"6.98"	"7.16"	"5.99"	"4.77"
"1919"	"4.66"	"5.26"	"6.55"	"8.07"	"8.9"	"8.77"	"7.42"	"6.66"	"6.92"	"7.16"	"5.96"	"4.76"
"1920"	"4.55"	"5.26"	"6.54"	"8.02"	"8.85"	"8.58"	"7.24"	"6.67"	"6.87"	"7.23"	"6.06"	"4.84"
"1921"	"4.65"	"5.31"	"6.63"	"8.24"	"9.14"	"8.8"	"7.48"	"6.69"	"6.94"	"7.16"	"5.94"	"4.92"
"1922"	"4.56"	"5.34"	"6.58"	"8.14"	"9.05"	"8.71"	"7.33"	"6.7"	"6.94"	"7.15"	"5.94"	"4.81"
"1923"	"4.61"	"5.21"	"6.52"	"8.13"	"8.95"	"8.71"	"7.39"	"6.57"	"6.89"	"7.12"	"5.95"	"4.81"
"1924"	"4.59"	"5.27"	"6.6"	"8.24"	"8.83"	"8.62"	"7.42"	"6.75"	"6.89"	"7.17"	"5.93"	"4.86"
"1925"	"4.55"	"5.11"	"6.51"	"8.3"	"9.18"	"8.72"	"7.18"	"6.59"	"6.98"	"7.22"	"5.93"	"4.78"
"1926"	"4.63"	"5.47"	"6.58"	"7.92"	"8.79"	"8.66"	"7.4"	"6.66"	"6.89"	"7.21"	"5.86"	"4.75"
"1927"	"4.5"	"5.12"	"6.45"	"8.01"	"8.94"	"8.71"	"7.28"	"6.63"	"6.87"	"7.11"	"5.96"	"4.88"
"1928"	"4.55"	"5.35"	"6.53"	"8.03"	"9.05"	"8.76"	"7.28"	"6.67"	"6.88"	"7.1"	"6.07"	"4.74"
"1929"	"4.59"	"5.15"	"6.64"	"8.2"	"9.05"	"8.78"	"7.27"	"6.57"	"6.93"	"7.14"	"6.06"	"4.7"
"1930"	"4.5"	"5.25"	"6.6"	"8"	"8.98"	"8.73"	"7.17"	"6.57"	"6.89"	"7.12"	"5.93"	"4.73"
"1931"	"4.74"	"5"	"6.43"	"8.25"	"9.06"	"8.9"	"7.35"	"6.67"	"6.99"	"6.97"	"6.08"	"4.9"
"1932"	"4.78"	"5.43"	"6.66"	"8.33"	"9"	"8.83"	"7.42"	"6.62"	"7.09"	"7.32"	"6.17"	"4.86"
"1933"	"4.55"	"5.29"	"6.62"	"7.95"	"8.76"	"8.72"	"7.3"	"6.45"	"6.72"	"7.11"	"6.04"	"4.95"
"1934"	"4.45"	"5.61"	"6.51"	"8.22"	"9.04"	"8.76"	"7.31"	"6.63"	"7.09"	"7.34"	"5.99"	"4.91"
"1935"	"4.46"	"5.16"	"6.71"	"7.78"	"8.99"	"9.09"	"7.43"	"6.77"	"7.05"	"7.24"	"6.08"	"4.88"
"1936"	"4.63"	"5.43"	"6.53"	"8.12"	"9.22"	"8.67"	"7.27"	"6.66"	"6.92"	"7.3"	"6.09"	"4.69"
"1937"	"4.66"	"5.26"	"6.48"	"7.96"	"8.98"	"8.95"	"7.27"	"6.82"	"7.14"	"7.14"	"6.06"	"4.77"
"1938"	"4.47"	"5.13"	"6.61"	"8.24"	"9.17"	"8.59"	"7.35"	"6.75"	"7.12"	"7.41"	"6.05"	"4.94"
"1939"	"4.71"	"5.33"	"6.28"	"7.98"	"9.27"	"8.67"	"7.29"	"6.75"	"7.11"	"7.31"	"6.19"	"5.01"
"1940"	"4.68"	"5.3"	"6.48"	"8.02"	"9.02"	"8.76"	"7.38"	"6.66"	"7.01"	"7.24"	"6.2"	"4.95"
"1941"	"4.56"	"5.43"	"6.82"	"8.43"	"9.19"	"8.62"	"7.34"	"6.75"	"6.96"	"7.26"	"6.25"	"5.02"
