
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.229"	"2.148"	"4.499"	"0.774"	"17.679"	"9.179"	"93.689"	"75.861"	"0.464"	"0"	"0"	"0.122"
"1902"	"0"	"0"	"1.598"	"2.203"	"6.13"	"44.017"	"52.466"	"50.939"	"32.904"	"1.767"	"0"	"0"
"1903"	"3.324"	"0.039"	"1.488"	"0.001"	"5.388"	"6.964"	"104.537"	"67.153"	"42.227"	"0.856"	"0"	"4.552"
"1904"	"7.151"	"0"	"32.2"	"2.689"	"6.491"	"23.51"	"27.602"	"49.157"	"53.818"	"1.07"	"8.313"	"9.867"
"1905"	"17.03"	"7.233"	"2.706"	"3.122"	"0.393"	"8.14"	"32.62"	"0.884"	"60.325"	"0.614"	"0"	"3.391"
"1906"	"0"	"74.793"	"17.177"	"0.565"	"1.075"	"28.509"	"46.983"	"85.666"	"76.499"	"0"	"0"	"12.719"
"1907"	"2.487"	"16.304"	"5.271"	"24.433"	"4.78"	"18.347"	"98.47"	"102.23"	"0.366"	"0.24"	"0"	"0"
"1908"	"11.393"	"1.793"	"0"	"21.922"	"4.038"	"15.474"	"174.455"	"229.703"	"39.181"	"0.007"	"0"	"0.823"
"1909"	"2.29"	"8.849"	"0"	"42.418"	"7.406"	"67.917"	"180.139"	"136.461"	"93.904"	"0"	"0"	"18.159"
"1910"	"4.973"	"1.702"	"0.392"	"9.9"	"0.547"	"36.011"	"61.546"	"182.736"	"22.778"	"1.827"	"0"	"0.438"
"1911"	"11.025"	"0.345"	"48.122"	"5.686"	"2.768"	"31.549"	"14.64"	"32.677"	"23.286"	"4.321"	"9.977"	"0"
"1912"	"8.715"	"2.84"	"1.625"	"16.609"	"4.488"	"18.862"	"47.51"	"88.607"	"19.042"	"3.328"	"0.812"	"0.525"
"1913"	"0.138"	"13.514"	"6.178"	"4.893"	"27.63"	"49.3"	"53.553"	"37.875"	"12.722"	"0.159"	"4.154"	"3.923"
"1914"	"11.321"	"5.115"	"1.693"	"14.249"	"10.37"	"43.747"	"158.085"	"39.243"	"69.175"	"4.078"	"4.323"	"1.904"
"1915"	"8.817"	"41.031"	"18.49"	"8.365"	"0.206"	"12.618"	"33.713"	"23.66"	"19.271"	"12.769"	"0"	"0.449"
"1916"	"0.641"	"6.499"	"1.464"	"20.605"	"27.024"	"40.139"	"168.084"	"134.082"	"48.206"	"11.931"	"0"	"0"
"1917"	"5.137"	"1.377"	"2.338"	"47.966"	"52.839"	"28.762"	"63.056"	"169.715"	"146.778"	"9.068"	"0"	"4.224"
"1918"	"1.351"	"0.25"	"7.966"	"9.045"	"0.637"	"14.016"	"5.345"	"53.496"	"5.778"	"0"	"0.394"	"6.209"
"1919"	"21.246"	"6.303"	"1.709"	"24.128"	"10.741"	"0.305"	"59.653"	"173.401"	"105.479"	"0"	"2.548"	"4.768"
"1920"	"2.538"	"3.265"	"4.228"	"31.786"	"14.255"	"76.687"	"122.027"	"42.531"	"1.116"	"0"	"0"	"0"
"1921"	"2.431"	"0"	"0"	"2.404"	"0.726"	"14.338"	"188.074"	"128.285"	"44.737"	"1.365"	"0"	"3.054"
"1922"	"3.393"	"1.375"	"0.902"	"10.404"	"3.376"	"17.232"	"91.615"	"28.787"	"88.117"	"3.134"	"0"	"11.197"
"1923"	"7.282"	"12.745"	"1.351"	"7.662"	"22.048"	"18.664"	"104.56"	"109.324"	"4.766"	"1.098"	"0"	"24.052"
"1924"	"20.463"	"8.144"	"2.046"	"3.016"	"13.574"	"9.584"	"60.385"	"71.389"	"74.004"	"1.909"	"0.359"	"25.108"
"1925"	"1.205"	"0.177"	"0.453"	"0.219"	"11.148"	"81.47"	"86.45"	"24.853"	"5.889"	"0.326"	"9.357"	"0"
"1926"	"2.164"	"0.041"	"16.482"	"5.546"	"13.79"	"0.537"	"116.695"	"137.704"	"22.144"	"0"	"0.534"	"10.543"
"1927"	"0"	"15.484"	"3.934"	"2.148"	"15.387"	"13.441"	"101.67"	"67.134"	"6.43"	"3.36"	"0"	"18.184"
"1928"	"2.257"	"7.313"	"3.466"	"10.332"	"4.246"	"15.003"	"68.517"	"127.311"	"38.937"	"1.346"	"3.815"	"3.065"
"1929"	"1.638"	"0.329"	"0.002"	"8.07"	"14.279"	"26.812"	"134.11"	"65.273"	"6.223"	"0.088"	"0"	"23.194"
"1930"	"5.908"	"5.731"	"0.001"	"20.593"	"15.103"	"45.412"	"132.728"	"21.306"	"6.17"	"0.826"	"3.197"	"0.122"
"1931"	"2.856"	"6.573"	"5.974"	"2.355"	"9.392"	"6.01"	"138.645"	"132.273"	"17.478"	"7.685"	"0"	"0"
"1932"	"1.964"	"0.263"	"7.013"	"5.661"	"6.786"	"4.215"	"104.182"	"62.724"	"23.107"	"0"	"0"	"4.21"
"1933"	"0.153"	"10.1"	"4.307"	"5.705"	"14.444"	"49.271"	"71.237"	"190.078"	"36.696"	"1.274"	"1.482"	"0"
"1934"	"3.162"	"0.329"	"16.448"	"0.192"	"4.892"	"36.419"	"77.531"	"103.087"	"7.421"	"0"	"0"	"18.159"
"1935"	"11.386"	"13.516"	"10.286"	"49.029"	"1.201"	"8.683"	"103.243"	"82.479"	"52.565"	"1.171"	"2.665"	"0.771"
"1936"	"0.347"	"6.461"	"7.565"	"2.393"	"0.359"	"105.135"	"44.973"	"53.57"	"26.722"	"1.589"	"13.731"	"7.084"
"1937"	"0"	"49.588"	"0.557"	"10.379"	"1.371"	"6.316"	"189.112"	"2.226"	"27.179"	"0.24"	"0"	"7.116"
"1938"	"7.082"	"2.701"	"2.241"	"4.634"	"0.272"	"40.162"	"36.292"	"51.316"	"2.623"	"1.114"	"0"	"3.742"
"1939"	"0.449"	"21.13"	"9.179"	"0.529"	"1.423"	"35.514"	"19.077"	"33.219"	"19.584"	"0.238"	"0"	"0"
"1940"	"10.731"	"14.458"	"2.23"	"0.67"	"1.827"	"30.087"	"43.201"	"119.826"	"4.571"	"0.328"	"0"	"0"
"1941"	"13.135"	"1.241"	"2.733"	"0.238"	"14.138"	"48.969"	"27.376"	"34.479"	"26.102"	"0"	"0"	"2.004"
"1942"	"4.953"	"11.887"	"2.359"	"7.743"	"22.745"	"42.34"	"243.025"	"80.842"	"110.047"	"0.237"	"0"	"7.466"
"1943"	"3.26"	"0"	"0.151"	"20.272"	"3.142"	"25.35"	"125.347"	"16.409"	"18.767"	"0"	"0"	"0"
"1944"	"11.265"	"20.38"	"26.939"	"21.517"	"1.516"	"18.994"	"109.17"	"156.952"	"20.282"	"2.659"	"0"	"1.589"
"1945"	"15.662"	"0"	"1.001"	"39.406"	"25.517"	"38.946"	"97.261"	"75.955"	"117.061"	"0.35"	"0.001"	"0.039"
"1946"	"0.001"	"2.568"	"1.144"	"0.839"	"6.5"	"45.035"	"70.17"	"100.442"	"4.726"	"3.053"	"0.175"	"3.068"
"1947"	"2.103"	"4.439"	"1.68"	"0.138"	"1.652"	"0.442"	"12.302"	"92.132"	"62.343"	"8.191"	"0"	"1.844"
"1948"	"10.569"	"15.768"	"14.526"	"4.345"	"1.394"	"14.044"	"75.876"	"75.454"	"20.088"	"0.469"	"1.152"	"6.488"
"1949"	"9.152"	"13.622"	"2.86"	"0.313"	"1.884"	"7.733"	"225.647"	"42.557"	"36.058"	"0"	"0"	"0"
"1950"	"8.922"	"3.819"	"13.92"	"0.491"	"2.993"	"5.345"	"253.192"	"147.285"	"62.883"	"0"	"0"	"0"
"1951"	"3.433"	"0.276"	"9.905"	"13.293"	"7.15"	"9.961"	"52.53"	"82.466"	"6.807"	"0.295"	"8.71"	"0"
"1952"	"1.23"	"6.465"	"8.936"	"1.493"	"8.828"	"29.988"	"52.919"	"111.816"	"0.385"	"0.163"	"0.175"	"1.913"
"1953"	"16.147"	"0.231"	"0"	"2.346"	"2.159"	"7.449"	"60.936"	"138.586"	"25.368"	"0.011"	"0.613"	"0.758"
"1954"	"3.235"	"36.153"	"1.521"	"0.218"	"2.171"	"27.531"	"81.167"	"12.743"	"146.772"	"3.689"	"0.002"	"0"
"1955"	"5.64"	"0.897"	"7.349"	"7.746"	"9.267"	"34.585"	"24.442"	"178.783"	"53.721"	"6.06"	"0"	"0.637"
"1956"	"9.534"	"0.375"	"18.656"	"2.579"	"0.199"	"29.992"	"114.951"	"112.919"	"1.515"	"14.485"	"0.16"	"5.612"
"1957"	"23.703"	"0.196"	"9.071"	"7.021"	"12.227"	"23.998"	"79.048"	"83.677"	"18.329"	"1.872"	"4.672"	"3.232"
"1958"	"18.936"	"0.37"	"2.677"	"0.849"	"1.8"	"7.589"	"84.346"	"30.022"	"128.47"	"1.167"	"10.885"	"16.924"
"1959"	"6.712"	"5.001"	"4.319"	"1.353"	"9.604"	"19.95"	"166.17"	"138.544"	"112.055"	"1.244"	"8.008"	"0"
"1960"	"4.242"	"0"	"6.686"	"3.989"	"0.199"	"38.032"	"74.495"	"84.095"	"8.45"	"3.613"	"0"	"7.331"
"1961"	"12.394"	"19.04"	"0.635"	"6.831"	"15.025"	"43.367"	"89.741"	"120.413"	"75.427"	"5.052"	"7.537"	"3.243"
"1962"	"6.021"	"5.586"	"15.957"	"0"	"7.576"	"5.753"	"105.456"	"60.862"	"76"	"0"	"2.139"	"6.278"
"1963"	"0"	"2.669"	"2.299"	"1.837"	"10.665"	"13.789"	"42.64"	"77.507"	"23.966"	"0"	"0.16"	"4.271"
"1964"	"2.424"	"0.501"	"3.458"	"3.752"	"17.903"	"20.772"	"158.52"	"156.239"	"20.523"	"0"	"0.496"	"3.736"
"1965"	"3.723"	"4.47"	"2.716"	"12.877"	"6.186"	"6.476"	"122.114"	"37.377"	"13.034"	"1.177"	"2.76"	"0"
"1966"	"2.033"	"32.56"	"1.406"	"1.996"	"45.988"	"42.416"	"57.7"	"101.361"	"53.933"	"9.166"	"4.359"	"0"
"1967"	"0"	"2.234"	"45.481"	"4.244"	"1.137"	"9.554"	"47.633"	"152.442"	"46.246"	"7.656"	"13.557"	"17.491"
"1968"	"4.909"	"8.995"	"2.923"	"0.521"	"7.467"	"4.499"	"57.563"	"56.491"	"0.366"	"1.525"	"0"	"1.172"
"1969"	"0.277"	"2.75"	"5.58"	"15.636"	"10.892"	"8.18"	"100.668"	"40.273"	"23.067"	"2.784"	"0"	"0"
"1970"	"11.47"	"38.934"	"14.369"	"9.702"	"12.285"	"29.929"	"20.939"	"82.785"	"74.526"	"0.251"	"0"	"0"
"1971"	"2.722"	"3.95"	"0.517"	"18.613"	"44.519"	"59.007"	"53.494"	"132.309"	"20.607"	"2.78"	"0"	"0"
"1972"	"7.954"	"3.212"	"0.871"	"16.57"	"0.199"	"48.368"	"64.121"	"123.031"	"23.112"	"2.801"	"2.27"	"3.199"
"1973"	"3.071"	"2.59"	"1.072"	"0.312"	"11.4"	"4.142"	"86.598"	"128.487"	"15.718"	"1.657"	"0"	"4.834"
"1974"	"0.364"	"0.783"	"1.052"	"15.009"	"23.557"	"26.861"	"213.326"	"18.358"	"6.151"	"0.795"	"0"	"9.537"
"1975"	"5.67"	"3.573"	"7.637"	"0.94"	"1.235"	"48.534"	"133.668"	"100.801"	"81.894"	"2.577"	"0"	"2.764"
"1976"	"7.08"	"5.23"	"3.58"	"14.38"	"16.795"	"28.932"	"108.662"	"201.235"	"90.004"	"3.369"	"0.355"	"0.037"
"1977"	"10.861"	"0.081"	"0.191"	"18.686"	"18.508"	"94.165"	"208.94"	"49.869"	"116.984"	"4.06"	"4.281"	"1.915"
"1978"	"0.814"	"8.68"	"14.024"	"17.35"	"0.199"	"46.081"	"224.491"	"101.235"	"50.158"	"0.328"	"0.653"	"0.144"
"1979"	"8.135"	"32.335"	"12.329"	"3.654"	"23.188"	"17.691"	"52.356"	"31.984"	"36.663"	"5.488"	"3.361"	"5.293"
"1980"	"2.095"	"1.632"	"15.222"	"1.603"	"5.862"	"34.898"	"159.576"	"59.707"	"25.625"	"2.148"	"12.675"	"8.788"
"1981"	"9.897"	"5.437"	"24.037"	"0"	"14.008"	"32.448"	"214.043"	"47.1"	"13.095"	"0.998"	"26.062"	"1.486"
"1982"	"11.816"	"5.395"	"39.352"	"36.911"	"57.235"	"30.781"	"258.433"	"153.647"	"0.366"	"6.428"	"4.57"	"8.901"
"1983"	"9.584"	"6.44"	"12.173"	"34.267"	"67.59"	"37.993"	"154.346"	"174.164"	"34.89"	"4.746"	"0"	"0.732"
"1984"	"0"	"9.545"	"1.147"	"12.689"	"0.711"	"6.923"	"96.283"	"102.22"	"41.02"	"0"	"0"	"2.499"
"1985"	"0.793"	"0.129"	"0.696"	"16.593"	"14.568"	"24.611"	"126.447"	"97.009"	"17.991"	"4.738"	"0.284"	"6.387"
"1986"	"4.033"	"19.781"	"4.484"	"3.628"	"18.125"	"63.343"	"133.21"	"76.613"	"19.763"	"0.606"	"0"	"3.135"
"1987"	"11.249"	"17.848"	"12.832"	"2.395"	"24.283"	"19.718"	"26.283"	"36.041"	"2.05"	"5.344"	"0"	"0.779"
"1988"	"0.434"	"3.67"	"31.607"	"2.636"	"0.865"	"34.991"	"90.369"	"88.836"	"50.233"	"11.585"	"0"	"3.031"
"1989"	"25.493"	"1.027"	"7.2"	"0.581"	"2.318"	"9.852"	"108.323"	"103.246"	"22.387"	"0.129"	"2.546"	"0.472"
"1990"	"0.268"	"23.057"	"6.808"	"5.231"	"45.275"	"11.023"	"70.096"	"95.888"	"49.411"	"0.709"	"3.204"	"6.87"
"1991"	"0"	"9.587"	"1.7"	"10.215"	"24.807"	"36.648"	"32.527"	"48.63"	"21.503"	"0.883"	"1.674"	"12.914"
"1992"	"8.007"	"19.521"	"3.009"	"4.05"	"22.91"	"7.036"	"40.673"	"95.101"	"51.024"	"9.765"	"6.165"	"0.263"
"1993"	"1.844"	"4.56"	"4.968"	"6.88"	"8.762"	"30.134"	"146.707"	"33.609"	"38.545"	"2.866"	"0.052"	"0"
"1994"	"15.217"	"2.34"	"3.705"	"5.44"	"35.294"	"23.521"	"111.927"	"89.845"	"34.282"	"0.24"	"0"	"1.189"
"1995"	"16.394"	"30.461"	"6.543"	"9.374"	"0.199"	"29.341"	"161.713"	"122.844"	"35.596"	"3.921"	"1.042"	"0.221"
"1996"	"5.737"	"6.915"	"8.327"	"3.427"	"8.634"	"134.483"	"70.713"	"108.613"	"17.447"	"2.273"	"0"	"0"
"1997"	"6.151"	"3.355"	"5.686"	"17.179"	"29.28"	"87.12"	"78.916"	"120.151"	"14.947"	"14.745"	"6.452"	"5.112"
"1998"	"0"	"6.977"	"8.085"	"33.902"	"5.625"	"33.648"	"164.289"	"41.876"	"38.27"	"8.376"	"3.097"	"5.612"
"1999"	"15.549"	"1.954"	"1.222"	"0"	"32.879"	"19.811"	"71.096"	"38.124"	"20.221"	"1.074"	"0"	"0"
"2000"	"6.012"	"8.969"	"3.04"	"0.146"	"6.57"	"30.761"	"158.426"	"39.52"	"6.043"	"0"	"4.154"	"3.298"
"2001"	"1.426"	"2.447"	"4.707"	"14.217"	"34.411"	"57.088"	"78.931"	"43.264"	"32.929"	"1.992"	"0"	"0"
"2002"	"1.429"	"2.838"	"3.32"	"6.969"	"9.588"	"15.002"	"13.787"	"33.608"	"26.295"	"0"	"7.23"	"16.977"
