
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.43"	"3.11"	"4.82"	"6.41"	"7.62"	"7.73"	"6.37"	"5.55"	"5.34"	"4.95"	"3.46"	"2.57"
"1902"	"2.62"	"3.38"	"5.04"	"6.64"	"7.71"	"7.41"	"6.32"	"5.68"	"5.26"	"4.76"	"3.42"	"2.47"
"1903"	"2.48"	"3.24"	"4.54"	"6.26"	"7.56"	"7.81"	"6.39"	"5.6"	"5.35"	"4.83"	"3.32"	"2.44"
"1904"	"2.43"	"3.31"	"4.65"	"6.63"	"7.72"	"7.58"	"6.27"	"5.54"	"5.29"	"4.79"	"3.38"	"2.54"
"1905"	"2.36"	"2.82"	"4.35"	"6.21"	"7.95"	"7.62"	"6.39"	"5.72"	"5.39"	"4.83"	"3.52"	"2.53"
"1906"	"2.4"	"3.05"	"4.5"	"6.39"	"7.97"	"7.47"	"6.41"	"5.54"	"5.22"	"4.85"	"3.53"	"2.61"
"1907"	"2.7"	"3.1"	"4.45"	"6.19"	"7.41"	"7.45"	"6.44"	"5.44"	"5.29"	"4.73"	"3.45"	"2.44"
"1908"	"2.53"	"3.33"	"4.73"	"6.57"	"7.67"	"7.63"	"6.1"	"5.27"	"5.22"	"4.69"	"3.32"	"2.46"
"1909"	"2.42"	"3.18"	"4.74"	"6.3"	"7.59"	"7.45"	"6"	"5.38"	"5.09"	"4.75"	"3.53"	"2.43"
"1910"	"2.45"	"3.3"	"4.74"	"6.3"	"7.75"	"7.49"	"6.07"	"5.37"	"5.26"	"4.69"	"3.32"	"2.48"
"1911"	"2.56"	"3.33"	"4.48"	"6.41"	"7.84"	"7.5"	"6.47"	"5.71"	"5.31"	"4.83"	"3.16"	"2.48"
"1912"	"2.55"	"3.25"	"4.68"	"6.49"	"7.75"	"7.74"	"6.27"	"5.42"	"5.2"	"4.77"	"3.29"	"2.5"
"1913"	"2.59"	"3.24"	"4.45"	"6.65"	"7.49"	"7.27"	"6.07"	"5.49"	"5.31"	"4.83"	"3.35"	"2.48"
"1914"	"2.66"	"3.15"	"4.62"	"6.4"	"7.78"	"7.45"	"6.06"	"5.49"	"5.25"	"4.6"	"3.38"	"2.43"
"1915"	"2.47"	"3.11"	"4.79"	"6.49"	"8.04"	"7.63"	"6.46"	"5.65"	"5.44"	"4.87"	"3.41"	"2.54"
"1916"	"2.61"	"3.17"	"5.11"	"6.66"	"7.53"	"7.44"	"6.41"	"5.4"	"5.21"	"4.65"	"3.21"	"2.44"
"1917"	"2.54"	"3.37"	"4.75"	"6.09"	"7.13"	"7.4"	"6.07"	"5.3"	"5"	"4.57"	"3.21"	"2.53"
"1918"	"2.44"	"3.32"	"4.68"	"6.09"	"7.94"	"7.44"	"6.42"	"5.62"	"5.29"	"4.81"	"3.38"	"2.44"
"1919"	"2.55"	"3.2"	"4.78"	"6.36"	"7.56"	"7.81"	"6.23"	"5.43"	"5.2"	"4.74"	"3.29"	"2.44"
"1920"	"2.47"	"3.19"	"4.75"	"6.3"	"7.13"	"7.24"	"6.21"	"5.49"	"5.36"	"4.92"	"3.49"	"2.54"
"1921"	"2.57"	"3.35"	"5.12"	"6.94"	"7.98"	"7.7"	"6.4"	"5.44"	"5.26"	"4.72"	"3.41"	"2.63"
"1922"	"2.45"	"3.35"	"4.9"	"6.61"	"7.68"	"7.47"	"6.32"	"5.5"	"5.18"	"4.73"	"3.34"	"2.52"
"1923"	"2.49"	"3.18"	"4.84"	"6.62"	"7.51"	"7.69"	"6.19"	"5.32"	"5.25"	"4.69"	"3.31"	"2.48"
"1924"	"2.45"	"3.27"	"4.93"	"6.58"	"7.18"	"7.72"	"6.41"	"5.49"	"5.05"	"4.79"	"3.34"	"2.56"
"1925"	"2.4"	"3.07"	"4.94"	"6.94"	"7.67"	"7.23"	"6.02"	"5.51"	"5.38"	"4.81"	"3.26"	"2.5"
"1926"	"2.55"	"3.47"	"4.62"	"6.1"	"7.26"	"7.67"	"6.3"	"5.38"	"5.14"	"4.74"	"3.19"	"2.46"
"1927"	"2.37"	"3.05"	"4.65"	"6.35"	"7.46"	"7.46"	"6.11"	"5.36"	"5.18"	"4.76"	"3.38"	"2.56"
"1928"	"2.44"	"3.34"	"4.76"	"6.49"	"7.86"	"7.51"	"6.24"	"5.51"	"5.21"	"4.8"	"3.47"	"2.42"
"1929"	"2.47"	"3.15"	"5.06"	"6.62"	"7.73"	"7.54"	"6.09"	"5.38"	"5.31"	"4.71"	"3.43"	"2.37"
"1930"	"2.42"	"3.27"	"4.78"	"6.31"	"7.55"	"7.33"	"5.97"	"5.42"	"5.22"	"4.73"	"3.28"	"2.46"
"1931"	"2.55"	"2.92"	"4.63"	"6.62"	"7.55"	"7.43"	"6.11"	"5.48"	"5.21"	"4.67"	"3.35"	"2.56"
"1932"	"2.66"	"3.27"	"4.91"	"6.63"	"7.52"	"7.71"	"6.18"	"5.37"	"5.3"	"4.72"	"3.34"	"2.46"
"1933"	"2.39"	"3.27"	"4.69"	"6.2"	"7.38"	"7.51"	"6.14"	"5.24"	"5.08"	"4.68"	"3.34"	"2.56"
"1934"	"2.34"	"3.49"	"4.63"	"6.47"	"7.5"	"7.44"	"6.22"	"5.42"	"5.32"	"4.72"	"3.38"	"2.61"
"1935"	"2.36"	"3.31"	"4.77"	"6.02"	"7.67"	"7.59"	"6.12"	"5.48"	"5.21"	"4.68"	"3.44"	"2.5"
"1936"	"2.4"	"3.41"	"4.62"	"6.46"	"8.06"	"7.23"	"6.09"	"5.36"	"5.21"	"4.84"	"3.34"	"2.52"
"1937"	"2.46"	"3.27"	"4.55"	"6.25"	"7.67"	"7.62"	"6.09"	"5.67"	"5.26"	"4.54"	"3.3"	"2.37"
"1938"	"2.42"	"3.11"	"4.87"	"6.59"	"7.96"	"7.33"	"6.26"	"5.55"	"5.39"	"4.83"	"3.26"	"2.47"
"1939"	"2.55"	"3.29"	"4.42"	"6.18"	"7.91"	"7.33"	"6.22"	"5.59"	"5.38"	"4.87"	"3.39"	"2.61"
"1940"	"2.56"	"3.27"	"4.64"	"6.29"	"7.77"	"7.45"	"6.22"	"5.39"	"5.2"	"4.8"	"3.5"	"2.55"
"1941"	"2.45"	"3.41"	"5.14"	"6.95"	"7.88"	"7.27"	"6.25"	"5.53"	"5.26"	"4.99"	"3.43"	"2.59"
"1942"	"2.44"	"3.3"	"4.97"	"6.76"	"7.7"	"7.57"	"6.13"	"5.31"	"5.04"	"4.69"	"3.49"	"2.43"
"1943"	"2.44"	"3.28"	"4.85"	"6.33"	"7.6"	"7.43"	"6.29"	"5.36"	"5.31"	"4.74"	"3.45"	"2.65"
"1944"	"2.44"	"3.2"	"4.63"	"6.48"	"7.77"	"7.52"	"6.31"	"5.39"	"5.17"	"4.62"	"3.46"	"2.5"
"1945"	"2.33"	"3.17"	"4.8"	"6.25"	"7.51"	"7.36"	"6.03"	"5.43"	"5.2"	"4.71"	"3.39"	"2.43"
"1946"	"2.55"	"3.48"	"4.71"	"6.96"	"7.8"	"7.66"	"6.24"	"5.48"	"5.32"	"4.84"	"3.33"	"2.4"
"1947"	"2.45"	"3.3"	"4.98"	"6.75"	"7.9"	"7.87"	"6.41"	"5.65"	"5.1"	"4.69"	"3.56"	"2.54"
"1948"	"2.55"	"3.27"	"4.72"	"6.72"	"7.84"	"7.63"	"6.18"	"5.36"	"5.32"	"4.84"	"3.25"	"2.49"
"1949"	"2.63"	"3.26"	"4.86"	"6.79"	"8.09"	"7.44"	"6.09"	"5.44"	"5.54"	"4.65"	"3.21"	"2.46"
"1950"	"2.59"	"3.02"	"4.61"	"6.37"	"7.85"	"7.66"	"6.15"	"5.36"	"5.11"	"4.69"	"3.26"	"2.34"
"1951"	"2.46"	"3.2"	"4.76"	"6.21"	"7.64"	"7.5"	"6.45"	"5.5"	"5.35"	"5.06"	"3.53"	"2.59"
"1952"	"2.55"	"3.47"	"4.82"	"6.85"	"7.94"	"7.53"	"6.23"	"5.35"	"5.3"	"4.97"	"3.35"	"2.47"
"1953"	"2.5"	"3.56"	"5.19"	"6.57"	"7.86"	"7.56"	"6.18"	"5.3"	"5.24"	"4.73"	"3.35"	"2.74"
"1954"	"2.44"	"3.36"	"4.74"	"6.61"	"7.95"	"7.56"	"6.07"	"5.37"	"5.36"	"4.68"	"3.38"	"2.53"
"1955"	"2.48"	"3.43"	"5"	"6.3"	"7.35"	"7.61"	"6.18"	"5.42"	"5.18"	"4.61"	"3.33"	"2.56"
"1956"	"2.45"	"3.35"	"4.78"	"6.54"	"8.09"	"7.48"	"6.12"	"5.35"	"5.34"	"4.5"	"3.32"	"2.56"
"1957"	"2.45"	"3.15"	"4.8"	"6.3"	"7.33"	"7.44"	"6.23"	"5.2"	"5.07"	"4.75"	"3.45"	"2.52"
"1958"	"2.65"	"3.34"	"4.98"	"6.91"	"7.69"	"7.7"	"6.17"	"5.52"	"5.11"	"4.72"	"3.43"	"2.62"
"1959"	"2.47"	"3.17"	"4.93"	"6.64"	"7.6"	"7.63"	"6.21"	"5.41"	"5.24"	"4.83"	"3.42"	"2.55"
"1960"	"2.46"	"3.58"	"4.71"	"6.32"	"7.75"	"7.64"	"6.2"	"5.5"	"5.34"	"4.73"	"3.27"	"2.49"
"1961"	"2.55"	"3.04"	"4.84"	"6.35"	"7.5"	"7.54"	"5.94"	"5.36"	"5.13"	"4.52"	"3.15"	"2.35"
"1962"	"2.4"	"3.29"	"4.91"	"6.58"	"7.65"	"7.52"	"6.17"	"5.47"	"4.96"	"4.67"	"3.22"	"2.4"
"1963"	"2.55"	"3.54"	"4.73"	"6.28"	"7.43"	"7.54"	"6.46"	"5.45"	"5.11"	"4.86"	"3.38"	"2.57"
"1964"	"2.3"	"3.15"	"4.92"	"6.53"	"7.38"	"7.43"	"5.84"	"5.53"	"5.2"	"4.66"	"3.27"	"2.4"
"1965"	"2.65"	"3.27"	"4.73"	"6.1"	"7.36"	"7.5"	"6.07"	"5.38"	"5.18"	"4.78"	"3.49"	"2.41"
"1966"	"2.68"	"3.53"	"4.72"	"6.36"	"7.79"	"7.57"	"6.46"	"5.51"	"5.14"	"4.79"	"3.38"	"2.52"
"1967"	"2.43"	"3.58"	"4.75"	"6.38"	"7.66"	"7.73"	"6.31"	"5.31"	"5.36"	"4.65"	"3.45"	"2.52"
"1968"	"2.45"	"3.08"	"4.93"	"6.54"	"7.5"	"7.61"	"6.26"	"5.58"	"5.8"	"4.74"	"3.45"	"2.48"
"1969"	"2.52"	"3.3"	"5.33"	"6.5"	"7.53"	"7.64"	"6.26"	"5.68"	"5.28"	"4.92"	"3.49"	"2.67"
"1970"	"2.59"	"3.34"	"4.78"	"6.85"	"8.14"	"7.52"	"6.49"	"5.54"	"5.26"	"5.09"	"3.46"	"2.58"
"1971"	"2.48"	"3.39"	"4.81"	"6.83"	"7.57"	"7.29"	"5.89"	"5.41"	"5.41"	"4.81"	"3.4"	"2.74"
"1972"	"2.55"	"3.04"	"4.97"	"6.45"	"7.6"	"7.48"	"6.49"	"5.4"	"5.04"	"4.48"	"3.35"	"2.43"
"1973"	"2.36"	"3.47"	"4.74"	"6.97"	"7.92"	"7.71"	"6.28"	"5.33"	"5.22"	"4.64"	"3.41"	"2.43"
"1974"	"2.45"	"3.05"	"5.04"	"6.92"	"7.75"	"7.19"	"6.08"	"5.68"	"5.5"	"4.72"	"3.4"	"2.38"
"1975"	"2.38"	"3.21"	"4.67"	"6.44"	"7.81"	"7.28"	"6.07"	"5.33"	"4.83"	"4.89"	"3.31"	"2.61"
"1976"	"2.58"	"3.26"	"4.58"	"6.4"	"7.86"	"7.19"	"6.16"	"5.15"	"5.13"	"4.86"	"3.48"	"2.52"
"1977"	"2.44"	"3.48"	"5.29"	"6.43"	"7.41"	"7"	"5.8"	"5.37"	"4.88"	"4.74"	"3.63"	"2.7"
"1978"	"2.46"	"3.13"	"4.57"	"6.75"	"8.4"	"7.74"	"5.8"	"5.19"	"4.94"	"4.77"	"3.3"	"2.59"
"1979"	"2.52"	"3.21"	"4.46"	"6.63"	"7.2"	"7.65"	"6.23"	"5.59"	"5.12"	"4.79"	"3.55"	"2.61"
"1980"	"2.47"	"3.43"	"4.63"	"6.9"	"7.83"	"7.42"	"6.04"	"5.44"	"5.15"	"4.81"	"3.5"	"2.58"
"1981"	"2.51"	"3.4"	"4.7"	"6.8"	"7.69"	"7.59"	"6.09"	"5.48"	"5.27"	"4.78"	"3.21"	"2.54"
"1982"	"2.5"	"3.08"	"4.41"	"6.33"	"7.23"	"7.52"	"6.37"	"5.35"	"5.36"	"4.81"	"3.28"	"2.53"
"1983"	"2.43"	"3.23"	"4.68"	"6.03"	"7.27"	"7.26"	"6.26"	"5.42"	"5.22"	"4.61"	"3.39"	"2.54"
"1984"	"2.43"	"3.05"	"5.03"	"6.54"	"8.07"	"7.64"	"6.12"	"5.39"	"5.02"	"4.59"	"3.32"	"2.35"
"1985"	"2.45"	"3.62"	"4.93"	"6.65"	"7.86"	"7.39"	"6.16"	"5.29"	"5.21"	"4.52"	"3.46"	"2.57"
"1986"	"2.51"	"3.22"	"4.72"	"6.51"	"7.49"	"7.46"	"6.07"	"5.32"	"5.15"	"4.72"	"3.48"	"2.4"
"1987"	"2.69"	"3.46"	"4.79"	"6.58"	"7.1"	"7.53"	"6.13"	"5.64"	"5.4"	"4.69"	"3.56"	"2.55"
"1988"	"2.6"	"3.41"	"4.7"	"6.89"	"8.13"	"7.48"	"6.01"	"5.23"	"5.06"	"4.75"	"3.48"	"2.58"
"1989"	"2.43"	"3.1"	"4.81"	"6.49"	"7.68"	"7.22"	"6.23"	"5.34"	"5.17"	"4.71"	"3.43"	"2.44"
"1990"	"2.65"	"3.25"	"4.57"	"6.52"	"7.67"	"7.42"	"6.13"	"5.4"	"5.3"	"4.58"	"3.47"	"2.5"
"1991"	"2.53"	"3.3"	"4.78"	"6.42"	"7.81"	"7.51"	"6.42"	"5.44"	"5.26"	"4.68"	"3.41"	"2.6"
"1992"	"2.59"	"3.25"	"4.74"	"6.5"	"7.63"	"7.72"	"6.05"	"5.36"	"5.1"	"4.69"	"3.37"	"2.65"
"1993"	"2.56"	"3.53"	"4.62"	"6.61"	"7.93"	"7.61"	"6.11"	"5.54"	"5.16"	"4.77"	"3.52"	"2.6"
"1994"	"2.62"	"3.3"	"5.01"	"6.4"	"7.96"	"7.67"	"6.05"	"5.33"	"5.09"	"4.63"	"3.46"	"2.59"
"1995"	"2.5"	"3.33"	"4.63"	"6.43"	"7.88"	"7.74"	"6.23"	"5.3"	"5.2"	"4.81"	"3.43"	"2.57"
"1996"	"2.55"	"3.37"	"5"	"6.63"	"7.66"	"7.21"	"6.22"	"5.36"	"5.2"	"4.72"	"3.35"	"2.48"
"1997"	"2.48"	"3.31"	"4.72"	"6.32"	"7.31"	"7.18"	"6.22"	"5.38"	"5.22"	"4.47"	"3.3"	"2.35"
"1998"	"2.51"	"3.35"	"4.62"	"6.63"	"7.86"	"7.41"	"6.15"	"5.54"	"5.19"	"4.72"	"3.53"	"2.52"
"1999"	"2.44"	"3.35"	"4.89"	"6.73"	"7.81"	"7.35"	"6.21"	"5.45"	"5.29"	"4.79"	"3.62"	"2.56"
"2000"	"2.55"	"3.27"	"4.81"	"6.85"	"8.04"	"7.39"	"6.1"	"5.45"	"5.21"	"4.78"	"3.49"	"2.56"
"2001"	"2.44"	"3.42"	"4.9"	"6.53"	"7.79"	"7.2"	"6.09"	"5.39"	"5.28"	"4.84"	"3.51"	"2.57"
"2002"	"2.58"	"3.29"	"4.83"	"6.82"	"7.9"	"7.55"	"6.27"	"5.54"	"5.15"	"4.75"	"3.51"	"2.58"
