
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.3039"	"0.9999"	"1.0219"	"0.7006"	"2.3536"	"1.351"	"5.5587"	"4.2811"	"0.4595"	"0"	"0"	"0.1227"
"1902"	"0"	"0"	"0.9437"	"1"	"1.3813"	"3.0631"	"4.264"	"3.642"	"2.5826"	"1"	"0"	"0"
"1903"	"1.0212"	"0.039"	"0.9828"	"0.0012"	"1.324"	"1.2939"	"5.7244"	"4.2814"	"3.0217"	"0.7488"	"0"	"1.0206"
"1904"	"1.1778"	"0"	"2.628"	"0.9998"	"1.5818"	"2.4118"	"2.5432"	"3.539"	"3.1687"	"0.9197"	"1.0708"	"1.0206"
"1905"	"2.0005"	"1.1185"	"1.0084"	"1"	"0.3918"	"1.3318"	"3.3212"	"0.8618"	"3.654"	"0.6144"	"0"	"1.0898"
"1906"	"0"	"3.3048"	"2.0631"	"0.5652"	"0.9579"	"2.6221"	"3.8321"	"4.5662"	"4.1101"	"0"	"0"	"1.041"
"1907"	"1.021"	"1.618"	"1.1093"	"2.0364"	"1.0129"	"2.2374"	"4.691"	"5.2662"	"0.366"	"0.2415"	"0"	"0"
"1908"	"1.6396"	"0.9423"	"0"	"1.6687"	"1.0207"	"1.9983"	"7.0013"	"7.7874"	"2.6274"	"0.0069"	"0"	"0.6893"
"1909"	"1.0209"	"1.1552"	"0"	"2.5196"	"1.165"	"3.9064"	"7.6568"	"5.3932"	"4.4605"	"0.0003"	"0"	"1.3484"
"1910"	"1.0705"	"0.9415"	"0.3929"	"1.1913"	"0.5482"	"3.3547"	"4.4713"	"7.1775"	"1.9163"	"0.9839"	"0"	"0.4385"
"1911"	"1.6472"	"0.3456"	"3.6221"	"1.0309"	"1.0267"	"2.523"	"2.4662"	"2.7125"	"2.2777"	"1"	"1.3279"	"0"
"1912"	"1.531"	"0.9974"	"1.0062"	"1.6074"	"1.0209"	"2.0021"	"3.9682"	"5.0704"	"1.6717"	"1"	"0.7969"	"0.5222"
"1913"	"0.1386"	"1.3901"	"1.1166"	"1.0002"	"2.468"	"3.378"	"4.3518"	"3.1872"	"1.826"	"0.1599"	"1.0708"	"1.0843"
"1914"	"1.493"	"1.0965"	"1.007"	"1.4205"	"1.7662"	"3.272"	"6.6618"	"3.1447"	"3.8315"	"1"	"1.0756"	"0.9944"
"1915"	"1.2244"	"2.5564"	"2.4213"	"1.3235"	"0.2058"	"1.8662"	"3.1636"	"2.2394"	"2.2428"	"1"	"0"	"0.4505"
"1916"	"0.6407"	"1.0992"	"1.0007"	"1.4224"	"2.7795"	"3.0227"	"6.2292"	"6.2437"	"3.1177"	"1"	"0"	"0"
"1917"	"1.0276"	"0.8541"	"1.0064"	"2.656"	"2.9875"	"2.9321"	"5.126"	"7.067"	"5.5299"	"1"	"0"	"1.0206"
"1918"	"0.9896"	"0.2509"	"1.2924"	"1.3351"	"0.6023"	"2.041"	"1.3405"	"3.7179"	"1.0019"	"0"	"0.3951"	"1.0797"
"1919"	"2.1361"	"1.077"	"0.9835"	"1.6472"	"1.6216"	"0.3057"	"4.7828"	"5.6266"	"3.1245"	"0"	"1.0708"	"1.0444"
"1920"	"1.0156"	"1.0007"	"1.0184"	"1.804"	"2.0373"	"4.0192"	"5.8617"	"3.4063"	"0.9159"	"0"	"0"	"0"
"1921"	"1.0096"	"0"	"0"	"1"	"0.7136"	"1.8713"	"7.7209"	"5.4474"	"3.0225"	"0.9825"	"0"	"1.0869"
"1922"	"1.0209"	"0.9786"	"0.8472"	"1.0716"	"1.0181"	"2.0738"	"4.3207"	"2.7733"	"4.2247"	"1"	"0"	"1.2026"
"1923"	"1.285"	"1.3307"	"0.9574"	"1.2444"	"2.3778"	"1.9426"	"4.8674"	"5.3506"	"1.0309"	"0.9664"	"0"	"1.2262"
"1924"	"2.0516"	"1.1084"	"1.0067"	"1"	"1.8131"	"1.3053"	"4.7267"	"4.2538"	"3.5284"	"0.8996"	"0.3586"	"1.2998"
"1925"	"0.8753"	"0.1779"	"0.454"	"0.2192"	"1.4892"	"4.297"	"5.2081"	"2.7149"	"1.0818"	"0.3271"	"1.2402"	"0"
"1926"	"1.0209"	"0.0406"	"2.0084"	"1.0892"	"1.8399"	"0.538"	"6.0093"	"6.1128"	"2.57"	"0"	"0.5118"	"1.0548"
"1927"	"0"	"1.458"	"1.0994"	"1"	"1.9054"	"1.7207"	"5.9749"	"5.078"	"1.2286"	"1"	"0"	"1.1411"
"1928"	"1.0112"	"1.0086"	"1.0246"	"1.2671"	"1.013"	"2.018"	"5.0444"	"6.0859"	"2.732"	"0.9176"	"1.1768"	"1.0869"
"1929"	"1.0209"	"0.3295"	"0.0016"	"1.1267"	"1.4934"	"2.5712"	"6.1689"	"4.4544"	"1.0042"	"0.0884"	"0"	"1.2364"
"1930"	"1.0719"	"1.047"	"0.0012"	"1.8853"	"1.9344"	"3.4033"	"6.4369"	"2.5321"	"1.345"	"0.6859"	"1.0708"	"0.1227"
"1931"	"1.0151"	"1.1114"	"1.1635"	"1"	"1.4471"	"1.1169"	"6.5526"	"5.7601"	"2.1612"	"1"	"0"	"0"
"1932"	"0.9258"	"0.2628"	"1.2439"	"1.0459"	"1.0147"	"1.13"	"5.8048"	"4.232"	"2.1307"	"0"	"0"	"1.168"
"1933"	"0.1535"	"1.2797"	"1.103"	"1.0532"	"1.9833"	"3.7521"	"4.5672"	"6.874"	"2.8265"	"0.8143"	"1.0567"	"0"
"1934"	"1.0201"	"0.329"	"2.0525"	"0.1936"	"1.0198"	"3.1335"	"4.3534"	"5.0485"	"1.1202"	"0"	"0"	"1.0507"
"1935"	"1.5255"	"1.4608"	"1.2277"	"2.5044"	"0.9028"	"1.1665"	"5.608"	"4.8726"	"3.3013"	"0.9281"	"1.1482"	"0.683"
"1936"	"0.3468"	"1.07"	"1.2392"	"0.9658"	"0.3585"	"5.0603"	"4.4861"	"3.7572"	"2.5923"	"0.9533"	"1.0719"	"1.0922"
"1937"	"0"	"2.9617"	"0.5574"	"1.4175"	"1.0006"	"1.238"	"7.4685"	"1.0032"	"2.3642"	"0.2415"	"0"	"1.0661"
"1938"	"1.0834"	"0.9917"	"1.0049"	"1.0155"	"0.2717"	"3.3755"	"3.4137"	"3.2338"	"0.992"	"0.9236"	"0"	"1.0206"
"1939"	"0.4497"	"1.814"	"1.5466"	"0.5291"	"0.9384"	"2.5892"	"2.4014"	"2.9204"	"2.1578"	"0.2384"	"0"	"0"
"1940"	"1.7153"	"1.4599"	"1.0087"	"0.634"	"1.0129"	"2.8104"	"3.8569"	"5.5291"	"1.0214"	"0.3285"	"0"	"0.0003"
"1941"	"1.6751"	"0.9274"	"1.0065"	"0.2391"	"1.7926"	"3.3146"	"2.9768"	"2.8686"	"2.355"	"0"	"0"	"1.0452"
"1942"	"1.0277"	"1.4027"	"0.9732"	"1.0583"	"2.0515"	"2.9249"	"7.9733"	"4.7176"	"3.8989"	"0.238"	"0"	"1.1148"
"1943"	"1.0215"	"0"	"0.1526"	"1.6807"	"1.1285"	"2.5305"	"5.6812"	"2.6138"	"2.2004"	"0"	"0"	"0"
"1944"	"1.5573"	"1.8427"	"2.3933"	"2.0545"	"1.012"	"2.0816"	"5.7557"	"6.965"	"1.8106"	"0.9316"	"0"	"0.9092"
