
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.135"	"16.723"	"24.238"	"28.98"	"33.782"	"35.787"	"32.369"	"28.917"	"29.843"	"28.524"	"22.218"	"18.48"
"1902"	"17.355"	"19.76"	"26.358"	"30.464"	"33.898"	"33.564"	"30.852"	"30.28"	"28.895"	"26.55"	"21.434"	"16.748"
"1903"	"16.328"	"17.841"	"21.99"	"27.849"	"33.092"	"36.192"	"32.079"	"28.965"	"29.483"	"26.543"	"20.4"	"16.356"
"1904"	"15.87"	"18.87"	"22.874"	"30.182"	"33.567"	"33.635"	"29.453"	"27.755"	"28.472"	"26.564"	"21.013"	"17.178"
"1905"	"14.257"	"13.295"	"20.401"	"27.235"	"35.199"	"35.213"	"31.908"	"29.635"	"30.594"	"27.678"	"23.387"	"17.667"
"1906"	"14.868"	"16.13"	"22.318"	"28.54"	"35.509"	"33.538"	"30.837"	"29.886"	"28.698"	"27.337"	"22.65"	"18.195"
"1907"	"18.121"	"16.67"	"21.765"	"27.421"	"31.888"	"34.415"	"32.895"	"27.987"	"28.938"	"27.022"	"22.137"	"16.275"
"1908"	"15.952"	"18.432"	"23.108"	"29.961"	"33.55"	"34.523"	"28.835"	"27.299"	"28.491"	"26.211"	"20.89"	"16.742"
"1909"	"15.362"	"17.603"	"23.772"	"27.695"	"32.602"	"33.216"	"28.565"	"27.756"	"27.834"	"26.734"	"22.55"	"16.129"
"1910"	"15.334"	"18.651"	"23.751"	"27.829"	"33.959"	"33.237"	"29.964"	"28.38"	"29.008"	"25.403"	"20.212"	"16.919"
"1911"	"17.574"	"18.971"	"21.696"	"29.16"	"35.066"	"33.668"	"32.633"	"30.712"	"28.491"	"26.955"	"19.76"	"17.296"
"1912"	"16.93"	"19.702"	"22.623"	"29.692"	"33.988"	"35.681"	"30.697"	"28.355"	"28.007"	"26.518"	"20.268"	"16.935"
"1913"	"16.655"	"18.128"	"21.437"	"30.313"	"32.257"	"32.073"	"29.368"	"29.601"	"30.059"	"28.06"	"21.373"	"16.75"
"1914"	"18.457"	"17.666"	"22.832"	"29.54"	"34.983"	"33.259"	"29.924"	"28.9"	"29.094"	"26.125"	"22.147"	"16.152"
"1915"	"15.559"	"16.542"	"23.403"	"28.913"	"35.331"	"34.982"	"32.898"	"29.813"	"31.165"	"28.28"	"21.482"	"18.072"
"1916"	"16.959"	"17.032"	"25.814"	"30.164"	"33.396"	"32.553"	"30.666"	"27.692"	"28.283"	"25.095"	"19.103"	"15.892"
"1917"	"16.812"	"18.328"	"23.012"	"26.256"	"30.113"	"32.243"	"28.593"	"27.333"	"27.136"	"24.407"	"18.599"	"16.793"
"1918"	"14.854"	"19.19"	"23.506"	"27.009"	"35.228"	"33.682"	"32.486"	"29.911"	"29.132"	"27.24"	"21.432"	"15.857"
"1919"	"16.052"	"17.366"	"23.865"	"28.285"	"32.589"	"35.176"	"30.122"	"27.798"	"28.105"	"26.272"	"20.629"	"16.152"
"1920"	"15.62"	"17.555"	"23.733"	"28.387"	"29.651"	"31.043"	"28.825"	"28.593"	"30.512"	"27.711"	"22.398"	"17.161"
"1921"	"16.735"	"18.948"	"26.346"	"31.538"	"34.869"	"35.357"	"32.437"	"28.487"	"28.216"	"25.876"	"21.266"	"18.929"
"1922"	"15.504"	"19.91"	"24.275"	"29.734"	"33.33"	"32.995"	"30.694"	"28.423"	"28.217"	"25.852"	"20.857"	"16.682"
"1923"	"15.928"	"17.826"	"24.657"	"29.854"	"32.61"	"35.422"	"30.715"	"27.746"	"28.947"	"26.093"	"20.61"	"16.629"
"1924"	"14.974"	"18.142"	"25.169"	"29.815"	"31.047"	"34.865"	"31.002"	"28.07"	"27.024"	"25.077"	"19.882"	"16.754"
"1925"	"13.854"	"16.043"	"24.105"	"31.166"	"32.79"	"30.306"	"28.393"	"29.822"	"30.465"	"27.673"	"20.413"	"16.983"
"1926"	"16.496"	"20.526"	"22.543"	"26.389"	"31.611"	"35.387"	"31.242"	"28.327"	"27.632"	"25.736"	"19.057"	"16.077"
"1927"	"14.022"	"16.018"	"22.285"	"28.481"	"32.797"	"34.419"	"30.1"	"27.865"	"28.032"	"26.898"	"20.242"	"17.832"
"1928"	"15.461"	"18.957"	"24.446"	"29.068"	"35.144"	"34.363"	"30.811"	"29.729"	"29.106"	"27.192"	"21.841"	"16.123"
"1929"	"15.517"	"16.97"	"25.934"	"29.816"	"33.681"	"33.949"	"29.514"	"28.078"	"29.451"	"26.741"	"21.915"	"15.679"
"1930"	"15.388"	"18.121"	"24.294"	"28.418"	"32.873"	"32.726"	"28.591"	"28.338"	"30.044"	"27.186"	"20.43"	"16.774"
"1931"	"17.333"	"16.242"	"22.89"	"30.624"	"33.707"	"34.789"	"30.611"	"28.497"	"28.46"	"25.738"	"20.943"	"17.957"
"1932"	"18.878"	"17.964"	"24.191"	"28.772"	"33.017"	"35.013"	"30.267"	"27.559"	"29.564"	"26.913"	"20.317"	"17.276"
"1933"	"14.331"	"18.769"	"23.74"	"27.596"	"30.697"	"32.85"	"29.353"	"27.197"	"27.693"	"25.408"	"20.916"	"17.38"
"1934"	"14.322"	"19.748"	"22.81"	"28.989"	"32.804"	"33.017"	"29.848"	"27.731"	"28.999"	"25.346"	"20.446"	"17.707"
"1935"	"13.989"	"18.646"	"23.64"	"26.559"	"33.536"	"34.598"	"29.606"	"28.271"	"28.123"	"25.379"	"21.364"	"16.849"
"1936"	"14.638"	"18.642"	"22.907"	"28.819"	"35.477"	"32.406"	"29.721"	"28.141"	"28.518"	"26.392"	"21.344"	"16.865"
"1937"	"15.229"	"19.079"	"22.151"	"28.408"	"33.914"	"34.734"	"29.291"	"29.262"	"28.885"	"25.84"	"21.409"	"15.754"
"1938"	"15.171"	"16.943"	"25.257"	"29.937"	"35.688"	"31.944"	"31.209"	"29.608"	"30.531"	"27.658"	"20.169"	"17.045"
"1939"	"17.132"	"18.953"	"20.99"	"27.594"	"34.37"	"32.661"	"30.589"	"30.999"	"29.892"	"27.922"	"21.061"	"17.947"
"1940"	"16.642"	"17.989"	"22.042"	"28.357"	"34.481"	"33.771"	"30.835"	"27.834"	"28.173"	"27.033"	"22.213"	"16.783"
"1941"	"15.005"	"19.519"	"25.936"	"31.49"	"34.409"	"32.92"	"31.605"	"29.803"	"29.33"	"29.137"	"21.962"	"18.458"
"1942"	"14.785"	"19.363"	"25.108"	"31.262"	"34.4"	"34.843"	"28.896"	"27.119"	"27.392"	"26.052"	"21.768"	"15.863"
