
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.619"	"16.625"	"27.234"	"23.584"	"24.747"	"40.507"	"61.879"	"60.864"	"39.405"	"15.606"	"11.299"	"14.511"
"1902"	"19.734"	"16.881"	"27.541"	"23.584"	"24.744"	"40.161"	"61.813"	"60.837"	"38.895"	"15.608"	"11.299"	"14.511"
"1903"	"19.734"	"16.881"	"27.56"	"23.584"	"24.773"	"40.599"	"61.813"	"61.358"	"39.407"	"14.934"	"11.299"	"14.511"
"1904"	"19.727"	"16.881"	"27.552"	"23.478"	"24.673"	"40.507"	"61.33"	"60.937"	"39.405"	"15.608"	"11.273"	"14.511"
"1905"	"19.734"	"16.881"	"27.541"	"23.584"	"24.747"	"40.507"	"61.82"	"61.358"	"39.237"	"15.608"	"11.299"	"14.511"
"1906"	"19.734"	"16.881"	"27.202"	"23.584"	"24.747"	"40.525"	"61.813"	"61.057"	"39.407"	"14.824"	"11.299"	"14.511"
"1907"	"19.734"	"16.881"	"27.454"	"23.584"	"24.747"	"40.929"	"61.998"	"61.265"	"39.407"	"16.158"	"12.057"	"14.533"
"1908"	"19.734"	"16.881"	"27.541"	"23.591"	"24.715"	"40.363"	"61.785"	"60.94"	"39.355"	"15.608"	"11.299"	"14.511"
"1909"	"19.4"	"16.881"	"27.541"	"23.581"	"24.188"	"40.407"	"61.813"	"60.812"	"38.836"	"15.337"	"11.298"	"14.511"
"1910"	"19.734"	"16.881"	"27.541"	"23.584"	"24.547"	"40.507"	"61.928"	"60.909"	"39.407"	"15.608"	"11.299"	"14.511"
"1911"	"19.734"	"16.881"	"27.541"	"23.584"	"24.747"	"40.598"	"61.687"	"60.993"	"39.407"	"15.608"	"10.825"	"14.511"
"1912"	"19.734"	"16.881"	"27.125"	"22.949"	"24.747"	"40.508"	"60.776"	"60.882"	"38.812"	"15.12"	"10.648"	"14.511"
"1913"	"19.741"	"16.881"	"27.403"	"23.559"	"24.055"	"40.263"	"61.652"	"61.111"	"38.833"	"15.404"	"11.299"	"14.511"
"1914"	"19.689"	"16.881"	"27.153"	"23.197"	"24.176"	"40.012"	"61.059"	"61.161"	"38.55"	"14.916"	"11.444"	"14.429"
"1915"	"19.7"	"16.954"	"26.792"	"23.576"	"23.551"	"39.859"	"61.347"	"60.506"	"38.309"	"14.916"	"10.731"	"14.511"
"1916"	"19.935"	"16.881"	"27.541"	"23.584"	"24.747"	"40.512"	"61.176"	"61.342"	"39.407"	"14.91"	"11.095"	"14.511"
"1917"	"19.367"	"16.428"	"27.153"	"22.581"	"23.847"	"39.863"	"60.876"	"60.712"	"38.796"	"15.569"	"10.848"	"14.511"
"1918"	"19.734"	"16.881"	"27.541"	"23.584"	"23.725"	"40.3"	"61.3"	"60.778"	"38.487"	"14.998"	"11.299"	"14.832"
"1919"	"19.734"	"16.881"	"27.541"	"22.838"	"24.723"	"40.507"	"61.633"	"60.839"	"38.662"	"14.438"	"10.332"	"14.492"
"1920"	"20.167"	"16.881"	"27.434"	"23.506"	"24.747"	"40.588"	"62.048"	"60.338"	"39.407"	"14.314"	"11.311"	"14.464"
"1921"	"19.734"	"16.881"	"27.541"	"23.584"	"24.747"	"40.285"	"60.791"	"60.713"	"39.407"	"14.695"	"10.731"	"14.456"
"1922"	"19.904"	"16.881"	"27.541"	"23.581"	"24.747"	"40.579"	"61.813"	"60.812"	"39.376"	"15.397"	"10.947"	"14.511"
"1923"	"19.734"	"16.881"	"27.541"	"23.572"	"24.417"	"41.103"	"62.047"	"61.366"	"39.407"	"14.817"	"10.231"	"13.328"
"1924"	"18.968"	"16.247"	"27.541"	"23.521"	"24.747"	"40.507"	"61.813"	"61.221"	"39.213"	"14.707"	"10.83"	"14.425"
"1925"	"19.734"	"16.072"	"26.573"	"22.878"	"23.514"	"40.181"	"61.285"	"60.432"	"38.374"	"15.608"	"10.361"	"13.363"
"1926"	"19.342"	"16.881"	"27.103"	"24.239"	"24.187"	"40.507"	"61.813"	"61.068"	"39.407"	"14.817"	"11.299"	"14.48"
"1927"	"20.113"	"16.881"	"27.004"	"23.584"	"24.745"	"40.412"	"61.813"	"61.071"	"39.39"	"15.608"	"11.299"	"14.511"
"1928"	"19.734"	"16.881"	"27.601"	"23.584"	"24.747"	"40.507"	"61.885"	"61.358"	"39.368"	"15.608"	"11.299"	"14.644"
"1929"	"19.441"	"16.865"	"26.934"	"22.533"	"24.561"	"40.507"	"62.328"	"60.91"	"39.157"	"14.835"	"11.299"	"15.26"
"1930"	"19.619"	"16.881"	"26.645"	"23.58"	"24.217"	"41.149"	"62.28"	"61.35"	"40.097"	"15.759"	"10.253"	"14.511"
"1931"	"16.796"	"20.045"	"22.903"	"15.183"	"18.995"	"25.828"	"56.718"	"59.179"	"36.921"	"18.827"	"1.58"	"8.7"
"1932"	"15.923"	"10.859"	"24.495"	"16.609"	"18.903"	"35.188"	"57.802"	"60.392"	"30.236"	"5.116"	"0"	"10.788"
"1933"	"17.94"	"15.561"	"24.511"	"24.255"	"29.26"	"38.261"	"61.418"	"66.024"	"43.629"	"12.538"	"3.611"	"11.021"
"1934"	"18.256"	"7.196"	"26.482"	"14.094"	"18.834"	"36.605"	"60.992"	"61.034"	"32.355"	"0.297"	"7.279"	"14.868"
"1935"	"20.35"	"22.218"	"22.134"	"26.455"	"17.634"	"16.885"	"56.405"	"58.954"	"33.691"	"7.086"	"5.762"	"12.69"
"1936"	"11.352"	"18.295"	"24.604"	"17.504"	"21.723"	"45.326"	"60.424"	"58.448"	"36.36"	"13.375"	"6.642"	"19.192"
"1937"	"15.252"	"22.073"	"24.94"	"19.9"	"21.686"	"30.714"	"60.603"	"57.831"	"32.672"	"9.179"	"6.491"	"12.12"
"1938"	"21.924"	"17.675"	"23.77"	"15.255"	"22.079"	"45.07"	"52.507"	"56.904"	"29.966"	"5.656"	"5.889"	"5.568"
"1939"	"15.15"	"22.614"	"30.931"	"17.322"	"15.666"	"43.348"	"57.867"	"55.121"	"31.632"	"8.699"	"0"	"9.579"
"1940"	"20.115"	"19.899"	"27.956"	"18.811"	"21.097"	"40.094"	"57.804"	"59.857"	"31.526"	"5.617"	"3.625"	"10.037"
"1941"	"19.448"	"11.108"	"22.907"	"16.882"	"24.453"	"44.915"	"57.474"	"57.37"	"35.281"	"12.162"	"0"	"8.296"
"1942"	"22.419"	"18.489"	"20.328"	"18.68"	"24.03"	"28.843"	"63.025"	"59.704"	"38.56"	"10.541"	"3.441"	"13.011"
"1943"	"27.119"	"5.72"	"18.047"	"17.956"	"19.782"	"35.095"	"60.424"	"59.399"	"34.866"	"2.426"	"0"	"9.046"
"1944"	"19.942"	"20.936"	"27.282"	"20.436"	"15.742"	"27.646"	"60.259"	"62.756"	"35.63"	"2.705"	"0.427"	"9.061"
