
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1902"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1903"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.531"	"10.024"	"15.081"	"16.204"	"16.096"
"1904"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1905"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1906"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1907"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.009"	"16.204"	"16.096"
"1908"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.025"	"15.081"	"16.204"	"16.096"
"1909"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1910"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1911"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1912"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1913"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"16.204"	"16.096"
"1914"	"15.555"	"15.458"	"15.924"	"15.352"	"14.156"	"11.941"	"8.558"	"7.498"	"10.024"	"15.081"	"15.94"	"16.096"
