
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.9087"	"1.6066"	"0.0043"	"0.0423"	"0.0085"	"0"	"0"	"0"	"0"	"0"	"0"	"0.001"
"1902"	"0"	"0"	"0"	"0"	"0"	"0.005"	"0"	"0"	"0"	"0"	"0"	"2.6693"
"1903"	"0.9003"	"0.7779"	"0.0509"	"0.0653"	"0.0103"	"0"	"0"	"0"	"0"	"0.005"	"0.0215"	"3.8106"
"1904"	"2.9836"	"0.0029"	"0.0302"	"0"	"0.0022"	"0"	"0.0086"	"0"	"0"	"0.003"	"0.0122"	"1.9306"
"1905"	"5.9565"	"2.4838"	"0.0955"	"0.085"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6217"
"1906"	"4.7624"	"1.6187"	"0.071"	"0.0327"	"0"	"0"	"0"	"0"	"0.0007"	"0"	"0"	"0"
"1907"	"0"	"1.481"	"0.0718"	"0.0786"	"0.0225"	"0"	"0"	"0.0086"	"0"	"0"	"0"	"3.693"
"1908"	"2.0404"	"0.2394"	"0.0206"	"0"	"0.0009"	"0"	"0.0151"	"0.0244"	"0.0017"	"0.0164"	"0.0165"	"3.7704"
"1909"	"4.2106"	"0.9629"	"0.0038"	"0.0789"	"0.0096"	"0.0099"	"0.0208"	"0.0237"	"0.0096"	"0.0095"	"0"	"4.0811"
"1910"	"3.3078"	"0.031"	"0.0059"	"0.0616"	"0"	"0.0043"	"0.0014"	"0"	"0"	"0.0522"	"0.0258"	"2.3948"
"1911"	"0.0205"	"0"	"0.0675"	"0.0295"	"0"	"0"	"0"	"0"	"0.0022"	"0"	"0.0344"	"2.1569"
"1912"	"0.0187"	"0"	"0.0349"	"0.0048"	"0"	"0"	"0"	"0"	"0.0131"	"0"	"0.023"	"2.1424"
"1913"	"0.202"	"0.2643"	"0.0753"	"0"	"0.0175"	"0.0291"	"0.0029"	"0"	"0"	"0"	"0.0065"	"2.4486"
"1914"	"0"	"0.7605"	"0.0328"	"0.0092"	"0"	"0.01"	"0.0043"	"0"	"0"	"0.0387"	"0"	"4.075"
"1915"	"1.7438"	"1.509"	"0.0171"	"0.0211"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1099"
"1916"	"0.0236"	"1.0671"	"0"	"0"	"0.0057"	"0.0156"	"0"	"0.0079"	"0.0003"	"0.0314"	"0.0408"	"4.5895"
"1917"	"0.3082"	"0.1676"	"0.0188"	"0.1082"	"0.0389"	"0.0167"	"0.0187"	"0.0244"	"0.0342"	"0.0918"	"0.0472"	"2.4481"
"1918"	"3.9964"	"0.0073"	"0.025"	"0.0867"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0014"	"4.4959"
"1919"	"2.3901"	"0.9307"	"0.0046"	"0.0492"	"0.0063"	"0"	"0.0022"	"0.0065"	"0.0051"	"0.0114"	"0.0165"	"3.7281"
"1920"	"1.0334"	"0.684"	"0.0014"	"0.0365"	"0.0412"	"0.0364"	"0.0086"	"0"	"0"	"0"	"0"	"1.4501"
"1921"	"0.0657"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0014"	"0.0052"	"0.0263"	"0.0129"	"0"
"1922"	"2.6408"	"0"	"0"	"0"	"0"	"0.0014"	"0"	"0.0057"	"0.0102"	"0.0333"	"0.0108"	"2.8971"
"1923"	"1.5216"	"0.7701"	"0"	"0"	"0.0088"	"0"	"0"	"0.0251"	"0"	"0.0263"	"0.0151"	"1.9228"
"1924"	"3.7956"	"0.451"	"0"	"0"	"0.0288"	"0"	"0"	"0"	"0.0265"	"0.0412"	"0.0237"	"2.4828"
"1925"	"5.4432"	"1.7614"	"0.0029"	"0"	"0.0056"	"0.0582"	"0.033"	"0"	"0"	"0"	"0.0237"	"1.5868"
"1926"	"0.7616"	"0"	"0.0453"	"0.109"	"0.0255"	"0"	"0"	"0.0043"	"0.0166"	"0.039"	"0.0473"	"4.1083"
"1927"	"5.7274"	"1.754"	"0.056"	"0.0591"	"0.0137"	"0"	"0.005"	"0.0165"	"0.0064"	"0.0037"	"0.0172"	"0.3692"
"1928"	"2.4159"	"0"	"0.003"	"0.0179"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.0857"
"1929"	"2.9085"	"1.3548"	"0"	"0"	"0"	"0"	"0.0029"	"0.0065"	"0"	"0.0024"	"0"	"5.2755"
"1930"	"2.9593"	"0.4785"	"0"	"0.0373"	"0.0064"	"0"	"0.0201"	"0"	"0"	"0"	"0.0172"	"1.7182"
"1931"	"0"	"1.5891"	"0.0318"	"0"	"0"	"0"	"0"	"0"	"0.0046"	"0.0365"	"0.0136"	"0.3584"
"1932"	"0"	"0.3892"	"0"	"0.0286"	"0.0056"	"0"	"0"	"0.0208"	"0"	"0"	"0.0222"	"1.1093"
"1933"	"4.9509"	"0.0007"	"0.0038"	"0.0817"	"0.0295"	"0.0044"	"0.0093"	"0.0337"	"0.0269"	"0.0413"	"0.0129"	"1.2989"
"1934"	"5.5446"	"0"	"0.0476"	"0.0273"	"0.0074"	"0.0117"	"0"	"0.0158"	"0"	"0.0514"	"0.0165"	"0.279"
"1935"	"5.8917"	"0.0029"	"0.0166"	"0.1076"	"0"	"0"	"0.0057"	"0.005"	"0.0035"	"0.0281"	"0"	"2.2008"
"1936"	"4.7986"	"0.1348"	"0.0329"	"0.0322"	"0"	"0.0355"	"0.0057"	"0.0022"	"0"	"0.0271"	"0.0093"	"1.9557"
"1937"	"3.1984"	"0"	"0.0613"	"0.0637"	"0.0001"	"0"	"0.0065"	"0"	"0"	"0.0333"	"0.005"	"5.2364"
"1938"	"3.4817"	"1.2868"	"0"	"0"	"0"	"0.0251"	"0"	"0"	"0"	"0"	"0.0265"	"1.7276"
"1939"	"0.0148"	"0.0057"	"0.0735"	"0.078"	"0"	"0.0169"	"0"	"0"	"0"	"0"	"0.0079"	"0.3763"
"1940"	"0.055"	"0.3213"	"0.0613"	"0.0675"	"0"	"0"	"0"	"0.0072"	"0.0016"	"0"	"0"	"1.8576"
"1941"	"3.6807"	"0"	"0"	"0"	"0"	"0.0142"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"4.7283"	"0"	"0"	"0"	"0"	"0"	"0.0158"	"0.0222"	"0.0243"	"0.0174"	"0"	"4.2101"
"1943"	"1.8798"	"0.2151"	"0"	"0.0567"	"0"	"0.0016"	"0.0072"	"0.023"	"0"	"0.0197"	"0"	"0"
"1944"	"3.1275"	"0.4851"	"0.0378"	"0.0452"	"0"	"0.0074"	"0.0093"	"0"	"0"	"0.0394"	"0"	"0.0253"
"1945"	"6.1939"	"0.9437"	"0"	"0.0552"	"0.012"	"0"	"0.0007"	"0"	"0.0142"	"0.0317"	"0.0151"	"5.5839"
"1946"	"0.9641"	"0"	"0.0257"	"0"	"0"	"0"	"0.0065"	"0.005"	"0"	"0"	"0.0122"	"1.4765"
"1947"	"4.3204"	"0.001"	"0"	"0"	"0"	"0"	"0"	"0"	"0.019"	"0.0719"	"0"	"1.257"
"1948"	"2.2305"	"0.7654"	"0.0434"	"0"	"0"	"0"	"0"	"0.005"	"0"	"0"	"0.0187"	"0.9393"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0076"	"0.0294"	"3.8655"
"1950"	"0.0036"	"1.6535"	"0.0394"	"0.0514"	"0"	"0"	"0.0007"	"0"	"0.0181"	"0.0318"	"0.0258"	"6.1289"
"1951"	"4.0613"	"0.8412"	"0.0198"	"0.0843"	"0.0025"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"1.0259"
"1952"	"0.0004"	"0"	"0"	"0"	"0"	"0.0078"	"0.0007"	"0.0208"	"0"	"0"	"0"	"1.2115"
"1953"	"3.6855"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0043"	"0"
"1954"	"3.222"	"0"	"0.0014"	"0"	"0"	"0"	"0"	"0"	"0.0094"	"0.0848"	"0"	"2.4404"
"1955"	"2.1041"	"0.0981"	"0"	"0.0684"	"0.0128"	"0"	"0"	"0.0014"	"0.0009"	"0.0502"	"0.0172"	"1.0507"
"1956"	"1.7623"	"0.1226"	"0"	"0"	"0"	"0"	"0.0237"	"0.0129"	"0"	"0.06"	"0.0265"	"1.1157"
"1957"	"3.6994"	"1.4325"	"0.0379"	"0.0494"	"0.0131"	"0"	"0"	"0"	"0.0209"	"0.0051"	"0"	"1.2259"
"1958"	"0"	"0.0393"	"0"	"0"	"0"	"0"	"0.0057"	"0"	"0.0186"	"0.0167"	"0"	"0"
"1959"	"1.994"	"0.5433"	"0"	"0.0008"	"0.0017"	"0"	"0"	"0"	"0.0003"	"0"	"0"	"0.1556"
"1960"	"2.7944"	"0"	"0.0236"	"0.0404"	"0"	"0"	"0"	"0.0129"	"0"	"0.0255"	"0.0194"	"0.2513"
"1961"	"2.6987"	"1.2697"	"0"	"0.0252"	"0"	"0.0028"	"0"	"0"	"0"	"0.0008"	"0.0136"	"5.5392"
"1962"	"4.3282"	"0"	"0.0031"	"0"	"0"	"0.0002"	"0"	"0.0029"	"0.0283"	"0.0453"	"0"	"0.3865"
"1963"	"4.2197"	"0"	"0"	"0"	"0.0071"	"0"	"0"	"0.0093"	"0.0046"	"0"	"0"	"1.5693"
"1964"	"4.4764"	"0.2106"	"0"	"0"	"0.011"	"0.0029"	"0.0065"	"0"	"0.0076"	"0.0204"	"0.0251"	"0.8701"
"1965"	"0"	"0"	"0.003"	"0.0434"	"0.0043"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6428"
"1966"	"0.9184"	"0"	"0.004"	"0.0001"	"0"	"0.0095"	"0"	"0.0093"	"0.0075"	"0"	"0.005"	"3.3283"
"1967"	"5.9636"	"0"	"0.048"	"0.0577"	"0.0113"	"0.0012"	"0"	"0.0291"	"0.0276"	"0.028"	"0"	"0.0671"
"1968"	"3.6353"	"1.4848"	"0.0166"	"0.0294"	"0.0099"	"0"	"0.0093"	"0.0007"	"0"	"0.0211"	"0.0022"	"0.7536"
"1969"	"1.4805"	"0"	"0"	"0"	"0.0143"	"0"	"0"	"0"	"0"	"0"	"0"	"2.0347"
"1970"	"0.3589"	"0.6892"	"0.0113"	"0"	"0"	"0.0275"	"0"	"0"	"0.0009"	"0"	"0.0151"	"1.906"
"1971"	"4.4941"	"0.2069"	"0"	"0"	"0.0143"	"0.0371"	"0.0172"	"0.0309"	"0.0167"	"0.0167"	"0.0115"	"1.898"
"1972"	"2.1092"	"1.8646"	"0"	"0.0362"	"0"	"0"	"0"	"0.0108"	"0.0063"	"0"	"0"	"0.2361"
