
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.37"	"9"	"16.263"	"21.338"	"26.712"	"29.828"	"28.115"	"25.174"	"24.832"	"20.982"	"14.141"	"10.448"
"1902"	"9.582"	"12.05"	"18.383"	"22.81"	"26.838"	"27.608"	"26.599"	"26.544"	"23.864"	"19.01"	"13.381"	"8.717"
"1903"	"8.571"	"10.116"	"14.047"	"20.194"	"26.03"	"30.218"	"27.825"	"25.213"	"24.457"	"18.996"	"12.325"	"8.327"
"1904"	"8.115"	"11.148"	"14.925"	"22.539"	"26.498"	"27.68"	"25.197"	"24.017"	"23.464"	"19.024"	"12.959"	"9.154"
"1905"	"6.502"	"5.591"	"12.458"	"19.591"	"28.137"	"29.236"	"27.655"	"25.899"	"25.551"	"20.137"	"15.305"	"9.642"
"1906"	"7.113"	"8.401"	"14.368"	"20.896"	"28.444"	"27.585"	"26.554"	"26.146"	"23.704"	"19.806"	"14.572"	"10.148"
"1907"	"10.365"	"8.966"	"13.835"	"19.779"	"24.826"	"28.462"	"28.64"	"24.229"	"23.929"	"19.522"	"14.065"	"8.247"
"1908"	"8.192"	"10.728"	"15.186"	"22.318"	"26.482"	"28.569"	"24.536"	"23.575"	"23.482"	"18.666"	"12.79"	"8.7"
"1909"	"7.603"	"9.897"	"15.82"	"20.054"	"25.534"	"27.229"	"24.307"	"24.01"	"22.804"	"19.186"	"14.497"	"8.104"
"1910"	"7.571"	"10.935"	"15.799"	"20.184"	"26.89"	"27.25"	"25.708"	"24.647"	"23.976"	"17.863"	"12.155"	"8.894"
"1911"	"9.808"	"11.248"	"13.773"	"21.517"	"28.002"	"27.714"	"28.372"	"26.973"	"23.482"	"19.414"	"11.706"	"9.273"
"1912"	"9.168"	"12.001"	"14.701"	"22.045"	"26.92"	"29.696"	"26.444"	"24.631"	"22.997"	"18.978"	"12.166"	"8.91"
"1913"	"8.899"	"10.413"	"13.516"	"22.661"	"25.187"	"26.118"	"25.09"	"25.873"	"25.029"	"20.523"	"13.32"	"8.727"
"1914"	"10.668"	"9.942"	"14.91"	"21.896"	"27.917"	"27.306"	"25.664"	"25.162"	"24.082"	"18.583"	"14.204"	"8.127"
