
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.85"	"5.56"	"6.88"	"8.08"	"8.64"	"8.25"	"6.74"	"5.83"	"6.33"	"7.04"	"6.12"	"5.21"
"1902"	"5.03"	"5.78"	"7.02"	"8.21"	"8.76"	"8.24"	"6.57"	"5.86"	"6.38"	"6.93"	"6.04"	"5.11"
"1903"	"4.98"	"5.73"	"6.78"	"7.98"	"8.58"	"8.26"	"6.74"	"5.83"	"6.35"	"7"	"6"	"5.08"
"1904"	"4.93"	"5.77"	"6.79"	"8.11"	"8.75"	"8.25"	"6.59"	"5.74"	"6.29"	"6.93"	"6"	"5.18"
"1905"	"4.96"	"5.37"	"6.56"	"7.86"	"8.65"	"8.31"	"6.67"	"5.81"	"6.38"	"6.99"	"6.15"	"5.24"
"1906"	"4.96"	"5.57"	"6.72"	"7.96"	"8.76"	"8.27"	"6.58"	"5.84"	"6.33"	"6.95"	"6.11"	"5.18"
"1907"	"5.15"	"5.69"	"6.72"	"7.98"	"8.56"	"8.14"	"6.74"	"5.82"	"6.31"	"6.92"	"6.11"	"5.11"
"1908"	"4.94"	"5.72"	"6.8"	"8.11"	"8.7"	"8.32"	"6.58"	"5.69"	"6.29"	"6.93"	"6.01"	"5.12"
"1909"	"4.94"	"5.63"	"6.9"	"8.03"	"8.64"	"8.25"	"6.53"	"5.73"	"6.27"	"6.89"	"6.12"	"5.11"
"1910"	"4.88"	"5.71"	"6.92"	"8.02"	"8.7"	"8.25"	"6.58"	"5.76"	"6.35"	"6.91"	"5.94"	"5.08"
"1911"	"5.03"	"5.84"	"6.74"	"8"	"8.76"	"8.23"	"6.64"	"5.91"	"6.36"	"7"	"5.95"	"5.08"
"1912"	"4.99"	"5.84"	"6.81"	"8.07"	"8.67"	"8.32"	"6.69"	"5.79"	"6.3"	"6.95"	"5.99"	"5.09"
"1913"	"5"	"5.76"	"6.69"	"8.12"	"8.75"	"8.18"	"6.48"	"5.75"	"6.36"	"7.05"	"6.08"	"5.07"
"1914"	"5.12"	"5.74"	"6.78"	"8.05"	"8.79"	"8.29"	"6.58"	"5.78"	"6.36"	"6.92"	"6.04"	"5.1"
"1915"	"4.95"	"5.59"	"6.82"	"8.03"	"8.73"	"8.27"	"6.69"	"5.83"	"6.4"	"7.1"	"6.08"	"5.18"
"1916"	"5.06"	"5.6"	"6.93"	"8.2"	"8.79"	"8.19"	"6.76"	"5.77"	"6.33"	"6.92"	"5.9"	"5"
"1917"	"4.99"	"5.75"	"6.9"	"8.03"	"8.51"	"8.14"	"6.52"	"5.73"	"6.31"	"6.87"	"5.84"	"5.08"
"1918"	"4.85"	"5.75"	"6.93"	"7.92"	"8.71"	"8.25"	"6.66"	"5.87"	"6.36"	"6.99"	"6.1"	"5.06"
"1919"	"5"	"5.65"	"6.89"	"8.08"	"8.61"	"8.27"	"6.65"	"5.76"	"6.32"	"6.94"	"6.02"	"5.07"
"1920"	"4.93"	"5.66"	"6.88"	"8.11"	"8.57"	"8.06"	"6.45"	"5.7"	"6.36"	"7.04"	"6.12"	"5.14"
"1921"	"5"	"5.7"	"6.94"	"8.22"	"8.77"	"8.27"	"6.76"	"5.86"	"6.33"	"6.92"	"5.98"	"5.27"
"1922"	"4.94"	"5.78"	"6.91"	"8.12"	"8.72"	"8.2"	"6.6"	"5.8"	"6.32"	"6.93"	"6"	"5.09"
"1923"	"4.97"	"5.66"	"6.9"	"8.16"	"8.64"	"8.25"	"6.67"	"5.75"	"6.33"	"6.95"	"6.01"	"5.15"
"1924"	"4.9"	"5.66"	"6.93"	"8.22"	"8.58"	"8.21"	"6.67"	"5.82"	"6.29"	"6.87"	"5.94"	"5.13"
"1925"	"4.85"	"5.52"	"6.8"	"8.21"	"8.87"	"8.13"	"6.39"	"5.73"	"6.39"	"7.06"	"6.03"	"5.11"
"1926"	"4.95"	"5.9"	"6.93"	"7.94"	"8.51"	"8.23"	"6.69"	"5.84"	"6.31"	"6.94"	"5.9"	"5.07"
"1927"	"4.85"	"5.55"	"6.73"	"8.03"	"8.63"	"8.25"	"6.64"	"5.77"	"6.27"	"6.97"	"5.95"	"5.18"
"1928"	"4.93"	"5.73"	"6.93"	"8.06"	"8.73"	"8.3"	"6.6"	"5.82"	"6.35"	"6.96"	"6.12"	"5.08"
"1929"	"4.96"	"5.57"	"6.93"	"8.21"	"8.71"	"8.28"	"6.58"	"5.71"	"6.34"	"6.96"	"6.12"	"5.06"
"1930"	"4.9"	"5.67"	"6.93"	"8.08"	"8.7"	"8.24"	"6.48"	"5.68"	"6.33"	"7.02"	"6.01"	"5.07"
"1931"	"5.14"	"5.57"	"6.81"	"8.29"	"8.81"	"8.53"	"6.74"	"5.84"	"6.37"	"6.83"	"6.15"	"5.21"
"1932"	"5.25"	"5.85"	"6.96"	"8.22"	"8.74"	"8.35"	"6.74"	"5.7"	"6.48"	"7.2"	"6.2"	"5.23"
"1933"	"4.94"	"5.7"	"6.98"	"8.08"	"8.48"	"8.2"	"6.58"	"5.62"	"6.19"	"6.92"	"6.11"	"5.26"
"1934"	"4.86"	"5.97"	"6.87"	"8.23"	"8.79"	"8.27"	"6.6"	"5.72"	"6.47"	"7.2"	"6.02"	"5.18"
"1935"	"4.83"	"5.58"	"7.03"	"7.91"	"8.72"	"8.69"	"6.7"	"5.79"	"6.45"	"7.04"	"6.12"	"5.18"
"1936"	"5"	"5.77"	"6.9"	"8.1"	"8.85"	"8.17"	"6.58"	"5.79"	"6.36"	"6.97"	"6.12"	"5.06"
"1937"	"4.97"	"5.69"	"6.84"	"8.07"	"8.71"	"8.5"	"6.58"	"5.86"	"6.48"	"7.04"	"6.13"	"5.15"
"1938"	"4.86"	"5.56"	"6.98"	"8.26"	"8.89"	"8.13"	"6.7"	"5.87"	"6.55"	"7.25"	"6.12"	"5.25"
"1939"	"5.1"	"5.75"	"6.67"	"8.03"	"8.87"	"8.17"	"6.59"	"5.92"	"6.52"	"7.17"	"6.25"	"5.27"
"1940"	"5.02"	"5.69"	"6.75"	"8.06"	"8.79"	"8.27"	"6.71"	"5.8"	"6.42"	"7.11"	"6.25"	"5.24"
"1941"	"4.86"	"5.83"	"7.06"	"8.37"	"8.84"	"8.13"	"6.67"	"5.9"	"6.36"	"7.11"	"6.31"	"5.38"
"1942"	"4.84"	"5.69"	"7.05"	"8.29"	"8.79"	"8.55"	"6.59"	"5.75"	"6.27"	"6.97"	"6.22"	"5.09"
"1943"	"4.83"	"5.9"	"7.15"	"8.15"	"8.79"	"8.35"	"6.61"	"5.74"	"6.36"	"7.16"	"6.21"	"5.34"
"1944"	"4.94"	"5.64"	"6.82"	"8.07"	"8.89"	"8.49"	"6.67"	"5.72"	"6.43"	"7.12"	"6.18"	"5.37"
"1945"	"4.83"	"5.75"	"7.08"	"8.09"	"8.79"	"8.46"	"6.6"	"5.78"	"6.31"	"6.89"	"6.25"	"5.12"
"1946"	"5.02"	"6"	"7"	"8.35"	"8.79"	"8.25"	"6.65"	"5.78"	"6.4"	"6.92"	"6.22"	"5.19"
"1947"	"4.95"	"5.83"	"7.08"	"8.42"	"8.92"	"8.44"	"6.98"	"5.87"	"6.34"	"6.9"	"6.12"	"5.24"
"1948"	"4.95"	"5.65"	"6.72"	"8.17"	"8.92"	"8.43"	"6.79"	"5.7"	"6.36"	"7.03"	"6.12"	"5.08"
"1949"	"5.12"	"5.78"	"6.9"	"8.33"	"8.87"	"8.42"	"6.59"	"5.77"	"6.51"	"7.1"	"6.15"	"5.12"
"1950"	"5"	"5.66"	"6.79"	"8.18"	"8.71"	"8.3"	"6.57"	"5.75"	"6.28"	"6.93"	"6.16"	"5.12"
"1951"	"4.91"	"5.77"	"6.87"	"7.97"	"8.63"	"8.2"	"6.79"	"5.83"	"6.44"	"7.16"	"6.21"	"5.18"
"1952"	"4.99"	"5.83"	"6.71"	"8.14"	"8.84"	"8.35"	"6.6"	"5.7"	"6.4"	"7.38"	"6.21"	"5.22"
"1953"	"4.77"	"5.8"	"7.24"	"8.19"	"8.7"	"8.26"	"6.55"	"5.66"	"6.3"	"7.04"	"6.03"	"5.36"
"1954"	"4.83"	"5.49"	"6.9"	"8.16"	"8.79"	"8.31"	"6.65"	"5.66"	"6.36"	"6.9"	"6.03"	"5.18"
"1955"	"4.77"	"5.69"	"7.02"	"8.16"	"8.53"	"8.23"	"6.62"	"5.74"	"6.22"	"6.65"	"6"	"5.05"
"1956"	"4.79"	"5.82"	"6.76"	"7.97"	"8.77"	"8.19"	"6.58"	"5.62"	"6.37"	"6.53"	"5.89"	"5.08"
"1957"	"4.72"	"5.65"	"6.63"	"7.97"	"8.58"	"8.24"	"6.61"	"5.53"	"6.39"	"6.93"	"6.09"	"5.04"
"1958"	"5.02"	"5.74"	"6.92"	"8.26"	"8.78"	"8.42"	"6.51"	"5.8"	"6.15"	"6.75"	"5.95"	"5.12"
"1959"	"4.83"	"5.57"	"7"	"8.15"	"8.65"	"8.21"	"6.47"	"5.7"	"6.18"	"6.78"	"5.96"	"5.24"
"1960"	"4.88"	"6.05"	"6.76"	"7.97"	"8.79"	"8.27"	"6.6"	"5.7"	"6.39"	"6.98"	"6.08"	"5.19"
"1961"	"4.9"	"5.37"	"6.73"	"8"	"8.49"	"8.24"	"6.37"	"5.58"	"6.09"	"6.64"	"5.83"	"4.99"
"1962"	"4.85"	"5.58"	"6.92"	"8.03"	"8.68"	"8.31"	"6.5"	"5.75"	"6.03"	"6.86"	"5.86"	"5.01"
"1963"	"5.13"	"6.06"	"6.9"	"7.91"	"8.61"	"8.2"	"6.8"	"5.66"	"6.28"	"6.87"	"5.9"	"5.31"
"1964"	"4.86"	"5.6"	"7"	"8.2"	"8.74"	"8.17"	"6.26"	"5.79"	"6"	"7.03"	"6.13"	"4.95"
"1965"	"5.04"	"5.75"	"6.92"	"7.83"	"8.35"	"8.25"	"6.52"	"5.78"	"6.27"	"6.86"	"6.17"	"5.18"
"1966"	"5.1"	"5.99"	"7.05"	"7.99"	"8.96"	"8.27"	"6.97"	"5.83"	"6.35"	"7.1"	"6.03"	"5.32"
"1967"	"4.96"	"6.13"	"6.74"	"8.01"	"8.8"	"8.42"	"6.75"	"5.6"	"6.31"	"6.89"	"6.01"	"4.92"
"1968"	"4.82"	"5.53"	"6.99"	"8.2"	"8.73"	"8.3"	"6.67"	"5.79"	"6.9"	"7.09"	"6.18"	"5.16"
"1969"	"5.03"	"5.72"	"7.39"	"8.19"	"8.62"	"8.3"	"6.68"	"5.87"	"6.23"	"7.06"	"6.12"	"5.37"
"1970"	"5"	"5.68"	"6.67"	"8.33"	"8.88"	"8.26"	"6.96"	"5.88"	"6.23"	"7.15"	"6.25"	"5.31"
"1971"	"4.96"	"5.81"	"6.93"	"8.29"	"8.64"	"7.91"	"6.29"	"5.79"	"6.62"	"6.85"	"6.11"	"5.36"
"1972"	"5.05"	"5.46"	"6.98"	"8.05"	"8.76"	"8.43"	"7.04"	"5.93"	"6.34"	"6.87"	"6.04"	"5.08"
"1973"	"4.67"	"5.79"	"6.82"	"8.46"	"8.98"	"8.35"	"6.71"	"5.66"	"6.2"	"6.87"	"6.24"	"4.99"
"1974"	"4.88"	"5.57"	"6.97"	"8.36"	"9.1"	"8.26"	"6.65"	"5.94"	"6.74"	"6.94"	"6.2"	"5.02"
"1975"	"4.77"	"5.55"	"6.71"	"8.18"	"8.99"	"8.24"	"6.62"	"5.79"	"5.86"	"6.82"	"6.08"	"5.26"
"1976"	"4.99"	"5.62"	"6.69"	"8.17"	"8.83"	"8.01"	"6.58"	"5.63"	"6.23"	"7.12"	"6.04"	"5.17"
"1977"	"4.79"	"5.78"	"7.42"	"8.05"	"8.55"	"8.02"	"6.27"	"5.71"	"6.02"	"6.9"	"6.04"	"5.18"
"1978"	"4.98"	"5.49"	"6.5"	"8.02"	"9.13"	"8.53"	"6.31"	"5.52"	"6.09"	"7.04"	"5.78"	"5.14"
"1979"	"4.85"	"5.51"	"6.42"	"8.08"	"8.45"	"8.23"	"6.46"	"5.99"	"6.43"	"6.88"	"5.79"	"5.08"
"1980"	"4.81"	"5.75"	"6.67"	"8.22"	"8.79"	"8.02"	"6.32"	"5.7"	"6.22"	"6.9"	"6.08"	"5.1"
"1981"	"4.8"	"5.78"	"6.82"	"8.3"	"8.65"	"8.25"	"6.46"	"5.67"	"6.32"	"7.14"	"5.87"	"5.09"
"1982"	"4.91"	"5.57"	"6.6"	"8"	"8.38"	"8.13"	"6.69"	"5.67"	"6.46"	"6.93"	"5.93"	"5.06"
"1983"	"4.84"	"5.57"	"6.82"	"7.75"	"8.42"	"7.9"	"6.66"	"5.8"	"6.31"	"6.87"	"5.94"	"5.08"
"1984"	"4.89"	"5.41"	"6.88"	"8.04"	"8.79"	"8.3"	"6.61"	"5.8"	"6.27"	"6.96"	"5.91"	"4.94"
"1985"	"4.84"	"5.91"	"6.89"	"8.13"	"8.76"	"8.14"	"6.54"	"5.64"	"6.35"	"6.78"	"5.95"	"5.11"
"1986"	"4.97"	"5.66"	"6.81"	"8.08"	"8.68"	"8.26"	"6.61"	"5.7"	"6.33"	"6.97"	"6.12"	"5.04"
"1987"	"5.04"	"5.81"	"6.89"	"8.16"	"8.39"	"8.13"	"6.4"	"5.87"	"6.45"	"6.96"	"6.32"	"5.06"
"1988"	"4.91"	"5.84"	"6.79"	"8.12"	"8.87"	"8.27"	"6.42"	"5.55"	"6.14"	"6.96"	"6.04"	"5.17"
"1989"	"4.81"	"5.5"	"6.85"	"8.09"	"8.6"	"8.11"	"6.65"	"5.74"	"6.33"	"6.89"	"6.05"	"5"
"1990"	"5.02"	"5.66"	"6.69"	"8.04"	"8.57"	"8.13"	"6.57"	"5.68"	"6.31"	"6.8"	"6.01"	"5.06"
"1991"	"4.89"	"5.71"	"6.93"	"8.07"	"8.68"	"8.23"	"6.66"	"5.78"	"6.33"	"6.93"	"5.99"	"5.09"
"1992"	"4.96"	"5.63"	"6.81"	"8.08"	"8.62"	"8.3"	"6.65"	"5.78"	"6.28"	"6.88"	"5.99"	"5.18"
"1993"	"4.94"	"5.8"	"6.8"	"8.05"	"8.79"	"8.26"	"6.49"	"5.8"	"6.32"	"6.94"	"6.11"	"5.12"
"1994"	"5.02"	"5.67"	"7"	"8.05"	"8.71"	"8.35"	"6.54"	"5.73"	"6.27"	"6.88"	"6.03"	"5.17"
"1995"	"4.85"	"5.7"	"6.77"	"8.03"	"8.67"	"8.34"	"6.67"	"5.71"	"6.29"	"6.9"	"6.06"	"5.08"
"1996"	"5.09"	"5.69"	"6.93"	"8.3"	"8.72"	"8.11"	"6.56"	"5.66"	"6.21"	"6.88"	"6.1"	"5.18"
"1997"	"4.93"	"5.71"	"6.71"	"8.06"	"8.63"	"8.17"	"6.68"	"5.94"	"6.39"	"6.73"	"5.87"	"4.72"
"1998"	"4.92"	"5.76"	"6.84"	"8.05"	"8.81"	"8.38"	"6.58"	"5.76"	"6.28"	"6.81"	"6.08"	"5.16"
"1999"	"4.85"	"5.64"	"7.05"	"8.34"	"8.71"	"8.34"	"6.49"	"6.03"	"6.19"	"6.89"	"6.2"	"5.28"
"2000"	"5.03"	"5.63"	"6.84"	"8.1"	"8.87"	"8.18"	"6.38"	"5.89"	"6.44"	"6.88"	"5.99"	"5.45"
