
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.63"	"3.4"	"5.14"	"6.47"	"7.45"	"7.31"	"5.75"	"4.72"	"4.95"	"4.94"	"3.61"	"2.89"
"1902"	"2.9"	"3.72"	"5.4"	"6.69"	"7.46"	"7.02"	"5.56"	"4.86"	"4.85"	"4.74"	"3.53"	"2.73"
"1903"	"2.83"	"3.52"	"4.86"	"6.33"	"7.35"	"7.35"	"5.7"	"4.75"	"4.92"	"4.72"	"3.45"	"2.72"
"1904"	"2.78"	"3.63"	"4.98"	"6.65"	"7.43"	"7.03"	"5.39"	"4.61"	"4.81"	"4.73"	"3.49"	"2.77"
"1905"	"2.65"	"3.08"	"4.68"	"6.24"	"7.64"	"7.25"	"5.69"	"4.79"	"5.02"	"4.84"	"3.71"	"2.82"
"1906"	"2.7"	"3.35"	"4.89"	"6.42"	"7.68"	"7.02"	"5.56"	"4.83"	"4.84"	"4.79"	"3.66"	"2.85"
"1907"	"2.96"	"3.4"	"4.84"	"6.26"	"7.17"	"7.13"	"5.8"	"4.65"	"4.85"	"4.76"	"3.61"	"2.7"
"1908"	"2.8"	"3.59"	"4.98"	"6.6"	"7.42"	"7.14"	"5.3"	"4.55"	"4.83"	"4.69"	"3.47"	"2.73"
"1909"	"2.74"	"3.5"	"5.08"	"6.31"	"7.28"	"6.96"	"5.28"	"4.6"	"4.75"	"4.74"	"3.65"	"2.69"
"1910"	"2.73"	"3.62"	"5.08"	"6.33"	"7.47"	"6.98"	"5.45"	"4.68"	"4.86"	"4.6"	"3.42"	"2.74"
"1911"	"2.92"	"3.63"	"4.83"	"6.5"	"7.63"	"7.03"	"5.76"	"4.9"	"4.82"	"4.77"	"3.38"	"2.79"
"1912"	"2.86"	"3.7"	"4.94"	"6.58"	"7.47"	"7.31"	"5.53"	"4.67"	"4.77"	"4.73"	"3.44"	"2.74"
"1913"	"2.85"	"3.55"	"4.8"	"6.66"	"7.23"	"6.79"	"5.37"	"4.8"	"4.98"	"4.87"	"3.54"	"2.72"
"1914"	"3.01"	"3.5"	"4.97"	"6.55"	"7.61"	"6.97"	"5.45"	"4.73"	"4.88"	"4.67"	"3.55"	"2.69"
"1915"	"2.76"	"3.39"	"5.01"	"6.47"	"7.66"	"7.21"	"5.79"	"4.82"	"5.07"	"4.9"	"3.55"	"2.85"
"1916"	"2.87"	"3.43"	"5.34"	"6.63"	"7.39"	"6.86"	"5.68"	"4.61"	"4.8"	"4.57"	"3.33"	"2.68"
"1917"	"2.85"	"3.58"	"4.98"	"6.11"	"6.91"	"6.82"	"5.28"	"4.55"	"4.69"	"4.47"	"3.28"	"2.73"
"1918"	"2.7"	"3.67"	"5.04"	"6.21"	"7.66"	"7.05"	"5.75"	"4.82"	"4.89"	"4.78"	"3.53"	"2.67"
"1919"	"2.83"	"3.47"	"5.08"	"6.38"	"7.28"	"7.24"	"5.47"	"4.61"	"4.8"	"4.69"	"3.46"	"2.7"
"1920"	"2.77"	"3.5"	"5.08"	"6.37"	"6.85"	"6.66"	"5.31"	"4.7"	"5.02"	"4.84"	"3.64"	"2.78"
"1921"	"2.85"	"3.65"	"5.36"	"6.83"	"7.59"	"7.26"	"5.74"	"4.69"	"4.79"	"4.65"	"3.53"	"2.91"
"1922"	"2.73"	"3.72"	"5.16"	"6.58"	"7.39"	"6.94"	"5.53"	"4.68"	"4.79"	"4.68"	"3.48"	"2.72"
"1923"	"2.79"	"3.51"	"5.18"	"6.59"	"7.28"	"7.27"	"5.54"	"4.61"	"4.85"	"4.67"	"3.46"	"2.72"
"1924"	"2.7"	"3.56"	"5.24"	"6.59"	"7.05"	"7.19"	"5.57"	"4.66"	"4.67"	"4.58"	"3.39"	"2.73"
"1925"	"2.62"	"3.33"	"5.12"	"6.79"	"7.29"	"6.55"	"5.27"	"4.81"	"5.02"	"4.83"	"3.44"	"2.76"
"1926"	"2.84"	"3.79"	"4.93"	"6.13"	"7.13"	"7.27"	"5.58"	"4.68"	"4.74"	"4.63"	"3.33"	"2.69"
"1927"	"2.63"	"3.33"	"4.9"	"6.4"	"7.31"	"7.14"	"5.46"	"4.62"	"4.77"	"4.76"	"3.43"	"2.84"
"1928"	"2.75"	"3.63"	"5.17"	"6.48"	"7.63"	"7.14"	"5.54"	"4.81"	"4.88"	"4.78"	"3.57"	"2.69"
"1929"	"2.73"	"3.43"	"5.35"	"6.58"	"7.43"	"7.07"	"5.4"	"4.65"	"4.92"	"4.74"	"3.57"	"2.65"
"1930"	"2.74"	"3.53"	"5.14"	"6.4"	"7.3"	"6.9"	"5.28"	"4.68"	"4.98"	"4.78"	"3.45"	"2.73"
"1931"	"2.9"	"3.35"	"4.97"	"6.72"	"7.42"	"7.17"	"5.53"	"4.7"	"4.8"	"4.64"	"3.5"	"2.85"
"1932"	"3.02"	"3.51"	"5.13"	"6.45"	"7.34"	"7.22"	"5.49"	"4.56"	"4.92"	"4.76"	"3.45"	"2.78"
"1933"	"2.69"	"3.6"	"5.08"	"6.29"	"7"	"6.9"	"5.37"	"4.54"	"4.73"	"4.6"	"3.48"	"2.8"
"1934"	"2.65"	"3.7"	"4.97"	"6.47"	"7.31"	"6.93"	"5.44"	"4.61"	"4.86"	"4.6"	"3.45"	"2.83"
"1935"	"2.62"	"3.6"	"5.07"	"6.15"	"7.4"	"7.14"	"5.43"	"4.67"	"4.79"	"4.6"	"3.53"	"2.74"
"1936"	"2.68"	"3.67"	"4.98"	"6.46"	"7.68"	"6.86"	"5.44"	"4.66"	"4.81"	"4.7"	"3.53"	"2.74"
"1937"	"2.73"	"3.64"	"4.88"	"6.4"	"7.47"	"7.17"	"5.36"	"4.77"	"4.85"	"4.64"	"3.54"	"2.69"
"1938"	"2.72"	"3.43"	"5.26"	"6.61"	"7.71"	"6.77"	"5.56"	"4.78"	"5.02"	"4.84"	"3.42"	"2.76"
"1939"	"2.89"	"3.63"	"4.75"	"6.3"	"7.52"	"6.89"	"5.53"	"4.93"	"4.96"	"4.86"	"3.5"	"2.84"
"1940"	"2.85"	"3.53"	"4.87"	"6.38"	"7.54"	"7.06"	"5.54"	"4.62"	"4.79"	"4.77"	"3.62"	"2.73"
"1941"	"2.7"	"3.7"	"5.35"	"6.85"	"7.53"	"6.93"	"5.64"	"4.81"	"4.89"	"4.99"	"3.58"	"2.89"
"1942"	"2.7"	"3.68"	"5.24"	"6.8"	"7.53"	"7.19"	"5.33"	"4.53"	"4.71"	"4.68"	"3.57"	"2.69"
"1943"	"2.81"	"3.58"	"5.22"	"6.37"	"7.47"	"6.94"	"5.36"	"4.55"	"4.82"	"4.69"	"3.53"	"2.85"
"1944"	"2.72"	"3.56"	"4.97"	"6.45"	"7.55"	"6.95"	"5.46"	"4.69"	"4.83"	"4.59"	"3.54"	"2.85"
"1945"	"2.58"	"3.48"	"5.19"	"6.4"	"7.36"	"7.09"	"5.35"	"4.7"	"4.75"	"4.61"	"3.47"	"2.63"
"1946"	"2.85"	"3.76"	"5.02"	"6.9"	"7.47"	"7.04"	"5.45"	"4.63"	"4.74"	"4.74"	"3.45"	"2.75"
"1947"	"2.69"	"3.6"	"5.22"	"6.66"	"7.52"	"7.32"	"5.72"	"4.72"	"4.74"	"4.57"	"3.6"	"2.81"
"1948"	"2.73"	"3.51"	"5.01"	"6.74"	"7.7"	"7.25"	"5.51"	"4.63"	"4.87"	"4.84"	"3.44"	"2.82"
"1949"	"2.95"	"3.63"	"5.15"	"6.75"	"7.7"	"7.05"	"5.43"	"4.71"	"5.02"	"4.66"	"3.38"	"2.71"
"1950"	"2.88"	"3.36"	"4.99"	"6.39"	"7.5"	"7.15"	"5.37"	"4.63"	"4.74"	"4.62"	"3.35"	"2.62"
"1951"	"2.72"	"3.46"	"4.98"	"6.22"	"7.29"	"6.91"	"5.71"	"4.68"	"4.93"	"5"	"3.64"	"2.74"
"1952"	"2.84"	"3.73"	"5.04"	"6.72"	"7.61"	"7"	"5.51"	"4.62"	"4.89"	"4.86"	"3.47"	"2.77"
"1953"	"2.71"	"3.79"	"5.42"	"6.49"	"7.44"	"7.09"	"5.49"	"4.56"	"4.83"	"4.69"	"3.47"	"2.95"
"1954"	"2.7"	"3.65"	"5.07"	"6.52"	"7.55"	"7.14"	"5.48"	"4.57"	"4.85"	"4.52"	"3.51"	"2.73"
"1955"	"2.76"	"3.56"	"5.33"	"6.23"	"7.25"	"7.09"	"5.5"	"4.62"	"4.74"	"4.5"	"3.39"	"2.74"
"1956"	"2.72"	"3.54"	"5.02"	"6.46"	"7.66"	"7.06"	"5.34"	"4.56"	"4.89"	"4.39"	"3.35"	"2.78"
"1957"	"2.66"	"3.4"	"4.9"	"6.32"	"7.12"	"6.96"	"5.46"	"4.47"	"4.84"	"4.67"	"3.65"	"2.79"
"1958"	"2.9"	"3.6"	"5.21"	"6.81"	"7.37"	"7.12"	"5.4"	"4.73"	"4.74"	"4.63"	"3.52"	"2.84"
"1959"	"2.69"	"3.46"	"5.18"	"6.5"	"7.25"	"6.9"	"5.41"	"4.65"	"4.82"	"4.77"	"3.47"	"2.82"
"1960"	"2.71"	"3.74"	"4.94"	"6.26"	"7.37"	"7.09"	"5.48"	"4.63"	"4.87"	"4.65"	"3.4"	"2.82"
"1961"	"2.72"	"3.3"	"5.01"	"6.34"	"7.26"	"6.98"	"5.32"	"4.52"	"4.7"	"4.45"	"3.36"	"2.57"
"1962"	"2.66"	"3.58"	"5.14"	"6.52"	"7.22"	"6.97"	"5.37"	"4.59"	"4.5"	"4.45"	"3.36"	"2.71"
"1963"	"2.85"	"3.87"	"5.08"	"6.39"	"7.34"	"7.04"	"5.7"	"4.53"	"4.79"	"4.83"	"3.66"	"2.83"
"1964"	"2.64"	"3.5"	"5.34"	"6.72"	"7.23"	"6.86"	"5.19"	"4.74"	"4.77"	"4.76"	"3.41"	"2.68"
"1965"	"2.96"	"3.6"	"5.06"	"6.28"	"7.09"	"7.12"	"5.43"	"4.7"	"4.76"	"4.8"	"3.66"	"2.71"
"1966"	"2.96"	"3.94"	"5.11"	"6.46"	"7.56"	"7.01"	"5.83"	"4.65"	"4.79"	"4.85"	"3.6"	"2.74"
"1967"	"2.69"	"3.85"	"4.96"	"6.36"	"7.36"	"7.14"	"5.59"	"4.46"	"4.76"	"4.65"	"3.58"	"2.82"
"1968"	"2.72"	"3.4"	"5.13"	"6.46"	"7.26"	"7.14"	"5.44"	"4.7"	"5.27"	"4.73"	"3.54"	"2.76"
"1969"	"2.8"	"3.61"	"5.61"	"6.52"	"7.21"	"7.2"	"5.51"	"4.77"	"4.79"	"4.89"	"3.65"	"2.89"
"1970"	"2.86"	"3.55"	"4.98"	"6.87"	"7.6"	"6.97"	"5.84"	"4.8"	"4.79"	"4.95"	"3.55"	"2.83"
"1971"	"2.73"	"3.6"	"5.12"	"6.79"	"7.17"	"6.63"	"5.17"	"4.68"	"5.05"	"4.72"	"3.5"	"2.87"
"1972"	"2.75"	"3.29"	"5.24"	"6.45"	"7.57"	"7.03"	"5.91"	"4.75"	"4.67"	"4.6"	"3.45"	"2.7"
"1973"	"2.53"	"3.7"	"5.04"	"7.13"	"7.79"	"7.23"	"5.54"	"4.57"	"4.82"	"4.69"	"3.52"	"2.63"
"1974"	"2.63"	"3.4"	"5.33"	"6.88"	"7.69"	"6.95"	"5.43"	"4.88"	"5.15"	"4.73"	"3.51"	"2.63"
"1975"	"2.6"	"3.4"	"4.94"	"6.7"	"7.71"	"6.78"	"5.44"	"4.66"	"4.43"	"4.72"	"3.42"	"2.83"
"1976"	"2.86"	"3.53"	"4.99"	"6.57"	"7.41"	"6.67"	"5.45"	"4.49"	"4.76"	"4.88"	"3.63"	"2.71"
"1977"	"2.63"	"3.7"	"5.5"	"6.43"	"7.1"	"6.61"	"5.11"	"4.64"	"4.48"	"4.76"	"3.69"	"2.8"
"1978"	"2.7"	"3.35"	"4.8"	"6.63"	"8.03"	"7.17"	"5.13"	"4.45"	"4.62"	"4.74"	"3.39"	"2.72"
"1979"	"2.75"	"3.39"	"4.65"	"6.3"	"6.73"	"6.92"	"5.27"	"4.81"	"4.79"	"4.77"	"3.63"	"2.76"
"1980"	"2.7"	"3.65"	"4.96"	"6.71"	"7.3"	"6.51"	"5.19"	"4.62"	"4.73"	"4.8"	"3.58"	"2.75"
"1981"	"2.7"	"3.66"	"5.01"	"6.75"	"7.19"	"6.96"	"5.21"	"4.55"	"4.85"	"4.8"	"3.31"	"2.72"
"1982"	"2.72"	"3.33"	"4.69"	"6.29"	"6.78"	"6.98"	"5.57"	"4.57"	"4.99"	"4.74"	"3.36"	"2.68"
"1983"	"2.63"	"3.39"	"4.93"	"5.93"	"6.98"	"6.65"	"5.52"	"4.69"	"4.83"	"4.57"	"3.36"	"2.69"
"1984"	"2.64"	"3.27"	"5.21"	"6.53"	"7.66"	"7.04"	"5.45"	"4.67"	"4.68"	"4.63"	"3.38"	"2.6"
"1985"	"2.66"	"3.72"	"5.23"	"6.57"	"7.56"	"6.9"	"5.33"	"4.54"	"4.81"	"4.42"	"3.5"	"2.76"
"1986"	"2.73"	"3.41"	"5.04"	"6.56"	"7.24"	"7.05"	"5.44"	"4.64"	"4.87"	"4.73"	"3.61"	"2.61"
"1987"	"2.9"	"3.71"	"5.15"	"6.6"	"6.83"	"7.12"	"5.56"	"4.88"	"5.07"	"4.8"	"3.67"	"2.71"
"1988"	"2.83"	"3.72"	"5.02"	"6.76"	"7.83"	"6.93"	"5.29"	"4.53"	"4.76"	"4.73"	"3.52"	"2.8"
"1989"	"2.63"	"3.4"	"5.07"	"6.48"	"7.4"	"6.77"	"5.48"	"4.65"	"4.82"	"4.74"	"3.57"	"2.67"
"1990"	"2.88"	"3.45"	"4.86"	"6.55"	"7.29"	"6.9"	"5.38"	"4.63"	"4.8"	"4.59"	"3.52"	"2.69"
"1991"	"2.71"	"3.61"	"5.14"	"6.45"	"7.48"	"7.09"	"5.61"	"4.68"	"4.82"	"4.67"	"3.45"	"2.72"
"1992"	"2.75"	"3.42"	"5"	"6.48"	"7.34"	"7.26"	"5.45"	"4.65"	"4.72"	"4.64"	"3.48"	"2.81"
"1993"	"2.76"	"3.69"	"4.93"	"6.56"	"7.52"	"6.91"	"5.37"	"4.82"	"4.77"	"4.79"	"3.6"	"2.77"
"1994"	"2.86"	"3.54"	"5.3"	"6.36"	"7.56"	"7.09"	"5.29"	"4.59"	"4.72"	"4.67"	"3.53"	"2.75"
"1995"	"2.67"	"3.56"	"4.9"	"6.51"	"7.56"	"7.31"	"5.47"	"4.58"	"4.87"	"4.82"	"3.53"	"2.79"
"1996"	"2.72"	"3.6"	"5.28"	"6.6"	"7.33"	"6.75"	"5.46"	"4.59"	"4.78"	"4.68"	"3.45"	"2.68"
"1997"	"2.72"	"3.6"	"5.05"	"6.29"	"7.04"	"6.71"	"5.48"	"4.68"	"4.84"	"4.44"	"3.47"	"2.59"
"1998"	"2.77"	"3.64"	"4.89"	"6.62"	"7.56"	"7.05"	"5.46"	"4.79"	"4.86"	"4.76"	"3.65"	"2.85"
"1999"	"2.73"	"3.65"	"5.19"	"6.84"	"7.5"	"6.93"	"5.48"	"4.73"	"4.82"	"4.77"	"3.69"	"2.79"
"2000"	"2.85"	"3.48"	"5.07"	"6.81"	"7.5"	"6.92"	"5.36"	"4.75"	"4.88"	"4.8"	"3.68"	"2.85"
