
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.944"	"6.998"	"7.329"	"8.281"	"14.079"	"25.861"	"30.579"	"27.726"	"24.912"	"14.186"	"8.424"	"8.735"
"1902"	"8.097"	"7.99"	"8.666"	"8.854"	"13.435"	"22.863"	"28.017"	"29.663"	"23.37"	"12.462"	"8.195"	"7.495"
"1903"	"7.452"	"7.444"	"6.722"	"7.927"	"13.289"	"25.852"	"30.573"	"27.223"	"24.843"	"12.495"	"7.795"	"7.468"
"1904"	"7.437"	"7.6"	"6.837"	"8.486"	"13.348"	"23.224"	"26.597"	"27.975"	"23.854"	"12.463"	"8.147"	"8.07"
"1905"	"6.672"	"5.252"	"5.852"	"7.304"	"14.79"	"23.676"	"28.99"	"29.069"	"25.997"	"13.434"	"9.04"	"8.07"
"1906"	"7.036"	"6.495"	"6.907"	"8.125"	"15.421"	"22.698"	"27.69"	"29.008"	"22.869"	"12.487"	"8.448"	"8.177"
"1907"	"8.23"	"7.001"	"6.698"	"7.637"	"12.567"	"23.911"	"30.872"	"27.313"	"24.562"	"12.464"	"8.477"	"7.389"
"1908"	"7.517"	"7.6"	"7.025"	"8.621"	"13.348"	"24.064"	"25.766"	"26.367"	"23.369"	"12.114"	"7.768"	"7.904"
"1909"	"7.16"	"7.097"	"7.659"	"7.476"	"12.654"	"22.547"	"25.589"	"26.468"	"22.689"	"12.413"	"8.385"	"7.468"
"1910"	"7.433"	"7.595"	"7.329"	"7.72"	"13.348"	"22.751"	"27.243"	"27.313"	"23.369"	"11.742"	"7.539"	"7.912"
"1911"	"7.719"	"7.571"	"6.296"	"8.586"	"14.376"	"22.662"	"30.827"	"30.741"	"23.392"	"12.465"	"7.42"	"8.07"
"1912"	"8.05"	"8.044"	"7.037"	"8.629"	"14.058"	"25.521"	"28.514"	"27.323"	"23.369"	"12.464"	"7.778"	"8.07"
"1913"	"7.499"	"7.538"	"6.298"	"8.706"	"12.948"	"21.448"	"27.289"	"27.975"	"24.667"	"13.485"	"8.419"	"7.993"
"1914"	"8.527"	"7.438"	"7.021"	"8.159"	"14.98"	"22.889"	"27.262"	"27.316"	"23.369"	"12.269"	"8.419"	"7.468"
"1915"	"7.339"	"6.702"	"7.22"	"8.606"	"15.305"	"24.002"	"31.259"	"29.352"	"26.978"	"13.487"	"8.386"	"8.07"
"1916"	"8.028"	"6.987"	"8.544"	"8.781"	"13.372"	"22.138"	"27.624"	"27.324"	"23.369"	"11.702"	"7.191"	"7.468"
"1917"	"7.54"	"7.6"	"7.136"	"6.708"	"11.127"	"21.733"	"25.987"	"27.313"	"22.185"	"10.929"	"6.896"	"8.095"
"1918"	"6.952"	"7.547"	"7.302"	"7.381"	"14.093"	"22.743"	"32.116"	"30.263"	"24.11"	"12.463"	"8.448"	"7.468"
"1919"	"7.35"	"7.16"	"7.43"	"7.954"	"13.305"	"25.27"	"27.249"	"27.324"	"23.468"	"12.403"	"7.77"	"7.468"
"1920"	"7.46"	"7.52"	"7.329"	"8.012"	"10.952"	"21.031"	"27.092"	"28.367"	"26.41"	"13.487"	"8.449"	"8.023"
"1921"	"7.467"	"7.571"	"9.191"	"9.719"	"15.128"	"24.169"	"30.745"	"27.324"	"23.48"	"12.462"	"8.302"	"8.738"
"1922"	"7.395"	"8.139"	"7.433"	"8.611"	"13.413"	"22.827"	"27.874"	"27.313"	"23.395"	"12.463"	"8.333"	"7.988"
"1923"	"7.427"	"7.491"	"7.329"	"8.629"	"13.348"	"25.422"	"27.93"	"27.223"	"23.369"	"12.391"	"7.779"	"7.87"
"1924"	"7.018"	"7.539"	"8.022"	"8.601"	"11.707"	"24.536"	"28.193"	"27.324"	"22.668"	"11.67"	"7.876"	"8.07"
"1925"	"6.486"	"6.465"	"7.519"	"9.455"	"13.29"	"19.597"	"26.125"	"29.047"	"25.31"	"13.487"	"8.021"	"8.037"
"1926"	"7.452"	"8.35"	"6.923"	"7.094"	"12.543"	"25.397"	"28.992"	"27.323"	"23.388"	"11.72"	"7.132"	"7.468"
"1927"	"6.373"	"6.502"	"6.886"	"7.928"	"13.342"	"23.907"	"27.263"	"27.223"	"23.369"	"12.462"	"7.808"	"8.077"
"1928"	"7.437"	"7.547"	"7.329"	"8.582"	"14.389"	"22.843"	"28.713"	"28.354"	"24.26"	"12.462"	"8.396"	"7.941"
"1929"	"7.436"	"7.019"	"8.309"	"8.628"	"13.594"	"22.791"	"27.262"	"27.324"	"24.1"	"12.462"	"8.488"	"7.24"
"1930"	"7.278"	"7.595"	"7.393"	"7.929"	"13.348"	"22.845"	"25.589"	"27.313"	"25.242"	"12.619"	"7.776"	"7.867"
