
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1051"	"1.1533"	"0.9822"	"0.0721"	"1.0702"	"1.9427"	"8.9226"	"7.5561"	"0.9942"	"1.0957"	"0"	"1.0129"
"1902"	"0.376"	"0"	"0.3366"	"0.6163"	"0.6775"	"4.097"	"7.4994"	"6.6862"	"4.0924"	"0.633"	"0.5397"	"0.1652"
"1903"	"0.8231"	"0.5081"	"0.3908"	"0"	"1.4246"	"1.0029"	"9.5262"	"8.8218"	"4.7455"	"1.0758"	"0"	"0.004"
"1904"	"1.0013"	"1.1533"	"1.1116"	"0"	"1.3737"	"3.3121"	"7.7508"	"6.884"	"4.0313"	"1.0758"	"1.0805"	"1.0301"
"1905"	"1.147"	"1.3787"	"1.0133"	"1.0794"	"0.837"	"1.8974"	"6.7682"	"1.6343"	"3.9233"	"0"	"0"	"0.4445"
"1906"	"0.04"	"1.9707"	"1.0666"	"0"	"0.9974"	"3.5477"	"8.0307"	"6.4538"	"6.0362"	"0.0025"	"0"	"1.0129"
"1907"	"1.0343"	"1.5829"	"1.0091"	"1.4928"	"1.0387"	"1.2838"	"6.1764"	"11.0457"	"0.8392"	"0"	"0.0266"	"0"
"1908"	"1.1384"	"0.4457"	"0"	"0.799"	"1.0071"	"2.1047"	"14.3572"	"11.4617"	"6.8463"	"0.9686"	"1.0805"	"0.4429"
"1909"	"1.0223"	"0.923"	"0"	"1.4722"	"1.152"	"3.1747"	"12.3471"	"6.5856"	"6.0614"	"0.1003"	"0"	"1.1076"
"1910"	"1.0241"	"1.1039"	"0.2155"	"1.0794"	"0.6308"	"4.1439"	"7.0954"	"8.8622"	"3.7565"	"1.1064"	"0.0904"	"0"
"1911"	"1.1392"	"0"	"1.1285"	"0.0032"	"0.1759"	"2.6924"	"3.3637"	"4.1735"	"6.1008"	"0.5251"	"1.493"	"0.9673"
"1912"	"1.1385"	"0.7727"	"0.4841"	"1.4141"	"0.9974"	"2.7097"	"9.4222"	"9.6407"	"4.4496"	"1.0766"	"1.3403"	"0.8759"
"1913"	"0.0943"	"1.6465"	"1.0176"	"0.2443"	"1.7608"	"3.5158"	"6.1544"	"5.0219"	"3.5704"	"0"	"0.0079"	"1.0329"
"1914"	"0.0087"	"1.1533"	"0.2125"	"1.2531"	"1.3447"	"4.2141"	"9.1207"	"7.2226"	"5.1819"	"1.0775"	"1.0805"	"0.0863"
"1915"	"1.0511"	"1.765"	"1.2676"	"1.3115"	"0.9591"	"2.3093"	"6.5819"	"4.5038"	"3.0131"	"1.8663"	"0.0032"	"0.0847"
"1916"	"0"	"1.4625"	"0.2125"	"0.7622"	"1.6688"	"3.5502"	"7.8079"	"11.7181"	"5.2095"	"1.2229"	"0.2893"	"0"
"1917"	"1.022"	"1.1543"	"0.9346"	"1.5351"	"2.9094"	"5.1683"	"11.0188"	"12.6147"	"7.3824"	"2.0221"	"0"	"1.0136"
"1918"	"1.0223"	"0"	"1.0124"	"0.4122"	"1.0367"	"2.0519"	"2.9033"	"6.2696"	"1.356"	"0"	"0.3743"	"0.0055"
"1919"	"1.2177"	"0.1273"	"0.6399"	"1.0794"	"1.0132"	"1.3504"	"9.9052"	"9.2008"	"3.282"	"0.5221"	"1.1843"	"1.0129"
"1920"	"1.0224"	"1.1543"	"1.02"	"0.0338"	"1.9007"	"4.8523"	"9.2436"	"4.684"	"1.8909"	"0.0159"	"0"	"0"
"1921"	"1.0223"	"0"	"0"	"0.4987"	"0.1759"	"2.1196"	"7.4413"	"6.4512"	"5.0275"	"0.446"	"0"	"0.0016"
"1922"	"1.0612"	"0.8733"	"0.014"	"0.7085"	"0.9879"	"2.8199"	"7.7934"	"6.1104"	"5.9601"	"0.556"	"0.4676"	"1.071"
"1923"	"1.0324"	"1.9598"	"1.0034"	"0.1196"	"1.0428"	"1.0047"	"11.4302"	"9.8805"	"2.4547"	"1.0758"	"0"	"1.0592"
"1924"	"1.1952"	"1.2208"	"0.472"	"0.0016"	"1.3568"	"2.074"	"8.6427"	"7.5225"	"6.1587"	"1.0771"	"0.8836"	"1.0365"
"1925"	"0.2948"	"0"	"0"	"0"	"1.2474"	"4.899"	"11.6304"	"5.4016"	"1.0086"	"0.2089"	"1.4544"	"0.0025"
"1926"	"1.0223"	"1.0131"	"1.2072"	"1.1735"	"1.7297"	"1.2848"	"8.7308"	"10.4574"	"5.7691"	"0"	"0.7058"	"0.0079"
"1927"	"0"	"1.3356"	"1.043"	"0.9569"	"1.0917"	"1.8248"	"10.2607"	"11.7683"	"3.9641"	"1.3552"	"1.284"	"1.0129"
"1928"	"1.0604"	"1.5836"	"1.0057"	"0.6417"	"0.9989"	"1.7771"	"8.8376"	"8.2526"	"3.7505"	"2.3065"	"1.1981"	"1.0416"
"1929"	"0.4324"	"0.526"	"0"	"1.1962"	"0.9999"	"2.8767"	"8.7299"	"9.0941"	"1.3828"	"0.9085"	"0"	"1.0523"
"1930"	"1.0241"	"1.3024"	"0"	"1.2511"	"1.4877"	"4.4155"	"9.972"	"6.2311"	"2.4814"	"1.2685"	"0.177"	"0.0995"
"1931"	"0.1988"	"1.241"	"0.9987"	"0.6306"	"1.0014"	"1.4783"	"8.0372"	"12.8919"	"4.0883"	"2.399"	"0.006"	"0"
"1932"	"0"	"0.5517"	"1.0388"	"1.0794"	"0.9999"	"2.2978"	"7.0849"	"12.1183"	"4.3344"	"0.135"	"0"	"0"
"1933"	"0.0415"	"1.3693"	"1.0123"	"1.0794"	"2.0853"	"6.0392"	"6.5604"	"12.332"	"5.6277"	"1.2265"	"0.1056"	"0.4339"
"1934"	"1.0792"	"0"	"1.1511"	"0"	"0.3969"	"4.7278"	"6.2524"	"10.7624"	"2.5592"	"0"	"0.5993"	"1.0272"
"1935"	"1.1069"	"1.54"	"0.9921"	"1.2341"	"0.9999"	"1.6694"	"10.8158"	"5.0437"	"5.523"	"1.1762"	"0.4259"	"1.0216"
"1936"	"0.1875"	"1.3807"	"1.0447"	"1.0794"	"1.0589"	"5.9755"	"7.4542"	"7.7341"	"4.2422"	"0.0231"	"1.3548"	"1.0538"
"1937"	"0"	"2.6191"	"0"	"1.2061"	"1.0057"	"2.0497"	"8.3372"	"3.0468"	"5.2679"	"1.0758"	"1.0427"	"1.0416"
"1938"	"1.183"	"0.1871"	"1.0123"	"0.4055"	"1.0221"	"5.3874"	"8.9262"	"5.8501"	"1.9635"	"0.9684"	"0"	"0.004"
"1939"	"0.9789"	"1.5824"	"1.0123"	"0.9177"	"0.1759"	"3.2972"	"6.6713"	"7.0177"	"3.5281"	"0.0843"	"0.1044"	"0.2117"
"1940"	"1.1327"	"1.5408"	"1.0123"	"1.0485"	"0.9953"	"2.9507"	"8.2801"	"8.8581"	"1.3918"	"1.0758"	"1.0805"	"0.8701"
"1941"	"1.0907"	"0.9218"	"0.7314"	"0.0721"	"1.2909"	"1.6224"	"7.4568"	"6.7643"	"3.7665"	"1.0758"	"0"	"1.0063"
"1942"	"1.0872"	"1.4796"	"0.0143"	"1.1141"	"1.1302"	"2.7783"	"11.8962"	"9.358"	"4.6403"	"0"	"0"	"1.0344"
"1943"	"1.051"	"0"	"0"	"1.2118"	"1.3345"	"3.2777"	"12.2542"	"8.1417"	"6.3712"	"0.3199"	"0"	"0"
"1944"	"1.1063"	"1.6716"	"1.1796"	"1.5562"	"0.2008"	"2.5762"	"10.5974"	"11.3013"	"3.6173"	"1.0758"	"0"	"0"
"1945"	"1.1426"	"0"	"0"	"1.2815"	"1.1534"	"2.2837"	"12.6319"	"8.9867"	"5.1693"	"0.57"	"0"	"0"
"1946"	"0"	"0.9642"	"0"	"0.3205"	"1.074"	"3.3605"	"8.1524"	"9.848"	"1.6496"	"0.8258"	"0.6559"	"0.9992"
"1947"	"1.0184"	"1.1511"	"0.9113"	"0.4468"	"0.9971"	"1.4876"	"7.4947"	"9.9284"	"7.8315"	"2.0322"	"0"	"1.009"
"1948"	"1.1589"	"1.4096"	"1.0509"	"0.6469"	"0.9999"	"2.0993"	"11.2806"	"8.4701"	"3.8115"	"1.0763"	"1.3537"	"0.004"
"1949"	"1.0232"	"1.3251"	"0.4864"	"0.0143"	"1.0078"	"1.9462"	"11.7142"	"6.4046"	"4.7799"	"1.1033"	"0"	"0"
