
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.624"	"15.603"	"24.221"	"28.953"	"33.373"	"35.508"	"33.18"	"30.737"	"29.887"	"28.192"	"21.755"	"17.099"
"1902"	"16.483"	"18.266"	"25.496"	"30.386"	"33.429"	"32.611"	"33.282"	"31.626"	"29.802"	"27.035"	"21.873"	"16.29"
"1903"	"14.123"	"17.155"	"20.946"	"27.038"	"33.091"	"35.261"	"33.005"	"31.408"	"30.853"	"27.788"	"20.031"	"14.901"
"1904"	"13.988"	"18.523"	"22.242"	"30.05"	"33.61"	"33.749"	"32.198"	"31.06"	"30.535"	"27.304"	"22.344"	"16.631"
"1905"	"12.724"	"13.605"	"20.265"	"27.29"	"34.645"	"33.901"	"33.012"	"31.658"	"30.414"	"27.559"	"23.039"	"16.677"
"1906"	"13.612"	"15.139"	"21.214"	"27.989"	"34.253"	"33.708"	"32.964"	"31.1"	"29.91"	"27.508"	"23.235"	"17.716"
"1907"	"17.563"	"16.16"	"21.903"	"27.801"	"31.687"	"33.521"	"33.715"	"30.253"	"28.998"	"26.273"	"21.996"	"15.6"
"1908"	"15.311"	"18.11"	"22.204"	"29.05"	"32.697"	"34.188"	"30.847"	"29.724"	"28.556"	"25.977"	"20.722"	"15.397"
"1909"	"13.916"	"16.847"	"23.003"	"27.399"	"32.247"	"34.375"	"31.079"	"29.564"	"28.428"	"26.6"	"22.594"	"15.187"
"1910"	"14.503"	"18.173"	"22.906"	"27.265"	"32.864"	"34.25"	"30.521"	"29.816"	"29.345"	"26.321"	"20.551"	"15.374"
"1911"	"14.589"	"18.525"	"20.898"	"27.973"	"33.569"	"33.957"	"32.381"	"30.954"	"30.214"	"27.182"	"18.975"	"15.835"
"1912"	"15.982"	"17.552"	"22.374"	"29.136"	"33.514"	"35.43"	"32.785"	"30.31"	"29.342"	"26.897"	"19.815"	"15.92"
