
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.235"	"18.081"	"21.402"	"19.393"	"13.242"	"21.507"	"44.544"	"40.543"	"20.077"	"7.361"	"9.46"	"14.733"
"1902"	"15.847"	"18.845"	"22.127"	"19.415"	"12.643"	"21.023"	"43.775"	"40.744"	"19.305"	"7.078"	"9.46"	"14.748"
"1903"	"15.836"	"18.845"	"22.658"	"19.537"	"13.66"	"21.3"	"44.096"	"41.149"	"20.269"	"6.374"	"9.329"	"14.733"
"1904"	"15.836"	"18.83"	"22.407"	"20.132"	"13.613"	"21.507"	"44.235"	"40.667"	"19.999"	"7.078"	"10.017"	"14.733"
"1905"	"15.831"	"18.845"	"22.119"	"19.415"	"13.283"	"21.507"	"44.89"	"41.303"	"19.915"	"7.078"	"9.472"	"14.787"
"1906"	"15.795"	"18.845"	"21.482"	"19.415"	"13.27"	"22.486"	"44.302"	"40.68"	"20.269"	"6.428"	"9.423"	"14.957"
"1907"	"15.831"	"19.247"	"21.971"	"19.415"	"13.242"	"22.353"	"45.082"	"41.097"	"20.269"	"7.609"	"10.076"	"14.733"
"1908"	"15.836"	"18.845"	"22.558"	"20.167"	"14.007"	"21.338"	"44.303"	"40.985"	"19.849"	"7.078"	"9.389"	"14.789"
"1909"	"15.285"	"18.845"	"22.127"	"19.38"	"12.739"	"21.008"	"43.869"	"40.662"	"19.492"	"6.399"	"9.42"	"14.679"
"1910"	"15.836"	"18.845"	"21.864"	"19.086"	"13.24"	"21.535"	"44.333"	"40.709"	"20.269"	"7.078"	"9.46"	"14.733"
"1911"	"15.836"	"18.845"	"22.122"	"19.415"	"13.242"	"21.436"	"43.723"	"40.641"	"20.268"	"7.078"	"8.822"	"14.733"
"1912"	"15.829"	"18.845"	"21.552"	"18.884"	"12.885"	"21.248"	"43.716"	"40.647"	"19.47"	"6.149"	"8.704"	"15.051"
"1913"	"16.078"	"18.851"	"21.502"	"19.415"	"12.937"	"20.609"	"43.678"	"41.119"	"19.421"	"7.529"	"9.574"	"14.942"
"1914"	"15.836"	"18.845"	"21.469"	"18.989"	"12.638"	"20.873"	"43.603"	"41.087"	"19.212"	"6.421"	"9.955"	"15.187"
"1915"	"15.264"	"18.807"	"21.039"	"19.793"	"12.441"	"21.298"	"43.794"	"40.415"	"19.261"	"6.378"	"8.486"	"14.733"
"1916"	"16.189"	"18.806"	"22.127"	"19.544"	"13.242"	"22.194"	"43.925"	"40.847"	"20.163"	"6.322"	"9.339"	"14.733"
"1917"	"15.198"	"18.215"	"21.273"	"18.517"	"12.155"	"21.085"	"43.182"	"40.782"	"19.55"	"6.874"	"8.895"	"14.688"
"1918"	"15.836"	"18.806"	"22.127"	"19.39"	"12.028"	"21.433"	"44.222"	"40.284"	"19.042"	"6.435"	"9.46"	"14.913"
"1919"	"15.734"	"18.839"	"22.106"	"19.025"	"13.116"	"21.511"	"43.827"	"40.68"	"19.582"	"5.735"	"8.392"	"14.953"
"1920"	"16.141"	"18.845"	"22.127"	"19.415"	"13.242"	"21.462"	"44.655"	"40.462"	"20.269"	"6.153"	"9.77"	"15.202"
"1921"	"15.836"	"18.928"	"22.288"	"19.415"	"13.242"	"21.076"	"43.557"	"40.48"	"20.18"	"5.545"	"9.077"	"15.17"
"1922"	"16.055"	"18.845"	"22.127"	"19.242"	"13.244"	"21.368"	"44.256"	"40.858"	"20.135"	"6.85"	"8.797"	"14.733"
"1923"	"15.836"	"18.845"	"22.127"	"19.833"	"12.638"	"22.484"	"44.555"	"41.278"	"20.179"	"6.823"	"8.3"	"14.703"
"1924"	"15.101"	"18.618"	"22.127"	"20.074"	"13.117"	"21.507"	"44.201"	"41.054"	"19.631"	"5.992"	"8.698"	"15.2"
"1925"	"15.836"	"18.124"	"20.986"	"18.881"	"12.453"	"21.26"	"44.23"	"40.237"	"18.899"	"7.1"	"8.778"	"13.779"
"1926"	"15.499"	"18.817"	"21.531"	"20.374"	"12.709"	"21.978"	"44.292"	"40.234"	"20.166"	"6.368"	"9.46"	"14.995"
"1927"	"16.107"	"18.845"	"21.437"	"19.06"	"12.747"	"21.257"	"44.663"	"40.583"	"20.572"	"7.061"	"9.46"	"14.898"
"1928"	"16.112"	"18.845"	"22.466"	"19.415"	"13.242"	"22.109"	"44.935"	"41.612"	"20.459"	"7.078"	"9.46"	"15.112"
"1929"	"15.722"	"18.85"	"22.049"	"18.433"	"13.111"	"21.922"	"45.076"	"41.377"	"20.341"	"6.057"	"9.176"	"15.687"
"1930"	"15.808"	"18.811"	"21.683"	"20.31"	"13.252"	"22.681"	"44.981"	"41.699"	"20.87"	"7.765"	"8.732"	"14.753"
"1931"	"17.646"	"29.551"	"22.616"	"17.878"	"12.987"	"16.791"	"42.295"	"41.851"	"17.819"	"11.623"	"5.418"	"13.773"
"1932"	"16.031"	"17.573"	"28.438"	"18.369"	"12.825"	"25.671"	"45.117"	"46.854"	"18.607"	"0.224"	"0"	"13.864"
"1933"	"17.547"	"22.416"	"25.785"	"27.255"	"24.324"	"24.558"	"47.673"	"49.357"	"26.3"	"7.466"	"6.579"	"13.314"
"1934"	"15.089"	"11.244"	"25.182"	"15.391"	"14.238"	"22.416"	"50.157"	"42.631"	"17.345"	"0.113"	"6.853"	"17.651"
"1935"	"18.494"	"24.33"	"22.267"	"30.72"	"11.149"	"3.613"	"42.194"	"38.879"	"15.909"	"2.124"	"9.151"	"14.931"
"1936"	"14.708"	"22.023"	"24.49"	"17.534"	"12.186"	"27.908"	"44.745"	"36.99"	"18.71"	"6.153"	"8.372"	"21.029"
"1937"	"15.026"	"25.892"	"24.869"	"17.451"	"13.192"	"13.357"	"47.831"	"39.307"	"15.902"	"3.806"	"8.581"	"13.53"
"1938"	"21.319"	"21.182"	"21.486"	"14.532"	"13.905"	"28.258"	"36.737"	"38.041"	"16.405"	"0.235"	"3.608"	"9.863"
"1939"	"15.336"	"28.235"	"32.694"	"19.223"	"8.959"	"28.187"	"44.777"	"34.978"	"16.414"	"3.065"	"1.45"	"12.647"
"1940"	"18.406"	"24.704"	"28.769"	"18.088"	"14.508"	"23.395"	"42.701"	"40.094"	"14.627"	"3.299"	"6.148"	"13.685"
"1941"	"16.793"	"17.337"	"21.943"	"18.919"	"17.434"	"27.158"	"42.839"	"38.521"	"17.184"	"5.767"	"0.151"	"10.666"
"1942"	"22.65"	"24.882"	"17.36"	"20.48"	"17.105"	"12.473"	"48.356"	"42.24"	"21.578"	"5.448"	"4.099"	"13.485"
"1943"	"25.801"	"11.883"	"17.169"	"17.375"	"10.832"	"19.935"	"43.293"	"41.939"	"19.137"	"0.371"	"0"	"12.662"
"1944"	"18.36"	"27.045"	"28.393"	"20.245"	"10.685"	"15.184"	"46.656"	"49.753"	"20.917"	"1.013"	"2.987"	"14.264"
"1945"	"16.487"	"13.093"	"16.675"	"20.014"	"10.884"	"14.68"	"43.73"	"41.825"	"21.104"	"5.991"	"4.604"	"10.572"
"1946"	"12.764"	"13.948"	"17.558"	"10.917"	"14.174"	"25.139"	"43.558"	"44.105"	"17.748"	"8.447"	"2.601"	"11.857"
"1947"	"15.202"	"15.414"	"19.579"	"7.086"	"3.963"	"13.32"	"34.407"	"40.835"	"21.268"	"6.494"	"10.736"	"14.706"
"1948"	"17.154"	"25.748"	"28.271"	"21.294"	"6.791"	"21.657"	"40.877"	"43.388"	"19.183"	"11.095"	"4.967"	"17.856"
"1949"	"15.712"	"20.065"	"26.722"	"8.868"	"10.958"	"18.161"	"43.846"	"43.466"	"19.724"	"8.234"	"1.465"	"13.326"
"1950"	"20.452"	"18.24"	"25.596"	"13.976"	"13.94"	"23.416"	"48.795"	"42.811"	"21.438"	"7.576"	"2.87"	"11.544"
"1951"	"16.848"	"16.79"	"27.863"	"22.537"	"17.902"	"15.99"	"37.269"	"39.854"	"15.049"	"5.495"	"9.441"	"13.331"
"1952"	"16.343"	"20.518"	"26.433"	"18.887"	"13.834"	"21.378"	"46.893"	"42.683"	"19.32"	"0.01"	"3.067"	"13.429"
"1953"	"17.597"	"20.437"	"17.828"	"17.031"	"16.607"	"21.898"	"51.053"	"44.265"	"22.916"	"3.498"	"8.449"	"13.601"
"1954"	"18.451"	"28.624"	"21.98"	"16.547"	"9.372"	"19.697"	"37.312"	"35.575"	"22.585"	"7.415"	"10.416"	"12.234"
"1955"	"22.875"	"13.727"	"25.116"	"10.973"	"15.644"	"19.998"	"40.669"	"46.421"	"24.55"	"10.649"	"4.771"	"17.507"
"1956"	"19.612"	"13.979"	"25.466"	"18.268"	"5.799"	"28.027"	"56.024"	"47.104"	"20.449"	"18.466"	"5.695"	"15.719"
"1957"	"22.785"	"13.882"	"26.457"	"24.48"	"17.868"	"17.588"	"39.39"	"38.32"	"13.486"	"6.668"	"14.683"	"20.353"
"1958"	"16.705"	"16.395"	"20.406"	"15.099"	"9.488"	"14.527"	"47.988"	"38.997"	"25.337"	"11.557"	"10.506"	"18.615"
"1959"	"19.871"	"20.57"	"17.155"	"17.925"	"14.71"	"19.671"	"50.188"	"45.025"	"31.379"	"17.2"	"17"	"14.326"
"1960"	"14.459"	"10.892"	"27.717"	"19.281"	"4.038"	"21.603"	"45.937"	"42.988"	"16.355"	"0.97"	"0.82"	"13.323"
"1961"	"16.94"	"22.365"	"20.658"	"21.493"	"18.014"	"24.492"	"48.158"	"44.822"	"29.603"	"7.617"	"10.309"	"13.429"
"1962"	"13.357"	"19.918"	"25.223"	"20.512"	"11.777"	"17.563"	"44.358"	"40.424"	"26.95"	"3.304"	"7.785"	"16.549"
"1963"	"10.885"	"14.946"	"23.538"	"23.861"	"19.498"	"20.498"	"38.772"	"39.812"	"17.701"	"10.777"	"19.234"	"14.723"
"1964"	"20.622"	"19.662"	"20.848"	"18.357"	"11.813"	"24.156"	"47.761"	"43.079"	"26.425"	"2.055"	"2.457"	"13.716"
"1965"	"20.518"	"17.397"	"20.34"	"29.563"	"14.431"	"20.666"	"45.252"	"37.803"	"15.068"	"8.157"	"8.918"	"12.224"
"1966"	"10.717"	"21.51"	"18.904"	"20.177"	"8.207"	"23.982"	"41.834"	"39.534"	"19.917"	"7.113"	"6.775"	"9.572"
"1967"	"10.243"	"14.722"	"32.136"	"23.791"	"12.028"	"20.381"	"47.705"	"45.889"	"21.29"	"9.188"	"15.257"	"23.717"
"1968"	"20.868"	"23.789"	"21.904"	"14.256"	"11.345"	"15.661"	"40.621"	"36.829"	"11.45"	"4.415"	"6.362"	"13.749"
"1969"	"12.748"	"16.26"	"13.987"	"12.456"	"11.547"	"15.254"	"41.114"	"36.819"	"17.524"	"7.722"	"9.839"	"12.157"
"1970"	"16.921"	"19.467"	"26.776"	"13.545"	"10.812"	"22.599"	"41.715"	"43.313"	"24.774"	"10.134"	"4.31"	"10.515"
"1971"	"14.025"	"13.555"	"16.626"	"16.88"	"18.324"	"31.131"	"45.558"	"42.425"	"17.567"	"8.048"	"6.587"	"9.895"
"1972"	"15.896"	"19.907"	"22.381"	"21.717"	"10.696"	"16.515"	"42.524"	"37.381"	"11.832"	"2.135"	"5.16"	"17.046"
"1973"	"16.201"	"17.92"	"20.658"	"13.076"	"14.483"	"26.128"	"47.278"	"45.638"	"23.297"	"5.645"	"6.476"	"17.41"
"1974"	"16.072"	"18.724"	"20.549"	"20.137"	"14.412"	"19.151"	"37.984"	"36.775"	"14.5"	"4.931"	"4.281"	"16.229"
"1975"	"16.918"	"19.929"	"19.547"	"15.323"	"15.624"	"20.419"	"44.23"	"40.39"	"24.794"	"10.605"	"3.824"	"11.711"
