
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1902"	"18.186"	"17.944"	"18.202"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1903"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.415"	"12.693"	"17.616"	"18.829"	"18.492"
"1904"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1905"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1906"	"18.15"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1907"	"18.212"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.278"	"12.693"	"17.379"	"18.829"	"18.492"
"1908"	"18.186"	"17.944"	"18.172"	"17.802"	"17"	"13.827"	"10.959"	"10.272"	"12.982"	"17.616"	"18.829"	"18.405"
"1909"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1910"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1911"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1912"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.222"
"1913"	"18.186"	"17.944"	"18.172"	"17.974"	"17.071"	"13.827"	"11.013"	"10.272"	"12.693"	"17.616"	"18.829"	"18.481"
"1914"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"17.133"	"18.492"
"1915"	"18.186"	"17.944"	"18.172"	"17.674"	"17"	"13.827"	"10.959"	"10.221"	"12.693"	"17.616"	"19.01"	"18.492"
"1916"	"18.186"	"17.944"	"18.323"	"17.933"	"17"	"13.827"	"11.424"	"10.272"	"12.693"	"17.616"	"18.829"	"18.569"
"1917"	"18.264"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.502"
"1918"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1919"	"18.735"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.666"
"1920"	"18.065"	"17.944"	"18.172"	"17.783"	"17"	"13.827"	"10.959"	"10.288"	"12.671"	"17.616"	"18.829"	"18.492"
"1921"	"18.186"	"17.944"	"18.121"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.836"	"18.829"	"18.476"
"1922"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.797"	"11.077"	"10.272"	"12.693"	"17.884"	"18.829"	"18.492"
"1923"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1924"	"18.327"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.719"	"18.829"	"18.492"
"1925"	"18.19"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.616"	"18.829"	"18.492"
"1926"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.716"	"19.022"	"18.482"
"1927"	"18.186"	"17.944"	"18.172"	"17.974"	"17"	"13.827"	"10.959"	"10.272"	"12.693"	"17.646"	"18.829"	"18.492"
