
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"10.2019"	"5.4608"	"0"	"0.4231"	"0"	"0"	"0"	"0.0192"	"0.16"	"0.0027"	"0.3866"	"2.6573"
"1902"	"1.9098"	"0.5592"	"0"	"0"	"0"	"0.4819"	"0"	"0"	"0.0171"	"0.0685"	"0.0767"	"4.3297"
"1903"	"8.2949"	"2.8144"	"1.823"	"1.1441"	"0.0948"	"0"	"0"	"0"	"0"	"0"	"1.7849"	"7.8692"
"1904"	"8.1183"	"0.1656"	"1.0373"	"0"	"0"	"0.1179"	"0.0183"	"0"	"0"	"0.0044"	"0.011"	"3.2089"
"1905"	"10.9578"	"6.2842"	"2.0099"	"1.0562"	"0"	"0.091"	"0"	"0"	"0"	"0"	"0"	"3.342"
"1906"	"9.8323"	"5.153"	"1.5666"	"0.8436"	"0"	"0.1132"	"0"	"0.0063"	"0.0005"	"0"	"0"	"0.9492"
"1907"	"0.3126"	"4.3872"	"1.3862"	"0.8512"	"0.7199"	"0.2755"	"0"	"0.1295"	"0.4668"	"0.6401"	"0.096"	"5.947"
"1908"	"5.2352"	"1.5969"	"1.2021"	"0.2124"	"0.2513"	"0"	"0.3598"	"0.3763"	"0.7003"	"0.8613"	"1.1023"	"5.8812"
"1909"	"8.9703"	"2.8929"	"0.8096"	"0.9713"	"0.5195"	"0"	"0.3324"	"0.3892"	"0.7667"	"0.4347"	"0.1626"	"7.085"
"1910"	"7.0847"	"1.01"	"0.6826"	"1.2155"	"0.1053"	"0"	"0.5302"	"0.2677"	"0.1247"	"0.5766"	"1.8289"	"7.2662"
"1911"	"6.8921"	"0.5232"	"1.8018"	"0.8111"	"0.0019"	"0.0129"	"0.0227"	"0.0157"	"0"	"0.0979"	"2.3434"	"4.9775"
"1912"	"3.2588"	"1.2563"	"0.954"	"0.2216"	"0"	"0"	"0"	"0.2041"	"0.3856"	"0.0974"	"1.9014"	"5.4691"
"1913"	"2.5879"	"3.0379"	"1.8582"	"0.0134"	"0.1616"	"0.0004"	"0.1546"	"0.261"	"0.4061"	"0.0226"	"1.0157"	"5.8051"
"1914"	"1.9802"	"4.4015"	"1.5517"	"0.3563"	"0"	"0.085"	"0.166"	"0.012"	"0"	"0.4221"	"0"	"6.8234"
"1915"	"6.5813"	"3.7797"	"0.005"	"0.736"	"0.0015"	"0"	"0"	"0"	"0"	"0"	"0.4363"	"4.7012"
"1916"	"2.2351"	"4.39"	"0"	"0.2069"	"0.4516"	"0.0461"	"0"	"0.0663"	"0.2819"	"1.0189"	"2.4806"	"7.0471"
"1917"	"3.3884"	"0"	"0.8999"	"1.1753"	"0.9325"	"0.1342"	"0.1644"	"0.4093"	"0.8125"	"1.2136"	"1.8766"	"6.3806"
"1918"	"8.0735"	"1.2665"	"0.9452"	"1.3738"	"0.0257"	"0.4227"	"0"	"0"	"0.3632"	"0.1963"	"1.2075"	"7.7771"
"1919"	"7.8104"	"1.7953"	"0.7439"	"0.6859"	"0.0861"	"0"	"0.0021"	"0.1111"	"0.5578"	"0.7819"	"1.6244"	"7.4154"
"1920"	"5.6034"	"2.5901"	"0.1044"	"0.8537"	"1.0194"	"0.148"	"0.0369"	"0.2199"	"0"	"0"	"0.1528"	"6.9045"
"1921"	"5.1718"	"1.2984"	"0"	"0"	"0.0052"	"0"	"0"	"0.3285"	"0.1321"	"0.6119"	"0.4515"	"2.7483"
"1922"	"6.5991"	"1.155"	"0.0331"	"0"	"0.2765"	"0.1422"	"0"	"0"	"0.1019"	"0.5924"	"0.9038"	"4.4702"
"1923"	"5.7605"	"3.0269"	"0.0128"	"0.3578"	"0.6203"	"0"	"0"	"0.2764"	"0.1107"	"0.6797"	"1.8389"	"8.022"
"1924"	"8.2239"	"1.2754"	"0"	"0.0683"	"0.8609"	"0"	"0"	"0.0739"	"0.4935"	"0.5456"	"1.8667"	"4.841"
"1925"	"10.2496"	"5.1701"	"0"	"0"	"0.043"	"0.203"	"0.1297"	"0.0136"	"0"	"0"	"1.5829"	"4.7176"
"1926"	"4.9884"	"0"	"0.9657"	"1.3056"	"0.7051"	"0"	"0"	"0.0007"	"0.2569"	"0.5823"	"2.3986"	"3.9397"
"1927"	"10.137"	"4.4839"	"1.2592"	"0.7462"	"0.3974"	"0"	"0.0772"	"0.4449"	"0.2824"	"0.003"	"0.8787"	"3.609"
"1928"	"6.7718"	"0.8186"	"0.0007"	"0"	"0"	"0.0881"	"0"	"0.0004"	"0.2912"	"0"	"0.3196"	"7.4255"
"1929"	"7.8012"	"3.2229"	"0"	"0.0052"	"0.0514"	"0.0042"	"0.2105"	"0.2905"	"0.1953"	"0.5371"	"0.477"	"9.6934"
"1930"	"8.908"	"1.9121"	"0.3135"	"0.9546"	"0.1961"	"0.0503"	"0.334"	"0.3067"	"0.008"	"0.0468"	"1.4392"	"5.7573"
"1931"	"3.9491"	"5.2712"	"0.6704"	"0"	"0.0515"	"0.0025"	"0"	"0"	"0"	"0.4198"	"0.6768"	"3.3711"
"1932"	"0.3518"	"0.6579"	"0"	"0.065"	"0.051"	"0.024"	"0"	"0.4139"	"0.0011"	"0.2296"	"0.9292"	"3.5476"
"1933"	"8.2313"	"0.1369"	"0.603"	"0.5823"	"0.4141"	"0.0356"	"0"	"0.2948"	"0.2313"	"0.0648"	"0.2759"	"1.3097"
"1934"	"11.3048"	"0"	"0.7737"	"0.0303"	"0.2562"	"0.0068"	"0.0863"	"0.001"	"0.0002"	"0.9209"	"0.7395"	"0.9073"
"1935"	"11.3361"	"2.3765"	"0.0263"	"1.2694"	"0.1281"	"0"	"0.0169"	"0.1919"	"0.0336"	"0.6834"	"0.0948"	"2.9203"
"1936"	"8.3785"	"0"	"1.1618"	"0.241"	"0"	"0.3823"	"0.2083"	"0.074"	"0"	"0.041"	"0.1641"	"2.6585"
"1937"	"7.9079"	"0.617"	"1.2063"	"0.672"	"0.0005"	"0"	"0.0379"	"0.0276"	"0"	"0.5095"	"0.4807"	"8.2639"
"1938"	"8.0729"	"3.1571"	"0"	"0.0255"	"0"	"0.0451"	"0.0039"	"0"	"0.0005"	"0"	"1.6759"	"3.8635"
"1939"	"4.0398"	"0.3552"	"1.854"	"1.263"	"0.2095"	"0.2439"	"0"	"0"	"0"	"0"	"0.0013"	"0.0359"
"1940"	"1.4055"	"0.0002"	"1.4188"	"0.7199"	"0"	"0.044"	"0"	"0.0234"	"0.055"	"0"	"0"	"3.8961"
"1941"	"6.7707"	"0"	"0"	"0"	"0"	"0"	"0.0144"	"0"	"0"	"0"	"0"	"1.5832"
"1942"	"6.2511"	"0.3846"	"0"	"0"	"0.0068"	"0"	"0.0171"	"0.0112"	"0.131"	"0"	"0"	"6.0813"
"1943"	"8.149"	"0.7575"	"0"	"0.4254"	"0"	"0.0097"	"0.0367"	"0.271"	"0.0176"	"0.1284"	"0.3765"	"0.0002"
"1944"	"5.9637"	"2.6362"	"0.7914"	"0.2952"	"0.0006"	"0.0005"	"0.0476"	"0.3702"	"0.2613"	"0.6861"	"0.0535"	"3.5596"
"1945"	"10.3088"	"2.1675"	"0.057"	"0.8006"	"0.2019"	"0.0218"	"0.2416"	"0"	"0.0275"	"0.4606"	"0.3262"	"6.939"
"1946"	"5.3978"	"0.0226"	"0.6805"	"0"	"0.0077"	"0"	"0"	"0.1674"	"0.0603"	"0"	"1.5405"	"8.8023"
"1947"	"7.1315"	"0.6599"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1013"	"0.651"	"0"	"3.745"
"1948"	"6.1066"	"2.8838"	"0.1032"	"0"	"0"	"0.0726"	"0"	"0.0222"	"0"	"0"	"1.6943"	"3.327"
"1949"	"3.9308"	"2.0094"	"0.1666"	"0"	"0"	"0.181"	"0.0001"	"0.0779"	"0"	"0.776"	"2.5981"	"4.7019"
"1950"	"5.8921"	"5.2597"	"0.9854"	"1.1137"	"0.0794"	"0.0697"	"0.1042"	"0.2379"	"0.2101"	"0.5478"	"1.8233"	"9.3378"
"1951"	"7.2403"	"3.0217"	"0.8423"	"1.2516"	"0.0512"	"0.0447"	"0"	"0.0288"	"0"	"0"	"0"	"1.6803"
"1952"	"4.0042"	"0"	"0.0386"	"0"	"0"	"0"	"0.225"	"0.2701"	"0.3521"	"0.2988"	"0.7145"	"5.6649"
"1953"	"6.4575"	"0"	"0"	"0.1056"	"0.1071"	"0"	"0.0121"	"0.2143"	"0.2761"	"0.3548"	"0.374"	"0"
"1954"	"7.3177"	"1.3483"	"0.0873"	"0.0101"	"0"	"0"	"0"	"0"	"0.001"	"1.3918"	"0.0207"	"4.3106"
"1955"	"7.9487"	"0.0085"	"0"	"1.21"	"0.3542"	"0"	"0"	"0.0089"	"0.0482"	"0.7048"	"1.4258"	"3.1548"
"1956"	"6.7292"	"0.5594"	"0.0823"	"0.0753"	"0"	"0.0443"	"0.5642"	"0.5732"	"0.0015"	"1.0699"	"1.7733"	"3.53"
"1957"	"6.9901"	"3.4196"	"0.8407"	"1.0654"	"0.8383"	"0.016"	"0"	"0"	"0.2714"	"0.533"	"0.0011"	"3.1281"
"1958"	"0.4389"	"0.2533"	"0.0854"	"0"	"0.0043"	"0"	"0.0003"	"0"	"0.2569"	"0.0007"	"0.28"	"0.9502"
"1959"	"6.173"	"1.4819"	"0"	"0"	"0.0325"	"0"	"0.1974"	"0.1702"	"0.3803"	"0"	"0.2608"	"3.8515"
"1960"	"5.7763"	"0"	"1.2312"	"0.8193"	"0.4119"	"0.0124"	"0.0246"	"0"	"0"	"0.1381"	"0.8869"	"4.3987"
"1961"	"5.4488"	"3.0602"	"0"	"0.9781"	"0.0341"	"0.4501"	"0.14"	"0"	"0.2045"	"0.5668"	"1.5892"	"6.3785"
"1962"	"8.2633"	"0.1476"	"0.2253"	"0.0588"	"0.001"	"0.0845"	"0.0109"	"0"	"0.1263"	"0.7202"	"1.1263"	"6.5216"
"1963"	"6.3615"	"0"	"0.0743"	"0.3382"	"0.4424"	"0"	"0"	"0"	"0.1302"	"0.0015"	"0"	"2.6955"
"1964"	"10.2384"	"1.5161"	"0"	"0"	"0.0503"	"0.4744"	"0.0426"	"0"	"0.0124"	"0.989"	"1.7615"	"6.1207"
"1965"	"0"	"0"	"0.5849"	"1.2724"	"0.7366"	"0.0226"	"0.0298"	"0.0977"	"0.2066"	"0"	"0"	"6.8696"
"1966"	"4.5032"	"0"	"0.7415"	"0.8192"	"0.1392"	"0.0337"	"0"	"0"	"0.1267"	"0"	"1.8917"	"8.4452"
"1967"	"10.7236"	"0"	"1.0844"	"0.7728"	"0.5565"	"0.0041"	"0.0067"	"0.2652"	"0.1294"	"0.4952"	"0"	"4.3599"
"1968"	"9.0941"	"4.1987"	"0.1803"	"0.2543"	"0.8255"	"0"	"0"	"0"	"0.1319"	"0.1894"	"0.0312"	"2.786"
"1969"	"4.9159"	"0.8309"	"0"	"0.0264"	"0.2837"	"0"	"0"	"0.0684"	"0"	"0"	"0"	"1.426"
"1970"	"3.4371"	"0.8089"	"0.692"	"0"	"0"	"0.0086"	"0.007"	"0.0652"	"0.1404"	"0"	"1.0069"	"4.6474"
"1971"	"7.7269"	"1.9918"	"0.4051"	"0"	"0.0345"	"0.099"	"0.2296"	"0.2446"	"0.0752"	"0.6531"	"0.2153"	"2.4982"
"1972"	"4.7844"	"5.8242"	"0"	"0.5422"	"0.1191"	"0"	"0.0003"	"0.0089"	"0.2207"	"0.679"	"0"	"1.833"
"1973"	"7.8292"	"0"	"0.1319"	"0"	"0"	"0.1843"	"0.1368"	"0.03"	"0.0124"	"0.8545"	"1.1372"	"6.5244"
"1974"	"6.3349"	"4.1057"	"0"	"0"	"0.0295"	"0.3938"	"0"	"0"	"0"	"1.0704"	"1.2377"	"5.5234"
"1975"	"8.621"	"3.016"	"1.0106"	"0.122"	"0"	"0.5523"	"0.1636"	"0.1352"	"0.4444"	"0.4124"	"1.7936"	"1.3283"
"1976"	"3.5708"	"1.5643"	"0.8393"	"0.6554"	"0.1717"	"0.293"	"0.1651"	"0.5195"	"0.9443"	"0"	"0.0489"	"4.4658"
"1977"	"6.0875"	"0.6078"	"0"	"0.6275"	"0.1085"	"0.4439"	"0.3151"	"0.1998"	"0.3381"	"0"	"0"	"0.3877"
"1978"	"6.8859"	"2.2784"	"1.1951"	"0.0004"	"0"	"0.1823"	"0.6081"	"0.103"	"0.6053"	"0.1336"	"0"	"1.9438"
"1979"	"5.1464"	"2.9627"	"1.5727"	"0.0015"	"0.8529"	"0"	"0.2104"	"0.3719"	"0.2158"	"0.5124"	"0.2733"	"2.0912"
"1980"	"5.3911"	"0"	"0.6354"	"0"	"0.0198"	"0.0177"	"0.0452"	"0"	"0"	"0"	"0.3936"	"3.9866"
"1981"	"4.3424"	"0"	"0.8659"	"0"	"0.2896"	"0"	"0.3557"	"0.09"	"0"	"0.0057"	"1.3643"	"2.0111"
"1982"	"4.7733"	"3.1832"	"1.7458"	"0.515"	"0.825"	"0"	"0"	"0"	"0.0404"	"0"	"0.1716"	"3.1295"
"1983"	"6.4724"	"3.1043"	"1.2324"	"1.4872"	"0.2148"	"0"	"0"	"0.0093"	"0"	"0.5509"	"1.6347"	"4.8843"
"1984"	"8.8057"	"5.0804"	"0"	"0"	"0"	"0.008"	"0.0785"	"0.3837"	"0.7678"	"1.0892"	"0.4246"	"2.6846"
"1985"	"4.9569"	"0.2435"	"0"	"0.3365"	"0"	"0.3487"	"0.044"	"0.0417"	"0.057"	"0.5172"	"0"	"2.407"
"1986"	"7.1011"	"2.8672"	"0.0847"	"0"	"0"	"0"	"0.024"	"0.3506"	"0"	"0"	"0"	"7.3097"
"1987"	"4.2686"	"0"	"0"	"0"	"0.8967"	"0"	"0"	"0"	"0"	"0"	"0"	"4.1767"
"1988"	"0.9182"	"0"	"0.1117"	"0"	"0"	"0"	"0.004"	"0"	"0"	"0.0009"	"0.1829"	"0.8299"
"1989"	"7.5101"	"2.3025"	"0.4287"	"0.7467"	"0.0189"	"0.2355"	"0.1167"	"0.2778"	"0.0349"	"0.0004"	"0"	"3.4187"
"1990"	"0"	"1.4624"	"1.3065"	"0"	"0"	"0.0834"	"0.0077"	"0.0114"	"0.0504"	"0.2303"	"0.4439"	"3.967"
"1991"	"5.5564"	"2.7059"	"0.0369"	"0.1684"	"0.0199"	"0"	"0"	"0"	"0.2582"	"0.6833"	"0.1531"	"0.6109"
"1992"	"3.952"	"1.8513"	"1.1123"	"0.8746"	"0.0039"	"0"	"0.0146"	"0.2754"	"0.676"	"0.0563"	"0.4878"	"0"
"1993"	"3.0711"	"0"	"1.0147"	"0.0013"	"0"	"0"	"0.0327"	"0"	"0"	"0"	"0"	"0.0143"
"1994"	"1.9444"	"1.9787"	"0"	"0.3655"	"0"	"0"	"0.323"	"0.3372"	"0.5877"	"0.6513"	"0"	"2.4622"
"1995"	"5.7922"	"0"	"0.8979"	"0.5924"	"0"	"0"	"0.0037"	"0.008"	"0"	"0"	"0.2658"	"1.4819"
"1996"	"4.747"	"0.133"	"0"	"0"	"0.6481"	"0.6625"	"0.0005"	"0.1327"	"0.0001"	"0.0003"	"0.7386"	"2.4012"
