
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.542"	"6.642"	"15.138"	"19.975"	"24.888"	"28.622"	"27.699"	"25.602"	"23.549"	"19.396"	"12.347"	"7.853"
"1902"	"7.392"	"9.301"	"16.412"	"21.408"	"24.941"	"25.729"	"27.814"	"26.496"	"23.458"	"18.239"	"12.49"	"7.062"
"1903"	"5.027"	"8.179"	"11.869"	"18.055"	"24.621"	"28.379"	"27.532"	"26.201"	"24.507"	"18.995"	"10.631"	"5.646"
"1904"	"4.903"	"9.551"	"13.163"	"21.073"	"25.128"	"26.862"	"26.725"	"25.922"	"24.208"	"18.51"	"12.947"	"7.404"
"1905"	"3.645"	"4.629"	"11.186"	"18.316"	"26.171"	"27.014"	"27.559"	"26.532"	"24.072"	"18.762"	"13.633"	"7.436"
"1906"	"4.536"	"6.167"	"12.13"	"19.005"	"25.772"	"26.818"	"27.493"	"25.971"	"23.574"	"18.72"	"13.84"	"8.468"
"1907"	"8.46"	"7.199"	"12.824"	"18.823"	"23.202"	"26.627"	"28.251"	"25.118"	"22.672"	"17.584"	"12.579"	"6.371"
"1908"	"6.214"	"9.151"	"13.129"	"20.164"	"24.209"	"27.29"	"25.372"	"24.589"	"22.066"	"17.177"	"11.317"	"6.201"
"1909"	"4.826"	"7.878"	"13.932"	"18.421"	"23.771"	"27.485"	"25.602"	"24.426"	"22.089"	"17.804"	"13.179"	"5.942"
"1910"	"5.425"	"9.21"	"13.832"	"18.287"	"24.382"	"27.36"	"25.04"	"24.677"	"23.003"	"17.518"	"11.138"	"6.129"
"1911"	"5.506"	"9.549"	"11.817"	"18.992"	"25.077"	"27.065"	"26.92"	"25.827"	"23.876"	"18.388"	"9.57"	"6.586"
"1912"	"6.891"	"8.584"	"13.311"	"20.157"	"25.03"	"28.537"	"27.301"	"25.176"	"23.011"	"18.11"	"10.415"	"6.822"
"1913"	"7.01"	"7.979"	"11.825"	"20.624"	"24.193"	"27.397"	"26.01"	"24.744"	"22.866"	"18.333"	"11.282"	"6.303"
"1914"	"7.41"	"7.054"	"12.534"	"19.499"	"25.679"	"26.901"	"25.889"	"25.364"	"23.99"	"17.675"	"13.519"	"5.593"
"1915"	"5.585"	"7.511"	"14.629"	"19.071"	"25.262"	"28.221"	"27.747"	"26.413"	"24.796"	"19.287"	"11.93"	"6.958"
"1916"	"7.321"	"7.335"	"15.988"	"20.009"	"23.681"	"27.143"	"26.904"	"25.098"	"22.972"	"16.759"	"9.42"	"5.951"
"1917"	"6.648"	"9.855"	"13.492"	"17.881"	"22.904"	"26.915"	"26.465"	"24.222"	"21.994"	"16.537"	"10.533"	"6.467"
"1918"	"5.064"	"9.088"	"13.21"	"17.589"	"24.799"	"26.165"	"27.069"	"25.954"	"22.926"	"18.1"	"11.396"	"5.76"
"1919"	"4.917"	"8.637"	"14.035"	"19.123"	"24.294"	"27.656"	"26.936"	"25.208"	"22.462"	"17.483"	"10.672"	"5.732"
"1920"	"5.89"	"8.133"	"14.421"	"18.888"	"22.472"	"26.491"	"26.835"	"24.91"	"24.26"	"19.237"	"12.661"	"5.766"
"1921"	"6.289"	"9.134"	"16.437"	"21.886"	"25.098"	"27.717"	"27.218"	"24.492"	"23.306"	"17.43"	"12.107"	"7.625"
"1922"	"5.506"	"8.971"	"14.64"	"20.591"	"24.019"	"26.696"	"27.737"	"25.576"	"23.295"	"17.253"	"11.418"	"7.157"
"1923"	"5.636"	"7.784"	"14.7"	"19.893"	"23.424"	"27.517"	"27.184"	"24.594"	"23.231"	"17.409"	"10.669"	"5.623"
"1924"	"4.987"	"8.808"	"16.007"	"20.224"	"22.723"	"27.811"	"27.82"	"25.321"	"22.513"	"17.586"	"10.693"	"6.935"
"1925"	"4.453"	"6.575"	"15.593"	"22.493"	"24.413"	"26.619"	"26.224"	"25.744"	"24.011"	"19.358"	"10.753"	"6.587"
"1926"	"6.223"	"11.11"	"13.21"	"17.518"	"22.922"	"27.791"	"27.699"	"25.434"	"22.72"	"17.607"	"9.342"	"7.107"
"1927"	"4.116"	"6.983"	"13.039"	"19.215"	"23.964"	"26.919"	"26.348"	"24.354"	"22.833"	"18.475"	"12.088"	"7.414"
"1928"	"5.7"	"9.36"	"14.697"	"20.345"	"24.953"	"26.856"	"27.071"	"25.432"	"22.855"	"18.55"	"12.341"	"5.819"
"1929"	"5.091"	"7.709"	"16.203"	"20.505"	"24.553"	"27.067"	"25.554"	"24.693"	"22.753"	"17.56"	"11.998"	"4.443"
"1930"	"4.67"	"8.829"	"14.26"	"18.618"	"24.017"	"26.8"	"25.29"	"24.585"	"24.019"	"18.071"	"10.965"	"6.372"
"1931"	"6.498"	"6.609"	"13.838"	"21.49"	"24.521"	"27.467"	"27.565"	"26.777"	"23.928"	"17.854"	"11.772"	"7.281"
"1932"	"8.307"	"9.494"	"14.979"	"20.373"	"24.763"	"26.771"	"26.949"	"24.476"	"24.22"	"17.966"	"11.652"	"7.492"
"1933"	"5.006"	"9.872"	"13.727"	"19.579"	"24.088"	"27.099"	"27.12"	"24.78"	"23.174"	"18.201"	"12.631"	"8.658"
"1934"	"3.236"	"11.271"	"13.599"	"20.343"	"24.09"	"27.229"	"26.494"	"25.76"	"23.789"	"17.116"	"12.36"	"8.646"
"1935"	"3.259"	"8.505"	"14.762"	"17.924"	"24.181"	"27.617"	"26.548"	"24.798"	"23.321"	"17.533"	"12.95"	"7.595"
"1936"	"5.077"	"9.97"	"12.913"	"20.005"	"26.369"	"26.296"	"25.941"	"25.267"	"23.977"	"18.921"	"12.791"	"7.927"
"1937"	"5.865"	"9.7"	"13.08"	"19.24"	"24.988"	"27.895"	"26.421"	"25.355"	"23.774"	"17.994"	"11.981"	"5.486"
"1938"	"5.175"	"8.107"	"15.759"	"20.707"	"25.752"	"26.906"	"26.958"	"25.904"	"23.856"	"19.319"	"10.968"	"7.196"
"1939"	"6.891"	"9.578"	"12.14"	"17.864"	"24.152"	"26.405"	"26.843"	"26.519"	"24.288"	"18.996"	"13.307"	"9.249"
"1940"	"7.912"	"10.25"	"13.036"	"19.048"	"25.152"	"26.822"	"27.374"	"25.484"	"23.278"	"19.47"	"13.867"	"7.078"
"1941"	"5.403"	"11.095"	"16.617"	"21.403"	"25.406"	"27.353"	"26.581"	"26.813"	"24.035"	"20.754"	"12.978"	"8.084"
"1942"	"5.701"	"9.455"	"15.502"	"22.164"	"25.097"	"28.126"	"26.732"	"25.477"	"23.324"	"18.902"	"13.793"	"6.133"
"1943"	"4.9"	"9.424"	"15.331"	"19.79"	"25.342"	"27.172"	"26.224"	"24.95"	"23.663"	"18.381"	"12.293"	"8.972"
"1944"	"5.97"	"8.294"	"13.522"	"19.787"	"24.696"	"27.342"	"26.514"	"24.272"	"23.071"	"17.261"	"12.868"	"7.548"
