
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.544"	"0.172"	"0.418"	"0.051"	"5.447"	"3.076"	"31.771"	"24.3"	"1.595"	"0.18"	"0"	"2.942"
"1902"	"0"	"0"	"0.019"	"0.028"	"15.442"	"22.555"	"19.416"	"77.485"	"30.02"	"0.834"	"0"	"0.078"
"1903"	"0.793"	"0"	"8.166"	"0.066"	"3.337"	"3.17"	"104.379"	"27.261"	"25.546"	"0"	"0"	"1.5"
"1904"	"7.771"	"3.298"	"15.43"	"0.686"	"0.432"	"9.909"	"6.823"	"13.088"	"20.516"	"1.274"	"2.627"	"2.799"
"1905"	"4.828"	"12.854"	"0.747"	"5.906"	"0.272"	"2.676"	"8.278"	"0.586"	"18.703"	"0"	"0"	"4.384"
"1906"	"0"	"64.279"	"14.319"	"0.057"	"0.085"	"21.857"	"43.756"	"52.675"	"23.301"	"0.042"	"0"	"6.063"
"1907"	"0.222"	"15.342"	"6.845"	"5.104"	"1.049"	"80.224"	"37.204"	"77.64"	"0.249"	"0.042"	"0"	"0"
"1908"	"5.025"	"0.172"	"0.019"	"6.527"	"1.705"	"4.873"	"92.14"	"110.246"	"32.713"	"0.042"	"0.35"	"0.058"
"1909"	"2.585"	"2.111"	"0.019"	"14.099"	"0.158"	"17.64"	"134.668"	"60.304"	"46.022"	"0"	"0"	"6.084"
"1910"	"1.736"	"0.087"	"0.025"	"3.887"	"0.158"	"87.598"	"100.102"	"99.145"	"4.338"	"0.727"	"0"	"0"
"1911"	"2.901"	"0.043"	"39.396"	"1.508"	"0.088"	"8.304"	"2.46"	"8.437"	"7.105"	"1.552"	"1.13"	"0.053"
"1912"	"0.683"	"0.181"	"0.184"	"2.286"	"0.448"	"12.506"	"39.379"	"66.543"	"3.109"	"2.282"	"2.66"	"0"
"1913"	"0"	"1.909"	"1.976"	"1.503"	"2.132"	"19.857"	"88.869"	"37.329"	"93.668"	"0"	"2.133"	"9.656"
"1914"	"2.185"	"10.979"	"4.441"	"2.906"	"0.786"	"60.781"	"61.484"	"16.74"	"20.298"	"7.467"	"2.707"	"0.125"
"1915"	"1.614"	"9.743"	"4.008"	"0.963"	"0.019"	"4.737"	"14.842"	"10.295"	"11.286"	"10.105"	"0"	"0"
"1916"	"0.164"	"0.341"	"0.494"	"6.725"	"6.465"	"35.52"	"62.054"	"176.177"	"65.356"	"25.596"	"0"	"0"
"1917"	"1.045"	"1.368"	"0.424"	"19.582"	"19.796"	"14.591"	"16.925"	"115.009"	"144.48"	"5.154"	"0"	"8.427"
"1918"	"0.081"	"0"	"2.92"	"0.707"	"0.006"	"3.658"	"0.642"	"22.102"	"12.231"	"0"	"0"	"14.255"
