
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.81"	"3.55"	"5.46"	"7"	"8.09"	"7.82"	"6.58"	"5.71"	"5.57"	"5.29"	"3.82"	"2.97"
"1902"	"3.05"	"3.82"	"5.63"	"7.22"	"8.09"	"7.41"	"6.6"	"5.84"	"5.56"	"5.14"	"3.83"	"2.9"
"1903"	"2.86"	"3.71"	"5.05"	"6.7"	"8.06"	"7.79"	"6.57"	"5.86"	"5.67"	"5.22"	"3.66"	"2.79"
"1904"	"2.85"	"3.84"	"5.23"	"7.17"	"8.14"	"7.55"	"6.45"	"5.78"	"5.63"	"5.17"	"3.88"	"2.92"
"1905"	"2.72"	"3.33"	"4.94"	"6.73"	"8.29"	"7.59"	"6.57"	"5.86"	"5.63"	"5.21"	"3.94"	"2.91"
"1906"	"2.8"	"3.46"	"5.08"	"6.86"	"8.23"	"7.56"	"6.58"	"5.75"	"5.55"	"5.21"	"3.96"	"3.01"
"1907"	"3.13"	"3.62"	"5.17"	"6.83"	"7.81"	"7.52"	"6.65"	"5.7"	"5.45"	"5.03"	"3.85"	"2.85"
"1908"	"2.95"	"3.81"	"5.22"	"6.97"	"7.98"	"7.66"	"6.32"	"5.6"	"5.47"	"5.03"	"3.75"	"2.82"
"1909"	"2.83"	"3.68"	"5.32"	"6.78"	"7.89"	"7.68"	"6.34"	"5.57"	"5.41"	"5.1"	"3.91"	"2.81"
"1910"	"2.87"	"3.81"	"5.32"	"6.73"	"8.02"	"7.67"	"6.25"	"5.63"	"5.49"	"5.05"	"3.73"	"2.85"
"1911"	"2.88"	"3.83"	"5.04"	"6.86"	"8.11"	"7.61"	"6.49"	"5.74"	"5.6"	"5.15"	"3.55"	"2.87"
"1912"	"3"	"3.75"	"5.24"	"7.04"	"8.11"	"7.82"	"6.55"	"5.7"	"5.49"	"5.12"	"3.65"	"2.87"
"1913"	"3.01"	"3.69"	"5.03"	"7.12"	"8.01"	"7.66"	"6.39"	"5.62"	"5.48"	"5.14"	"3.74"	"2.85"
"1914"	"3.05"	"3.59"	"5.14"	"6.95"	"8.21"	"7.57"	"6.36"	"5.7"	"5.62"	"5.07"	"3.68"	"2.77"
"1915"	"2.9"	"3.63"	"5.39"	"6.78"	"8.17"	"7.78"	"6.58"	"5.81"	"5.71"	"5.26"	"3.81"	"2.88"
