
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.972"	"7.434"	"10.981"	"14.243"	"19.127"	"27.407"	"29.804"	"28.598"	"25.736"	"16.887"	"10.878"	"8.796"
"1902"	"8.045"	"8.611"	"12.105"	"15.066"	"18.808"	"24.745"	"30.194"	"30.203"	"25.251"	"16.307"	"10.595"	"8.513"
"1903"	"7.167"	"8.161"	"9.42"	"12.879"	"18.685"	"27.458"	"29.89"	"28.576"	"26.408"	"16.328"	"10.139"	"7.907"
"1904"	"7.234"	"8.102"	"10.232"	"14.243"	"18.952"	"25.986"	"28.902"	"28.602"	"26.132"	"16.294"	"11.527"	"8.585"
"1905"	"6.512"	"6.491"	"8.992"	"13.239"	"21.191"	"26.049"	"29.995"	"30.327"	"26.157"	"16.451"	"11.729"	"8.55"
"1906"	"6.985"	"7.415"	"9.585"	"13.302"	"19.866"	"25.992"	"29.376"	"29.037"	"24.879"	"16.315"	"11.641"	"8.924"
"1907"	"8.662"	"7.618"	"10.148"	"13.248"	"18.029"	"26.014"	"31.38"	"28.602"	"24.344"	"16.006"	"10.787"	"8.384"
"1908"	"7.351"	"8.239"	"10.198"	"14.2"	"19.107"	"26.023"	"27.513"	"28.171"	"23.847"	"15.243"	"10.227"	"8"
"1909"	"6.97"	"8.156"	"10.842"	"13.298"	"18.615"	"25.991"	"27.392"	"27.428"	"23.832"	"16.118"	"11.67"	"7.925"
"1910"	"7.39"	"8.231"	"10.867"	"12.79"	"18.962"	"26.025"	"27.343"	"28.608"	"25.346"	"16.255"	"10.102"	"7.899"
"1911"	"7.157"	"8.179"	"9.38"	"13.265"	"18.659"	"25.998"	"28.907"	"28.782"	"24.945"	"16.271"	"9.522"	"8.57"
"1912"	"7.833"	"8.569"	"10.26"	"14.255"	"18.981"	"27.736"	"28.911"	"28.595"	"25.275"	"16.275"	"10.166"	"8.484"
"1913"	"7.932"	"8.091"	"9.424"	"14.243"	"18.845"	"25.875"	"28.667"	"27.891"	"24.279"	"16.324"	"10.395"	"8.12"
"1914"	"8.22"	"7.599"	"10.165"	"14.009"	"19.805"	"26.082"	"28.785"	"28.606"	"25.348"	"16.241"	"11.154"	"7.912"
"1915"	"7.418"	"7.95"	"11.092"	"13.327"	"19.569"	"27.295"	"29.948"	"29.615"	"27.298"	"16.874"	"10.593"	"8.585"
"1916"	"8.05"	"7.999"	"11.742"	"14.216"	"18.448"	"25.948"	"28.527"	"28.679"	"24.932"	"15.371"	"9.379"	"8.004"
"1917"	"7.746"	"9.074"	"10.766"	"12.718"	"17.562"	"26.084"	"28.761"	"27.002"	"23.786"	"14.956"	"10.179"	"8.147"
"1918"	"7.052"	"8.198"	"10.194"	"12.447"	"19.579"	"25.567"	"29.012"	"28.993"	"24.496"	"16.297"	"10.419"	"7.832"
"1919"	"7.131"	"8.192"	"10.872"	"13.752"	"18.739"	"26.24"	"28.918"	"28.588"	"24.046"	"15.81"	"10.201"	"7.888"
