
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0019"	"0.1719"	"0.4181"	"0.0525"	"1.1082"	"1.0154"	"2.8011"	"2.0327"	"0.6805"	"0.1661"	"0"	"0.9958"
"1902"	"0"	"0"	"0.0196"	"0.0289"	"1.6674"	"1.5151"	"2.0058"	"3.6806"	"1.6431"	"0.7271"	"0"	"0.0802"
"1903"	"0.6878"	"0"	"1.3597"	"0.0671"	"1.0754"	"0.9949"	"5.156"	"1.855"	"1.7838"	"0"	"0"	"0.925"
"1904"	"1.0021"	"1.1477"	"1.6918"	"0.6629"	"0.3574"	"1.1577"	"1.3778"	"1.2765"	"1.4171"	"0.7808"	"0.9914"	"0.7342"
"1905"	"1.0017"	"1.5277"	"0.6852"	"1.1809"	"0.2715"	"0.9523"	"1.7454"	"0.588"	"1.3388"	"0"	"0"	"1.0002"
"1906"	"0"	"2.5018"	"1.5895"	"0.0577"	"0.0863"	"1.6229"	"3.3977"	"2.6788"	"1.7382"	"0.0431"	"0"	"1.0002"
"1907"	"0.2244"	"1.816"	"1.0951"	"1.2572"	"0.7587"	"2.2983"	"2.7617"	"3.3093"	"0.2505"	"0.0431"	"0"	"0"
"1908"	"1.0014"	"0.1719"	"0.0195"	"1.3654"	"1.0369"	"1.0154"	"5.0751"	"4.2525"	"2.183"	"0.0431"	"0.2295"	"0.0594"
"1909"	"1.0006"	"1.0791"	"0.0196"	"1.1828"	"0.1571"	"1.1743"	"5.6731"	"2.6871"	"2.3399"	"0"	"0"	"1.0002"
"1910"	"1.0005"	"0.0874"	"0.0248"	"1.179"	"0.1571"	"2.6498"	"5.084"	"3.96"	"1.0155"	"0.6554"	"0"	"0"
"1911"	"1.0016"	"0.0438"	"1.515"	"1.0599"	"0.089"	"1.105"	"1.0068"	"1.0716"	"1.2176"	"0.9259"	"0.8498"	"0.054"
"1912"	"0.6531"	"0.1817"	"0.1867"	"1.1902"	"0.4399"	"1.2282"	"3.3041"	"3.357"	"0.9201"	"0.6715"	"0.3771"	"0"
"1913"	"0"	"1.1074"	"1.0862"	"1.0598"	"0.9387"	"1.4447"	"5.3285"	"2.6777"	"3.0064"	"0"	"0.9774"	"1.0002"
"1914"	"0.9342"	"1.72"	"1.112"	"1.1821"	"0.7746"	"2.3615"	"3.7298"	"1.5376"	"1.6001"	"1.0002"	"0.7084"	"0.126"
"1915"	"0.9103"	"1.2143"	"1.1725"	"0.8507"	"0.0202"	"1.0181"	"1.8863"	"1.0972"	"1.055"	"1.0002"	"0"	"0"
"1916"	"0.1643"	"0.341"	"0.492"	"1.4495"	"1.2034"	"1.6012"	"3.7071"	"5.8238"	"2.6746"	"1.0002"	"0"	"0"
"1917"	"0.7625"	"0.3995"	"0.4241"	"1.8508"	"2.0765"	"1.2786"	"2.8127"	"4.6898"	"4.3065"	"1.0002"	"0"	"1.0002"
"1918"	"0.0809"	"0.0002"	"1.0871"	"0.6797"	"0.0062"	"1.006"	"0.6423"	"2.0316"	"1.058"	"0"	"0"	"1.0002"
"1919"	"1.002"	"1.01"	"0.1874"	"1.7262"	"0.9158"	"0.3779"	"5.1515"	"3.4354"	"1.9823"	"0"	"0.8238"	"0.9951"
"1920"	"1.001"	"1.2149"	"0.2521"	"1.1911"	"1.2285"	"2.1087"	"2.0471"	"1.3291"	"0.2948"	"0"	"0"	"0"
"1921"	"0.0201"	"0.0202"	"0.0108"	"0.5163"	"0"	"0.9926"	"5.6131"	"4.2415"	"2.2504"	"0.0097"	"0.0088"	"0.9905"
"1922"	"0.3055"	"1.1411"	"0.2787"	"1.2389"	"0.6479"	"1.0159"	"2.7899"	"2.0782"	"1.7077"	"0.9344"	"0"	"0.9608"
"1923"	"0.9446"	"1.2355"	"0.4457"	"0.5164"	"1.0474"	"1.0173"	"2.6118"	"3.942"	"0.9647"	"0.1764"	"0"	"0.9907"
"1924"	"0.9706"	"0.7046"	"0.4921"	"0.9545"	"1.0466"	"1.0148"	"3.3215"	"2.1637"	"2.4381"	"0"	"0.0433"	"1.0002"
"1925"	"0.0201"	"0.1937"	"0.0004"	"0.0289"	"1.0765"	"1.4537"	"2.3376"	"1.5837"	"1.0065"	"0.3017"	"1.0001"	"0"
"1926"	"0.7445"	"0.1647"	"1.6675"	"0.6722"	"1.8919"	"0.3676"	"4.095"	"4.2596"	"3.0002"	"0.0431"	"0"	"0.9844"
"1927"	"0.3218"	"1.5017"	"0.0529"	"0.103"	"0.9535"	"1.0176"	"6.9102"	"3.0054"	"1.0589"	"0.7844"	"0"	"1.0002"
"1928"	"0.0552"	"0.6331"	"0.6486"	"1.0448"	"0.3188"	"0.9747"	"2.8138"	"3.1237"	"1.3465"	"1.0002"	"1.0002"	"0.2968"
"1929"	"1.0024"	"0.0439"	"0.1541"	"1.2113"	"1.001"	"0.9373"	"5.6153"	"4.1632"	"0.9924"	"0"	"1.0002"	"1.0002"
"1930"	"0.9723"	"0.6157"	"0.0924"	"1.6037"	"1.0242"	"1.883"	"3.4961"	"1.4719"	"0.8879"	"0.3374"	"0.916"	"0.0198"
"1931"	"0.1946"	"1.0971"	"1.0872"	"0.6034"	"1.0207"	"1.0991"	"2.4644"	"3.2628"	"1.0207"	"1.0002"	"0.6786"	"0.6927"
"1932"	"0.1946"	"1.0104"	"1.0874"	"1.208"	"1.0381"	"1.0154"	"3.7593"	"2.6776"	"0.9975"	"0.7338"	"0.4828"	"0.3454"
"1933"	"0.1946"	"1.3729"	"1.0871"	"1.1767"	"1.741"	"1.2523"	"3.6442"	"4.8298"	"1.3449"	"0.2171"	"0.0088"	"0.6927"
"1934"	"0.0201"	"0.4381"	"1.2038"	"1.1159"	"0.9976"	"1.741"	"3.4743"	"3.787"	"1.0171"	"0"	"0.3633"	"1.0002"
"1935"	"1.0014"	"1.1319"	"1.2496"	"1.9197"	"0.8897"	"1.0154"	"4.7699"	"3.1358"	"1.2968"	"0.931"	"0.2356"	"0.5535"
"1936"	"0.1851"	"1.6289"	"1.0871"	"0.6097"	"0.7477"	"1.6383"	"2.6014"	"2.3314"	"1.434"	"0.2135"	"1.0002"	"1.0002"
"1937"	"0.1525"	"1.9901"	"0.5782"	"0.6034"	"0.9976"	"1.0642"	"5.2523"	"1.18"	"2.0151"	"0.9411"	"0.6786"	"1.0002"
"1938"	"0.3073"	"0.675"	"0.7968"	"1.1755"	"0.9976"	"1.811"	"2.6853"	"2.585"	"0.9991"	"0.3"	"0.6786"	"0.9688"
"1939"	"0.1037"	"1.4301"	"1.3825"	"0.2978"	"0.1782"	"1.041"	"1.3134"	"1.894"	"1.0183"	"0.678"	"0"	"0.3553"
"1940"	"1.001"	"1.1827"	"1.0886"	"0.4344"	"0.9667"	"1.5474"	"2.7265"	"3.2988"	"0.9969"	"0.1803"	"0.0051"	"0.6927"
"1941"	"0.67"	"0.1366"	"0.7658"	"1.1159"	"0.8561"	"1.0269"	"3.9867"	"1.9512"	"1.1497"	"0.9861"	"0"	"0.5923"
"1942"	"0.8657"	"1.3331"	"0.2251"	"1.1767"	"1.2163"	"1.5785"	"4.3042"	"3.0519"	"2.82"	"0.1236"	"0.3029"	"0.9775"
"1943"	"0.6295"	"0.0196"	"0.7987"	"1.5643"	"0.7477"	"1.0214"	"4.4588"	"1.5801"	"2.2679"	"0.3"	"0.019"	"0.4601"
