
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.2"	"18.405"	"26.26"	"30.46"	"33.796"	"34.035"	"31.639"	"29.418"	"29.76"	"28.98"	"23.862"	"20.168"
"1902"	"18.926"	"20.92"	"27.531"	"31.727"	"33.286"	"32.612"	"32.033"	"30.592"	"29.41"	"28.833"	"23.752"	"18.786"
"1903"	"17.506"	"19.201"	"23.319"	"28.874"	"33.348"	"34.05"	"31.481"	"29.459"	"29.904"	"28.497"	"21.592"	"17.956"
"1904"	"17.444"	"20.869"	"24.406"	"30.854"	"33.195"	"32.812"	"29.927"	"29.347"	"29.758"	"28.421"	"23.398"	"18.825"
"1905"	"16.085"	"15.899"	"22.703"	"28.54"	"34.534"	"32.878"	"30.773"	"30.25"	"30.185"	"28.925"	"24.65"	"19.182"
"1906"	"16.276"	"18.067"	"23.663"	"29.326"	"33.821"	"32.729"	"30.781"	"29.527"	"28.737"	"28.415"	"23.894"	"19.386"
"1907"	"19.14"	"19.487"	"24.587"	"29.763"	"31.933"	"32.829"	"32.359"	"27.884"	"28.179"	"27.178"	"23.932"	"18.046"
"1908"	"17.695"	"19.763"	"24.225"	"30.299"	"32.758"	"33.216"	"29.056"	"27.794"	"28.002"	"27.283"	"22.016"	"17.548"
"1909"	"16.547"	"19.334"	"25.295"	"29.301"	"31.793"	"32.784"	"29.141"	"27.647"	"27.515"	"27.077"	"22.69"	"17.386"
"1910"	"17.1"	"20.399"	"24.952"	"28.881"	"32.36"	"32.71"	"29.035"	"28.232"	"29.055"	"27.021"	"21.548"	"17.81"
"1911"	"17.906"	"20.326"	"23.279"	"29.298"	"33.521"	"32.184"	"31.155"	"29.438"	"28.862"	"27.829"	"21.595"	"19.232"
"1912"	"18.915"	"21.687"	"24.574"	"30.403"	"33.629"	"33.602"	"30.313"	"28.537"	"28.045"	"27.669"	"21.98"	"18.451"
"1913"	"18.062"	"19.882"	"22.867"	"30.745"	"32.572"	"32.904"	"30.213"	"28.507"	"28.436"	"28.344"	"23.052"	"18.114"
"1914"	"19.223"	"19.165"	"24.263"	"30.144"	"34.207"	"32.737"	"30.113"	"28.742"	"29.523"	"28.364"	"24.455"	"17.514"
"1915"	"17.106"	"18.952"	"25.827"	"29.56"	"33.384"	"33.665"	"31.567"	"30.215"	"30.932"	"29.386"	"23.583"	"19.249"
"1916"	"18.996"	"18.785"	"26.818"	"30.395"	"32.735"	"32.42"	"31.266"	"28.866"	"28.891"	"27.041"	"21.139"	"17.756"
"1917"	"18.652"	"20.648"	"24.887"	"28.266"	"31.129"	"31.652"	"29.003"	"28.091"	"27.694"	"26.148"	"21.991"	"17.712"
