
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"11.514"	"12.032"	"20.646"	"18.401"	"17.511"	"34.285"	"62.645"	"61.569"	"36.858"	"11.877"	"9.148"	"10.186"
"1902"	"11.639"	"12.377"	"20.917"	"18.401"	"17.264"	"34.394"	"61.996"	"61.74"	"36.295"	"11.981"	"9.148"	"10.186"
"1903"	"11.639"	"12.377"	"20.917"	"18.401"	"17.476"	"34.322"	"62.009"	"61.834"	"36.858"	"11.75"	"9.148"	"10.186"
"1904"	"11.639"	"12.377"	"20.99"	"18.684"	"17.467"	"34.285"	"62.365"	"61.74"	"36.858"	"11.981"	"9.191"	"10.186"
"1905"	"11.639"	"12.377"	"20.917"	"18.401"	"17.511"	"34.285"	"62.163"	"61.834"	"36.858"	"11.981"	"9.148"	"10.186"
"1906"	"11.639"	"12.377"	"20.899"	"18.401"	"17.511"	"34.797"	"62.009"	"61.648"	"36.858"	"11.773"	"9.148"	"10.186"
"1907"	"11.639"	"12.504"	"20.917"	"18.401"	"17.511"	"34.62"	"62.398"	"61.834"	"36.858"	"12.18"	"9.513"	"10.186"
"1908"	"11.639"	"12.377"	"21.12"	"18.638"	"17.666"	"34.318"	"61.993"	"61.834"	"36.858"	"11.981"	"9.148"	"10.186"
"1909"	"11.631"	"12.377"	"20.917"	"18.401"	"17.482"	"34.098"	"62.009"	"61.74"	"36.708"	"11.773"	"9.148"	"10.186"
"1910"	"11.639"	"12.377"	"20.917"	"18.395"	"17.932"	"34.285"	"62.816"	"61.654"	"36.858"	"11.981"	"9.148"	"10.186"
"1911"	"11.639"	"12.377"	"20.917"	"18.401"	"17.511"	"34.293"	"61.729"	"61.691"	"36.858"	"11.981"	"8.862"	"10.186"
"1912"	"11.639"	"12.377"	"20.794"	"18.189"	"17.511"	"34.341"	"61.839"	"61.58"	"36.33"	"11.981"	"8.696"	"10.186"
"1913"	"11.633"	"12.377"	"20.888"	"18.401"	"17.4"	"33.818"	"62.182"	"61.834"	"36.345"	"12.066"	"9.148"	"10.186"
"1914"	"11.639"	"12.377"	"20.653"	"18.299"	"17.395"	"33.95"	"61.946"	"61.834"	"36.185"	"11.773"	"9.259"	"10.193"
"1915"	"11.612"	"12.377"	"20.344"	"18.401"	"17.041"	"34.287"	"61.991"	"61.252"	"36.736"	"11.697"	"9.076"	"10.186"
"1916"	"11.683"	"12.377"	"20.917"	"18.401"	"17.511"	"34.664"	"61.87"	"61.834"	"36.858"	"11.545"	"9.148"	"10.186"
"1917"	"11.485"	"12.244"	"20.784"	"18.943"	"16.743"	"33.931"	"61.45"	"61.739"	"36.62"	"11.981"	"8.967"	"10.186"
"1918"	"11.639"	"12.377"	"20.917"	"18.401"	"17.021"	"34.767"	"62.367"	"61.726"	"36.378"	"11.939"	"9.148"	"10.193"
"1919"	"11.639"	"12.377"	"20.917"	"18.234"	"17.511"	"34.285"	"62.009"	"61.809"	"36.356"	"11.261"	"8.456"	"10.186"
"1920"	"11.726"	"12.377"	"20.917"	"18.401"	"17.511"	"34.285"	"62.018"	"61.446"	"36.858"	"11.714"	"9.152"	"10.186"
"1921"	"11.639"	"12.377"	"20.917"	"18.401"	"17.511"	"34.195"	"61.853"	"61.545"	"36.858"	"11.642"	"9.121"	"10.186"
"1922"	"11.639"	"12.377"	"20.917"	"18.401"	"17.511"	"34.305"	"62.009"	"61.816"	"36.858"	"11.981"	"8.914"	"10.186"
"1923"	"11.639"	"12.377"	"20.917"	"18.401"	"17.264"	"34.875"	"62.781"	"61.834"	"36.858"	"11.943"	"8.304"	"10.186"
"1924"	"11.297"	"12.348"	"20.917"	"18.401"	"17.511"	"34.285"	"62.009"	"61.834"	"36.824"	"11.765"	"8.781"	"10.186"
"1925"	"11.639"	"11.932"	"20.204"	"18.175"	"17.302"	"34.734"	"62.008"	"61.237"	"36.279"	"11.981"	"8.769"	"9.568"
"1926"	"11.611"	"12.377"	"20.707"	"18.866"	"17.322"	"34.285"	"62.009"	"61.727"	"36.858"	"11.616"	"9.148"	"10.186"
"1927"	"11.642"	"12.377"	"20.692"	"18.387"	"17.511"	"34.318"	"61.998"	"61.569"	"36.74"	"11.981"	"9.148"	"10.186"
"1928"	"11.641"	"12.377"	"21.081"	"18.401"	"17.511"	"34.285"	"62.229"	"61.865"	"36.754"	"11.981"	"9.148"	"10.193"
"1929"	"11.639"	"12.377"	"20.916"	"17.716"	"17.511"	"34.285"	"62.429"	"61.834"	"36.858"	"11.704"	"9.148"	"10.647"
"1930"	"11.639"	"12.377"	"20.747"	"18.902"	"17.511"	"34.883"	"62.249"	"61.996"	"37.078"	"12.28"	"8.555"	"10.186"
"1931"	"11.418"	"21.137"	"20.471"	"15.027"	"14.882"	"25.408"	"58.222"	"59.854"	"32.933"	"15.268"	"2.715"	"8.797"
