
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1902"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1903"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.763"	"10.677"	"16.134"	"17.347"	"17.588"
"1904"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1905"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1906"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1907"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.119"	"17.347"	"17.588"
"1908"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1909"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1910"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1911"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1912"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1913"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1914"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"16.534"	"17.588"
"1915"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1916"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.719"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
"1917"	"17.513"	"17.641"	"17.649"	"16.922"	"15.551"	"11.886"	"8.563"	"7.749"	"10.677"	"16.134"	"17.347"	"17.588"
