
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.8229"	"0.9682"	"0"	"0.0445"	"0"	"0"	"0"	"0"	"0.0082"	"0"	"0.0173"	"0.0069"
"1902"	"0.0069"	"0.0069"	"0"	"0"	"0"	"0.0165"	"0"	"0"	"0"	"0"	"0"	"1.3197"
"1903"	"2.4989"	"0.5447"	"0.4021"	"0.3252"	"0"	"0"	"0"	"0"	"0"	"0.0117"	"0.3355"	"3.0422"
"1904"	"2.1425"	"0"	"0.2492"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0371"	"0.5708"
"1905"	"4.8856"	"1.1324"	"0.4874"	"0.3494"	"0"	"0.0067"	"0"	"0"	"0"	"0"	"0"	"0.5113"
"1906"	"4.1604"	"0.8452"	"0.3803"	"0.2034"	"0"	"0.0041"	"0"	"0"	"0"	"0.0017"	"0"	"0.0755"
"1907"	"0"	"0.3876"	"0.235"	"0.194"	"0.1288"	"0.013"	"0"	"0.1229"	"0.0661"	"0.2035"	"0"	"2.5876"
"1908"	"1.0908"	"0.2792"	"0.3084"	"0.0287"	"0.0329"	"0"	"0.0192"	"0.1527"	"0.0981"	"0.1249"	"0.2409"	"2.7336"
"1909"	"3.3072"	"0.4716"	"0.0923"	"0.2092"	"0.1432"	"0"	"0.0276"	"0.1352"	"0.1308"	"0.2121"	"0.1441"	"2.8525"
"1910"	"2.6109"	"0.09"	"0.1487"	"0.255"	"0.0656"	"0.0084"	"0.0306"	"0.0478"	"0.0008"	"0.2314"	"0.3223"	"2.2908"
"1911"	"1.1499"	"0.1701"	"0.4036"	"0.2502"	"0"	"0.0822"	"0"	"0"	"0"	"0.1651"	"0.2941"	"0.7296"
"1912"	"0"	"0"	"0.2388"	"0.0347"	"0"	"0"	"0"	"0.0051"	"0.062"	"0.0755"	"0.2832"	"1.6106"
