
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.954"	"27.236"	"35.1"	"38.949"	"41.577"	"40.006"	"35.947"	"33.3"	"35.112"	"37.08"	"32.565"	"28.981"
"1902"	"27.7"	"29.754"	"36.348"	"40.215"	"41.066"	"38.587"	"36.317"	"34.489"	"34.764"	"36.934"	"32.455"	"27.597"
"1903"	"26.27"	"28.056"	"32.159"	"37.362"	"41.128"	"40.015"	"35.797"	"33.348"	"35.257"	"36.599"	"30.294"	"26.767"
"1904"	"26.21"	"29.721"	"33.249"	"39.336"	"40.966"	"38.78"	"34.243"	"33.226"	"35.106"	"36.518"	"32.099"	"27.636"
"1905"	"24.86"	"24.749"	"31.542"	"37.006"	"42.313"	"38.847"	"35.06"	"34.145"	"35.527"	"37.03"	"33.354"	"27.994"
"1906"	"25.03"	"26.897"	"32.502"	"37.816"	"41.602"	"38.706"	"35.067"	"33.423"	"34.07"	"36.513"	"32.595"	"28.198"
"1907"	"27.907"	"28.318"	"33.407"	"38.247"	"39.711"	"38.803"	"36.665"	"31.78"	"33.511"	"35.267"	"32.633"	"26.856"
"1908"	"26.47"	"28.614"	"33.063"	"38.788"	"40.531"	"39.183"	"33.366"	"31.69"	"33.353"	"35.388"	"30.716"	"26.36"
"1909"	"25.314"	"28.183"	"34.135"	"37.784"	"39.574"	"38.753"	"33.456"	"31.529"	"32.869"	"35.179"	"31.393"	"26.198"
"1910"	"25.873"	"29.251"	"33.793"	"37.352"	"40.139"	"38.661"	"33.352"	"32.111"	"34.406"	"35.125"	"30.248"	"26.623"
"1911"	"26.679"	"29.176"	"32.12"	"37.788"	"41.293"	"38.152"	"35.473"	"33.3"	"34.196"	"35.932"	"30.292"	"28.043"
"1912"	"27.69"	"30.537"	"33.391"	"38.893"	"41.411"	"39.578"	"34.596"	"32.435"	"33.396"	"35.773"	"30.682"	"27.262"
"1913"	"26.826"	"28.714"	"31.708"	"39.216"	"40.351"	"38.881"	"34.527"	"32.403"	"33.786"	"36.447"	"31.757"	"26.925"
