
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.433"	"9.588"	"17.451"	"22.018"	"26.027"	"28.118"	"27.383"	"25.55"	"24.435"	"20.922"	"15.219"	"11.38"
"1902"	"10.161"	"12.104"	"18.7"	"23.292"	"25.517"	"26.681"	"27.754"	"26.74"	"24.068"	"20.738"	"15.077"	"10.002"
"1903"	"8.75"	"10.352"	"14.509"	"20.427"	"25.571"	"28.127"	"27.211"	"25.583"	"24.555"	"20.415"	"12.95"	"9.146"
"1904"	"8.677"	"12.071"	"15.574"	"22.389"	"25.414"	"26.875"	"25.68"	"25.46"	"24.429"	"20.381"	"14.756"	"10.033"
"1905"	"7.348"	"7.085"	"13.886"	"20.085"	"26.756"	"26.961"	"26.496"	"26.396"	"24.832"	"20.871"	"15.991"	"10.399"
"1906"	"7.51"	"9.224"	"14.846"	"20.885"	"26.052"	"26.8"	"26.504"	"25.672"	"23.395"	"20.359"	"15.25"	"10.605"
"1907"	"10.386"	"10.662"	"15.755"	"21.299"	"24.162"	"26.919"	"28.102"	"24.031"	"22.828"	"19.13"	"15.273"	"9.241"
"1908"	"8.955"	"10.947"	"15.413"	"21.862"	"24.978"	"27.273"	"24.778"	"23.942"	"22.669"	"19.234"	"13.372"	"8.744"
"1909"	"7.801"	"10.545"	"16.485"	"20.853"	"24.022"	"26.829"	"24.893"	"23.772"	"22.183"	"19.021"	"14.014"	"8.596"
"1910"	"8.361"	"11.602"	"16.112"	"20.423"	"24.59"	"26.757"	"24.757"	"24.343"	"23.705"	"18.968"	"12.907"	"9.035"
"1911"	"9.166"	"11.51"	"14.464"	"20.833"	"25.745"	"26.25"	"26.909"	"25.551"	"23.521"	"19.75"	"12.934"	"10.443"
"1912"	"10.156"	"12.881"	"15.742"	"21.963"	"25.86"	"27.643"	"26.033"	"24.667"	"22.692"	"19.629"	"13.323"	"9.652"
"1913"	"9.305"	"11.065"	"14.059"	"22.285"	"24.802"	"26.986"	"25.966"	"24.654"	"23.084"	"20.273"	"14.392"	"9.301"
"1914"	"10.456"	"10.331"	"15.446"	"21.686"	"26.437"	"26.808"	"25.866"	"24.854"	"24.179"	"20.302"	"16.212"	"8.708"
"1915"	"8.357"	"10.141"	"17.016"	"21.093"	"25.613"	"27.73"	"27.303"	"26.345"	"25.606"	"21.305"	"14.899"	"10.46"
"1916"	"10.23"	"9.986"	"18.008"	"21.946"	"24.957"	"26.502"	"26.934"	"24.977"	"23.548"	"18.992"	"12.462"	"8.982"
"1917"	"9.895"	"11.823"	"16.076"	"19.825"	"23.358"	"25.683"	"24.73"	"24.232"	"22.347"	"18.076"	"13.335"	"8.931"
"1918"	"7.915"	"11.499"	"15.965"	"19.846"	"25.204"	"26.09"	"26.498"	"25.898"	"23.324"	"19.525"	"15.134"	"8.913"
"1919"	"8.285"	"11.108"	"16.032"	"20.716"	"25.251"	"27.221"	"25.812"	"24.564"	"22.758"	"19.593"	"14.465"	"9.255"
"1920"	"9.513"	"10.88"	"16.95"	"21.255"	"23.259"	"24.936"	"25.094"	"24.477"	"24.831"	"20.752"	"15.326"	"9.171"
"1921"	"9.464"	"11.335"	"18.083"	"23.084"	"25.583"	"27.737"	"27.148"	"24.948"	"23.357"	"19.768"	"14.726"	"10.863"
"1922"	"8.34"	"12.471"	"16.73"	"22.615"	"24.888"	"27.095"	"26.511"	"24.853"	"22.977"	"19.343"	"14.322"	"9.383"
"1923"	"9.286"	"10.515"	"17.397"	"21.658"	"24.502"	"27.083"	"26.206"	"24.238"	"24.004"	"19.221"	"13.163"	"9.606"
"1924"	"8.343"	"11.521"	"18.312"	"22.226"	"24.301"	"27.58"	"27.007"	"25.447"	"22.764"	"18.799"	"12.836"	"9.735"
"1925"	"6.931"	"9.309"	"17.517"	"23.681"	"25.418"	"26.24"	"25.203"	"25.981"	"24.563"	"21.578"	"14.749"	"10.48"
"1926"	"9.441"	"13.714"	"16.19"	"19.663"	"24.142"	"28.065"	"26.68"	"25.238"	"22.718"	"18.789"	"12.594"	"9.115"
"1927"	"6.972"	"9.784"	"15.047"	"20.557"	"24.429"	"27.19"	"25.347"	"23.817"	"23.196"	"19.612"	"13.049"	"10.106"
"1928"	"8.84"	"11.52"	"17.015"	"21.906"	"25.372"	"26.8"	"26.302"	"24.925"	"22.669"	"19.498"	"14.16"	"8.764"
"1929"	"8.083"	"10.501"	"18.027"	"22.387"	"25.772"	"27.142"	"25.873"	"24.233"	"23.394"	"19.531"	"15.419"	"7.862"
"1930"	"8.367"	"10.979"	"16.505"	"21.061"	"25.25"	"27.093"	"24.878"	"24.537"	"25.24"	"20.891"	"14.011"	"10.257"
"1931"	"9.993"	"9.544"	"16.078"	"22.731"	"25.5"	"28.176"	"27.115"	"25.384"	"23.595"	"19.219"	"14.475"	"10.344"
"1932"	"11.419"	"11.561"	"17.069"	"21.507"	"25.456"	"26.352"	"26.096"	"24.208"	"24.039"	"20.489"	"13.925"	"10.672"
"1933"	"8.327"	"11.698"	"16.265"	"21.047"	"24.186"	"26.5"	"25.694"	"23.577"	"23.06"	"19.965"	"14.558"	"9.944"
"1934"	"6.612"	"12.44"	"15.657"	"21.869"	"25.04"	"27.123"	"25.514"	"24.668"	"23.043"	"19.167"	"14.057"	"10.841"
"1935"	"6.925"	"11.379"	"16.342"	"19.877"	"25.074"	"27.937"	"25.394"	"24.622"	"22.879"	"19.498"	"14.747"	"10.298"
"1936"	"8.019"	"11.461"	"15.6"	"21.333"	"26.311"	"25.797"	"25.801"	"25.27"	"23.786"	"20.275"	"14.873"	"9.735"
"1937"	"8.601"	"11.845"	"15.411"	"21.299"	"25.149"	"27.621"	"25.261"	"25.243"	"23.9"	"19.529"	"14.809"	"8.846"
"1938"	"8.238"	"10.239"	"17.6"	"22.397"	"25.686"	"26.42"	"25.836"	"25.286"	"24.272"	"20.638"	"13.325"	"10.257"
"1939"	"9.735"	"11.726"	"14.522"	"20.146"	"24.717"	"26.518"	"26.364"	"26.329"	"23.884"	"20.372"	"15.079"	"11.693"
"1940"	"10.289"	"11.86"	"15.009"	"20.862"	"25.967"	"26.991"	"26.585"	"24.923"	"23.388"	"20.625"	"15.546"	"9.608"
