
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.55"	"6.22"	"7.53"	"8.71"	"9.21"	"8.26"	"6.59"	"5.89"	"6.59"	"7.4"	"6.53"	"5.74"
"1902"	"5.73"	"6.4"	"7.64"	"8.82"	"9.27"	"8.19"	"6.54"	"5.96"	"6.65"	"7.39"	"6.55"	"5.69"
"1903"	"5.63"	"6.37"	"7.4"	"8.55"	"9.14"	"8.25"	"6.6"	"5.88"	"6.64"	"7.45"	"6.43"	"5.61"
"1904"	"5.56"	"6.45"	"7.49"	"8.7"	"9.24"	"8.25"	"6.5"	"5.85"	"6.62"	"7.37"	"6.52"	"5.73"
"1905"	"5.61"	"6.1"	"7.3"	"8.5"	"9.21"	"8.26"	"6.5"	"5.88"	"6.65"	"7.37"	"6.59"	"5.77"
"1906"	"5.57"	"6.26"	"7.39"	"8.59"	"9.22"	"8.24"	"6.54"	"5.9"	"6.56"	"7.36"	"6.54"	"5.69"
"1907"	"5.74"	"6.39"	"7.48"	"8.69"	"9.15"	"8.13"	"6.64"	"5.88"	"6.54"	"7.28"	"6.53"	"5.64"
"1908"	"5.61"	"6.39"	"7.43"	"8.68"	"9.18"	"8.28"	"6.51"	"5.79"	"6.53"	"7.33"	"6.43"	"5.61"
"1909"	"5.53"	"6.3"	"7.52"	"8.69"	"9.13"	"8.25"	"6.5"	"5.82"	"6.52"	"7.31"	"6.48"	"5.6"
"1910"	"5.54"	"6.39"	"7.53"	"8.65"	"9.14"	"8.24"	"6.48"	"5.8"	"6.6"	"7.36"	"6.42"	"5.57"
"1911"	"5.61"	"6.45"	"7.42"	"8.59"	"9.24"	"8.2"	"6.54"	"5.91"	"6.6"	"7.39"	"6.41"	"5.63"
"1912"	"5.68"	"6.52"	"7.51"	"8.67"	"9.23"	"8.29"	"6.57"	"5.88"	"6.56"	"7.35"	"6.43"	"5.63"
"1913"	"5.64"	"6.44"	"7.35"	"8.68"	"9.2"	"8.23"	"6.54"	"5.85"	"6.55"	"7.36"	"6.52"	"5.6"
"1914"	"5.74"	"6.39"	"7.43"	"8.63"	"9.26"	"8.28"	"6.53"	"5.84"	"6.6"	"7.36"	"6.49"	"5.63"
"1915"	"5.58"	"6.28"	"7.53"	"8.67"	"9.18"	"8.23"	"6.58"	"5.89"	"6.65"	"7.48"	"6.55"	"5.69"
"1916"	"5.74"	"6.29"	"7.58"	"8.76"	"9.22"	"8.16"	"6.63"	"5.88"	"6.62"	"7.37"	"6.4"	"5.54"
"1917"	"5.66"	"6.45"	"7.54"	"8.61"	"9.12"	"8.17"	"6.49"	"5.84"	"6.56"	"7.29"	"6.42"	"5.62"
"1918"	"5.52"	"6.38"	"7.53"	"8.59"	"9.18"	"8.17"	"6.5"	"5.91"	"6.63"	"7.32"	"6.55"	"5.63"
"1919"	"5.61"	"6.38"	"7.52"	"8.64"	"9.17"	"8.27"	"6.54"	"5.86"	"6.55"	"7.33"	"6.52"	"5.62"
"1920"	"5.66"	"6.36"	"7.53"	"8.74"	"9.16"	"8.13"	"6.46"	"5.79"	"6.58"	"7.41"	"6.58"	"5.63"
"1921"	"5.64"	"6.37"	"7.6"	"8.8"	"9.24"	"8.23"	"6.61"	"5.89"	"6.57"	"7.35"	"6.47"	"5.74"
