
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.236"	"0"	"1.157"	"0"	"9.696"	"3.511"	"72.076"	"66.178"	"0.83"	"4.932"	"0.072"	"2.946"
"1902"	"0"	"0"	"0"	"0"	"6.795"	"38.95"	"22.283"	"118.364"	"103.015"	"0"	"0.072"	"0"
"1903"	"0.268"	"0.479"	"6.16"	"0"	"5.44"	"0.52"	"261.552"	"79.983"	"90.043"	"0"	"0.072"	"0"
"1904"	"5.036"	"0.67"	"7.066"	"0"	"1.334"	"16.663"	"63.932"	"14.537"	"23.327"	"3.05"	"0.072"	"3.47"
"1905"	"1.767"	"1.595"	"2.638"	"2.589"	"0"	"5.003"	"235.364"	"4.071"	"31.772"	"0"	"0.072"	"0.745"
"1906"	"0"	"29.42"	"4.367"	"0"	"0.235"	"40.481"	"119.277"	"102.322"	"140.671"	"2.455"	"0.072"	"5.561"
"1907"	"0.755"	"8.986"	"4.391"	"12.541"	"0.726"	"62.487"	"85.433"	"305.555"	"14.525"	"0"	"0.072"	"0"
"1908"	"5.858"	"0.297"	"0"	"0"	"0.855"	"4.124"	"420.169"	"212.583"	"92.607"	"0.108"	"2.538"	"0"
"1909"	"2.979"	"0"	"0"	"12.521"	"0.778"	"22.424"	"219.741"	"155.775"	"150.408"	"0.497"	"0.072"	"2.101"
"1910"	"0.847"	"0.063"	"0"	"2.546"	"0.03"	"196.249"	"132.852"	"156.831"	"1.955"	"0.036"	"0.072"	"0"
"1911"	"1.131"	"0"	"77.336"	"0"	"0"	"50.68"	"2.78"	"5.308"	"50.493"	"0"	"1.822"	"0"
"1912"	"0"	"0"	"0"	"0.248"	"0.235"	"44.833"	"158.748"	"178.278"	"42.444"	"33.484"	"23.951"	"0"
"1913"	"0"	"0.063"	"0.369"	"0"	"9.773"	"124.629"	"253.445"	"161.381"	"111.445"	"0"	"0.196"	"1.7"
"1914"	"0"	"3.605"	"1.369"	"0.774"	"0.832"	"83.693"	"210.973"	"77.091"	"73.63"	"6.838"	"15.993"	"0"
"1915"	"4.051"	"3.973"	"15.802"	"0.277"	"0"	"21.349"	"47.771"	"6.074"	"19.453"	"39.517"	"0.072"	"0"
"1916"	"0"	"0"	"0"	"0"	"8.739"	"49.11"	"39.239"	"330.743"	"135.269"	"23.221"	"0.072"	"0"
"1917"	"0.181"	"19.128"	"0.629"	"6.145"	"38.076"	"95.765"	"157.975"	"389.979"	"307.978"	"17.686"	"0.072"	"6.318"
"1918"	"0"	"0"	"0.58"	"0"	"2.769"	"32.482"	"13.909"	"142.868"	"21.574"	"0"	"0.074"	"2.628"
"1919"	"4.38"	"0"	"0.347"	"12.458"	"2.182"	"25.939"	"256.257"	"353.618"	"31.439"	"0"	"6.899"	"0.357"
"1920"	"1.038"	"1.213"	"0.009"	"0"	"30.893"	"128.764"	"88.063"	"32.504"	"3.342"	"0"	"0.072"	"0"
"1921"	"0"	"0"	"0"	"0"	"0"	"0.62"	"331.439"	"104.269"	"152.128"	"0.235"	"0.072"	"0"
"1922"	"0"	"0.194"	"0"	"0.178"	"0.361"	"20.092"	"113.421"	"144.214"	"157.568"	"0"	"0.127"	"0"
"1923"	"0.466"	"4.878"	"0.354"	"27.974"	"1.53"	"0.761"	"119.618"	"102.865"	"0.835"	"0.882"	"0.072"	"0"
"1924"	"2.886"	"0.225"	"0"	"0"	"6.398"	"35.997"	"190.762"	"89.573"	"198.358"	"0"	"0.072"	"5.199"
"1925"	"0"	"0"	"0"	"0"	"1.088"	"133.925"	"71.075"	"38.513"	"0.764"	"0"	"1.261"	"0"
