
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.12"	"3.96"	"5.77"	"7.07"	"7.77"	"6.99"	"5.61"	"4.85"	"5.16"	"5.28"	"4.04"	"3.32"
"1902"	"3.38"	"4.22"	"5.93"	"7.25"	"7.69"	"6.81"	"5.65"	"4.97"	"5.13"	"5.27"	"4.04"	"3.19"
"1903"	"3.25"	"4.04"	"5.38"	"6.83"	"7.72"	"7"	"5.6"	"4.85"	"5.19"	"5.23"	"3.83"	"3.13"
"1904"	"3.24"	"4.2"	"5.54"	"7.12"	"7.68"	"6.84"	"5.42"	"4.85"	"5.16"	"5.21"	"4"	"3.2"
"1905"	"3.09"	"3.68"	"5.29"	"6.76"	"7.9"	"6.85"	"5.52"	"4.95"	"5.2"	"5.28"	"4.12"	"3.22"
"1906"	"3.14"	"3.92"	"5.43"	"6.89"	"7.77"	"6.83"	"5.52"	"4.85"	"5.04"	"5.21"	"4.05"	"3.26"
"1907"	"3.4"	"4.07"	"5.55"	"6.97"	"7.5"	"6.83"	"5.71"	"4.7"	"4.99"	"5.07"	"4.05"	"3.13"
"1908"	"3.27"	"4.09"	"5.5"	"7.04"	"7.63"	"6.89"	"5.33"	"4.68"	"4.97"	"5.09"	"3.87"	"3.07"
"1909"	"3.15"	"4.04"	"5.66"	"6.88"	"7.46"	"6.84"	"5.32"	"4.68"	"4.92"	"5.07"	"3.93"	"3.06"
"1910"	"3.2"	"4.16"	"5.62"	"6.83"	"7.57"	"6.83"	"5.33"	"4.74"	"5.08"	"5.06"	"3.82"	"3.09"
"1911"	"3.29"	"4.15"	"5.37"	"6.9"	"7.73"	"6.75"	"5.57"	"4.85"	"5.07"	"5.16"	"3.84"	"3.24"
"1912"	"3.38"	"4.3"	"5.55"	"7.06"	"7.75"	"6.95"	"5.45"	"4.77"	"4.97"	"5.14"	"3.87"	"3.17"
"1913"	"3.3"	"4.11"	"5.31"	"7.11"	"7.59"	"6.85"	"5.45"	"4.76"	"5.02"	"5.2"	"3.97"	"3.13"
"1914"	"3.41"	"4.03"	"5.5"	"7.02"	"7.84"	"6.83"	"5.44"	"4.8"	"5.13"	"5.21"	"4.02"	"3.07"
"1915"	"3.2"	"4"	"5.72"	"6.93"	"7.73"	"6.95"	"5.62"	"4.94"	"5.28"	"5.32"	"4.01"	"3.24"
"1916"	"3.39"	"3.98"	"5.85"	"7.05"	"7.61"	"6.78"	"5.62"	"4.81"	"5.08"	"5.07"	"3.8"	"3.08"
"1917"	"3.37"	"4.18"	"5.61"	"6.74"	"7.37"	"6.69"	"5.32"	"4.73"	"4.95"	"4.97"	"3.87"	"3.09"
"1918"	"3.16"	"4.15"	"5.56"	"6.74"	"7.64"	"6.73"	"5.51"	"4.9"	"5.03"	"5.13"	"4.03"	"3.09"
"1919"	"3.25"	"4.11"	"5.6"	"6.87"	"7.66"	"6.89"	"5.43"	"4.74"	"4.98"	"5.14"	"3.98"	"3.13"
"1920"	"3.32"	"4.09"	"5.71"	"6.96"	"7.35"	"6.59"	"5.37"	"4.74"	"5.2"	"5.27"	"4.06"	"3.12"
"1921"	"3.32"	"4.14"	"5.87"	"7.22"	"7.73"	"6.96"	"5.58"	"4.79"	"5.04"	"5.17"	"3.99"	"3.27"
"1922"	"3.2"	"4.27"	"5.68"	"7.16"	"7.61"	"6.86"	"5.53"	"4.79"	"5"	"5.11"	"3.97"	"3.14"
"1923"	"3.29"	"4.04"	"5.76"	"7.02"	"7.55"	"6.88"	"5.48"	"4.72"	"5.12"	"5.08"	"3.85"	"3.16"
"1924"	"3.2"	"4.16"	"5.89"	"7.08"	"7.51"	"6.93"	"5.57"	"4.85"	"4.98"	"5.04"	"3.83"	"3.18"
"1925"	"3.06"	"3.92"	"5.78"	"7.3"	"7.68"	"6.76"	"5.38"	"4.9"	"5.17"	"5.35"	"4.01"	"3.24"
"1926"	"3.32"	"4.4"	"5.62"	"6.71"	"7.48"	"7.01"	"5.54"	"4.83"	"4.98"	"5.03"	"3.81"	"3.12"
"1927"	"3.06"	"3.97"	"5.44"	"6.84"	"7.55"	"6.87"	"5.4"	"4.69"	"5.03"	"5.13"	"3.84"	"3.2"
"1928"	"3.26"	"4.15"	"5.73"	"7.05"	"7.68"	"6.83"	"5.48"	"4.8"	"4.97"	"5.13"	"3.96"	"3.07"
"1929"	"3.18"	"4.04"	"5.85"	"7.12"	"7.74"	"6.87"	"5.44"	"4.73"	"5.05"	"5.12"	"4.09"	"3.01"
"1930"	"3.2"	"4.1"	"5.65"	"6.93"	"7.66"	"6.86"	"5.32"	"4.74"	"5.24"	"5.28"	"3.94"	"3.21"
"1931"	"3.38"	"3.93"	"5.61"	"7.16"	"7.69"	"7.03"	"5.57"	"4.84"	"5.11"	"5.08"	"3.98"	"3.22"
"1932"	"3.5"	"4.15"	"5.74"	"6.98"	"7.69"	"6.77"	"5.47"	"4.73"	"5.11"	"5.22"	"3.93"	"3.26"
"1933"	"3.2"	"4.16"	"5.62"	"6.94"	"7.5"	"6.77"	"5.42"	"4.65"	"5.02"	"5.16"	"3.98"	"3.18"
"1934"	"3.04"	"4.27"	"5.55"	"7.05"	"7.64"	"6.86"	"5.4"	"4.77"	"5.02"	"5.09"	"3.93"	"3.27"
"1935"	"3.06"	"4.14"	"5.62"	"6.74"	"7.63"	"6.97"	"5.4"	"4.75"	"5.02"	"5.11"	"4"	"3.21"
"1936"	"3.18"	"4.26"	"5.53"	"6.96"	"7.82"	"6.69"	"5.43"	"4.83"	"5.1"	"5.2"	"4.02"	"3.17"
"1937"	"3.22"	"4.19"	"5.49"	"6.96"	"7.64"	"6.94"	"5.4"	"4.82"	"5.11"	"5.13"	"4.01"	"3.09"
"1938"	"3.19"	"4.03"	"5.8"	"7.12"	"7.74"	"6.76"	"5.43"	"4.84"	"5.16"	"5.25"	"3.87"	"3.21"
"1939"	"3.33"	"4.17"	"5.39"	"6.78"	"7.59"	"6.78"	"5.5"	"4.93"	"5.11"	"5.23"	"4.05"	"3.35"
"1940"	"3.39"	"4.19"	"5.44"	"6.89"	"7.77"	"6.86"	"5.53"	"4.8"	"5.05"	"5.24"	"4.09"	"3.15"
"1941"	"3.2"	"4.33"	"5.83"	"7.15"	"7.71"	"6.86"	"5.37"	"4.85"	"5.11"	"5.4"	"4.04"	"3.3"
"1942"	"3.21"	"4.19"	"5.78"	"7.21"	"7.6"	"7.01"	"5.4"	"4.76"	"5.03"	"5.18"	"4.04"	"3.08"
