
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.262"	"7.858"	"11.117"	"15.17"	"21.17"	"29.323"	"31.185"	"28.568"	"26.803"	"17.333"	"11.207"	"9.397"
"1902"	"8.343"	"8.665"	"12.157"	"16.215"	"21.11"	"27.191"	"31.247"	"30.957"	"26.125"	"16.649"	"11.172"	"8.599"
"1903"	"7.571"	"8.57"	"9.718"	"14.127"	"21.18"	"29.294"	"31.2"	"28.708"	"27.675"	"16.407"	"9.831"	"8.178"
"1904"	"7.756"	"8.665"	"10.428"	"15.285"	"21.11"	"27.512"	"29.425"	"28.618"	"27.323"	"16.649"	"10.955"	"8.887"
"1905"	"7.222"	"7.114"	"9.5"	"14.161"	"22.971"	"27.521"	"29.852"	"30.379"	"27.694"	"16.852"	"11.663"	"8.887"
"1906"	"7.272"	"7.854"	"10.292"	"14.219"	"21.885"	"27.507"	"29.575"	"28.754"	"25.994"	"16.631"	"11.661"	"9.077"
"1907"	"8.579"	"8.324"	"10.722"	"14.421"	"20.424"	"27.507"	"33.017"	"28.618"	"26.047"	"16.664"	"11.166"	"8.205"
"1908"	"7.763"	"8.738"	"10.493"	"15.104"	"21.102"	"27.542"	"29.061"	"27.758"	"25.238"	"16.393"	"10.428"	"8.212"
"1909"	"7.423"	"8.763"	"11.269"	"14.347"	"20.487"	"27.516"	"29.054"	"27.81"	"24.97"	"15.632"	"11.198"	"8.153"
"1910"	"7.801"	"8.57"	"11.117"	"13.948"	"21.102"	"27.613"	"28.647"	"28.618"	"26.182"	"16.198"	"9.659"	"8.161"
"1911"	"7.939"	"8.524"	"9.744"	"14.197"	"21.135"	"27.545"	"30.13"	"28.9"	"26.097"	"16.559"	"10.097"	"8.887"
"1912"	"8.343"	"9.614"	"10.622"	"15.335"	"21.684"	"29.261"	"29.345"	"28.618"	"26.125"	"16.667"	"10.395"	"8.836"
"1913"	"7.912"	"8.945"	"9.632"	"15.134"	"21.193"	"27.25"	"29.343"	"28.567"	"25.545"	"16.763"	"10.836"	"8.562"
"1914"	"8.354"	"8.556"	"10.377"	"14.788"	"22.481"	"27.611"	"29.372"	"28.626"	"26.309"	"16.646"	"11.243"	"8.151"
"1915"	"7.801"	"8.543"	"11.117"	"14.553"	"21.253"	"29.221"	"31.205"	"30.367"	"28.388"	"17.6"	"11.235"	"8.887"
"1916"	"8.436"	"8.563"	"11.688"	"15.104"	"21.128"	"27.387"	"30.332"	"28.596"	"26.047"	"16.53"	"9.733"	"8.161"
"1917"	"7.951"	"9.515"	"11.107"	"13.803"	"19.517"	"27.241"	"29.175"	"27.892"	"25.062"	"15.376"	"10.281"	"8.279"
"1918"	"7.242"	"8.882"	"10.689"	"14.002"	"21.128"	"27.591"	"29.993"	"28.765"	"25.777"	"16.681"	"11.228"	"8.178"
"1919"	"7.724"	"8.438"	"11.117"	"14.251"	"21.207"	"27.467"	"29.436"	"28.618"	"25.377"	"16.552"	"10.777"	"8.161"
"1920"	"7.763"	"8.63"	"11.117"	"14.648"	"19.4"	"26.054"	"29.343"	"28.597"	"27.838"	"17.178"	"11.244"	"8.205"
"1921"	"7.827"	"8.498"	"12.227"	"16.148"	"21.223"	"28.896"	"31.602"	"28.618"	"25.987"	"16.595"	"11.225"	"9.089"
"1922"	"7.763"	"9.424"	"11.117"	"15.326"	"21.11"	"27.452"	"29.595"	"28.618"	"25.887"	"16.563"	"11.226"	"8.514"
"1923"	"7.763"	"8.479"	"11.117"	"15.239"	"21.11"	"28.058"	"29.357"	"28.618"	"26.325"	"15.87"	"10.353"	"8.411"
