
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0001"	"0"	"0.908"	"0"	"1.0262"	"1.104"	"5.1489"	"4.1837"	"0.8264"	"1.2207"	"0.0718"	"1.0119"
"1902"	"0"	"0"	"0"	"0"	"1.0262"	"1.514"	"2.8337"	"6.3943"	"3.1195"	"0"	"0.0718"	"0"
"1903"	"0.267"	"0.4779"	"1.0001"	"0"	"1.0351"	"0.5192"	"8.623"	"4.8639"	"2.3612"	"0"	"0.0718"	"0"
"1904"	"1.0001"	"0.6447"	"1.0001"	"0"	"0.6663"	"1.2277"	"3.5057"	"1.8897"	"1.2303"	"0.9393"	"0.0718"	"0.793"
"1905"	"1.0001"	"0.9459"	"1.0001"	"0.9836"	"0"	"0.9689"	"5.7265"	"1.136"	"1.5904"	"0"	"0.0718"	"0.7213"
"1906"	"0"	"1.0001"	"0.9946"	"0"	"0.2345"	"2.2414"	"5.547"	"5.3018"	"3.5033"	"1.0937"	"0.0718"	"0.8796"
"1907"	"0.7015"	"1.0001"	"1.0001"	"1.0001"	"0.5808"	"1.9871"	"5.5553"	"8.4495"	"1.0193"	"0"	"0.0718"	"0"
"1908"	"1.0001"	"0.2973"	"0"	"0"	"0.7974"	"1.0043"	"10.2604"	"8.2668"	"2.618"	"0.1074"	"0.8115"	"0"
"1909"	"0.9314"	"0"	"0"	"1.0001"	"0.7782"	"1.4551"	"7.7954"	"6.0493"	"3.8624"	"0.4963"	"0.0718"	"0.9779"
"1910"	"0.657"	"0.0632"	"0"	"0.7495"	"0.0172"	"3.8316"	"6.3647"	"7.1952"	"1.0903"	"0.0249"	"0.0718"	"0"
"1911"	"0.8202"	"0"	"1.0001"	"0"	"0"	"2.1323"	"1.1131"	"2.2022"	"1.8964"	"0"	"0.9751"	"0"
"1912"	"0"	"0"	"0"	"0.2471"	"0.2345"	"1.729"	"7.36"	"6.3666"	"1.3453"	"1.2159"	"1.0313"	"0"
"1913"	"0"	"0.0632"	"0.3674"	"0"	"1.0602"	"2.2519"	"7.7945"	"6.7535"	"3.4872"	"0"	"0.1964"	"0.8543"
"1914"	"0"	"1.0001"	"0.859"	"0.515"	"0.7401"	"2.8647"	"7.0051"	"3.8251"	"2.8042"	"1.0947"	"1.0127"	"0"
"1915"	"1.0001"	"1.0001"	"1.0001"	"0.2761"	"0"	"1.2946"	"3.7841"	"1.5353"	"1.3243"	"1.4068"	"0.0718"	"0"
"1916"	"0"	"0"	"0"	"0"	"1.1536"	"1.9613"	"4.3704"	"9.0779"	"3.7516"	"1.1664"	"0.0718"	"0"
"1917"	"0.1813"	"1.0001"	"0.6299"	"1.0001"	"1.3513"	"2.3393"	"7.5269"	"8.2941"	"5.5374"	"1.359"	"0.0718"	"1.0001"
"1918"	"0"	"0"	"0.5788"	"0"	"1.0262"	"1.3669"	"1.7797"	"5.1374"	"1.3749"	"0"	"0.0735"	"0.9788"
"1919"	"1.0001"	"0"	"0.3478"	"1.0001"	"0.9015"	"1.2657"	"7.6464"	"8.1888"	"1.8944"	"0"	"1.001"	"0.3562"
"1920"	"0.8149"	"0.9493"	"0.0087"	"0"	"1.1641"	"3.277"	"6.1117"	"2.7418"	"1.0082"	"0"	"0.0718"	"0"
"1921"	"0"	"0"	"0"	"0"	"0"	"0.5249"	"8.0636"	"5.6969"	"4.4107"	"0.2354"	"0.0718"	"0"
"1922"	"0"	"0.1947"	"0"	"0.1792"	"0.3607"	"1.1268"	"6.3871"	"4.2291"	"3.8883"	"0"	"0.1126"	"0"
"1923"	"0.4563"	"1.0001"	"0.3525"	"1.0001"	"0.8023"	"0.7251"	"4.6396"	"5.0849"	"0.8035"	"0.854"	"0.0718"	"0"
"1924"	"0.9919"	"0.2252"	"0"	"0"	"1.0271"	"1.3436"	"7.2984"	"4.8667"	"4.359"	"0"	"0.0718"	"0.8107"
"1925"	"0"	"0"	"0"	"0"	"0.9699"	"2.7225"	"4.4402"	"3.0205"	"0.763"	"0"	"0.6979"	"0"
"1926"	"0.8234"	"0"	"1.0001"	"0.5881"	"1.2521"	"0.8179"	"7.045"	"7.6006"	"5.9514"	"0"	"0.0718"	"0"
"1927"	"0"	"1.0001"	"0"	"0"	"0.9015"	"1.4743"	"12.0806"	"5.8193"	"2.0428"	"1.1232"	"0.0718"	"1.0164"
"1928"	"0.1813"	"0.1735"	"0"	"0"	"0"	"1.0484"	"6.1989"	"5.2419"	"3.413"	"1.429"	"1.0455"	"0"
"1929"	"1.0001"	"0"	"0"	"1.0001"	"0.6816"	"1.4511"	"7.7889"	"6.2966"	"0.9523"	"0"	"0.9804"	"1.0001"
"1930"	"1.0001"	"0"	"0"	"0.9789"	"0.9983"	"2.3261"	"6.7733"	"3.5026"	"1.0884"	"1.1698"	"0.0718"	"0"
"1931"	"0"	"0.6691"	"0.3202"	"0"	"1.0109"	"1.1451"	"3.4079"	"8.3439"	"1.383"	"1.3917"	"0.0718"	"0.0074"
"1932"	"0"	"0"	"0.8169"	"0.4228"	"0.6714"	"1.0425"	"7.4866"	"4.3399"	"1.7464"	"1.0413"	"0.0718"	"0"
"1933"	"0"	"0.9977"	"0.9977"	"1.0001"	"1.2859"	"1.6722"	"5.9666"	"9.0201"	"2.6831"	"1.0947"	"0.1908"	"0"
"1934"	"0"	"0"	"0.9309"	"0"	"0"	"2.989"	"7.2518"	"7.8148"	"1.2224"	"0.0174"	"0.0718"	"0.0193"
"1935"	"1.0001"	"0.2163"	"0.3331"	"1.0001"	"0.8419"	"1.0631"	"7.5993"	"4.436"	"2.8061"	"1.1504"	"0.0718"	"0"
"1936"	"0"	"1.0001"	"0.3434"	"0.6861"	"0"	"2.2038"	"4.665"	"2.0982"	"3.3815"	"0"	"1.0405"	"0.9788"
"1937"	"0"	"1.0001"	"0"	"0"	"0"	"1.9882"	"9.9393"	"1.0039"	"3.8289"	"1.0593"	"0.0718"	"1.0122"
"1938"	"0"	"0"	"0.0132"	"0"	"0.7171"	"3.201"	"5.9502"	"4.3135"	"1.0012"	"0"	"0.0718"	"0"
"1939"	"0"	"1.0001"	"1.0001"	"0.4228"	"0"	"1.0516"	"3.0173"	"4.8363"	"1.7865"	"0.0715"	"0.0718"	"0"
"1940"	"1.0001"	"1.0001"	"1.0001"	"0.0213"	"0"	"2.3616"	"4.7104"	"5.5755"	"0.9462"	"1.0947"	"1.0191"	"0"
"1941"	"0.3446"	"0.9357"	"0"	"0"	"1.0262"	"1.0011"	"8.3713"	"4.0218"	"1.3592"	"1.0947"	"0.0718"	"0.9103"
"1942"	"0.9823"	"1.0001"	"0"	"1.0001"	"1.0633"	"2.1691"	"5.6316"	"5.8663"	"2.9695"	"0"	"0.0718"	"0.4511"
"1943"	"0.3381"	"0"	"0"	"1.0001"	"0"	"1.7079"	"9.2377"	"2.7828"	"3.0356"	"0"	"0.0718"	"0"
"1944"	"1.0001"	"0.5105"	"0.06"	"0"	"1.0245"	"1.6617"	"9.9777"	"8.6906"	"1.4277"	"1.0947"	"0.0718"	"0"
"1945"	"1.0001"	"0"	"0"	"0.6799"	"1.0824"	"2.3897"	"9.0602"	"5.7615"	"3.8237"	"0.3949"	"0.0718"	"0"
"1946"	"0"	"1.0001"	"0"	"0.6945"	"1.0262"	"2.0752"	"6.0282"	"7.318"	"1.7505"	"0.2409"	"0.949"	"0.6481"
"1947"	"0.2146"	"0.0632"	"0"	"0.0102"	"0.1514"	"0.7967"	"5.1638"	"6.0732"	"4.1188"	"1.2969"	"0.8728"	"0"
"1948"	"1.0001"	"0.8099"	"0.9196"	"0"	"0"	"1.3352"	"7.338"	"3.2678"	"1.7521"	"0.6865"	"1.0412"	"0.7734"
"1949"	"0.6502"	"0.0632"	"0"	"0"	"0.2345"	"1.9962"	"6.5735"	"7.3348"	"1.9854"	"0.978"	"0.0718"	"0"
"1950"	"0.1813"	"0"	"0.012"	"0"	"0"	"1.0973"	"9.4017"	"3.0658"	"3.3269"	"0"	"0.0718"	"0"
"1951"	"0"	"0"	"0.6075"	"0.0383"	"0.7553"	"1.3894"	"5.0276"	"5.2693"	"0.7696"	"0.0766"	"1.0168"	"0"
"1952"	"0"	"0.4336"	"0.0035"	"0.2285"	"0.0663"	"1.8271"	"8.1541"	"4.1462"	"0.7615"	"0.4708"	"0.0718"	"0"
"1953"	"1.0001"	"0"	"0"	"0.3938"	"0.6043"	"2.0984"	"5.0573"	"8.7458"	"1.2138"	"0"	"0.0718"	"0.8261"
"1954"	"0.9993"	"0.8401"	"0.1677"	"0"	"0.2216"	"1.7278"	"6.4234"	"5.4508"	"4.2529"	"0.8405"	"0.76"	"0"
