
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.887"	"18.072"	"25.324"	"29.896"	"34.177"	"34.145"	"29.81"	"25.98"	"27.566"	"27.937"	"21.892"	"18.893"
"1902"	"18.634"	"20.676"	"27.689"	"31.259"	"34.122"	"33.185"	"28.693"	"27.99"	"26.366"	"25.794"	"20.554"	"17.222"
"1903"	"17.551"	"18.683"	"23.855"	"28.755"	"32.44"	"34.324"	"29.489"	"26.511"	"26.293"	"25.361"	"19.729"	"16.966"
"1904"	"17.492"	"19.396"	"24.069"	"31.228"	"33.562"	"31.545"	"26.773"	"25.813"	"26.868"	"26.178"	"21.061"	"18.07"
"1905"	"16.344"	"15.363"	"22.759"	"27.966"	"35.096"	"33.943"	"28.507"	"27.577"	"27.917"	"27.06"	"22.952"	"18.313"
"1906"	"16.212"	"17.954"	"24.169"	"30.319"	"35.253"	"31.721"	"27.39"	"27.317"	"25.786"	"25.458"	"21.932"	"18.368"
"1907"	"18.553"	"18.689"	"23.702"	"28.438"	"31.927"	"32.946"	"30.609"	"25.729"	"27.048"	"27.272"	"22.208"	"16.822"
"1908"	"16.991"	"19.611"	"23.977"	"31.145"	"33.563"	"32.801"	"26.547"	"25.755"	"26.441"	"25.824"	"21.18"	"17.148"
"1909"	"17.514"	"19.516"	"26.589"	"28.539"	"33.103"	"30.976"	"26.791"	"25.856"	"26.005"	"25.912"	"22.178"	"17.347"
"1910"	"17.004"	"19.942"	"25.279"	"29.383"	"33.503"	"29.858"	"27.135"	"26.579"	"26.383"	"24.475"	"19.824"	"18.098"
"1911"	"19.214"	"19.85"	"23.211"	"29.791"	"34.623"	"30.937"	"29.61"	"27.704"	"26.017"	"26.842"	"20.725"	"18.637"
"1912"	"18.486"	"21.268"	"24.67"	"30.424"	"34.114"	"33.916"	"28.289"	"26.146"	"26.076"	"25.987"	"20.181"	"17.48"
"1913"	"17.46"	"19.716"	"23.37"	"31.447"	"32.438"	"30.289"	"27.8"	"26.518"	"27.583"	"27.744"	"21.681"	"18.041"
"1914"	"19.302"	"19.803"	"24.381"	"30.092"	"34.121"	"31.051"	"27.42"	"26.68"	"27.235"	"26.346"	"22.889"	"17.788"
"1915"	"17.632"	"17.919"	"24.983"	"29.959"	"34.616"	"34.05"	"30.424"	"27.226"	"28.991"	"27.339"	"22.021"	"18.778"
"1916"	"18.267"	"19.127"	"27.335"	"31.417"	"33.715"	"29.645"	"28.96"	"26.216"	"26.986"	"25.136"	"19.658"	"17.082"
"1917"	"18.229"	"19.61"	"24.583"	"28.158"	"30.877"	"29.97"	"26.597"	"25.959"	"25.731"	"24.274"	"18.757"	"17.756"
"1918"	"15.747"	"20.299"	"25.044"	"28.512"	"34.523"	"31.271"	"29.512"	"27.214"	"27.313"	"27.216"	"22.341"	"16.972"
"1919"	"17.774"	"18.989"	"25.782"	"29.556"	"32.931"	"31.945"	"26.975"	"25.871"	"26.285"	"25.576"	"21.416"	"17.348"
"1920"	"17.683"	"19.415"	"25.738"	"29.735"	"30.539"	"30.819"	"26.558"	"26.16"	"28.084"	"27.625"	"22.579"	"18.807"
"1921"	"18.162"	"19.942"	"27.609"	"31.976"	"34.594"	"32.484"	"30.17"	"26.351"	"25.424"	"25.716"	"21.13"	"19.667"
