
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.706"	"71.337"	"50.639"	"20.754"	"11.528"	"12.374"
"1902"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"49.061"	"72.613"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1903"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1904"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.775"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1905"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1906"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1907"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.614"	"71.382"	"50.639"	"21.137"	"11.938"	"12.374"
"1908"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1909"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.337"	"50.639"	"20.754"	"11.528"	"12.374"
"1910"	"15.9"	"12.361"	"24.62"	"22.116"	"25.513"	"48.473"	"72.927"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1911"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.754"	"11.527"	"12.374"
"1912"	"15.9"	"12.361"	"24.62"	"22.05"	"25.603"	"48.473"	"72.17"	"71.382"	"50.639"	"20.754"	"11.418"	"12.374"
"1913"	"15.9"	"12.361"	"24.62"	"22.116"	"25.22"	"48.473"	"73.076"	"71.382"	"50.639"	"20.754"	"11.528"	"12.374"
"1914"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.33"	"72.709"	"71.382"	"50.568"	"20.754"	"11.528"	"12.374"
"1915"	"15.9"	"12.361"	"24.332"	"22.116"	"25.328"	"48.473"	"72.613"	"71.015"	"50.565"	"20.754"	"11.504"	"12.374"
"1916"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.416"	"71.382"	"50.639"	"20.753"	"11.528"	"12.374"
"1917"	"15.9"	"12.314"	"24.62"	"21.87"	"25.119"	"48.33"	"72.167"	"71.249"	"50.639"	"20.754"	"11.528"	"12.374"
"1918"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"49.052"	"72.816"	"71.382"	"50.639"	"20.754"	"11.528"	"12.344"
"1919"	"15.9"	"12.361"	"24.62"	"22.047"	"25.603"	"48.473"	"72.613"	"71.382"	"50.596"	"20.355"	"11.117"	"12.374"
"1920"	"15.96"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"70.948"	"50.639"	"20.709"	"11.528"	"12.374"
"1921"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"71.961"	"71.382"	"50.639"	"20.71"	"11.528"	"12.374"
"1922"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.38"	"50.639"	"20.754"	"11.528"	"12.374"
"1923"	"15.9"	"12.361"	"24.62"	"22.116"	"25.603"	"48.473"	"72.938"	"71.382"	"50.639"	"20.709"	"11.105"	"12.282"
"1924"	"15.877"	"12.12"	"24.62"	"22.116"	"25.603"	"48.473"	"72.613"	"71.382"	"50.639"	"20.557"	"11.528"	"12.374"
