
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1902"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1903"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1904"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1905"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1906"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1907"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1908"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1909"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1910"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1911"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1912"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1913"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1914"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.245"	"15.386"
"1915"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1916"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.853"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1917"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1918"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1919"	"15.567"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1920"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1921"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1922"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1923"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1924"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1925"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1926"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1927"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1928"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1929"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1930"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1931"	"15.565"	"16.26"	"16.58"	"15.785"	"14.417"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1932"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.394"	"9.201"	"14.002"	"15.382"	"15.386"
"1933"	"15.565"	"16.18"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1934"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1935"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.134"	"14.002"	"15.382"	"15.386"
"1936"	"15.565"	"16.364"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1937"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1938"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1939"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1940"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1941"	"15.565"	"16.26"	"16.58"	"15.807"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1942"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1943"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1944"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1945"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1946"	"15.584"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1947"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1948"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1949"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.134"	"14.002"	"15.382"	"15.386"
"1950"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1951"	"15.524"	"16.26"	"16.444"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1952"	"15.543"	"16.26"	"16.58"	"15.785"	"14.548"	"11.669"	"7.831"	"6.463"	"9.201"	"14.296"	"15.382"	"15.386"
"1953"	"15.565"	"16.26"	"16.58"	"15.614"	"14.526"	"11.669"	"7.831"	"6.462"	"9.201"	"14.002"	"15.36"	"15.386"
"1954"	"15.565"	"16.26"	"16.58"	"15.785"	"14.486"	"11.669"	"7.831"	"6.222"	"9.201"	"14.002"	"15.382"	"15.386"
"1955"	"15.757"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.734"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1956"	"15.659"	"16.26"	"16.491"	"15.485"	"14.526"	"11.669"	"8.051"	"6.463"	"9.201"	"13.634"	"15.382"	"15.386"
"1957"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.152"	"9.201"	"14.002"	"16.091"	"15.386"
"1958"	"15.477"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1959"	"15.565"	"16.26"	"16.58"	"15.785"	"14.525"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.404"	"15.843"
"1960"	"15.565"	"16.26"	"16.58"	"15.785"	"14.665"	"11.669"	"7.831"	"6.463"	"9.201"	"14.002"	"15.382"	"15.386"
"1961"	"15.565"	"15.837"	"15.993"	"15.761"	"14.104"	"11.785"	"7.531"	"6.44"	"9.199"	"13.795"	"15.379"	"15.387"
"1962"	"15.564"	"16.318"	"16.822"	"15.566"	"14.376"	"11.669"	"7.692"	"6.422"	"8.814"	"13.763"	"15.357"	"14.989"
"1963"	"16.361"	"16.608"	"16.358"	"15.526"	"14.434"	"11.669"	"7.831"	"6.163"	"9.201"	"13.662"	"15.275"	"15.933"
"1964"	"15.495"	"16.26"	"16.58"	"15.784"	"14.525"	"11.669"	"7.444"	"6.44"	"9.199"	"14.002"	"15.382"	"14.835"
"1965"	"15.744"	"16.258"	"16.478"	"15.784"	"13.645"	"11.647"	"7.734"	"6.439"	"9.264"	"13.958"	"15.323"	"15.386"
"1966"	"15.588"	"16.58"	"16.679"	"15.384"	"14.599"	"11.694"	"8.243"	"6.463"	"9.201"	"14.144"	"15.403"	"15.511"
"1967"	"15.993"	"16.897"	"16.581"	"15.785"	"14.577"	"11.846"	"8.055"	"6.255"	"9.18"	"13.964"	"15.446"	"15.386"
"1968"	"15.565"	"16.067"	"16.988"	"15.854"	"14.549"	"11.669"	"7.932"	"6.482"	"9.912"	"14.002"	"15.382"	"15.545"
"1969"	"15.565"	"15.974"	"17.206"	"15.761"	"14.567"	"11.669"	"7.859"	"6.385"	"9.145"	"14.002"	"15.36"	"15.98"
"1970"	"15.565"	"16.26"	"16.58"	"16.383"	"14.549"	"11.694"	"8.243"	"6.651"	"9.201"	"14.443"	"15.447"	"15.976"
"1971"	"15.793"	"16.342"	"16.58"	"15.924"	"14.416"	"11.629"	"7.512"	"6.63"	"9.831"	"14.19"	"15.673"	"16.05"
"1972"	"15.565"	"16.26"	"17.146"	"15.976"	"14.506"	"11.822"	"8.639"	"6.464"	"8.855"	"13.574"	"15.046"	"15.135"
"1973"	"14.337"	"16.242"	"16.58"	"16.422"	"14.818"	"11.861"	"8.02"	"6.44"	"9.152"	"14.002"	"15.614"	"15.389"
"1974"	"15.523"	"16.26"	"16.679"	"15.808"	"16.4"	"11.669"	"7.831"	"6.733"	"9.863"	"14.002"	"15.605"	"15.277"
"1975"	"15.563"	"16.26"	"16.152"	"15.854"	"14.796"	"11.844"	"7.831"	"6.922"	"8.395"	"14.291"	"15.527"	"15.388"
"1976"	"15.588"	"16.044"	"16.539"	"15.977"	"14.782"	"11.647"	"7.831"	"6.362"	"9.201"	"14.199"	"15.404"	"15.386"
"1977"	"15.255"	"16.261"	"16.773"	"15.744"	"14.526"	"11.073"	"7.746"	"6.363"	"9.199"	"14.002"	"15.405"	"14.869"
"1978"	"15.764"	"16.105"	"16.57"	"15.894"	"15.205"	"12.111"	"7.733"	"6.363"	"8.869"	"13.868"	"14.596"	"15.744"
"1979"	"15.533"	"16.042"	"15.865"	"15.677"	"14.526"	"11.669"	"7.692"	"6.772"	"9.202"	"14.002"	"15.117"	"15.063"
"1980"	"15.496"	"16.215"	"16.431"	"15.808"	"14.526"	"11.459"	"7.831"	"6.375"	"9.156"	"13.735"	"15.593"	"15.388"
"1981"	"15.096"	"16.26"	"16.58"	"15.56"	"14.244"	"11.669"	"7.733"	"6.487"	"9.201"	"14.374"	"15.013"	"15.386"
"1982"	"15.342"	"16.12"	"16.51"	"15.714"	"14.285"	"11.669"	"7.831"	"6.463"	"9.72"	"14.002"	"15.201"	"15.416"
"1983"	"15.295"	"16.26"	"16.58"	"15.383"	"14.503"	"11.336"	"7.956"	"6.463"	"9.103"	"14.002"	"15.404"	"15.386"
"1984"	"15.565"	"16.26"	"16.58"	"15.744"	"14.526"	"11.669"	"7.831"	"6.463"	"9.201"	"14.424"	"15.323"	"14.477"
"1985"	"15.364"	"16.94"	"16.392"	"15.785"	"14.526"	"11.647"	"7.692"	"6.461"	"9.201"	"13.803"	"15.382"	"15.386"
"1986"	"15.565"	"16.26"	"16.58"	"15.785"	"14.526"	"11.669"	"7.9"	"6.463"	"9.201"	"13.965"	"15.382"	"15.386"
"1987"	"16.533"	"16.26"	"16.58"	"15.652"	"14.027"	"11.669"	"7.575"	"6.463"	"9.322"	"13.616"	"16.433"	"15.386"
"1988"	"15.564"	"16.26"	"16.557"	"15.785"	"14.526"	"11.669"	"7.726"	"6.44"	"8.714"	"14.002"	"15.382"	"15.386"
"1989"	"15.396"	"15.802"	"16.58"	"15.948"	"14.173"	"11.646"	"8.02"	"6.463"	"9.201"	"14.002"	"15.343"	"15.409"
