
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.3485"	"0.3015"	"0.1108"	"0.1711"	"0"	"0"	"0"	"0.0474"	"0"	"0"	"0.0816"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0258"	"0.0984"	"0.2594"	"0.7131"
"1903"	"0.016"	"0.1886"	"0.465"	"0.4324"	"0.1448"	"0"	"0"	"0"	"0.0101"	"0.1583"	"0.503"	"0.8754"
"1904"	"0.1124"	"0.0611"	"0.4211"	"0"	"0.0038"	"0.0018"	"0.0943"	"0.0367"	"0.0126"	"0.0036"	"0.2799"	"0.2082"
"1905"	"1.6112"	"0.4535"	"0.6425"	"0.5481"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1059"
"1906"	"1.6662"	"0.2682"	"0.4487"	"0.0113"	"0"	"0"	"0.0262"	"0"	"0.1822"	"0.1098"	"0.031"	"0.0177"
"1907"	"0"	"0.2018"	"0.5296"	"0.5286"	"0.2881"	"0"	"0"	"0.0465"	"0"	"0"	"0"	"0.9257"
"1908"	"0.8781"	"0.0405"	"0.3803"	"0"	"0"	"0"	"0.1068"	"0.0627"	"0.0253"	"0.1091"	"0.2965"	"0.819"
"1909"	"0.6414"	"0.1012"	"0"	"0.4952"	"0.086"	"0.0634"	"0.1046"	"0.0288"	"0.1457"	"0.0976"	"0.0765"	"0.634"
"1910"	"0.9374"	"0.0311"	"0.0197"	"0.2738"	"0"	"0.1261"	"0.0502"	"0"	"0.0294"	"0.4835"	"0.3886"	"0.3175"
"1911"	"0"	"0.0708"	"0.5525"	"0.1302"	"0"	"0.041"	"0"	"0"	"0.1143"	"0"	"0.3642"	"0.0891"
"1912"	"0"	"0"	"0.2324"	"0.0146"	"0"	"0"	"0"	"0"	"0.1001"	"0.0867"	"0.4359"	"0.654"
"1913"	"0.0211"	"0.0575"	"0.5558"	"0"	"0.2511"	"0.1523"	"0"	"0"	"0"	"0"	"0.1135"	"0.2361"
"1914"	"0"	"0.0612"	"0.3384"	"0.1093"	"0"	"0.0095"	"0.0217"	"0"	"0"	"0.0315"	"0"	"0.3272"
"1915"	"0.1475"	"0.2385"	"0.1411"	"0.1441"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1044"	"0.0112"
"1916"	"0"	"0.1654"	"0"	"0"	"0"	"0.1676"	"0"	"0"	"0"	"0.3122"	"0.4654"	"0.9117"
"1917"	"0"	"0.0818"	"0.3018"	"0.5421"	"0.5247"	"0.1402"	"0.1048"	"0.0471"	"0.1632"	"0.4662"	"0.521"	"0.2655"
"1918"	"2.2349"	"0"	"0.1847"	"0.454"	"0"	"0.0671"	"0"	"0"	"0"	"0"	"0.0025"	"0.7738"
"1919"	"0.0774"	"0.1289"	"0.0044"	"0.2271"	"0.1032"	"0"	"0.0857"	"0.0341"	"0.068"	"0.1657"	"0.1448"	"0.6494"
"1920"	"0"	"0.0893"	"0.0001"	"0.1515"	"0.5535"	"0.0974"	"0.1007"	"0"	"0"	"0"	"0"	"0.0025"
"1921"	"0"	"0.0358"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1938"	"0.1866"	"0.3161"	"0"
"1922"	"1.0044"	"0"	"0"	"0"	"0"	"0.0097"	"0.015"	"0"	"0.1292"	"0.1875"	"0.3008"	"0.6375"
"1923"	"0.1086"	"0.1426"	"0"	"0"	"0.1548"	"0"	"0"	"0.1226"	"0.0037"	"0.2816"	"0.2512"	"0.1327"
"1924"	"0.5939"	"0.0306"	"0"	"0"	"0.2828"	"0"	"0"	"0"	"0.124"	"0.4691"	"0.4713"	"0.499"
"1925"	"2.6461"	"0.276"	"0.0007"	"0"	"0.2512"	"0.1848"	"0.2043"	"0"	"0"	"0"	"0.21"	"0.3651"
"1926"	"0"	"0"	"0.3484"	"0.6809"	"0.2392"	"0"	"0"	"0"	"0.1332"	"0.3581"	"0.5305"	"0.7489"
"1927"	"2.0987"	"0.3181"	"0.5458"	"0.3211"	"0.1393"	"0"	"0.0522"	"0.0343"	"0.077"	"0.172"	"0.5318"	"0.2578"
"1928"	"0.893"	"0.0632"	"0.0671"	"0.2156"	"0"	"0"	"0.0128"	"0"	"0"	"0.0912"	"0.1178"	"0.8697"
"1929"	"1.204"	"0.2596"	"0"	"0.0678"	"0"	"0"	"0.0604"	"0.0548"	"0"	"0.1165"	"0.011"	"0.9141"
"1930"	"0.1619"	"0.1335"	"0"	"0.279"	"0.0464"	"0"	"0.1109"	"0"	"0"	"0"	"0.3353"	"0"
"1931"	"0"	"0.1887"	"0.2371"	"0"	"0"	"0"	"0"	"0"	"0.0441"	"0.3873"	"0.3098"	"0.353"
"1932"	"0"	"0.1394"	"0.2032"	"0.2334"	"0.0125"	"0"	"0"	"0.0044"	"0"	"0"	"0.3797"	"0.1173"
"1933"	"1.6032"	"0"	"0.0733"	"0.3693"	"0.5343"	"0.0679"	"0"	"0.0194"	"0.1868"	"0.3706"	"0.2478"	"0.2316"
"1934"	"2.1044"	"0"	"0.3566"	"0.0944"	"0.0157"	"0"	"0.0577"	"0.0086"	"0.2014"	"0.4128"	"0.3752"	"0.1722"
"1935"	"2.3455"	"0.0408"	"0.1772"	"0.6361"	"0"	"0"	"0.0681"	"0.0362"	"0.1168"	"0.3152"	"0.1169"	"0.393"
"1936"	"2.1321"	"0.0872"	"0.2983"	"0.3175"	"0"	"0.1665"	"0.0303"	"0"	"0.0411"	"0.1904"	"0.2659"	"0.6281"
"1937"	"1.524"	"0.0125"	"0.5418"	"0.3702"	"0"	"0"	"0.1058"	"0"	"0.0207"	"0.2673"	"0.0207"	"0.8773"
"1938"	"0.1469"	"0.2592"	"0"	"0"	"0"	"0.2564"	"0.0152"	"0"	"0"	"0"	"0.3798"	"0.2621"
"1939"	"0"	"0.0539"	"0.6303"	"0.4521"	"0.0099"	"0.0438"	"0.0149"	"0"	"0.0103"	"0"	"0.1907"	"0.1138"
"1940"	"0"	"0.0719"	"0.5837"	"0.3754"	"0"	"0"	"0"	"0.0359"	"0.0177"	"0.0665"	"0.0494"	"0.4078"
"1941"	"0.9313"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0101"	"0"
"1942"	"1.9992"	"0"	"0"	"0"	"0"	"0"	"0.1246"	"0.0212"	"0.147"	"0.1169"	"0.1501"	"0.8227"
"1943"	"0.1849"	"0.0934"	"0"	"0.3127"	"0"	"0.0595"	"0.0602"	"0.0886"	"0.0278"	"0.2405"	"0"	"0.2873"
"1944"	"0.9918"	"0.1425"	"0.4992"	"0.328"	"0"	"0.0057"	"0.103"	"0.0441"	"0.0067"	"0.4389"	"0.2194"	"0"
"1945"	"2.6939"	"0.1639"	"0"	"0.4363"	"0.0291"	"0"	"0.0722"	"0"	"0.1363"	"0.3709"	"0.3476"	"1.1158"
"1946"	"0"	"0"	"0.2174"	"0"	"0"	"0.0891"	"0.0581"	"0.0865"	"0.079"	"0.0018"	"0.5038"	"0.1132"
"1947"	"2.0338"	"0.0895"	"0"	"0.0603"	"0"	"0"	"0.0036"	"0"	"0.1945"	"0.4919"	"0.1241"	"0.0162"
"1948"	"0.866"	"0.1723"	"0.1857"	"0"	"0"	"0"	"0.0036"	"0"	"0.117"	"0"	"0.2773"	"0.3477"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0683"	"0.369"	"0.6109"
"1950"	"0"	"0.27"	"0.3537"	"0.3438"	"0"	"0"	"0.0527"	"0"	"0.079"	"0.275"	"0.4575"	"0.9005"
"1951"	"1.694"	"0.1409"	"0.0819"	"0.4837"	"0.013"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5001"
"1952"	"0"	"0"	"0.1363"	"0"	"0"	"0.0406"	"0.0611"	"0.0872"	"0"	"0"	"0.1583"	"0"
"1953"	"1.2158"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0763"	"0.1395"	"0"
"1954"	"1.1187"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1766"	"0.4898"	"0.092"	"0.1744"
"1955"	"0.137"	"0"	"0"	"0.4483"	"0.0131"	"0"	"0"	"0"	"0.0614"	"0.4754"	"0.4127"	"0.2254"
"1956"	"0.1149"	"0.0521"	"0"	"0"	"0"	"0.1113"	"0.2037"	"0.0852"	"0.0748"	"0.4761"	"0.4586"	"0.1235"
"1957"	"0.9575"	"0.2559"	"0.5341"	"0.3045"	"0.2544"	"0"	"0"	"0"	"0.0987"	"0.0019"	"0"	"0"
"1958"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0662"	"0"	"0.1896"	"0.3521"	"0.0453"	"0"
"1959"	"0.0842"	"0.1201"	"0"	"0"	"0"	"0"	"0.0623"	"0.0562"	"0.1595"	"0.1001"	"0.1988"	"0"
"1960"	"1.7413"	"0"	"0.3229"	"0.2376"	"0.0399"	"0"	"0"	"0.1322"	"0"	"0.2518"	"0.2992"	"0"
"1961"	"1.1202"	"0.3077"	"0"	"0.1653"	"0"	"0.0376"	"0.0237"	"0"	"0.142"	"0.4555"	"0.2011"	"0.9062"
"1962"	"2.1887"	"0.0212"	"0.1855"	"0.0567"	"0.1188"	"0"	"0.0648"	"0.1262"	"0.2703"	"0.5668"	"0.2514"	"0"
"1963"	"1.7363"	"0"	"0"	"0.0677"	"0.1758"	"0"	"0"	"0.0829"	"0.0747"	"0.0403"	"0"	"0"
"1964"	"1.7063"	"0.0054"	"0"	"0"	"0.1164"	"0.0948"	"0"	"0"	"0.0177"	"0"	"0.2947"	"0.0253"
"1965"	"0"	"0"	"0.1032"	"0.2248"	"0"	"0"	"0"	"0"	"0.0018"	"0"	"0"	"0.1068"
"1966"	"0.0616"	"0"	"0"	"0.0083"	"0.0384"	"0.0003"	"0"	"0.0257"	"0"	"0"	"0"	"0.4605"
"1967"	"1.9525"	"0"	"0.4611"	"0.4125"	"0.0427"	"0.0647"	"0.0263"	"0.1373"	"0.3245"	"0.0596"	"0"	"0"
"1968"	"1.0457"	"0.1508"	"0.0092"	"0.2678"	"0.3348"	"0"	"0.0265"	"0.0836"	"0"	"0.1603"	"0.0405"	"0.0747"
"1969"	"0.0297"	"0"	"0"	"0.0899"	"0.164"	"0"	"0.0001"	"0.0803"	"0.0082"	"0"	"0"	"0.0804"
"1970"	"0"	"0.0848"	"0.0047"	"0"	"0"	"0.0865"	"0"	"0.0021"	"0.1847"	"0.0718"	"0.3763"	"0.4201"
"1971"	"0.263"	"0.0335"	"0.1992"	"0"	"0.4028"	"0.2151"	"0.1946"	"0.0193"	"0.0811"	"0.3136"	"0.2124"	"0.5316"
"1972"	"0.1619"	"0.2887"	"0"	"0.2931"	"0"	"0"	"0"	"0"	"0.131"	"0"	"0"	"0"
"1973"	"0.2016"	"0.0101"	"0.0049"	"0"	"0"	"0"	"0.0792"	"0"	"0.1525"	"0.2526"	"0.2215"	"0.3234"
"1974"	"1.1716"	"0.1219"	"0"	"0"	"0.11"	"0"	"0.0304"	"0"	"0"	"0.1216"	"0.3261"	"0.5487"
"1975"	"1.9077"	"0.1332"	"0.4888"	"0.0083"	"0"	"0.0687"	"0.1576"	"0"	"0.1345"	"0.2818"	"0.4462"	"0.1852"
"1976"	"0"	"0"	"0.0001"	"0.214"	"0.0493"	"0.1671"	"0"	"0.0778"	"0.1504"	"0"	"0"	"0"
"1977"	"0.1776"	"0.0638"	"0"	"0.18"	"0.2179"	"0.0648"	"0.0371"	"0.0321"	"0.1479"	"0"	"0"	"0"
"1978"	"1.0831"	"0.185"	"0.5235"	"0.2034"	"0"	"0.1395"	"0.1799"	"0.1713"	"0.0501"	"0.0046"	"0"	"0.6456"
"1979"	"0"	"0.2304"	"0.5167"	"0.0084"	"0.4603"	"0"	"0.0186"	"0.0613"	"0"	"0"	"0"	"0"
"1980"	"0"	"0"	"0.0849"	"0"	"0.0045"	"0.1113"	"0.0357"	"0.0112"	"0"	"0"	"0"	"0.1906"
"1981"	"0.0036"	"0"	"0.205"	"0.023"	"0"	"0"	"0.1286"	"0.0421"	"0"	"0"	"0.3238"	"0.4972"
"1982"	"0"	"0.1741"	"0.651"	"0.3588"	"0.4311"	"0"	"0"	"0"	"0"	"0"	"0.0842"	"0"
"1983"	"0.8843"	"0.192"	"0.3528"	"0.5685"	"0.1405"	"0.0177"	"0"	"0"	"0.0088"	"0.208"	"0.3385"	"0.0244"
"1984"	"1.0996"	"0.3203"	"0"	"0"	"0"	"0"	"0"	"0.1384"	"0.098"	"0.165"	"0.1062"	"0"
"1985"	"0.0023"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0728"	"0"	"0.4832"	"0"	"0"
"1986"	"0.0527"	"0.0737"	"0.0717"	"0"	"0.0164"	"0"	"0.0769"	"0.0021"	"0"	"0.032"	"0"	"1.0501"
"1987"	"0.4835"	"0"	"0"	"0"	"0.2737"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1988"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0568"	"0"	"0"	"0.0133"	"0.054"	"0"
"1989"	"0.8203"	"0"	"0.206"	"0.1541"	"0"	"0.1058"	"0"	"0.0398"	"0"	"0"	"0"	"0"
"1990"	"0"	"0.022"	"0.4443"	"0"	"0.148"	"0.0387"	"0.078"	"0"	"0.0727"	"0.0461"	"0"	"0"
