
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.662"	"26.242"	"33.642"	"37.796"	"41.458"	"39.992"	"33.75"	"29.221"	"32.166"	"34.93"	"29.602"	"26.596"
"1902"	"26.426"	"28.845"	"35.991"	"39.187"	"41.402"	"39.056"	"32.633"	"31.231"	"30.966"	"32.807"	"28.267"	"24.925"
"1903"	"25.345"	"26.851"	"32.173"	"36.662"	"39.721"	"40.165"	"33.426"	"29.75"	"30.893"	"32.375"	"27.439"	"24.651"
"1904"	"25.285"	"27.565"	"32.369"	"39.137"	"40.843"	"37.344"	"30.715"	"29.055"	"31.469"	"33.169"	"28.774"	"25.757"
"1905"	"24.136"	"23.534"	"31.08"	"35.866"	"42.378"	"39.811"	"32.447"	"30.819"	"32.517"	"34.073"	"30.662"	"26.017"
"1906"	"24.005"	"26.122"	"32.488"	"38.246"	"42.534"	"37.546"	"31.332"	"30.559"	"30.387"	"32.45"	"29.641"	"26.071"
"1907"	"26.346"	"26.858"	"32.021"	"36.336"	"39.176"	"38.816"	"34.55"	"28.971"	"31.648"	"34.286"	"29.922"	"24.524"
"1908"	"24.783"	"27.781"	"32.296"	"39.071"	"40.843"	"38.622"	"30.487"	"28.999"	"31.041"	"32.837"	"28.89"	"24.852"
"1909"	"25.306"	"27.673"	"34.889"	"36.446"	"40.382"	"36.824"	"30.733"	"29.098"	"30.605"	"32.904"	"29.89"	"25.051"
"1910"	"24.797"	"28.112"	"33.58"	"37.28"	"40.784"	"35.726"	"31.076"	"29.82"	"30.983"	"31.489"	"27.534"	"25.802"
"1911"	"27.007"	"28.009"	"31.528"	"37.7"	"41.902"	"36.807"	"33.532"	"30.946"	"30.618"	"33.856"	"28.437"	"26.338"
"1912"	"26.278"	"29.436"	"32.99"	"38.351"	"41.393"	"39.763"	"32.228"	"29.387"	"30.678"	"32.999"	"27.892"	"25.184"
"1913"	"25.253"	"27.885"	"31.689"	"39.344"	"39.719"	"36.158"	"31.741"	"29.76"	"32.183"	"34.755"	"29.392"	"25.746"
"1914"	"27.096"	"27.973"	"32.681"	"37.999"	"41.402"	"36.873"	"31.363"	"29.921"	"31.834"	"33.359"	"30.533"	"25.492"
"1915"	"25.425"	"26.089"	"33.268"	"37.858"	"41.897"	"39.87"	"34.362"	"30.466"	"33.59"	"34.35"	"29.732"	"26.482"
