
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.097"	"9.964"	"17.045"	"21.99"	"26.93"	"28.325"	"25.921"	"22.758"	"22.966"	"20.926"	"14.18"	"11.21"
"1902"	"10.861"	"12.527"	"19.392"	"23.381"	"26.875"	"27.365"	"24.79"	"24.769"	"21.766"	"18.78"	"12.884"	"9.522"
"1903"	"9.781"	"10.527"	"15.573"	"20.875"	"25.18"	"28.496"	"25.576"	"23.287"	"21.693"	"18.371"	"12.035"	"9.264"
"1904"	"9.721"	"11.247"	"15.769"	"23.351"	"26.317"	"25.675"	"22.883"	"22.592"	"22.27"	"19.167"	"13.389"	"10.369"
"1905"	"8.554"	"7.246"	"14.461"	"20.061"	"27.849"	"28.123"	"24.597"	"24.356"	"23.316"	"20.07"	"15.28"	"10.629"
"1906"	"8.44"	"9.798"	"15.887"	"22.395"	"28.006"	"25.854"	"23.489"	"24.096"	"21.187"	"18.445"	"14.221"	"10.683"
"1907"	"10.78"	"10.552"	"15.418"	"20.513"	"24.65"	"27.148"	"26.718"	"22.508"	"22.448"	"20.263"	"14.537"	"9.136"
"1908"	"9.218"	"11.491"	"15.696"	"23.221"	"26.304"	"26.952"	"22.656"	"22.535"	"21.84"	"18.811"	"13.508"	"9.448"
"1909"	"9.742"	"11.348"	"18.309"	"20.633"	"25.837"	"25.127"	"22.9"	"22.635"	"21.405"	"18.9"	"14.487"	"9.663"
"1910"	"9.234"	"11.776"	"16.999"	"21.476"	"26.245"	"24.058"	"23.243"	"23.356"	"21.784"	"17.486"	"12.112"	"10.397"
"1911"	"11.442"	"11.703"	"14.932"	"21.885"	"27.375"	"25.118"	"25.688"	"24.483"	"21.419"	"19.851"	"13.013"	"10.953"
"1912"	"10.693"	"13.177"	"16.387"	"22.5"	"26.866"	"28.096"	"24.399"	"22.923"	"21.476"	"18.976"	"12.511"	"9.798"
"1913"	"9.688"	"11.549"	"15.111"	"23.558"	"25.179"	"24.462"	"23.91"	"23.296"	"22.983"	"20.751"	"14.01"	"10.358"
"1914"	"11.513"	"11.684"	"16.079"	"22.168"	"26.875"	"25.204"	"23.531"	"23.457"	"22.636"	"19.353"	"15.266"	"10.105"
"1915"	"9.862"	"9.799"	"16.666"	"22.035"	"27.369"	"28.203"	"26.532"	"24.002"	"24.391"	"20.327"	"14.33"	"11.094"
"1916"	"10.494"	"11.024"	"19.036"	"23.51"	"26.457"	"23.826"	"25.016"	"22.994"	"22.386"	"18.123"	"11.991"	"9.4"
"1917"	"10.456"	"11.488"	"16.323"	"20.252"	"23.618"	"24.122"	"22.687"	"22.736"	"21.129"	"17.284"	"11.088"	"10.075"
"1918"	"7.956"	"12.171"	"16.785"	"20.605"	"27.262"	"25.444"	"25.608"	"23.99"	"22.715"	"20.204"	"14.651"	"9.289"
"1919"	"10.002"	"10.851"	"17.523"	"21.635"	"25.683"	"26.124"	"23.065"	"22.649"	"21.683"	"18.563"	"13.743"	"9.664"
"1920"	"9.912"	"11.245"	"17.461"	"21.84"	"23.279"	"25.018"	"22.649"	"22.937"	"23.484"	"20.611"	"14.905"	"11.104"
"1921"	"10.388"	"11.776"	"19.326"	"24.072"	"27.332"	"26.665"	"26.248"	"23.129"	"20.822"	"18.704"	"13.457"	"11.983"
"1922"	"9.041"	"13.154"	"17.916"	"22.912"	"26.438"	"25.594"	"23.621"	"22.93"	"21.354"	"18.592"	"13.202"	"9.607"
"1923"	"9.722"	"10.985"	"17.34"	"22.59"	"25.456"	"28.508"	"24.034"	"22.048"	"21.943"	"18.265"	"13.465"	"10.726"
"1924"	"9.177"	"11.991"	"18.605"	"23.377"	"24.779"	"27.095"	"24.082"	"23.007"	"21.332"	"17.404"	"12.007"	"9.881"
