
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.29"	"6.07"	"7.25"	"8.34"	"8.79"	"8"	"6.16"	"5.14"	"5.84"	"6.86"	"6.19"	"5.41"
"1902"	"5.42"	"6.25"	"7.41"	"8.48"	"8.86"	"7.98"	"6.04"	"5.21"	"5.9"	"6.77"	"6.09"	"5.29"
"1903"	"5.36"	"6.2"	"7.22"	"8.28"	"8.69"	"7.96"	"6.17"	"5.18"	"5.85"	"6.76"	"6.03"	"5.28"
"1904"	"5.35"	"6.24"	"7.19"	"8.39"	"8.87"	"7.95"	"5.94"	"5.07"	"5.84"	"6.78"	"6.1"	"5.39"
"1905"	"5.39"	"5.92"	"7.08"	"8.15"	"8.77"	"8.05"	"6.06"	"5.16"	"5.91"	"6.81"	"6.24"	"5.46"
"1906"	"5.32"	"6.11"	"7.18"	"8.31"	"8.91"	"7.99"	"5.94"	"5.18"	"5.84"	"6.69"	"6.13"	"5.39"
"1907"	"5.46"	"6.22"	"7.21"	"8.28"	"8.7"	"7.85"	"6.18"	"5.16"	"5.83"	"6.81"	"6.24"	"5.33"
"1908"	"5.29"	"6.24"	"7.19"	"8.39"	"8.83"	"8.01"	"5.98"	"5.07"	"5.84"	"6.77"	"6.12"	"5.31"
"1909"	"5.35"	"6.17"	"7.41"	"8.33"	"8.8"	"7.92"	"5.94"	"5.09"	"5.8"	"6.73"	"6.18"	"5.35"
"1910"	"5.3"	"6.24"	"7.31"	"8.33"	"8.87"	"7.85"	"5.9"	"5.13"	"5.89"	"6.72"	"5.99"	"5.3"
"1911"	"5.47"	"6.33"	"7.18"	"8.26"	"8.89"	"7.87"	"6.02"	"5.25"	"5.84"	"6.81"	"6.1"	"5.36"
"1912"	"5.4"	"6.34"	"7.3"	"8.35"	"8.81"	"8.02"	"6.09"	"5.14"	"5.83"	"6.77"	"6.07"	"5.31"
"1913"	"5.35"	"6.28"	"7.13"	"8.4"	"8.88"	"7.84"	"5.94"	"5.1"	"5.84"	"6.85"	"6.19"	"5.35"
"1914"	"5.47"	"6.29"	"7.24"	"8.34"	"8.87"	"7.92"	"5.94"	"5.1"	"5.87"	"6.75"	"6.21"	"5.39"
"1915"	"5.41"	"6.11"	"7.24"	"8.32"	"8.81"	"7.99"	"6.17"	"5.18"	"5.93"	"6.86"	"6.19"	"5.41"
"1916"	"5.43"	"6.15"	"7.37"	"8.49"	"8.94"	"7.8"	"6.03"	"5.14"	"5.9"	"6.77"	"6.02"	"5.26"
"1917"	"5.39"	"6.25"	"7.3"	"8.32"	"8.73"	"7.81"	"5.9"	"5.09"	"5.84"	"6.72"	"5.93"	"5.35"
"1918"	"5.22"	"6.22"	"7.33"	"8.25"	"8.84"	"7.88"	"6.04"	"5.19"	"5.87"	"6.82"	"6.25"	"5.33"
"1919"	"5.36"	"6.17"	"7.32"	"8.38"	"8.81"	"7.94"	"5.98"	"5.09"	"5.84"	"6.73"	"6.14"	"5.34"
"1920"	"5.35"	"6.21"	"7.33"	"8.44"	"8.73"	"7.84"	"5.92"	"5.05"	"5.86"	"6.84"	"6.22"	"5.43"
"1921"	"5.42"	"6.2"	"7.37"	"8.5"	"8.91"	"7.94"	"6.16"	"5.21"	"5.8"	"6.73"	"6.06"	"5.47"
"1922"	"5.32"	"6.28"	"7.37"	"8.44"	"8.87"	"7.94"	"5.99"	"5.14"	"5.84"	"6.73"	"6.11"	"5.33"
"1923"	"5.35"	"6.18"	"7.3"	"8.43"	"8.74"	"8.01"	"6.1"	"5.09"	"5.84"	"6.73"	"6.09"	"5.4"
"1924"	"5.32"	"6.22"	"7.37"	"8.5"	"8.77"	"7.93"	"6.04"	"5.14"	"5.86"	"6.71"	"5.99"	"5.35"
"1925"	"5.24"	"6.06"	"7.24"	"8.5"	"8.92"	"7.8"	"5.83"	"5.09"	"5.91"	"6.87"	"6.18"	"5.36"
"1926"	"5.35"	"6.41"	"7.37"	"8.19"	"8.62"	"7.98"	"6.09"	"5.16"	"5.84"	"6.77"	"6"	"5.26"
"1927"	"5.22"	"6.08"	"7.16"	"8.3"	"8.77"	"7.93"	"5.99"	"5.09"	"5.83"	"6.8"	"5.96"	"5.33"
"1928"	"5.32"	"6.22"	"7.31"	"8.34"	"8.83"	"7.96"	"5.97"	"5.11"	"5.86"	"6.75"	"6.18"	"5.34"
"1929"	"5.29"	"6.07"	"7.32"	"8.41"	"8.83"	"7.95"	"5.99"	"5.09"	"5.86"	"6.76"	"6.22"	"5.34"
"1930"	"5.35"	"6.18"	"7.35"	"8.38"	"8.79"	"7.94"	"5.94"	"5.07"	"5.87"	"6.89"	"6.13"	"5.35"
"1931"	"5.53"	"6.17"	"7.25"	"8.52"	"8.87"	"8.22"	"6.17"	"5.2"	"5.93"	"6.67"	"6.21"	"5.37"
"1932"	"5.59"	"6.3"	"7.3"	"8.36"	"8.87"	"8.02"	"6.09"	"5.09"	"5.97"	"6.99"	"6.3"	"5.44"
"1933"	"5.31"	"6.22"	"7.41"	"8.37"	"8.66"	"7.85"	"6"	"5.08"	"5.77"	"6.73"	"6.17"	"5.43"
"1934"	"5.26"	"6.44"	"7.3"	"8.49"	"8.91"	"8"	"5.96"	"5.14"	"5.89"	"6.91"	"6.1"	"5.4"
"1935"	"5.19"	"6.13"	"7.4"	"8.15"	"8.83"	"8.33"	"6.06"	"5.13"	"5.89"	"6.8"	"6.2"	"5.42"
"1936"	"5.35"	"6.18"	"7.3"	"8.32"	"8.92"	"7.83"	"5.94"	"5.14"	"5.87"	"6.78"	"6.14"	"5.29"
"1937"	"5.3"	"6.18"	"7.24"	"8.31"	"8.81"	"8.1"	"5.98"	"5.12"	"5.93"	"6.77"	"6.24"	"5.34"
"1938"	"5.35"	"6.07"	"7.37"	"8.52"	"9.01"	"7.73"	"6"	"5.14"	"6.01"	"6.99"	"6.13"	"5.42"
"1939"	"5.52"	"6.22"	"7.1"	"8.32"	"8.91"	"7.85"	"5.97"	"5.26"	"5.95"	"6.9"	"6.32"	"5.42"
"1940"	"5.35"	"6.22"	"7.18"	"8.31"	"8.86"	"7.96"	"6.1"	"5.12"	"5.9"	"6.91"	"6.27"	"5.43"
"1941"	"5.29"	"6.26"	"7.41"	"8.53"	"8.86"	"7.92"	"6.09"	"5.17"	"5.9"	"6.91"	"6.41"	"5.61"
"1942"	"5.25"	"6.16"	"7.42"	"8.51"	"8.86"	"8.23"	"5.94"	"5.09"	"5.84"	"6.81"	"6.27"	"5.33"
