
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.079"	"0.582"	"2.04"	"0.662"	"4.723"	"57.455"	"321.285"	"313.458"	"53.395"	"46.661"	"0.259"	"2.265"
"1902"	"8.439"	"0.073"	"0"	"0.187"	"0.058"	"53.735"	"273.484"	"155.016"	"169.17"	"25.963"	"83.601"	"5.42"
"1903"	"1.008"	"0.038"	"0"	"0"	"4.954"	"25.68"	"382.641"	"317.784"	"159.957"	"10.825"	"0.259"	"0"
"1904"	"0.765"	"2.663"	"12.386"	"0"	"20.01"	"61.937"	"216.468"	"180.515"	"119.804"	"17.654"	"10.749"	"3.476"
"1905"	"2.152"	"3.721"	"0.887"	"0.078"	"5.763"	"13.427"	"390.298"	"74.215"	"238.609"	"0.201"	"0.742"	"0.413"
"1906"	"0.002"	"1.588"	"0.291"	"0"	"0.17"	"161.333"	"327.314"	"217.225"	"258.965"	"1.351"	"0.259"	"8.351"
"1907"	"18.231"	"7.153"	"0.113"	"5.171"	"1.213"	"60.657"	"217.962"	"393.831"	"16.245"	"0.201"	"5.335"	"0"
"1908"	"3.54"	"0"	"4.216"	"0.57"	"0.786"	"108.188"	"455.64"	"380.319"	"103.473"	"1.706"	"1.186"	"0.377"
"1909"	"7.818"	"0.37"	"0"	"1.041"	"4.848"	"96.151"	"385.416"	"282.073"	"321.381"	"0.245"	"0.259"	"8.885"
"1910"	"1.244"	"0.084"	"0"	"0.343"	"6.259"	"148.192"	"149.073"	"358.256"	"206.31"	"18.762"	"10.142"	"0"
"1911"	"3.949"	"0"	"4.386"	"0"	"0"	"101.884"	"117.597"	"205.158"	"127.767"	"0.573"	"93.478"	"2.197"
"1912"	"2.745"	"0.297"	"0"	"0.075"	"0.002"	"58.233"	"344.431"	"267.267"	"80.596"	"1.907"	"91.083"	"0.753"
"1913"	"0"	"2.144"	"0.752"	"0"	"3.582"	"101.275"	"324.513"	"120.304"	"221.72"	"0.201"	"0.259"	"5.637"
"1914"	"0"	"0.28"	"2.485"	"0.615"	"28.473"	"149.872"	"426.382"	"169.679"	"397.138"	"3.05"	"14.746"	"4.138"
"1915"	"5.612"	"7.202"	"18.686"	"3.057"	"6.073"	"110.699"	"234.406"	"143.092"	"201.506"	"92.846"	"2.089"	"3.604"
"1916"	"0"	"0.934"	"0"	"0.132"	"7.77"	"74.997"	"369.27"	"276.806"	"246.451"	"34.408"	"24.508"	"0"
"1917"	"0.698"	"2.393"	"0.358"	"1.267"	"25.717"	"76.137"	"203.942"	"232.641"	"412.284"	"54.61"	"0.259"	"1.918"
"1918"	"1.99"	"0.036"	"0.914"	"0"	"19.899"	"71.952"	"122.28"	"146.612"	"57.412"	"0.506"	"34.719"	"0.221"
"1919"	"15.447"	"0"	"0"	"1.728"	"1.37"	"145.069"	"249.988"	"333.239"	"140.339"	"39.757"	"49.16"	"1.993"
"1920"	"3.204"	"0.984"	"0.603"	"0"	"4.256"	"73.745"	"241.822"	"87.054"	"76.488"	"0.201"	"0.259"	"0"
"1921"	"6.667"	"0.073"	"0"	"0"	"0"	"130.578"	"272.077"	"194.662"	"273.04"	"0.219"	"0.259"	"0"
"1922"	"6.986"	"1.612"	"0.036"	"0.002"	"0.075"	"88.658"	"251.897"	"98.541"	"327.508"	"5.22"	"47.44"	"11.612"
"1923"	"0.291"	"0.637"	"3.748"	"1.225"	"0.788"	"13.167"	"461.366"	"278.419"	"306.781"	"1.951"	"0.471"	"3.505"
"1924"	"4.148"	"0.623"	"0"	"0"	"10.244"	"57.341"	"207.361"	"223.236"	"228.943"	"56.143"	"1.196"	"9.304"
"1925"	"0"	"0"	"0"	"0"	"20.485"	"106.615"	"294.571"	"153.597"	"75.708"	"0.554"	"122.748"	"1.054"
"1926"	"14.289"	"1.394"	"8.556"	"2.551"	"6.843"	"26.731"	"207.858"	"448.083"	"139.525"	"1.417"	"21.916"	"0.073"
"1927"	"0"	"2.231"	"3.239"	"0.424"	"0.593"	"65.088"	"376.162"	"194.015"	"182.735"	"24.173"	"92.034"	"8.659"
"1928"	"0.679"	"11.141"	"0.568"	"0.168"	"0.339"	"49.785"	"265.01"	"148.696"	"207.955"	"67.321"	"13.913"	"42.654"
"1929"	"3.42"	"5.106"	"0"	"9.643"	"0.003"	"143.015"	"247.027"	"116.162"	"62.043"	"12.386"	"0.259"	"5.556"
"1930"	"1.288"	"0.359"	"0"	"0.244"	"10.475"	"156.972"	"308.149"	"181.438"	"165.718"	"8.384"	"3.633"	"0"
"1931"	"0.054"	"0.429"	"0"	"0"	"0.313"	"111.188"	"292.442"	"434.582"	"318.597"	"80.871"	"16.252"	"0"
"1932"	"0"	"6.211"	"7.818"	"0.914"	"0.085"	"57.077"	"338.271"	"277.659"	"284.562"	"7.876"	"0.259"	"0"
"1933"	"0"	"0.459"	"2.543"	"1.062"	"12.383"	"249.674"	"158.053"	"357.907"	"476.501"	"7.468"	"11.156"	"15.605"
