
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.97"	"3.8"	"5.51"	"6.77"	"7.57"	"6.93"	"5.16"	"4.11"	"4.58"	"4.86"	"3.7"	"3.06"
"1902"	"3.2"	"4.09"	"5.81"	"6.94"	"7.55"	"6.8"	"5.05"	"4.29"	"4.47"	"4.65"	"3.58"	"2.93"
"1903"	"3.12"	"3.87"	"5.33"	"6.6"	"7.31"	"6.96"	"5.13"	"4.16"	"4.47"	"4.59"	"3.49"	"2.88"
"1904"	"3.11"	"3.95"	"5.36"	"6.94"	"7.48"	"6.57"	"4.84"	"4.08"	"4.53"	"4.68"	"3.61"	"2.99"
"1905"	"3.02"	"3.52"	"5.19"	"6.49"	"7.69"	"6.9"	"5.03"	"4.24"	"4.64"	"4.77"	"3.79"	"3"
"1906"	"2.99"	"3.79"	"5.37"	"6.82"	"7.71"	"6.61"	"4.91"	"4.23"	"4.39"	"4.6"	"3.7"	"3.01"
"1907"	"3.2"	"3.86"	"5.31"	"6.57"	"7.23"	"6.76"	"5.23"	"4.08"	"4.55"	"4.8"	"3.73"	"2.88"
"1908"	"3.05"	"3.96"	"5.35"	"6.93"	"7.48"	"6.76"	"4.8"	"4.07"	"4.47"	"4.65"	"3.62"	"2.92"
"1909"	"3.11"	"3.95"	"5.67"	"6.59"	"7.41"	"6.52"	"4.84"	"4.09"	"4.41"	"4.65"	"3.72"	"2.94"
"1910"	"3.06"	"4.01"	"5.51"	"6.69"	"7.47"	"6.36"	"4.87"	"4.16"	"4.47"	"4.5"	"3.5"	"2.99"
"1911"	"3.26"	"4"	"5.25"	"6.75"	"7.63"	"6.51"	"5.13"	"4.26"	"4.42"	"4.75"	"3.59"	"3.03"
"1912"	"3.2"	"4.13"	"5.43"	"6.85"	"7.55"	"6.9"	"5"	"4.12"	"4.43"	"4.66"	"3.53"	"2.94"
"1913"	"3.11"	"3.99"	"5.26"	"6.98"	"7.31"	"6.43"	"4.95"	"4.17"	"4.58"	"4.84"	"3.67"	"2.99"
"1914"	"3.27"	"3.99"	"5.39"	"6.79"	"7.56"	"6.52"	"4.9"	"4.17"	"4.57"	"4.69"	"3.77"	"2.96"
"1915"	"3.12"	"3.79"	"5.48"	"6.78"	"7.63"	"6.92"	"5.23"	"4.23"	"4.73"	"4.8"	"3.7"	"3.06"
"1916"	"3.17"	"3.91"	"5.77"	"6.97"	"7.5"	"6.33"	"5.1"	"4.12"	"4.54"	"4.58"	"3.49"	"2.9"
"1917"	"3.16"	"3.95"	"5.43"	"6.53"	"7.08"	"6.38"	"4.81"	"4.12"	"4.39"	"4.46"	"3.41"	"2.95"
"1918"	"2.96"	"4.03"	"5.46"	"6.57"	"7.61"	"6.56"	"5.13"	"4.23"	"4.58"	"4.8"	"3.74"	"2.88"
"1919"	"3.13"	"3.91"	"5.57"	"6.72"	"7.39"	"6.64"	"4.85"	"4.09"	"4.46"	"4.61"	"3.64"	"2.94"
"1920"	"3.12"	"3.95"	"5.57"	"6.73"	"7.04"	"6.5"	"4.81"	"4.12"	"4.65"	"4.84"	"3.76"	"3.05"
"1921"	"3.17"	"4.01"	"5.79"	"7.05"	"7.62"	"6.71"	"5.19"	"4.15"	"4.36"	"4.64"	"3.63"	"3.12"
"1922"	"3.05"	"4.14"	"5.61"	"6.91"	"7.5"	"6.58"	"4.91"	"4.12"	"4.41"	"4.63"	"3.6"	"2.93"
"1923"	"3.11"	"3.91"	"5.54"	"6.84"	"7.34"	"6.95"	"4.96"	"4.06"	"4.49"	"4.58"	"3.62"	"3.02"
"1924"	"3.06"	"4.01"	"5.71"	"6.95"	"7.25"	"6.76"	"4.95"	"4.12"	"4.41"	"4.5"	"3.48"	"2.95"
"1925"	"2.94"	"3.8"	"5.54"	"7.04"	"7.29"	"6.3"	"4.78"	"4.23"	"4.66"	"4.82"	"3.64"	"2.98"
