
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.726"	"6.657"	"7.457"	"8.72"	"14.677"	"26.694"	"30.811"	"26.487"	"24.866"	"14.988"	"10.255"	"9.265"
"1902"	"8.919"	"7.78"	"8.544"	"9.028"	"15.184"	"24.97"	"28.056"	"28.239"	"24.487"	"13.876"	"9.468"	"8.741"
"1903"	"8.419"	"7.282"	"6.98"	"8.129"	"13.704"	"26.954"	"30.15"	"26.417"	"24.751"	"13.112"	"9.245"	"8.663"
"1904"	"8.401"	"7.858"	"7.044"	"8.774"	"14.34"	"24.12"	"26.806"	"26.467"	"24.489"	"13.876"	"9.607"	"9.264"
"1905"	"7.764"	"5.731"	"6.435"	"7.402"	"15.53"	"26.977"	"28.099"	"28.215"	"25.644"	"14.544"	"10.535"	"9.245"
"1906"	"7.781"	"6.77"	"6.947"	"8.591"	"16.137"	"24.119"	"27.931"	"28.192"	"23.065"	"13.516"	"10.433"	"9.264"
"1907"	"8.729"	"7.218"	"6.98"	"7.656"	"13.509"	"25.417"	"31.882"	"26.111"	"24.487"	"14.642"	"10.415"	"8.663"
"1908"	"8.304"	"7.649"	"7.045"	"8.693"	"14.34"	"25.195"	"26.644"	"26.487"	"24.487"	"13.662"	"9.607"	"8.672"
"1909"	"8.418"	"7.749"	"8.067"	"7.573"	"13.917"	"24.036"	"26.603"	"26.498"	"24.06"	"13.479"	"10.285"	"8.713"
"1910"	"8.419"	"7.649"	"7.457"	"8.053"	"14.34"	"23.245"	"27.665"	"26.467"	"24.487"	"12.989"	"9.076"	"9.075"
"1911"	"8.939"	"7.794"	"6.531"	"8.648"	"15.301"	"23.336"	"30.071"	"27.304"	"24.487"	"13.877"	"9.696"	"9.277"
"1912"	"8.74"	"8.451"	"7.343"	"8.774"	"14.664"	"27.165"	"27.989"	"26.468"	"24.487"	"13.986"	"9.201"	"8.818"
"1913"	"8.189"	"7.858"	"6.475"	"9.159"	"14.102"	"22.88"	"27.989"	"27.487"	"25.218"	"14.862"	"10.404"	"9.263"
"1914"	"9.034"	"7.776"	"7.058"	"8.652"	"14.853"	"24.12"	"27.942"	"26.499"	"24.487"	"13.986"	"10.452"	"9.052"
"1915"	"8.401"	"6.924"	"7.27"	"8.693"	"15.397"	"27.165"	"31.118"	"27.508"	"26.327"	"14.93"	"10.452"	"9.264"
"1916"	"8.661"	"7.27"	"8.231"	"8.745"	"14.262"	"22.274"	"29.405"	"26.487"	"24.487"	"13.042"	"9.147"	"8.605"
"1917"	"8.419"	"7.89"	"7.081"	"7.372"	"12.555"	"22.681"	"26.621"	"26.498"	"24.172"	"12.757"	"8.707"	"9.23"
"1918"	"7.714"	"7.84"	"7.457"	"8.007"	"15.036"	"23.916"	"29.79"	"28.229"	"24.575"	"14.581"	"10.365"	"8.753"
"1919"	"8.386"	"7.348"	"7.558"	"8.642"	"14.34"	"24.397"	"27.972"	"26.487"	"24.487"	"13.288"	"10.209"	"8.766"
"1920"	"8.419"	"7.826"	"7.558"	"8.654"	"12.594"	"24.164"	"27.013"	"27.197"	"25.761"	"14.93"	"10.433"	"9.176"
"1921"	"8.438"	"7.75"	"8.667"	"9.497"	"15.34"	"24.121"	"30.86"	"26.487"	"23.766"	"13.556"	"9.699"	"9.799"
"1922"	"8.419"	"8.293"	"7.557"	"8.762"	"14.34"	"24.12"	"27.984"	"26.467"	"24.487"	"13.889"	"9.718"	"8.605"
"1923"	"8.419"	"7.768"	"7.457"	"8.744"	"14.34"	"26.857"	"28.29"	"26.4"	"24.487"	"12.976"	"9.704"	"9.264"
"1924"	"8.222"	"7.87"	"8.17"	"8.754"	"13.348"	"25.599"	"27.983"	"26.439"	"24.44"	"13.054"	"9.163"	"8.78"
"1925"	"7.178"	"6.977"	"7.799"	"9.406"	"13.728"	"21.338"	"26.329"	"27.919"	"25.761"	"14.922"	"9.755"	"8.87"
"1926"	"8.419"	"8.472"	"7.058"	"6.986"	"13.86"	"27.316"	"28.186"	"26.499"	"24.487"	"12.888"	"8.551"	"8.299"
"1927"	"7.222"	"6.902"	"6.812"	"8.155"	"14.34"	"24.236"	"27.961"	"26.467"	"24.487"	"13.974"	"8.735"	"9.264"
"1928"	"8.419"	"7.858"	"7.457"	"8.743"	"14.83"	"24.12"	"27.988"	"27.845"	"24.775"	"13.876"	"10.434"	"8.651"
"1929"	"7.926"	"6.873"	"8.139"	"8.696"	"14.696"	"24.12"	"27.954"	"26.487"	"24.487"	"13.839"	"10.432"	"8.65"
"1930"	"8.419"	"7.857"	"7.557"	"8.264"	"14.34"	"24.12"	"26.32"	"26.477"	"26.013"	"14.781"	"9.625"	"9.264"
"1931"	"8.931"	"7.46"	"7.17"	"9.153"	"14.44"	"26.741"	"29.598"	"27.107"	"24.487"	"12.99"	"9.665"	"9.227"
"1932"	"9.513"	"7.219"	"7.068"	"7.971"	"14.34"	"25.012"	"27.966"	"26.487"	"24.578"	"13.894"	"9.653"	"9.245"
"1933"	"7.734"	"7.903"	"7.558"	"8.041"	"12.864"	"23.929"	"28.012"	"26.451"	"23.52"	"13.088"	"9.717"	"9.264"
"1934"	"7.588"	"7.814"	"6.978"	"8.742"	"14.34"	"24.12"	"28.03"	"26.477"	"23.741"	"12.845"	"9.594"	"9.264"
"1935"	"7.262"	"7.858"	"7.215"	"6.976"	"14.34"	"24.48"	"28.002"	"26.439"	"24.507"	"13.122"	"10.261"	"8.83"
