
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.3664"	"0.5617"	"0.9852"	"0.6615"	"1.0417"	"3.9955"	"12.3409"	"12.2762"	"3.2817"	"2.011"	"0.2593"	"1.0396"
"1902"	"1.0889"	"0.0725"	"0"	"0.1861"	"0.0583"	"4.8167"	"10.1596"	"8.9"	"6.8331"	"1.5425"	"2.1086"	"1.0875"
"1903"	"0.949"	"0.0381"	"0"	"0"	"1.6079"	"2.7069"	"13.4216"	"12.5626"	"7.1876"	"1.2742"	"0.2593"	"0"
"1904"	"0.7599"	"1.0001"	"1.0001"	"0"	"1.6662"	"4.5797"	"11.1329"	"9.2528"	"5.5021"	"1.5219"	"1.0191"	"1.3797"
"1905"	"1.038"	"1.0001"	"0.8254"	"0.0786"	"1.0327"	"2.2435"	"12.8087"	"6.1437"	"7.4376"	"0.2001"	"0.7423"	"0.4136"
"1906"	"0.0018"	"0.9403"	"0.2909"	"0"	"0.1695"	"6.8673"	"12.2621"	"10.5945"	"8.064"	"1.0399"	"0.2593"	"1.0875"
"1907"	"1.0889"	"1.0001"	"0.1127"	"1.0001"	"0.9241"	"4.2431"	"10.0263"	"14.8324"	"1.5888"	"0.2001"	"1.0241"	"0"
"1908"	"1.121"	"0"	"1.0001"	"0.5686"	"0.7662"	"5.5838"	"16.0203"	"13.9071"	"4.3888"	"0.9942"	"0.8203"	"0.3774"
"1909"	"1.0889"	"0.3152"	"0"	"0.8308"	"1.6864"	"6.0346"	"13.1796"	"10.3295"	"8.2033"	"0.2432"	"0.2593"	"1.5807"
"1910"	"0.9887"	"0.083"	"0"	"0.3432"	"1.0653"	"7.1386"	"8.634"	"13.0187"	"6.4507"	"1.3341"	"1.0765"	"0"
"1911"	"1.3292"	"0"	"0.9881"	"0"	"0"	"6.0493"	"6.6972"	"9.0989"	"6.7815"	"0.4689"	"2.4543"	"1.0459"
"1912"	"1.107"	"0.2424"	"0"	"0.0743"	"0.0024"	"3.8448"	"12.5505"	"12.7259"	"4.7488"	"0.5991"	"2.4087"	"0.7535"
"1913"	"0"	"0.9465"	"0.7144"	"0"	"1.3109"	"6.0039"	"10.5933"	"7.8331"	"6.8321"	"0.2001"	"0.2593"	"1.228"
"1914"	"0"	"0.2791"	"0.8974"	"0.6124"	"1.6246"	"6.8278"	"13.5206"	"9.3336"	"8.35"	"1.0399"	"1.0673"	"1.0875"
"1915"	"1.0889"	"1.0001"	"1.0001"	"1.0001"	"1.0772"	"5.4413"	"10.0668"	"8.1403"	"6.4322"	"3.335"	"1.0241"	"1.0875"
"1916"	"0"	"0.6174"	"0"	"0.1308"	"1.3774"	"5.358"	"11.2817"	"12.5555"	"7.954"	"2.2599"	"1.1516"	"0"
"1917"	"0.5344"	"1.0001"	"0.3575"	"0.9244"	"2.5895"	"5.9462"	"10.5976"	"12.3656"	"9.7465"	"2.6136"	"0.2593"	"0.8574"
"1918"	"1.0234"	"0.0363"	"0.8627"	"0"	"1.8361"	"4.968"	"6.9051"	"9.115"	"3.743"	"0.5055"	"1.1854"	"0.2207"
"1919"	"1.7748"	"0"	"0"	"0.8967"	"0.8412"	"5.513"	"11.6471"	"14.2879"	"5.4564"	"2.3325"	"1.506"	"1.0339"
"1920"	"1.0867"	"0.8009"	"0.6013"	"0"	"1.4522"	"6.603"	"11.6903"	"7.3119"	"3.626"	"0.2001"	"0.2593"	"0"
"1921"	"1.2554"	"0.0725"	"0"	"0"	"0"	"5.8919"	"10.3433"	"10.4498"	"8.2456"	"0.2182"	"0.2593"	"0"
"1922"	"1.3391"	"0.999"	"0.0363"	"0.0018"	"0.0741"	"5.4226"	"11.7333"	"8.3305"	"9.0521"	"1.0399"	"1.6184"	"1.2465"
"1923"	"0.2893"	"0.6346"	"1.0001"	"0.9109"	"0.5523"	"1.653"	"14.2022"	"12.3392"	"7.7823"	"0.9814"	"0.4438"	"1.137"
"1924"	"1.2175"	"0.6217"	"0"	"0"	"1.2976"	"3.8894"	"10.888"	"10.6857"	"8.1465"	"2.243"	"0.958"	"1.0875"
"1925"	"0"	"0"	"0"	"0"	"1.6787"	"6.5932"	"10.8885"	"8.6181"	"4.1132"	"0.468"	"2.5146"	"0.9885"
"1926"	"1.0889"	"0.9979"	"1.0001"	"1.0001"	"1.744"	"2.6578"	"10.9001"	"15.1384"	"7.5508"	"0.6366"	"1.0241"	"0.0725"
"1927"	"0"	"0.9995"	"1.0001"	"0.3514"	"0.588"	"4.0577"	"14.5052"	"13.76"	"6.1095"	"1.9955"	"2.6248"	"1.1233"
"1928"	"0.674"	"1.0001"	"0.5301"	"0.1671"	"0.3392"	"3.8245"	"12.2799"	"8.5759"	"6.5985"	"2.9378"	"1.172"	"1.4067"
"1929"	"1.1227"	"1.0001"	"0"	"1.0001"	"0.0031"	"6.1073"	"11.8418"	"9.2763"	"3.6047"	"1.1773"	"0.2593"	"1.3198"
"1930"	"1.0052"	"0.3602"	"0"	"0.2431"	"1.3637"	"6.2802"	"12.4754"	"9.4979"	"6.1896"	"1.4001"	"1.0241"	"0"
"1931"	"0.0544"	"0.3753"	"0"	"0"	"0.3122"	"4.08"	"10.2806"	"16.1525"	"8.5772"	"3.5214"	"1.2558"	"0"
"1932"	"0"	"1.0001"	"1.0001"	"0.8033"	"0.0846"	"3.8438"	"12.3507"	"11.0124"	"7.5973"	"1.1467"	"0.2593"	"0"
"1933"	"0"	"0.4552"	"0.9369"	"0.8007"	"1.9566"	"8.2332"	"9.7581"	"15.4301"	"9.8116"	"1.1488"	"1.0288"	"1.0875"
"1934"	"1.1591"	"0"	"1.0001"	"0"	"0"	"7.7116"	"11.3077"	"16.4394"	"9.1937"	"0.2386"	"2.2049"	"1.248"
"1935"	"1.053"	"0.2856"	"0"	"1.0001"	"0.6399"	"3.9108"	"13.0224"	"9.8556"	"7.8139"	"1.8809"	"0.3698"	"1.2625"
"1936"	"0"	"0.4793"	"1.0001"	"0.4211"	"1.6456"	"8.2699"	"8.6987"	"7.961"	"6.6822"	"0.2001"	"2.7554"	"1.0836"
"1937"	"0"	"0.9608"	"0"	"0.5284"	"0.8338"	"6.0951"	"12.3028"	"6.9447"	"8.5935"	"1.2557"	"1.0191"	"1.0503"
"1938"	"1.2371"	"0"	"1.0001"	"0.1549"	"2.146"	"8.4954"	"13.5098"	"10.253"	"6.4397"	"2.4819"	"0.7423"	"0"
"1939"	"1.0716"	"0.5554"	"1.0001"	"0.0544"	"0"	"3.7278"	"11.6713"	"12.5876"	"5.829"	"1.0399"	"1.0241"	"1.0875"
"1940"	"1.0262"	"0.9756"	"1.0001"	"0.7115"	"1.9337"	"6.1255"	"12.0517"	"12.0011"	"3.9907"	"2.0859"	"1.1079"	"1.084"
"1941"	"1.1514"	"1.0001"	"1.0001"	"0.6615"	"0.9379"	"3.1194"	"11.898"	"9.9825"	"5.3594"	"0.4455"	"0.2593"	"0.3044"
"1942"	"1.4486"	"1.0001"	"0.1127"	"0.7984"	"0.7734"	"4.5163"	"14.6633"	"15.3379"	"6.2356"	"0.2182"	"0.2593"	"1.2566"
"1943"	"1.3254"	"0"	"0"	"1.0001"	"1.4812"	"5.8624"	"11.6694"	"9.6879"	"7.8524"	"1.3634"	"0.2593"	"0"
"1944"	"1.1932"	"0.8077"	"1.0001"	"0.9698"	"0.5694"	"4.2712"	"15.3278"	"15.011"	"6.187"	"1.5639"	"0.2593"	"0.2965"
"1945"	"1.4706"	"0"	"0"	"0.678"	"0.9669"	"5.6773"	"12.3725"	"13.2903"	"7.9488"	"1.0399"	"0.2593"	"0"
"1946"	"0"	"1.0001"	"0"	"0.8464"	"1.0952"	"8.0011"	"10.9193"	"13.7062"	"4.3763"	"0.8903"	"2.7798"	"1.0985"
"1947"	"1.2478"	"0.9754"	"1.0001"	"0.9109"	"0.1568"	"2.9287"	"11.9112"	"14.4558"	"10.1861"	"1.946"	"0.2955"	"1.0875"
"1948"	"1.4723"	"0.6651"	"0"	"1.0001"	"1.0327"	"5.5882"	"14.6231"	"11.2909"	"6.0528"	"1.0677"	"2.437"	"0"
"1949"	"0.3268"	"0.6523"	"0"	"0"	"1.0635"	"4.9647"	"12.9355"	"11.876"	"9.4907"	"2.2102"	"0.2593"	"0"
"1950"	"0.412"	"0.0363"	"0.962"	"0"	"1.0327"	"1.9727"	"12.7789"	"8.7608"	"8.3402"	"1.0399"	"1.0137"	"1.215"
"1951"	"0.9042"	"0.2728"	"1.0001"	"1.0001"	"0.8234"	"4.2772"	"9.82"	"11.2276"	"5.6221"	"2.3948"	"1.3379"	"0"
"1952"	"0"	"1.0001"	"0.5081"	"0.6633"	"1.0327"	"5.7013"	"11.987"	"11.3193"	"4.2903"	"1.0345"	"0.2593"	"1.1986"
"1953"	"1.2652"	"0"	"0"	"0.7579"	"0.0785"	"4.0129"	"11.3311"	"13.1721"	"5.9089"	"1.154"	"0.2593"	"0"
"1954"	"1.1658"	"0.9842"	"1.0001"	"0"	"0"	"3.5039"	"12.5673"	"11.4288"	"11.0563"	"1.5838"	"0.5828"	"0"
"1955"	"1.2603"	"0"	"0"	"0.2144"	"0.2026"	"7.0031"	"8.1591"	"14.7319"	"9.5537"	"3.1108"	"0.2593"	"0.327"
"1956"	"1.171"	"0.0018"	"0.9505"	"1.0001"	"1.0327"	"6.7103"	"13.8443"	"11.6348"	"6.3912"	"2.3268"	"1.6542"	"1.1454"
"1957"	"1.4883"	"0"	"1.0001"	"1.0001"	"1.1161"	"4.8376"	"11.0268"	"11.9636"	"5.4408"	"1.0399"	"1.0241"	"0.9728"
"1958"	"0.6648"	"0.198"	"0.6581"	"0.8691"	"1.0798"	"4.4709"	"13.2262"	"13.0973"	"8.9254"	"2.7421"	"1.6627"	"1.0038"
"1959"	"1.31"	"0.0925"	"0"	"1.0001"	"1.5081"	"4.9113"	"14.1351"	"12.2533"	"9.9152"	"2.8186"	"1.6888"	"0"
"1960"	"1.4092"	"0"	"0.817"	"0.0544"	"1.1401"	"6.1986"	"10.6259"	"14.8357"	"4.5181"	"2.5881"	"0.2593"	"0.8549"
"1961"	"1.4867"	"0.9277"	"0.2202"	"0.3135"	"1.3412"	"5.347"	"11.4709"	"11.9952"	"7.8164"	"3.3527"	"1.0191"	"1.0875"
"1962"	"1.1"	"0.2415"	"1.0001"	"1.0001"	"1.0707"	"3.5625"	"12.1118"	"10.3703"	"9.294"	"0.2001"	"1.5557"	"1.103"
"1963"	"1.0898"	"1.0001"	"0.9745"	"0.3514"	"1.0327"	"5.1846"	"9.5996"	"11.7757"	"7.8428"	"1.9227"	"1.8845"	"1.228"
"1964"	"0"	"0"	"0.9978"	"0"	"1.2466"	"5.3333"	"12.5432"	"14.5617"	"7.4644"	"1.0399"	"0.2593"	"1.0038"
"1965"	"1.11"	"0.3605"	"1.0001"	"0.6791"	"0.2992"	"2.9267"	"12.4664"	"11.5681"	"4.0202"	"1.0572"	"0.2593"	"1.216"
"1966"	"0.4232"	"0.1176"	"0.9275"	"0"	"1.9245"	"4.515"	"11.2725"	"10.8974"	"7.1651"	"0.2001"	"2.3472"	"1.0875"
"1967"	"0"	"0"	"1.0001"	"0.5841"	"0.1681"	"5.9998"	"11.6491"	"13.2161"	"5.9013"	"1.0409"	"0.2593"	"1.6569"
"1968"	"1.1318"	"1.0001"	"1.0001"	"0.7146"	"0.043"	"3.1817"	"11.9173"	"14.3872"	"4.0495"	"1.521"	"0.2593"	"0"
"1969"	"0.6978"	"0.6015"	"0.1127"	"0"	"0.9787"	"4.6556"	"13.0238"	"11.9306"	"7.8408"	"0.2001"	"2.3301"	"0"
"1970"	"1.2166"	"0.9346"	"0.9836"	"1.0001"	"1.6084"	"8.3629"	"7.2339"	"16.1109"	"8.1962"	"0.2581"	"0.2593"	"0"
"1971"	"1.0048"	"0.5925"	"0"	"0.213"	"1.7428"	"6.5368"	"9.8363"	"11.3088"	"6.3837"	"2.249"	"1.0058"	"0"
"1972"	"0.2957"	"0.7207"	"0"	"0.0016"	"0.2509"	"4.7779"	"7.9966"	"13.9101"	"6.169"	"0.7748"	"1.4886"	"1.022"
"1973"	"0.9928"	"1.0001"	"0"	"0"	"0.5979"	"4.5061"	"11.9036"	"15.27"	"7.9196"	"2.2694"	"0.2593"	"0.6301"
"1974"	"0"	"1.0001"	"0.0363"	"1.0001"	"2.1994"	"4.6893"	"11.1432"	"12.7059"	"5.32"	"2.5997"	"0.2593"	"0.327"
"1975"	"0.5183"	"0.2415"	"0.7692"	"0"	"1.0327"	"6.676"	"13.0149"	"14.4535"	"7.9032"	"2.2834"	"0.2593"	"0"
"1976"	"0.5658"	"0.2442"	"0.9771"	"0.3902"	"0.4242"	"5.6704"	"11.7085"	"11.6328"	"6.5531"	"0.2001"	"1.8208"	"1.0875"
"1977"	"1.1807"	"0.0363"	"1.0001"	"0.9979"	"0.8177"	"7.3823"	"11.154"	"11.497"	"6.9175"	"1.6376"	"2.3872"	"0.2001"
"1978"	"1.0889"	"1.0001"	"1.0001"	"0.7049"	"0"	"6.7626"	"11.481"	"13.5924"	"4.5437"	"1.1757"	"1.4224"	"1.4365"
"1979"	"1.2877"	"0.9984"	"0.9116"	"0"	"1.2159"	"5.3175"	"12.066"	"13.3155"	"3.5415"	"1.5139"	"2.0034"	"1.0875"
"1980"	"1.0883"	"0.2542"	"0.9226"	"0"	"0.3209"	"7.7224"	"9.372"	"11.3891"	"4.3403"	"1.0349"	"1.0093"	"1.3336"
"1981"	"1.1229"	"0.0363"	"0.9364"	"0"	"1.3764"	"5.4343"	"11.0075"	"14.1556"	"6.1098"	"1.058"	"1.3999"	"1.0875"
"1982"	"1.3907"	"0.4797"	"1.0001"	"0.6982"	"2.0355"	"5.216"	"8.4787"	"13.1841"	"4.4408"	"1.5397"	"2.4218"	"1.0755"
"1983"	"0.9928"	"0.236"	"0"	"0.9728"	"1.1455"	"5.0099"	"11.7365"	"14.2052"	"9.5003"	"2.5072"	"0.2593"	"1.0726"
"1984"	"1.5824"	"1.0001"	"0.9875"	"0.9825"	"0.4005"	"4.2418"	"9.7508"	"12.0879"	"5.2821"	"1.6402"	"1.0241"	"0"
"1985"	"1.1043"	"0"	"1.0001"	"1.0001"	"1.7543"	"3.6253"	"10.7776"	"12.0363"	"4.877"	"3.2425"	"0.2593"	"0.0088"
"1986"	"1.0898"	"1.0001"	"0.9973"	"0"	"1.6762"	"5.0607"	"11.4754"	"9.3142"	"3.1426"	"1.3434"	"0.2593"	"1.4474"
"1987"	"1.2012"	"1.0001"	"0.8062"	"0"	"1.6535"	"5.2203"	"7.6462"	"10.3078"	"4.3346"	"1.2258"	"0.94"	"1.2298"
"1988"	"1.0889"	"0.2715"	"0.9381"	"1.0001"	"0.0628"	"6.2869"	"11.3199"	"11.0898"	"6.8206"	"1.2319"	"0.5171"	"0.6224"
"1989"	"1.0939"	"0"	"1.0001"	"0"	"0.9347"	"5.1327"	"8.4249"	"13.0738"	"4.9188"	"0.2001"	"0.2668"	"1.2262"
"1990"	"0.161"	"1.0001"	"0.2883"	"0"	"1.5688"	"6.8784"	"11.3034"	"15.068"	"8.9465"	"1.0399"	"0.7521"	"1.1757"
"1991"	"0"	"0.4906"	"0.9095"	"0.2397"	"1.0581"	"5.7333"	"10.3509"	"9.4778"	"3.8571"	"0.3593"	"0.7564"	"1.262"
