
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.289"	"19.135"	"29.034"	"24.814"	"24.501"	"36.898"	"57.117"	"55.804"	"34.254"	"13.807"	"11.3"	"17.095"
"1902"	"22.602"	"19.615"	"29.597"	"24.814"	"24.18"	"36.04"	"57.184"	"55.665"	"33.92"	"13.695"	"11.3"	"17.095"
"1903"	"22.602"	"19.615"	"29.679"	"24.814"	"24.649"	"36.789"	"57.424"	"56.432"	"34.585"	"12.769"	"11.3"	"17.095"
"1904"	"22.471"	"19.615"	"29.641"	"24.78"	"24.529"	"36.898"	"56.621"	"55.822"	"34.254"	"13.695"	"11.407"	"17.095"
"1905"	"22.602"	"19.615"	"29.597"	"24.814"	"24.446"	"36.898"	"57.521"	"56.432"	"34.156"	"13.558"	"11.3"	"17.095"
"1906"	"22.602"	"19.615"	"29.006"	"24.814"	"24.501"	"37"	"57.425"	"55.95"	"34.585"	"12.669"	"11.3"	"17.095"
"1907"	"22.602"	"19.643"	"29.215"	"24.814"	"24.501"	"37.397"	"57.628"	"56.065"	"34.585"	"14.308"	"12.251"	"17.264"
"1908"	"22.602"	"19.615"	"29.597"	"25.017"	"24.564"	"36.504"	"57.104"	"55.782"	"34.202"	"13.695"	"11.3"	"17.095"
"1909"	"22.089"	"19.615"	"29.597"	"24.389"	"23.713"	"36.587"	"57.369"	"55.667"	"33.903"	"13.087"	"11.101"	"17.095"
"1910"	"22.602"	"19.615"	"29.597"	"24.592"	"23.93"	"36.898"	"57.186"	"55.766"	"34.585"	"13.695"	"11.3"	"17.095"
"1911"	"22.602"	"19.615"	"29.597"	"24.814"	"24.501"	"36.703"	"57.019"	"55.729"	"34.585"	"13.695"	"10.693"	"17.095"
"1912"	"22.602"	"19.615"	"28.886"	"23.952"	"24.501"	"36.866"	"56.077"	"55.767"	"33.857"	"12.929"	"10.511"	"17.095"
"1913"	"22.784"	"19.615"	"29.104"	"24.514"	"23.593"	"36.403"	"56.852"	"56.029"	"33.857"	"13.549"	"11.3"	"17.095"
"1914"	"22.351"	"19.615"	"28.933"	"24.273"	"23.694"	"36.19"	"56.318"	"56.065"	"33.489"	"12.73"	"11.667"	"17.15"
"1915"	"22.39"	"19.838"	"28.586"	"25.044"	"22.951"	"35.511"	"56.719"	"55.403"	"33.154"	"12.73"	"10.573"	"17.095"
"1916"	"22.984"	"19.615"	"29.597"	"24.529"	"24.501"	"36.923"	"56.519"	"56.137"	"34.501"	"12.787"	"10.714"	"17.095"
"1917"	"22.051"	"18.948"	"28.904"	"23.553"	"23.394"	"35.801"	"56.257"	"55.566"	"33.857"	"13.127"	"10.674"	"17.04"
"1918"	"22.602"	"19.615"	"29.597"	"24.814"	"23.153"	"36.265"	"56.619"	"55.524"	"33.335"	"12.83"	"11.3"	"17.634"
"1919"	"22.537"	"19.504"	"29.597"	"23.852"	"24.055"	"36.898"	"57.003"	"55.723"	"33.717"	"12.256"	"10.173"	"17.089"
"1920"	"23.181"	"19.615"	"29.191"	"24.917"	"24.501"	"36.803"	"57.794"	"55.208"	"34.585"	"11.962"	"11.483"	"17.29"
"1921"	"22.602"	"19.615"	"29.543"	"24.814"	"24.501"	"36.403"	"56.219"	"55.526"	"34.382"	"12.49"	"10.573"	"17.25"
"1922"	"22.944"	"19.615"	"29.597"	"24.426"	"24.501"	"36.761"	"57.425"	"55.667"	"34.253"	"13.029"	"10.821"	"17.095"
"1923"	"22.602"	"19.615"	"29.597"	"24.68"	"23.942"	"37.635"	"57.519"	"56.598"	"34.585"	"12.63"	"10.154"	"15.716"
"1924"	"21.527"	"18.792"	"29.597"	"24.476"	"24.501"	"36.898"	"57.425"	"56.066"	"34.202"	"12.557"	"10.635"	"17.188"
"1925"	"22.602"	"18.549"	"28.349"	"23.912"	"22.912"	"36.08"	"56.719"	"55.179"	"33.044"	"13.323"	"10.206"	"15.775"
"1926"	"21.952"	"19.615"	"28.904"	"25.596"	"23.74"	"36.898"	"57.425"	"55.952"	"34.584"	"12.631"	"11.3"	"17.15"
"1927"	"23.181"	"19.615"	"28.749"	"24.814"	"24.056"	"36.559"	"57.386"	"55.88"	"34.724"	"13.695"	"11.3"	"17.095"
"1928"	"22.602"	"19.615"	"29.722"	"24.814"	"24.501"	"36.898"	"57.612"	"56.474"	"34.793"	"13.695"	"11.3"	"17.489"
"1929"	"22.094"	"19.447"	"28.729"	"23.557"	"23.916"	"36.898"	"58.051"	"55.649"	"34.019"	"12.687"	"11.299"	"18.09"
"1930"	"22.35"	"19.615"	"28.169"	"24.88"	"23.754"	"37.596"	"58.012"	"56.369"	"35.463"	"13.922"	"10.008"	"17.091"
"1931"	"19.575"	"22.758"	"23.614"	"15.406"	"18.569"	"22.187"	"52.203"	"54.416"	"32.641"	"18.011"	"1.56"	"10.733"
"1932"	"19.411"	"12.753"	"25.947"	"16.789"	"19.121"	"31.498"	"52.844"	"54.874"	"24.666"	"1.759"	"0"	"13.478"
"1933"	"20.411"	"17.823"	"24.823"	"25.6"	"29.162"	"34.36"	"57.52"	"62.327"	"39.285"	"9.704"	"2.469"	"13.114"
"1934"	"20.973"	"9.542"	"28.349"	"14.356"	"18.552"	"33.074"	"56.363"	"55.948"	"26.61"	"0"	"6.865"	"17.568"
"1935"	"23.18"	"25.735"	"23.977"	"27.86"	"16.709"	"12.887"	"51.486"	"53.294"	"27.904"	"4.354"	"5.868"	"15.41"
"1936"	"14.065"	"20.233"	"26.459"	"17.234"	"20.953"	"42.126"	"55.985"	"52.919"	"31.192"	"10.313"	"5.467"	"22.887"
"1937"	"17.52"	"24.548"	"25.948"	"21.156"	"20.997"	"26.052"	"56.336"	"52.492"	"26.852"	"7.114"	"5.446"	"14.488"
"1938"	"24.696"	"20.123"	"25.127"	"15.622"	"21.434"	"42.986"	"48.05"	"50.994"	"24.124"	"2.384"	"4.971"	"7.113"
"1939"	"18.184"	"23.588"	"33.234"	"17.797"	"14.644"	"40.003"	"53.222"	"49.619"	"26.373"	"6.52"	"0"	"10.911"
"1940"	"22.915"	"22.137"	"28.417"	"19.742"	"21.049"	"35.55"	"52.927"	"54.64"	"26.239"	"3.51"	"3.091"	"12.496"
"1941"	"22.241"	"13.021"	"23.999"	"16.97"	"23.547"	"41.707"	"52.468"	"51.5"	"29.728"	"9.61"	"0"	"11.229"
"1942"	"24.915"	"21.616"	"22.043"	"18.865"	"23.497"	"24.686"	"58.585"	"54.681"	"34.533"	"8.128"	"3.317"	"15.643"
"1943"	"30.444"	"7.901"	"19.297"	"18.662"	"19.374"	"31.086"	"56.013"	"54.352"	"29.433"	"0.256"	"0"	"11.046"
"1944"	"22.9"	"22.911"	"28.118"	"21.023"	"15.026"	"22.729"	"56.294"	"57.999"	"29.959"	"0.519"	"0.439"	"11.553"
"1945"	"23.228"	"9.195"	"20.875"	"24.397"	"15.926"	"24.876"	"54.769"	"54.618"	"35.249"	"12.572"	"0"	"9.436"
"1946"	"16.434"	"10.953"	"20.113"	"13.91"	"24.405"	"37.902"	"54.741"	"55.856"	"26.144"	"15.528"	"0"	"12.928"
"1947"	"18.204"	"11.468"	"20.386"	"9.947"	"12.342"	"28.225"	"43.67"	"55.689"	"34.249"	"8.97"	"6.796"	"14.468"
"1948"	"23.233"	"22.037"	"31.7"	"19.71"	"15.387"	"31.874"	"50.323"	"58.424"	"29.81"	"13.612"	"3.562"	"18.994"
"1949"	"21.044"	"19.499"	"28.257"	"12.754"	"20.514"	"32.156"	"56.164"	"52.265"	"29.638"	"7.715"	"0"	"12.508"
"1950"	"26.42"	"16.547"	"30.064"	"16.6"	"21.293"	"39.57"	"59.307"	"56.164"	"35.743"	"11.996"	"0.217"	"9.365"
"1951"	"22.9"	"12.592"	"29.261"	"25.258"	"25.585"	"33.072"	"50.261"	"55.033"	"25.01"	"8.228"	"8.928"	"15.307"
