
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1902"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1903"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.161"	"10.454"	"15.367"	"16.576"	"16.346"
"1904"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1905"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1906"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1907"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.1"	"16.576"	"16.346"
"1908"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.552"	"15.367"	"16.576"	"16.346"
"1909"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1910"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1911"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1912"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1913"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1914"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.333"	"16.346"
"1915"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1916"	"15.642"	"15.378"	"15.777"	"15.403"	"14.426"	"12.087"	"9.419"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1917"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1918"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1919"	"16.069"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.544"
"1920"	"15.642"	"15.293"	"15.744"	"15.259"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1921"	"15.642"	"15.378"	"15.577"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.571"	"16.576"	"16.346"
"1922"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.666"	"16.576"	"16.346"
"1923"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1924"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.647"	"16.576"	"16.346"
"1925"	"15.543"	"15.378"	"15.678"	"15.486"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1926"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.394"	"16.658"	"16.346"
"1927"	"15.575"	"15.378"	"15.777"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1928"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.658"	"16.147"
"1929"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1930"	"15.642"	"15.277"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.346"
"1931"	"15.642"	"15.378"	"15.678"	"15.486"	"14.426"	"12.023"	"8.878"	"8.062"	"10.552"	"15.367"	"16.576"	"16.346"
"1932"	"15.642"	"15.378"	"15.859"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.576"	"16.246"
"1933"	"16.307"	"15.277"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.367"	"16.447"	"16.346"
"1934"	"15.642"	"15.546"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.447"	"16.576"	"16.346"
"1935"	"15.642"	"15.378"	"15.678"	"15.403"	"14.429"	"12.005"	"8.878"	"8.189"	"10.552"	"15.367"	"16.576"	"16.346"
"1936"	"15.642"	"16.006"	"15.759"	"15.403"	"14.426"	"12.087"	"8.878"	"8.062"	"10.454"	"15.631"	"16.576"	"16.346"
"1937"	"15.642"	"15.378"	"15.678"	"15.403"	"14.426"	"12.087"	"8.878"	"8.288"	"10.454"	"15.338"	"16.576"	"16.813"
