
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.0195"	"2.3724"	"0.0133"	"0.5616"	"0.1868"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6945"
"1902"	"0"	"0"	"0"	"0"	"0"	"0.0984"	"0"	"0"	"0"	"0"	"0"	"3.6697"
"1903"	"2.1354"	"1.0072"	"0.5105"	"0.8729"	"0.2112"	"0"	"0"	"0"	"0"	"0.0206"	"0.0042"	"4.776"
"1904"	"5.1591"	"0.0047"	"0.2906"	"0"	"0.0051"	"0"	"0.0543"	"0"	"0"	"0.0583"	"0.0025"	"2.7958"
"1905"	"7.6535"	"3.5549"	"0.8086"	"0.9697"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.5544"
"1906"	"6.3087"	"2.4181"	"0.6807"	"0.4811"	"0"	"0.0041"	"0"	"0"	"0.0007"	"0"	"0"	"0"
"1907"	"0"	"2.2184"	"0.6528"	"0.8771"	"0.499"	"0"	"0"	"0.0561"	"0"	"0"	"0"	"4.4533"
"1908"	"3.2394"	"0.3404"	"0.2076"	"0"	"0.0338"	"0"	"0.1361"	"0.3361"	"0.0696"	"0.3061"	"0.0033"	"4.6693"
"1909"	"5.8887"	"1.7669"	"0.0888"	"0.9164"	"0.2136"	"0.1071"	"0.203"	"0.1431"	"0.3602"	"0.1992"	"0"	"5.5763"
"1910"	"4.7807"	"0.2204"	"0.0638"	"0.8177"	"0"	"0.0031"	"0.0699"	"0.0991"	"0"	"0.6235"	"0.0049"	"3.556"
"1911"	"0.8923"	"0.0004"	"0.659"	"0.4029"	"0"	"0"	"0"	"0"	"0.0003"	"0"	"0.0108"	"3.6558"
"1912"	"1.3406"	"0"	"0.3269"	"0.1737"	"0"	"0"	"0"	"0.0001"	"0.1116"	"0"	"0.0048"	"3.796"
"1913"	"1.0037"	"0.7375"	"0.6905"	"0"	"0.3575"	"0.3307"	"0.0649"	"0"	"0"	"0"	"0.0015"	"3.6834"
"1914"	"0"	"1.4136"	"0.355"	"0.2226"	"0"	"0.0767"	"0.0913"	"0"	"0"	"0.6034"	"0"	"5.092"
"1915"	"2.9997"	"2.2268"	"0.081"	"0.2594"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.7111"
"1916"	"0.5761"	"1.4962"	"0"	"0"	"0.2435"	"0.1456"	"0"	"0.048"	"0.0475"	"0.4126"	"0.0064"	"4.9245"
"1917"	"2.126"	"0.0127"	"0.1494"	"1.2259"	"0.7756"	"0.1961"	"0.2292"	"0.2725"	"0.5849"	"1.0972"	"0.0177"	"3.5993"
"1918"	"5.1572"	"0.0989"	"0.2352"	"1.0365"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0005"	"5.4682"
"1919"	"4.0432"	"1.4797"	"0.0614"	"0.6247"	"0.1258"	"0"	"0.0005"	"0.0596"	"0.0784"	"0.1269"	"0.0034"	"4.8655"
"1920"	"1.8377"	"1.17"	"0.0414"	"0.522"	"0.7688"	"0.4641"	"0.0273"	"0"	"0"	"0"	"0"	"2.2155"
"1921"	"0.9312"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0198"	"0.0041"	"0.3126"	"0.0023"	"0"
"1922"	"3.9487"	"0"	"0"	"0"	"0"	"0.0011"	"0"	"0.0007"	"0.1643"	"0.4452"	"0.0021"	"3.6653"
