
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.237"	"7.723"	"15.182"	"20.222"	"25.399"	"29.435"	"28.01"	"25.899"	"24.936"	"20.45"	"12.96"	"8.662"
"1902"	"8.053"	"10.662"	"17.306"	"21.722"	"25.791"	"27.243"	"27.045"	"27.098"	"23.98"	"18.672"	"12.224"	"7.107"
"1903"	"6.937"	"8.801"	"13.121"	"19.218"	"24.992"	"29.988"	"28.313"	"25.734"	"24.746"	"18.858"	"11.407"	"6.845"
"1904"	"6.342"	"9.704"	"13.88"	"21.504"	"25.598"	"27.85"	"26.167"	"25.007"	"23.786"	"18.713"	"11.826"	"7.831"
"1905"	"5.059"	"4.423"	"11.386"	"18.438"	"27.199"	"28.954"	"28.121"	"26.654"	"25.692"	"19.687"	"13.907"	"8.065"
"1906"	"5.594"	"7.223"	"13.193"	"19.929"	"27.603"	"27.472"	"27.443"	"26.054"	"23.693"	"19.471"	"13.499"	"8.755"
"1907"	"8.682"	"7.403"	"12.448"	"18.413"	"23.777"	"27.709"	"28.872"	"24.872"	"24.47"	"19.358"	"12.958"	"6.792"
"1908"	"6.888"	"9.587"	"14.443"	"21.261"	"25.68"	"28.618"	"25.386"	"23.77"	"23.595"	"18.328"	"11.615"	"7.288"
"1909"	"6.018"	"8.385"	"14.877"	"19.169"	"24.99"	"26.833"	"24.717"	"24.471"	"22.894"	"18.807"	"13.341"	"6.632"
"1910"	"6.116"	"9.447"	"14.779"	"19.246"	"26.098"	"27.179"	"25.879"	"24.816"	"24.037"	"17.615"	"11.133"	"7.365"
"1911"	"8.091"	"9.883"	"12.722"	"20.445"	"27.016"	"27.342"	"28.908"	"27.55"	"23.924"	"19.115"	"10.204"	"7.496"
"1912"	"7.534"	"10.578"	"13.99"	"20.832"	"26.046"	"29.473"	"26.872"	"24.907"	"23.079"	"18.716"	"11.155"	"7.377"
"1913"	"7.518"	"9.16"	"12.341"	"21.746"	"24.145"	"25.678"	"25.374"	"25.964"	"24.831"	"19.841"	"12.184"	"7.133"
"1914"	"8.997"	"8.485"	"13.922"	"20.554"	"26.568"	"26.991"	"25.751"	"25.57"	"23.972"	"17.672"	"12.908"	"6.669"
"1915"	"6.584"	"7.562"	"14.714"	"20.578"	"27.789"	"28.648"	"29.015"	"26.681"	"25.846"	"20.041"	"12.497"	"8.362"
"1916"	"7.788"	"8.19"	"17.017"	"21.809"	"25.29"	"26.648"	"26.091"	"24.398"	"23.404"	"17.618"	"10.155"	"6.54"
"1917"	"7.392"	"9.634"	"14.372"	"17.642"	"21.957"	"26.284"	"24.882"	"24.028"	"21.956"	"16.574"	"9.61"	"7.462"
"1918"	"5.912"	"10.02"	"14.495"	"18.219"	"27.467"	"27.446"	"28.784"	"26.698"	"24.319"	"19.273"	"12.169"	"6.581"
"1919"	"6.594"	"8.369"	"15.144"	"19.785"	"24.784"	"29.513"	"26.271"	"24.598"	"23.444"	"18.471"	"11.388"	"6.513"
"1920"	"6.519"	"8.508"	"14.704"	"19.932"	"21.841"	"25.489"	"25.522"	"25.454"	"25.522"	"19.872"	"13.283"	"7.871"
"1921"	"7.557"	"10.05"	"17.699"	"23.461"	"27.571"	"29.241"	"28.486"	"25.208"	"23.666"	"17.821"	"12.186"	"9.346"
"1922"	"6.278"	"10.633"	"15.716"	"21.229"	"25.664"	"27.04"	"26.896"	"25.317"	"23.235"	"17.65"	"11.686"	"7.257"
"1923"	"6.535"	"8.596"	"15.638"	"21.493"	"24.742"	"29.294"	"26.663"	"24.205"	"24.074"	"18.049"	"11.499"	"7.414"
"1924"	"5.944"	"9.183"	"16.146"	"21.3"	"22.909"	"29.051"	"27.405"	"24.981"	"22.077"	"17.282"	"11.065"	"7.472"
"1925"	"4.91"	"7.087"	"15.556"	"22.75"	"25.249"	"24.675"	"24.57"	"25.981"	"25.31"	"19.324"	"10.974"	"7.376"
"1926"	"7.36"	"11.231"	"13.605"	"17.703"	"23.279"	"29.129"	"27.332"	"24.739"	"22.859"	"17.829"	"9.936"	"6.778"
"1927"	"5.216"	"6.965"	"13.431"	"19.722"	"24.55"	"28.103"	"25.923"	"24.431"	"23.26"	"18.783"	"11.389"	"8.304"
"1928"	"6.286"	"9.884"	"15.237"	"20.51"	"27.239"	"28.13"	"27.011"	"26.41"	"24.091"	"19.23"	"12.497"	"6.772"
"1929"	"6.486"	"8.073"	"17.17"	"21.45"	"26.01"	"27.879"	"25.779"	"24.783"	"24.684"	"18.663"	"12.555"	"6.063"
"1930"	"5.951"	"9.087"	"15.3"	"19.76"	"25.098"	"26.453"	"24.648"	"25.128"	"24.278"	"18.94"	"11.157"	"7.323"
"1931"	"7.506"	"6.603"	"13.61"	"21.569"	"25.199"	"28.097"	"26.128"	"25.253"	"23.051"	"17.744"	"11.379"	"7.975"
"1932"	"9.351"	"9.029"	"15.346"	"20.401"	"24.793"	"29.077"	"26.276"	"24.252"	"24.516"	"18.806"	"11.241"	"7.667"
"1933"	"4.331"	"9.644"	"14.597"	"19.032"	"23.005"	"26.742"	"25.273"	"23.272"	"22.513"	"17.699"	"11.615"	"7.974"
"1934"	"4.644"	"10.931"	"13.74"	"20.454"	"24.689"	"26.897"	"26.178"	"24.455"	"24.367"	"17.961"	"11.817"	"8.373"
"1935"	"4.776"	"9.628"	"14.805"	"17.759"	"25.638"	"28.79"	"25.572"	"24.493"	"22.999"	"17.824"	"12.357"	"7.294"
"1936"	"5.38"	"9.592"	"13.702"	"20.427"	"27.681"	"25.599"	"25.424"	"24.338"	"23.413"	"18.613"	"11.666"	"7.347"
"1937"	"6.14"	"9.417"	"13.013"	"19.143"	"25.79"	"28.329"	"25.353"	"25.86"	"24.103"	"17.445"	"11.192"	"5.214"
"1938"	"5.626"	"7.635"	"16.077"	"21.358"	"27.508"	"26.356"	"27.274"	"26.17"	"25.228"	"19.773"	"10.457"	"6.978"
"1939"	"7.428"	"9.813"	"12.163"	"18.931"	"26.679"	"25.997"	"26.423"	"26.973"	"24.912"	"19.64"	"11.882"	"8.283"
"1940"	"7.362"	"9.117"	"13.413"	"19.411"	"26.574"	"27.713"	"26.871"	"24.428"	"23.36"	"19.047"	"13.053"	"7.5"
"1941"	"5.806"	"10.55"	"17.161"	"23.179"	"26.875"	"26.28"	"27.602"	"26.148"	"24.236"	"21.142"	"12.341"	"8.497"
"1942"	"5.576"	"10.283"	"16.238"	"22.725"	"26.167"	"28.633"	"24.924"	"23.981"	"22.043"	"18.172"	"12.853"	"6.002"
"1943"	"6.318"	"9.266"	"15.805"	"19.295"	"25.689"	"27.04"	"25.177"	"24"	"24.096"	"18.398"	"12.525"	"8.718"
"1944"	"5.961"	"8.85"	"13.673"	"20.104"	"26.626"	"27.148"	"25.413"	"24.873"	"23.342"	"17.232"	"12.578"	"8.181"
"1945"	"4.411"	"8.163"	"15.414"	"19.41"	"25.282"	"27.797"	"25.227"	"25.32"	"23.079"	"17.981"	"11.906"	"5.715"
"1946"	"7.11"	"10.814"	"14.296"	"23.159"	"26.223"	"27.935"	"25.858"	"24.936"	"23.457"	"19.345"	"11.299"	"6.26"
"1947"	"5.521"	"9.266"	"15.823"	"21.996"	"26.709"	"29.192"	"28.102"	"25.792"	"23.041"	"17.312"	"13.305"	"7.515"
"1948"	"6.089"	"8.53"	"14.058"	"22.912"	"27.458"	"28.715"	"26.777"	"24.739"	"24.357"	"19.813"	"10.865"	"7.514"
"1949"	"8.127"	"9.302"	"15.239"	"22.37"	"27.599"	"27.658"	"25.572"	"24.837"	"25.16"	"17.904"	"10.189"	"6.605"
"1950"	"7.766"	"6.609"	"13.665"	"19.262"	"26.243"	"28.022"	"25.163"	"24.182"	"22.918"	"17.799"	"10.483"	"5.433"
"1951"	"5.581"	"8.362"	"14.43"	"18.457"	"25.149"	"27.076"	"28.033"	"25.503"	"24.568"	"21.541"	"13.364"	"7.822"
"1952"	"7.764"	"11.034"	"14.645"	"22.8"	"26.214"	"27.073"	"26.626"	"24.471"	"24.319"	"17.927"	"11.891"	"7.28"
"1953"	"6.341"	"11.285"	"18.103"	"21.663"	"26.172"	"28.162"	"26.265"	"24.525"	"23.695"	"18.498"	"12.027"	"10.241"
"1954"	"5.912"	"10.248"	"14.9"	"21.166"	"27.221"	"28.445"	"26.758"	"26.672"	"24.227"	"16.221"	"12.24"	"7.737"
"1955"	"6.404"	"9.733"	"16.915"	"18.657"	"24.122"	"28.285"	"27.103"	"24.612"	"23.069"	"17.171"	"10.932"	"7.888"
"1956"	"6.591"	"9.288"	"14.956"	"21.555"	"27.59"	"27.67"	"24.619"	"24.031"	"24.598"	"17.082"	"10.431"	"7.898"
"1957"	"5.785"	"7.806"	"13.701"	"19.188"	"23.576"	"27.08"	"26.296"	"25.72"	"23.42"	"18.767"	"12.558"	"7.389"
"1958"	"8.374"	"9.077"	"16.073"	"23.203"	"25.354"	"28.472"	"25.73"	"25.943"	"22.78"	"18.177"	"11.96"	"8.783"
"1959"	"6.071"	"8.614"	"15.997"	"20.893"	"25.085"	"27.821"	"25.793"	"24.843"	"23.219"	"19.603"	"11.994"	"7.672"
"1960"	"6.15"	"11.528"	"14.059"	"19.286"	"25.013"	"28.024"	"25.923"	"24.738"	"24.595"	"18.155"	"11.238"	"7.759"
"1961"	"7.006"	"8.069"	"15.953"	"20.012"	"25.777"	"26.755"	"25.454"	"25.139"	"23.99"	"18.429"	"11.223"	"5.565"
"1962"	"5.817"	"10.748"	"14.808"	"22.135"	"25.675"	"27.671"	"26.851"	"25.779"	"23.154"	"16.993"	"12.501"	"7.778"
"1963"	"5.37"	"11.348"	"15.263"	"21.252"	"25.117"	"27.932"	"28.056"	"25.606"	"23.854"	"20.225"	"14.697"	"7.305"
"1964"	"5.031"	"9.32"	"17.131"	"22.483"	"24.619"	"27.375"	"25.472"	"25.042"	"23.289"	"17.988"	"10.705"	"7.942"
"1965"	"9.18"	"10.098"	"14.8"	"19.041"	"25.014"	"28.367"	"26.307"	"25.456"	"24.211"	"20.159"	"14.006"	"6.525"
"1966"	"7.115"	"12.017"	"14.905"	"21.1"	"25.117"	"26.14"	"27.27"	"24.892"	"23.146"	"19.217"	"11.49"	"6.017"
"1967"	"4.358"	"11.497"	"13.817"	"19.838"	"24.546"	"27.317"	"26.053"	"24.533"	"22.547"	"18.277"	"12.546"	"7.918"
"1968"	"5.813"	"7.766"	"14.235"	"20.324"	"24.496"	"28.386"	"26.155"	"25.799"	"24.234"	"18.814"	"12.499"	"7.958"
"1969"	"7.045"	"10.069"	"16.845"	"21.866"	"24.443"	"29.228"	"26.659"	"25.529"	"24.037"	"20.163"	"13.971"	"7.806"
"1970"	"7.4"	"8.624"	"14.653"	"21.652"	"26.471"	"26.373"	"26.315"	"25.304"	"23.693"	"18.851"	"10.927"	"7.516"
"1971"	"5.498"	"9.636"	"15.144"	"21.966"	"24.57"	"25.277"	"25.052"	"23.539"	"21.888"	"17.914"	"10.916"	"7.288"
"1972"	"6.746"	"6.99"	"15.472"	"19.731"	"26.232"	"26.893"	"26.697"	"23.9"	"23.439"	"18.311"	"12.897"	"8.204"
"1973"	"7.019"	"10.705"	"14.801"	"22.527"	"26.453"	"28.588"	"26.109"	"24.133"	"23.496"	"17.977"	"10.804"	"5.499"
"1974"	"5.991"	"7.59"	"16.804"	"22.284"	"24.831"	"26.216"	"25.608"	"25.174"	"24.313"	"18.059"	"11.082"	"6.213"
"1975"	"5.119"	"8.029"	"14.385"	"21.549"	"26.122"	"26.369"	"24.672"	"24.205"	"22.72"	"17.872"	"10.25"	"7.938"
"1976"	"7.327"	"9.755"	"13.781"	"20.1"	"24.959"	"25.651"	"26.087"	"23.417"	"22.387"	"18.807"	"12.489"	"7.11"
"1977"	"6.529"	"9.393"	"16.102"	"20.6"	"23.713"	"25.742"	"23.987"	"24.647"	"21.734"	"18.121"	"13.785"	"8.571"
"1978"	"5.708"	"7.69"	"12.959"	"20.972"	"27.986"	"26.682"	"24.027"	"24.121"	"22.615"	"18.129"	"12.765"	"7.257"
